repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
30-seconds/30-seconds-of-code,10,0,0,3,1,9,0,2,1,MERGED
30-seconds/30-seconds-of-code,5,0,0,3,1,2,2,2,1,CLOSED
30-seconds/30-seconds-of-code,5,0,33,2,1,2,2,2,0,MERGED
30-seconds/30-seconds-of-code,3,0,81,2,1,1,1,2,0,MERGED
30-seconds/30-seconds-of-code,11,0,0,4,1,2,8,3,1,CLOSED
30-seconds/30-seconds-of-code,12,0,0,2,2,5,5,2,0,MERGED
30-seconds/30-seconds-of-code,23,0,0,4,1,14,8,2,2,MERGED
30-seconds/30-seconds-of-code,10,0,0,2,1,5,4,2,0,MERGED
30-seconds/30-seconds-of-code,21,0,96,11,1,16,4,4,7,MERGED
30-seconds/30-seconds-of-code,3,0,39,2,1,1,1,2,0,MERGED
30-seconds/30-seconds-of-code,3,0,0,2,1,1,1,2,0,MERGED
30-seconds/30-seconds-of-code,11,0,0,4,1,9,1,2,2,MERGED
30-seconds/30-seconds-of-code,12,0,82,5,2,4,6,3,2,MERGED
30-seconds/30-seconds-of-code,20,0,50,3,2,18,0,2,1,CLOSED
30-seconds/30-seconds-of-code,6,0,0,2,2,2,2,2,0,MERGED
30-seconds/30-seconds-of-code,5,0,0,2,1,2,2,2,0,MERGED
30-seconds/30-seconds-of-code,7,0,63,2,1,6,0,2,0,MERGED
30-seconds/30-seconds-of-code,15,0,300,4,1,13,1,2,2,MERGED
30-seconds/30-seconds-of-code,4,0,113,4,1,1,2,2,2,CLOSED
30-seconds/30-seconds-of-code,9,0,149,4,1,7,1,3,1,MERGED
30-seconds/30-seconds-of-code,3,0,61,2,1,1,1,2,0,MERGED
30-seconds/30-seconds-of-code,9,0,0,6,1,8,0,2,4,MERGED
30-seconds/30-seconds-of-code,36,0,74,5,2,28,6,3,2,CLOSED
30-seconds/30-seconds-of-code,18,0,149,2,2,16,0,2,0,MERGED
30-seconds/30-seconds-of-code,6,0,0,3,2,2,2,2,1,MERGED
30-seconds/30-seconds-of-code,31,0,154,3,2,29,0,2,1,MERGED
