repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
996icu/996.ICU,3,0,8,2,1,1,1,2,0,MERGED
996icu/996.ICU,3,0,176,2,1,1,1,2,0,MERGED
996icu/996.ICU,23,0,82,2,1,11,11,2,0,MERGED
996icu/996.ICU,18,0,0,6,1,13,4,4,2,MERGED
996icu/996.ICU,3,0,0,2,1,1,1,2,0,MERGED
996icu/996.ICU,22,0,52,5,2,20,0,3,2,MERGED
996icu/996.ICU,17,0,19,5,1,16,0,3,2,CLOSED
996icu/996.ICU,2,0,27,2,1,1,0,2,0,CLOSED
996icu/996.ICU,5,0,7,2,1,4,0,2,0,CLOSED
996icu/996.ICU,79,0,23,10,1,78,0,6,4,CLOSED
996icu/996.ICU,14,0,45,2,1,11,2,2,0,MERGED
996icu/996.ICU,3,0,27,2,1,2,0,2,0,MERGED
996icu/996.ICU,2,0,0,14,1,1,0,8,6,CLOSED
996icu/996.ICU,44,0,146,5,1,26,17,3,2,MERGED
996icu/996.ICU,16,0,37,3,1,15,0,3,0,CLOSED
996icu/996.ICU,24,0,40,4,1,19,4,3,1,MERGED
996icu/996.ICU,3,0,3,4,1,1,1,2,2,CLOSED
996icu/996.ICU,3,0,0,2,1,1,1,2,0,CLOSED
996icu/996.ICU,5,0,0,18,1,4,0,11,7,CLOSED
996icu/996.ICU,512,0,17,6,3,506,3,4,2,CLOSED
996icu/996.ICU,3,0,17,3,1,1,1,3,0,MERGED
996icu/996.ICU,3,0,17,2,1,1,1,2,0,CLOSED
996icu/996.ICU,39,0,36,4,1,26,12,3,1,CLOSED
996icu/996.ICU,4,0,88,58,1,3,0,31,27,MERGED
996icu/996.ICU,25,0,0,6,1,24,0,3,3,MERGED
996icu/996.ICU,3,0,34,2,1,1,1,2,0,MERGED
996icu/996.ICU,17,0,0,1,1,13,3,1,0,CLOSED
996icu/996.ICU,1,0,30,5,1,0,0,3,2,CLOSED
996icu/996.ICU,2,0,15,10,1,1,0,6,4,CLOSED
996icu/996.ICU,11,0,0,3,1,5,5,2,1,MERGED
996icu/996.ICU,22,0,30,2,1,18,3,2,0,MERGED
996icu/996.ICU,6,0,68,221,1,5,0,107,114,MERGED
996icu/996.ICU,5,0,18,2,1,2,2,2,0,MERGED
996icu/996.ICU,3,0,34,2,1,1,1,2,0,MERGED
996icu/996.ICU,45,0,54,5,1,43,1,4,1,CLOSED
996icu/996.ICU,28,0,0,2,1,27,0,2,0,CLOSED
996icu/996.ICU,28,0,0,2,1,27,0,2,0,MERGED
996icu/996.ICU,28,0,18,2,1,27,0,2,0,CLOSED
996icu/996.ICU,5,0,148,4,1,4,0,2,2,CLOSED
996icu/996.ICU,63,0,0,4,1,62,0,2,2,CLOSED
996icu/996.ICU,5,0,0,2,1,4,0,2,0,CLOSED
996icu/996.ICU,16,0,23,4,1,8,7,3,1,MERGED
996icu/996.ICU,29,0,30,2,1,28,0,2,0,MERGED
996icu/996.ICU,28,0,0,1,1,27,0,1,0,CLOSED
996icu/996.ICU,28,0,22,2,1,27,0,2,0,MERGED
996icu/996.ICU,6,0,0,2,1,5,0,2,0,CLOSED
996icu/996.ICU,5,0,0,2,1,4,0,2,0,CLOSED
996icu/996.ICU,15,0,63,2,1,7,7,2,0,MERGED
996icu/996.ICU,11,0,0,2,1,5,5,2,0,CLOSED
996icu/996.ICU,22,0,49,2,1,12,9,2,0,MERGED
996icu/996.ICU,49,0,9,2,1,48,0,2,0,MERGED
996icu/996.ICU,5,0,0,3,1,3,1,3,0,MERGED
996icu/996.ICU,5,0,0,4,1,4,0,3,1,CLOSED
996icu/996.ICU,3,0,0,2,1,1,1,2,0,MERGED
996icu/996.ICU,33,0,29,2,1,21,11,2,0,CLOSED
996icu/996.ICU,5,0,0,2,1,2,2,2,0,CLOSED
996icu/996.ICU,5,0,82,3,1,4,0,2,1,CLOSED
996icu/996.ICU,96,0,19,2,1,95,0,2,0,CLOSED
996icu/996.ICU,52,0,0,1,1,51,0,1,0,CLOSED
996icu/996.ICU,7,0,40,2,1,3,3,2,0,MERGED
996icu/996.ICU,29,0,16,6,1,28,0,4,2,CLOSED
996icu/996.ICU,3,0,0,4,1,2,0,3,1,CLOSED
996icu/996.ICU,31,0,0,2,1,30,0,2,0,CLOSED
996icu/996.ICU,47,0,6,3,1,46,0,2,1,CLOSED
996icu/996.ICU,3,0,0,2,1,1,1,2,0,MERGED
996icu/996.ICU,3,0,12,4,1,2,0,3,1,CLOSED
996icu/996.ICU,6,0,0,2,1,5,0,2,0,CLOSED
996icu/996.ICU,29,0,0,2,1,28,0,2,0,MERGED
996icu/996.ICU,3,0,0,2,1,1,1,2,0,CLOSED
996icu/996.ICU,2,0,0,2,1,1,0,2,0,CLOSED
996icu/996.ICU,11,0,13,2,1,5,5,2,0,MERGED
996icu/996.ICU,5,0,7,2,1,3,1,2,0,CLOSED
996icu/996.ICU,76,0,39,6,1,35,40,4,2,MERGED
996icu/996.ICU,5,0,0,3,1,3,1,2,1,MERGED
996icu/996.ICU,3,0,3,3,1,2,0,2,1,CLOSED
996icu/996.ICU,42,0,17,2,1,35,6,2,0,CLOSED
996icu/996.ICU,3,0,24,2,1,1,1,2,0,CLOSED
996icu/996.ICU,3,0,0,4,1,1,1,3,1,CLOSED
996icu/996.ICU,17,0,57,2,1,8,8,2,0,CLOSED
996icu/996.ICU,51,0,0,2,1,50,0,2,0,CLOSED
996icu/996.ICU,7,0,0,5,1,6,0,2,3,CLOSED
996icu/996.ICU,4,0,6,4,1,2,1,3,1,CLOSED
996icu/996.ICU,83,0,17,2,1,41,41,2,0,MERGED
996icu/996.ICU,19,0,49,3,1,9,9,3,0,CLOSED
996icu/996.ICU,25,0,0,2,1,24,0,2,0,CLOSED
996icu/996.ICU,3,0,100,2,1,2,0,2,0,CLOSED
996icu/996.ICU,7,0,29,2,1,6,0,2,0,CLOSED
996icu/996.ICU,94,0,58,2,1,48,45,1,1,CLOSED
996icu/996.ICU,21,0,19,2,1,20,0,2,0,MERGED
