repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
CyC2018/CS-Notes,447,0,0,2,1,223,223,2,0,MERGED
CyC2018/CS-Notes,892,0,0,2,1,488,403,2,0,MERGED
CyC2018/CS-Notes,895,0,0,4,2,490,403,2,2,MERGED
CyC2018/CS-Notes,3,0,10,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,3,0,13,5,1,1,1,2,3,MERGED
CyC2018/CS-Notes,3,0,68,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,13,0,31,2,1,5,7,2,0,MERGED
CyC2018/CS-Notes,15,0,18,3,1,7,7,2,1,MERGED
CyC2018/CS-Notes,7,0,76,3,1,3,3,2,1,MERGED
CyC2018/CS-Notes,16,0,0,4,1,15,0,2,2,CLOSED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,CLOSED
CyC2018/CS-Notes,5,0,0,2,1,2,2,2,0,MERGED
CyC2018/CS-Notes,5,0,0,2,1,2,2,2,0,MERGED
CyC2018/CS-Notes,3,0,37,3,1,1,1,2,1,MERGED
CyC2018/CS-Notes,3,0,18,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,38,0,2,2,1,37,0,2,0,MERGED
CyC2018/CS-Notes,5,0,0,2,1,3,1,2,0,CLOSED
CyC2018/CS-Notes,3,0,6,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,5,0,22,2,1,3,1,2,0,MERGED
CyC2018/CS-Notes,5,0,0,2,1,2,2,2,0,MERGED
CyC2018/CS-Notes,5,0,0,2,1,2,2,2,0,MERGED
CyC2018/CS-Notes,5,0,12,5,1,4,0,2,3,CLOSED
CyC2018/CS-Notes,9,0,97,8,1,4,4,2,6,MERGED
CyC2018/CS-Notes,428,0,0,8,1,427,0,2,6,CLOSED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,16,0,0,2,2,9,5,2,0,MERGED
CyC2018/CS-Notes,5,0,0,2,1,3,1,2,0,MERGED
CyC2018/CS-Notes,7,0,14,2,1,6,0,2,0,MERGED
CyC2018/CS-Notes,5,0,0,3,1,2,2,2,1,MERGED
CyC2018/CS-Notes,9,0,23,2,1,8,0,2,0,MERGED
CyC2018/CS-Notes,5,0,0,2,1,2,2,2,0,MERGED
CyC2018/CS-Notes,13,0,0,2,1,9,3,2,0,CLOSED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,0,0,6,2,0,0,0,2,0,CLOSED
CyC2018/CS-Notes,3,0,6,3,1,1,1,2,1,MERGED
CyC2018/CS-Notes,11,0,14,3,1,5,5,2,1,MERGED
CyC2018/CS-Notes,23,0,28,2,1,11,11,2,0,MERGED
CyC2018/CS-Notes,5,0,9,4,1,2,2,3,1,MERGED
CyC2018/CS-Notes,180,0,0,2,1,165,14,2,0,CLOSED
CyC2018/CS-Notes,186,0,97,2,1,172,13,2,0,MERGED
CyC2018/CS-Notes,4,0,0,2,1,2,1,2,0,MERGED
CyC2018/CS-Notes,11,0,22,2,1,9,1,2,0,MERGED
CyC2018/CS-Notes,6,0,0,2,1,3,2,2,0,MERGED
CyC2018/CS-Notes,5,0,16,3,1,2,2,2,1,MERGED
CyC2018/CS-Notes,3,0,41,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,6647,0,252,7,525,6067,55,3,4,CLOSED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,4,0,0,2,1,1,2,2,0,CLOSED
CyC2018/CS-Notes,5,0,4,2,1,2,2,2,0,MERGED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,0,0,18,2,0,0,0,2,0,CLOSED
CyC2018/CS-Notes,0,0,16,2,0,0,0,2,0,CLOSED
CyC2018/CS-Notes,3,0,25,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,4,0,0,2,1,3,0,2,0,CLOSED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,0,0,13,3,0,0,0,3,0,CLOSED
CyC2018/CS-Notes,0,0,13,3,0,0,0,3,0,CLOSED
CyC2018/CS-Notes,0,0,16,2,0,0,0,2,0,CLOSED
CyC2018/CS-Notes,6,0,20,2,1,5,0,2,0,MERGED
CyC2018/CS-Notes,3,0,77,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,25,0,69,2,1,12,12,2,0,MERGED
CyC2018/CS-Notes,3,0,27,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,40,0,30,3,1,34,5,2,1,MERGED
CyC2018/CS-Notes,3,0,16,2,1,2,0,2,0,MERGED
CyC2018/CS-Notes,3,0,16,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,7,0,18,2,1,3,3,2,0,MERGED
CyC2018/CS-Notes,3,0,8,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,10,0,0,2,1,7,2,2,0,MERGED
CyC2018/CS-Notes,9,0,10,2,2,7,0,2,0,MERGED
CyC2018/CS-Notes,12,0,18,3,3,9,0,2,1,MERGED
CyC2018/CS-Notes,3,0,15,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,5,0,0,5,1,2,2,2,3,CLOSED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,5,0,9,2,1,2,2,2,0,MERGED
CyC2018/CS-Notes,3,0,36,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,14,0,0,22,1,13,0,3,19,MERGED
CyC2018/CS-Notes,6,0,0,2,1,4,1,2,0,MERGED
CyC2018/CS-Notes,3,0,76,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,4,0,0,2,1,2,1,2,0,MERGED
CyC2018/CS-Notes,11,0,10,2,1,10,0,2,0,MERGED
CyC2018/CS-Notes,3,0,7,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,20,0,27,2,1,15,4,2,0,CLOSED
CyC2018/CS-Notes,3,0,12,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,6,0,22,5,1,3,2,2,3,MERGED
CyC2018/CS-Notes,0,0,14,2,0,0,0,2,0,CLOSED
CyC2018/CS-Notes,0,0,14,3,0,0,0,2,1,CLOSED
CyC2018/CS-Notes,3,0,21,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,3,0,8,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,54,1,0,2,1,53,0,2,0,CLOSED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,7,0,0,2,1,3,3,2,0,MERGED
CyC2018/CS-Notes,16,0,0,2,2,7,7,2,0,MERGED
CyC2018/CS-Notes,3,0,32,3,1,1,1,2,1,MERGED
CyC2018/CS-Notes,3,0,54,5,1,1,1,3,2,MERGED
CyC2018/CS-Notes,13,0,166,2,3,2,8,2,0,MERGED
CyC2018/CS-Notes,13,1,26,3,1,7,5,2,1,MERGED
CyC2018/CS-Notes,0,1,2,2,0,0,0,2,0,MERGED
CyC2018/CS-Notes,3,0,23,2,1,1,1,2,0,CLOSED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,3,0,22,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,0,0,2,5,0,0,0,2,3,MERGED
CyC2018/CS-Notes,3,0,13,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,3,0,0,3,1,1,1,2,1,CLOSED
CyC2018/CS-Notes,0,0,8,2,0,0,0,2,0,MERGED
CyC2018/CS-Notes,0,0,0,3,0,0,0,3,0,CLOSED
CyC2018/CS-Notes,3,0,17,3,1,1,1,3,0,MERGED
CyC2018/CS-Notes,4,1,61,6,1,2,1,2,4,CLOSED
CyC2018/CS-Notes,23,0,189,5,3,10,10,2,3,MERGED
CyC2018/CS-Notes,13,0,0,4,3,5,5,3,1,MERGED
CyC2018/CS-Notes,3,0,19,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,5,0,0,2,1,2,2,2,0,MERGED
CyC2018/CS-Notes,3,0,0,2,1,1,1,2,0,MERGED
CyC2018/CS-Notes,0,0,11,3,0,0,0,2,1,MERGED
CyC2018/CS-Notes,16,0,0,2,2,12,2,2,0,MERGED
