repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
EbookFoundation/free-programming-books,3,0,98,3,1,1,1,2,1,MERGED
EbookFoundation/free-programming-books,3,0,112,3,1,0,2,2,1,MERGED
EbookFoundation/free-programming-books,3,0,59,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,2,0,127,3,1,1,0,2,1,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,5,0,0,2,1,2,2,2,0,MERGED
EbookFoundation/free-programming-books,5,0,145,2,1,2,2,2,0,MERGED
EbookFoundation/free-programming-books,7,0,51,2,1,3,3,2,0,MERGED
EbookFoundation/free-programming-books,11,0,0,2,1,7,3,2,0,MERGED
EbookFoundation/free-programming-books,4,0,78,2,1,2,1,2,0,MERGED
EbookFoundation/free-programming-books,7,0,0,4,1,6,0,2,2,MERGED
EbookFoundation/free-programming-books,2,0,0,3,1,1,0,2,1,CLOSED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,25,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,4,0,0,2,1,3,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,0,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,12,0,0,2,1,7,4,2,0,MERGED
EbookFoundation/free-programming-books,3,0,51,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,5,0,109,2,1,4,0,2,0,MERGED
EbookFoundation/free-programming-books,5,0,0,2,1,4,0,2,0,MERGED
EbookFoundation/free-programming-books,6,0,0,1,1,5,0,1,0,CLOSED
EbookFoundation/free-programming-books,4,0,0,2,1,3,0,2,0,MERGED
EbookFoundation/free-programming-books,6,0,0,1,1,5,0,1,0,CLOSED
EbookFoundation/free-programming-books,6,0,0,2,1,5,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,0,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,6,0,0,2,1,5,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,35,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,76,3,1,1,0,2,1,MERGED
EbookFoundation/free-programming-books,22,0,0,2,1,15,6,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,38,2,1,2,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,13,9,1,1,1,2,7,MERGED
EbookFoundation/free-programming-books,3,0,86,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,0,1,2,0,MERGED
EbookFoundation/free-programming-books,126,0,29,2,1,75,50,2,0,CLOSED
EbookFoundation/free-programming-books,3,0,81,2,1,2,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,98,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,4,0,45,2,1,3,0,2,0,MERGED
EbookFoundation/free-programming-books,4,0,0,2,1,3,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,31,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,10,2,0,5,1,9,0,4,1,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,5,0,0,2,1,4,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,1,1,0,1,1,0,MERGED
EbookFoundation/free-programming-books,3,0,0,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,3,0,0,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,2,0,32,3,1,0,1,2,1,MERGED
EbookFoundation/free-programming-books,6,0,55,3,1,5,0,2,1,MERGED
EbookFoundation/free-programming-books,11,0,122,2,1,10,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,0,2,1,2,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,39,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,16,2,151,3,1,10,5,2,1,MERGED
EbookFoundation/free-programming-books,7,0,972,3,1,3,3,2,1,MERGED
EbookFoundation/free-programming-books,8,0,144,2,1,7,0,2,0,MERGED
EbookFoundation/free-programming-books,6,2,0,2,1,5,0,2,0,MERGED
EbookFoundation/free-programming-books,2,47,0,3,1,1,0,3,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,CLOSED
EbookFoundation/free-programming-books,7,2,0,2,1,5,1,2,0,MERGED
EbookFoundation/free-programming-books,6,0,0,2,1,5,0,2,0,MERGED
EbookFoundation/free-programming-books,5,3,0,7,1,3,1,2,5,CLOSED
EbookFoundation/free-programming-books,2,0,49,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,145,3,1,1,1,2,1,CLOSED
EbookFoundation/free-programming-books,3,0,0,1,1,2,0,1,0,CLOSED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,8,77,0,5,1,7,0,3,2,CLOSED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,5,0,0,1,1,4,0,1,0,CLOSED
EbookFoundation/free-programming-books,5,0,0,5,1,4,0,2,3,MERGED
EbookFoundation/free-programming-books,5,0,0,2,1,4,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,10,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,3,0,0,2,1,1,1,2,0,MERGED
EbookFoundation/free-programming-books,3,0,48,4,1,2,0,3,1,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,98,2,1,2,0,2,0,MERGED
EbookFoundation/free-programming-books,3,0,0,2,1,2,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,19,0,17,4,1,18,0,2,2,MERGED
EbookFoundation/free-programming-books,1,0,111,4,1,0,0,2,2,CLOSED
EbookFoundation/free-programming-books,7,0,161,2,1,6,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,85,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,2,0,0,2,1,1,0,2,0,MERGED
EbookFoundation/free-programming-books,8,0,122,2,1,7,0,2,0,MERGED
