repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
MisterBooo/LeetCodeAnimation,5,0,61,5,1,2,2,2,3,CLOSED
MisterBooo/LeetCodeAnimation,10,0,40,1,1,9,0,1,0,CLOSED
MisterBooo/LeetCodeAnimation,10,7,40,2,1,9,0,2,0,CLOSED
MisterBooo/LeetCodeAnimation,581,0,4,1,15,566,0,1,0,CLOSED
MisterBooo/LeetCodeAnimation,7,0,0,2,1,3,3,2,0,MERGED
MisterBooo/LeetCodeAnimation,3,0,43,3,1,1,1,2,1,MERGED
MisterBooo/LeetCodeAnimation,7,0,94,2,2,3,2,2,0,MERGED
MisterBooo/LeetCodeAnimation,6,1,0,5,1,2,3,3,2,CLOSED
MisterBooo/LeetCodeAnimation,11,2,40,2,1,9,1,2,0,MERGED
MisterBooo/LeetCodeAnimation,0,0,5,1,0,0,0,1,0,CLOSED
MisterBooo/LeetCodeAnimation,22,119,1818,2,1,21,0,2,0,CLOSED
MisterBooo/LeetCodeAnimation,96,0,0,2,3,93,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,336744,0,26,1,8784,327960,0,1,0,CLOSED
MisterBooo/LeetCodeAnimation,155,0,0,2,2,153,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,133,0,0,2,2,131,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,100,0,17,2,3,97,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,87,0,0,2,3,84,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,154,0,39,2,9,145,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,222,0,0,2,6,216,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,262,0,0,2,3,106,153,2,0,MERGED
MisterBooo/LeetCodeAnimation,223,0,24,2,5,218,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,569,0,119,2,21,548,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,173,0,24,2,4,169,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,104,0,0,2,3,101,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,131,0,23,2,3,128,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,80,0,0,2,4,76,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,74,0,0,2,2,72,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,108,1,0,2,2,106,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,201,0,0,2,6,195,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,125,0,0,2,2,123,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,131,0,24,1,4,127,0,1,0,CLOSED
MisterBooo/LeetCodeAnimation,131,0,24,2,4,127,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,105,0,0,2,2,103,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,0,0,4,2,0,0,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,100,0,0,3,6,94,0,2,1,MERGED
MisterBooo/LeetCodeAnimation,312,1,0,2,8,304,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,112,0,11,2,3,109,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,76,0,0,2,2,74,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,170,0,0,2,5,165,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,127,0,0,2,5,122,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,140,0,0,2,6,134,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,68,0,21,2,3,65,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,180,1,0,2,2,178,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,71,0,0,2,2,69,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,90,0,0,2,3,87,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,38,0,0,2,8,22,8,2,0,MERGED
MisterBooo/LeetCodeAnimation,152,1,0,2,3,149,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,111,0,0,2,3,108,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,71,0,0,3,3,68,0,2,1,MERGED
MisterBooo/LeetCodeAnimation,213,0,11,2,8,205,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,172,1,0,2,3,169,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,176,1,0,2,3,173,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,53,1,32,2,3,50,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,71,0,0,2,3,68,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,1,2,0,2,1,0,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,97,1,0,2,2,95,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,4,4,0,2,1,2,1,2,0,MERGED
MisterBooo/LeetCodeAnimation,74,1,32,2,3,71,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,125,1,0,2,4,121,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,132,2,32,2,3,129,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,103,0,0,2,5,98,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,191,2,40,2,6,185,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,3,26,41,2,1,2,0,2,0,MERGED
MisterBooo/LeetCodeAnimation,53,2,18,2,1,49,3,2,0,MERGED
MisterBooo/LeetCodeAnimation,89,25,19,7,1,83,5,7,0,MERGED
MisterBooo/LeetCodeAnimation,78,2,17,2,1,64,13,2,0,MERGED
MisterBooo/LeetCodeAnimation,67,25,17,2,1,64,2,2,0,MERGED
MisterBooo/LeetCodeAnimation,59,1,23,2,1,57,1,2,0,MERGED
MisterBooo/LeetCodeAnimation,43,23,21,2,1,41,1,2,0,MERGED
MisterBooo/LeetCodeAnimation,43,5,17,2,1,40,2,2,0,MERGED
MisterBooo/LeetCodeAnimation,1,0,0,1,1,0,0,1,0,CLOSED
MisterBooo/LeetCodeAnimation,91,267,19,2,1,89,1,2,0,MERGED
MisterBooo/LeetCodeAnimation,3,1,0,2,1,1,1,2,0,MERGED
MisterBooo/LeetCodeAnimation,1708,0,0,7,27,1678,3,4,3,CLOSED
