repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
PanJiaChen/vue-element-admin,43123,0,0,1,169,42950,4,1,0,MERGED
PanJiaChen/vue-element-admin,278,0,204,3,2,133,143,2,1,MERGED
PanJiaChen/vue-element-admin,16,0,0,1,2,12,2,1,0,MERGED
PanJiaChen/vue-element-admin,13,10,0,1,1,6,6,1,0,CLOSED
PanJiaChen/vue-element-admin,360,0,0,1,4,138,218,1,0,MERGED
PanJiaChen/vue-element-admin,107,0,0,1,3,101,3,1,0,MERGED
PanJiaChen/vue-element-admin,10,0,59,2,1,5,4,2,0,MERGED
PanJiaChen/vue-element-admin,157,0,40,1,1,156,0,1,0,CLOSED
PanJiaChen/vue-element-admin,157,0,0,3,1,156,0,2,1,MERGED
PanJiaChen/vue-element-admin,22,0,0,1,1,21,0,1,0,MERGED
PanJiaChen/vue-element-admin,3,0,8,2,1,1,1,2,0,MERGED
PanJiaChen/vue-element-admin,472,0,0,1,20,190,262,1,0,MERGED
PanJiaChen/vue-element-admin,8,0,0,2,1,5,2,2,0,MERGED
PanJiaChen/vue-element-admin,393,0,0,1,10,191,192,1,0,MERGED
PanJiaChen/vue-element-admin,6,0,0,2,2,2,2,2,0,MERGED
PanJiaChen/vue-element-admin,24,0,0,2,1,10,13,2,0,MERGED
PanJiaChen/vue-element-admin,16,3,0,1,2,13,1,1,0,MERGED
PanJiaChen/vue-element-admin,8,0,80,3,1,6,1,2,1,CLOSED
PanJiaChen/vue-element-admin,6,0,0,3,1,4,1,2,1,MERGED
PanJiaChen/vue-element-admin,78,0,0,1,3,40,35,1,0,MERGED
PanJiaChen/vue-element-admin,44,0,13,3,1,26,17,2,1,MERGED
PanJiaChen/vue-element-admin,43,0,0,1,3,39,1,1,0,MERGED
PanJiaChen/vue-element-admin,5,0,52,2,1,2,2,1,1,CLOSED
PanJiaChen/vue-element-admin,5,0,40,3,1,2,2,2,1,CLOSED
PanJiaChen/vue-element-admin,6,4,80,8,1,4,1,3,5,MERGED
PanJiaChen/vue-element-admin,1780,0,0,1,19,1135,626,1,0,MERGED
PanJiaChen/vue-element-admin,2,0,4,3,1,0,1,2,1,MERGED
PanJiaChen/vue-element-admin,15,0,14,3,1,7,7,2,1,MERGED
PanJiaChen/vue-element-admin,8,0,0,1,2,4,2,1,0,MERGED
PanJiaChen/vue-element-admin,272,0,0,5,3,268,1,3,2,MERGED
PanJiaChen/vue-element-admin,5,0,224,3,1,4,0,2,1,CLOSED
PanJiaChen/vue-element-admin,5,0,25,2,1,4,0,2,0,MERGED
PanJiaChen/vue-element-admin,90,0,21,3,2,86,2,2,1,MERGED
PanJiaChen/vue-element-admin,26,0,18,7,1,16,9,2,5,MERGED
PanJiaChen/vue-element-admin,654,0,0,3,20,377,257,3,0,CLOSED
