repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
Snailclimb/JavaGuide,7,1,0,2,1,4,2,2,0,MERGED
Snailclimb/JavaGuide,3,0,63,4,1,1,1,2,2,MERGED
Snailclimb/JavaGuide,12,1,51,2,1,11,0,2,0,MERGED
Snailclimb/JavaGuide,3,0,48,1,1,1,1,1,0,CLOSED
Snailclimb/JavaGuide,24,0,23,3,1,22,1,2,1,MERGED
Snailclimb/JavaGuide,3,0,5,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,4,18,27,2,1,2,1,2,0,CLOSED
Snailclimb/JavaGuide,3,20,18,2,1,1,1,2,0,CLOSED
Snailclimb/JavaGuide,3,0,5,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,11,0,10,2,1,5,5,2,0,MERGED
Snailclimb/JavaGuide,142,0,327,2,4,138,0,2,0,MERGED
Snailclimb/JavaGuide,6,1,110,3,1,5,0,2,1,MERGED
Snailclimb/JavaGuide,5,0,119,2,1,2,2,2,0,CLOSED
Snailclimb/JavaGuide,3,4,0,4,1,1,1,3,1,MERGED
Snailclimb/JavaGuide,3,3,20,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,3,3,8,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,3,2,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,2,24,24,2,1,1,0,2,0,MERGED
Snailclimb/JavaGuide,5,1,14,2,1,2,2,2,0,MERGED
Snailclimb/JavaGuide,4,19,122,2,1,1,2,2,0,CLOSED
Snailclimb/JavaGuide,5,0,0,1,1,2,2,1,0,CLOSED
Snailclimb/JavaGuide,15,0,7,2,1,7,7,2,0,MERGED
Snailclimb/JavaGuide,3,2,8,2,1,1,1,2,0,CLOSED
Snailclimb/JavaGuide,11,0,18,2,1,5,5,2,0,MERGED
Snailclimb/JavaGuide,3,67,269,10,1,1,1,6,4,CLOSED
Snailclimb/JavaGuide,5,29,0,2,1,2,2,2,0,CLOSED
Snailclimb/JavaGuide,21,0,7,4,1,10,10,2,2,MERGED
Snailclimb/JavaGuide,6,1,5,3,2,2,2,2,1,MERGED
Snailclimb/JavaGuide,6,0,0,3,2,2,2,2,1,MERGED
Snailclimb/JavaGuide,6,27,4,2,2,2,2,2,0,CLOSED
Snailclimb/JavaGuide,4,36,55,2,1,3,0,2,0,MERGED
Snailclimb/JavaGuide,5,15,0,2,1,2,2,2,0,MERGED
Snailclimb/JavaGuide,6,3,33,2,1,3,2,2,0,MERGED
Snailclimb/JavaGuide,3,0,2,1,1,1,1,1,0,CLOSED
Snailclimb/JavaGuide,8,1,7,1,2,3,3,1,0,CLOSED
Snailclimb/JavaGuide,3,0,4,3,1,1,1,2,1,MERGED
Snailclimb/JavaGuide,21,1,41,3,1,18,2,2,1,MERGED
Snailclimb/JavaGuide,0,0,21,1,0,0,0,1,0,CLOSED
Snailclimb/JavaGuide,0,0,6,1,0,0,0,1,0,CLOSED
Snailclimb/JavaGuide,3,0,0,2,1,1,1,1,1,CLOSED
Snailclimb/JavaGuide,27,0,0,2,1,13,13,2,0,MERGED
Snailclimb/JavaGuide,3,2,17,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,5,5,24,2,1,2,2,2,0,MERGED
Snailclimb/JavaGuide,3,5,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,9,4,52,2,1,8,0,2,0,MERGED
Snailclimb/JavaGuide,3,4,14,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,5,2,6,2,1,2,2,2,0,MERGED
Snailclimb/JavaGuide,3,1,12,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,3,1,19,2,1,1,1,2,0,CLOSED
Snailclimb/JavaGuide,15,0,206,2,1,7,7,2,0,MERGED
Snailclimb/JavaGuide,5,0,0,2,1,2,2,2,0,MERGED
Snailclimb/JavaGuide,3,14,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,176,18,173,2,3,173,0,2,0,CLOSED
Snailclimb/JavaGuide,9,14,424,2,1,4,4,2,0,MERGED
Snailclimb/JavaGuide,8,0,17,2,1,6,1,2,0,MERGED
Snailclimb/JavaGuide,3,0,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,3,0,24,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,6,0,47,2,1,5,0,2,0,MERGED
Snailclimb/JavaGuide,9,6,28,2,1,4,4,2,0,MERGED
Snailclimb/JavaGuide,3,0,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,3,4,5,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,3,4,39,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,5,2,13,2,1,2,2,2,0,MERGED
Snailclimb/JavaGuide,10,0,40,1,1,9,0,1,0,CLOSED
Snailclimb/JavaGuide,10,7,40,2,1,9,0,2,0,CLOSED
Snailclimb/JavaGuide,9,1,30,2,1,4,4,2,0,MERGED
Snailclimb/JavaGuide,18,63,41,3,2,10,6,2,1,CLOSED
Snailclimb/JavaGuide,120,59,16,2,2,59,59,2,0,CLOSED
Snailclimb/JavaGuide,3,5,7,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,3,4,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,7,2,0,2,1,3,3,2,0,MERGED
Snailclimb/JavaGuide,3,0,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,3,16,22,2,1,2,0,2,0,MERGED
Snailclimb/JavaGuide,3,4,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,3,0,6,1,1,1,1,1,0,CLOSED
Snailclimb/JavaGuide,3,0,6,1,1,1,1,1,0,CLOSED
Snailclimb/JavaGuide,3,4,6,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,7,1,22,2,1,3,3,2,0,MERGED
Snailclimb/JavaGuide,7,1,97,2,1,3,3,2,0,MERGED
Snailclimb/JavaGuide,3,0,8,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,9,1,9,2,1,4,4,2,0,MERGED
Snailclimb/JavaGuide,138,1,4,2,1,137,0,2,0,MERGED
Snailclimb/JavaGuide,0,0,4,2,0,0,0,2,0,CLOSED
Snailclimb/JavaGuide,3,0,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,20,0,0,2,1,9,10,2,0,MERGED
Snailclimb/JavaGuide,4,8,0,2,1,2,1,2,0,CLOSED
Snailclimb/JavaGuide,49,1,14,1,3,23,23,1,0,CLOSED
Snailclimb/JavaGuide,3,5,0,2,1,1,1,2,0,MERGED
Snailclimb/JavaGuide,4,5,0,2,1,2,1,2,0,MERGED
