repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
TheAlgorithms/Python,8,0,0,4,1,4,3,3,1,MERGED
TheAlgorithms/Python,11,0,0,3,1,8,2,2,1,MERGED
TheAlgorithms/Python,30,0,250,2,1,29,0,2,0,MERGED
TheAlgorithms/Python,73,0,207,2,2,51,20,2,0,MERGED
TheAlgorithms/Python,161,0,186,2,2,129,30,2,0,MERGED
TheAlgorithms/Python,403,0,76,3,6,278,119,2,1,MERGED
TheAlgorithms/Python,705,0,97,2,13,441,251,2,0,MERGED
TheAlgorithms/Python,13,1,88,10,2,11,0,3,7,MERGED
TheAlgorithms/Python,92,0,4,3,11,43,38,2,1,MERGED
TheAlgorithms/Python,53,0,130,2,1,52,0,2,0,MERGED
TheAlgorithms/Python,9,1,91,5,1,7,1,3,2,MERGED
TheAlgorithms/Python,17,0,38,2,1,16,0,2,0,MERGED
TheAlgorithms/Python,40,0,55,3,1,39,0,2,1,MERGED
TheAlgorithms/Python,164,0,126,4,9,127,28,2,2,MERGED
TheAlgorithms/Python,30,0,64,2,1,21,8,2,0,MERGED
TheAlgorithms/Python,453,6,491,8,3,450,0,4,4,CLOSED
TheAlgorithms/Python,3,0,108,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,24,0,32,2,1,11,12,2,0,MERGED
TheAlgorithms/Python,3,0,82,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,5,0,57,2,1,2,2,2,0,MERGED
TheAlgorithms/Python,13,0,65,2,1,4,8,2,0,MERGED
TheAlgorithms/Python,5,0,58,2,1,2,2,2,0,MERGED
TheAlgorithms/Python,108,0,0,1,1,107,0,1,0,CLOSED
TheAlgorithms/Python,108,0,0,2,1,107,0,2,0,MERGED
TheAlgorithms/Python,146,0,0,2,7,124,15,2,0,MERGED
TheAlgorithms/Python,55,0,0,2,1,54,0,2,0,MERGED
TheAlgorithms/Python,19,0,0,2,1,11,7,2,0,MERGED
TheAlgorithms/Python,5,0,0,2,1,2,2,2,0,MERGED
TheAlgorithms/Python,14,0,225,2,1,7,6,2,0,MERGED
TheAlgorithms/Python,12,0,108,2,1,5,6,2,0,MERGED
TheAlgorithms/Python,37,0,0,2,2,35,0,2,0,MERGED
TheAlgorithms/Python,70,0,104,2,4,62,4,2,0,MERGED
TheAlgorithms/Python,75,0,0,2,1,74,0,2,0,MERGED
TheAlgorithms/Python,12,0,0,2,1,6,5,2,0,MERGED
TheAlgorithms/Python,24,0,73,2,1,23,0,2,0,MERGED
TheAlgorithms/Python,23,0,91,2,1,22,0,2,0,MERGED
TheAlgorithms/Python,505,23,0,2,2,503,0,2,0,CLOSED
TheAlgorithms/Python,3,0,20,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,30,0,0,3,1,11,18,3,0,MERGED
TheAlgorithms/Python,19,0,0,2,1,18,0,2,0,MERGED
TheAlgorithms/Python,33,0,117,2,1,32,0,2,0,MERGED
TheAlgorithms/Python,74,0,0,2,1,73,0,2,0,MERGED
TheAlgorithms/Python,72,0,0,2,2,70,0,2,0,MERGED
TheAlgorithms/Python,58,0,90,2,1,57,0,2,0,MERGED
TheAlgorithms/Python,114,0,101,2,1,113,0,2,0,MERGED
TheAlgorithms/Python,8,8,222,7,2,6,0,2,5,CLOSED
TheAlgorithms/Python,12,0,0,5,2,10,0,3,2,MERGED
TheAlgorithms/Python,114,0,11,1,1,0,113,1,0,MERGED
TheAlgorithms/Python,111,0,90,6,1,110,0,2,4,CLOSED
TheAlgorithms/Python,19,0,261,2,1,18,0,2,0,MERGED
TheAlgorithms/Python,22,0,0,2,1,14,7,2,0,MERGED
TheAlgorithms/Python,29,0,83,2,1,28,0,2,0,MERGED
TheAlgorithms/Python,15,0,128,2,1,14,0,2,0,MERGED
TheAlgorithms/Python,13,0,267,2,1,12,0,2,0,MERGED
TheAlgorithms/Python,3,0,101,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,68,14,318,5,1,67,0,2,3,CLOSED
TheAlgorithms/Python,67,0,442,2,1,66,0,2,0,MERGED
TheAlgorithms/Python,155,0,55,2,3,152,0,2,0,MERGED
TheAlgorithms/Python,88,0,11,2,2,0,86,2,0,MERGED
TheAlgorithms/Python,77,1,0,2,1,76,0,2,0,MERGED
TheAlgorithms/Python,28,0,0,2,1,27,0,2,0,MERGED
TheAlgorithms/Python,5,0,820,2,1,4,0,2,0,MERGED
TheAlgorithms/Python,84,3,75,2,1,83,0,2,0,MERGED
TheAlgorithms/Python,42,1,0,5,1,11,30,5,0,MERGED
TheAlgorithms/Python,54,3,159,3,1,41,12,3,0,MERGED
TheAlgorithms/Python,20,1,0,3,1,9,10,3,0,MERGED
TheAlgorithms/Python,107,72,172,6,1,55,51,3,3,CLOSED
TheAlgorithms/Python,107,70,27,2,1,55,51,2,0,CLOSED
TheAlgorithms/Python,39,15,147,4,2,37,0,2,2,CLOSED
TheAlgorithms/Python,14,0,206,2,1,8,5,2,0,MERGED
TheAlgorithms/Python,53,0,442,3,1,26,26,2,1,MERGED
TheAlgorithms/Python,22,0,0,1,1,12,9,1,0,CLOSED
TheAlgorithms/Python,22,18,0,7,1,12,9,3,4,CLOSED
TheAlgorithms/Python,107,0,56,2,3,103,1,2,0,MERGED
TheAlgorithms/Python,8,5,0,2,1,3,4,2,0,CLOSED
TheAlgorithms/Python,6,0,0,2,1,2,3,2,0,MERGED
TheAlgorithms/Python,108,0,0,1,2,106,0,1,0,CLOSED
TheAlgorithms/Python,33,4,0,2,1,32,0,2,0,MERGED
TheAlgorithms/Python,122,3,96,2,1,121,0,2,0,MERGED
TheAlgorithms/Python,139,3,0,2,4,135,0,2,0,MERGED
TheAlgorithms/Python,109,42,0,7,1,108,0,2,5,MERGED
TheAlgorithms/Python,3,0,0,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,143,3,0,2,2,137,4,2,0,MERGED
TheAlgorithms/Python,34,0,42,2,1,33,0,2,0,MERGED
TheAlgorithms/Python,350,23,0,3,7,343,0,2,1,MERGED
TheAlgorithms/Python,3,13,71,3,1,1,1,2,1,MERGED
TheAlgorithms/Python,142,9,117,2,1,141,0,2,0,MERGED
TheAlgorithms/Python,3,5,9,3,1,1,1,2,1,MERGED
TheAlgorithms/Python,3,3,0,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,103,15,113,2,1,102,0,2,0,MERGED
TheAlgorithms/Python,64,13,93,2,1,63,0,2,0,MERGED
TheAlgorithms/Python,176,8,25,2,4,165,7,2,0,MERGED
TheAlgorithms/Python,113,11,0,2,2,100,11,2,0,MERGED
TheAlgorithms/Python,124,4,0,2,1,123,0,2,0,MERGED
TheAlgorithms/Python,7,1,122,4,1,4,2,4,0,MERGED
TheAlgorithms/Python,62,2,8,4,1,61,0,3,1,MERGED
TheAlgorithms/Python,76,0,64,6,1,75,0,4,2,MERGED
TheAlgorithms/Python,56,32,169,2,1,14,41,2,0,CLOSED
TheAlgorithms/Python,153,123,114,4,1,103,49,4,0,CLOSED
TheAlgorithms/Python,135,1,61,3,1,134,0,2,1,MERGED
TheAlgorithms/Python,153,0,62,3,1,152,0,2,1,MERGED
TheAlgorithms/Python,306,22,186,5,1,305,0,3,2,MERGED
TheAlgorithms/Python,24,106,22,4,1,23,0,4,0,CLOSED
TheAlgorithms/Python,4,0,0,2,4,0,0,2,0,MERGED
TheAlgorithms/Python,53,106,206,2,1,33,19,2,0,CLOSED
TheAlgorithms/Python,124,14,12,3,2,0,122,2,1,CLOSED
TheAlgorithms/Python,82,16,0,2,1,81,0,2,0,MERGED
TheAlgorithms/Python,11,106,186,6,1,7,3,2,4,CLOSED
TheAlgorithms/Python,5,113,64,6,1,4,0,4,2,CLOSED
TheAlgorithms/Python,12,113,0,2,2,10,0,2,0,CLOSED
TheAlgorithms/Python,9,59,95,2,1,4,4,2,0,MERGED
TheAlgorithms/Python,3,12,124,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,58,111,271,4,1,57,0,3,1,CLOSED
TheAlgorithms/Python,212,15,66,2,1,211,0,2,0,MERGED
TheAlgorithms/Python,11,16,34,2,1,5,5,2,0,MERGED
TheAlgorithms/Python,19,16,61,2,1,18,0,2,0,MERGED
TheAlgorithms/Python,5,12,24,2,1,2,2,2,0,CLOSED
TheAlgorithms/Python,211,16,8,2,2,129,80,2,0,MERGED
TheAlgorithms/Python,173,14,84,2,1,172,0,2,0,MERGED
TheAlgorithms/Python,102,13,84,2,1,101,0,2,0,MERGED
TheAlgorithms/Python,124,19,57,2,2,0,122,2,0,CLOSED
TheAlgorithms/Python,17,13,80,2,1,16,0,2,0,MERGED
TheAlgorithms/Python,23,9,120,2,2,4,17,2,0,CLOSED
TheAlgorithms/Python,282,12,256,2,6,151,125,2,0,MERGED
TheAlgorithms/Python,41,12,154,2,1,40,0,2,0,MERGED
TheAlgorithms/Python,124,0,10,2,2,0,122,2,0,MERGED
TheAlgorithms/Python,39,6,137,2,13,13,13,2,0,MERGED
TheAlgorithms/Python,101,10,81,2,2,99,0,2,0,MERGED
TheAlgorithms/Python,113,10,56,2,1,112,0,2,0,MERGED
TheAlgorithms/Python,140,0,413,2,1,139,0,2,0,MERGED
TheAlgorithms/Python,48,0,106,2,1,47,0,2,0,MERGED
TheAlgorithms/Python,52,0,47,2,2,26,24,2,0,MERGED
TheAlgorithms/Python,5,0,0,2,1,2,2,2,0,MERGED
TheAlgorithms/Python,35,8,0,2,1,34,0,2,0,MERGED
TheAlgorithms/Python,8,20,218,2,1,4,3,2,0,MERGED
TheAlgorithms/Python,3,47,84,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,26,22,0,2,1,25,0,2,0,MERGED
TheAlgorithms/Python,43,1,110,2,1,42,0,2,0,MERGED
TheAlgorithms/Python,158,21,107,2,3,155,0,2,0,MERGED
TheAlgorithms/Python,38,4,0,2,1,13,24,2,0,MERGED
TheAlgorithms/Python,124,0,12,1,2,122,0,1,0,MERGED
TheAlgorithms/Python,108,0,0,1,4,0,104,1,0,MERGED
TheAlgorithms/Python,73,0,242,2,1,72,0,2,0,MERGED
TheAlgorithms/Python,97,18,0,2,1,96,0,2,0,MERGED
TheAlgorithms/Python,102,97,84,2,1,101,0,2,0,CLOSED
TheAlgorithms/Python,8,0,33,2,1,7,0,2,0,MERGED
TheAlgorithms/Python,106,0,53,2,2,103,1,2,0,MERGED
TheAlgorithms/Python,1,0,0,4,1,0,0,3,1,MERGED
TheAlgorithms/Python,59,69,155,3,2,57,0,2,1,MERGED
TheAlgorithms/Python,268,3,0,2,1,267,0,2,0,MERGED
TheAlgorithms/Python,38,3,55,2,1,37,0,2,0,MERGED
TheAlgorithms/Python,29,3,114,2,1,28,0,2,0,MERGED
TheAlgorithms/Python,2,3,49,2,1,1,0,2,0,MERGED
TheAlgorithms/Python,94,3,41,2,2,92,0,2,0,MERGED
TheAlgorithms/Python,185,3,108,2,3,182,0,2,0,MERGED
TheAlgorithms/Python,204,6,0,2,2,202,0,2,0,MERGED
TheAlgorithms/Python,33,3,72,3,1,12,20,2,1,MERGED
TheAlgorithms/Python,8383,87,0,61,147,7955,281,60,1,CLOSED
TheAlgorithms/Python,19,2,91,2,1,17,1,2,0,MERGED
TheAlgorithms/Python,29,2,0,2,1,28,0,2,0,MERGED
TheAlgorithms/Python,235,3,118,2,2,130,103,2,0,MERGED
TheAlgorithms/Python,65,2,0,2,1,64,0,2,0,MERGED
TheAlgorithms/Python,167,2,127,2,3,164,0,2,0,MERGED
TheAlgorithms/Python,102,0,149,2,1,101,0,2,0,MERGED
TheAlgorithms/Python,102,0,14,1,1,0,101,1,0,MERGED
TheAlgorithms/Python,40,1,0,3,1,39,0,3,0,MERGED
TheAlgorithms/Python,40,0,0,2,1,39,0,2,0,MERGED
TheAlgorithms/Python,269,1,0,2,12,257,0,2,0,MERGED
TheAlgorithms/Python,26,5,0,4,1,25,0,3,1,MERGED
TheAlgorithms/Python,120,3,0,2,2,118,0,2,0,MERGED
TheAlgorithms/Python,14,3,0,2,1,13,0,2,0,MERGED
TheAlgorithms/Python,46,0,0,2,1,45,0,2,0,MERGED
TheAlgorithms/Python,263,3,64,2,1,262,0,2,0,MERGED
TheAlgorithms/Python,32,3,0,2,1,31,0,2,0,MERGED
TheAlgorithms/Python,52,3,39,2,1,51,0,2,0,MERGED
TheAlgorithms/Python,176,2,226,2,1,151,24,2,0,MERGED
TheAlgorithms/Python,25,1,0,2,1,24,0,2,0,MERGED
TheAlgorithms/Python,3,25,0,4,1,2,0,3,1,CLOSED
TheAlgorithms/Python,80,1,0,2,2,30,48,2,0,MERGED
TheAlgorithms/Python,70,12,55,3,1,69,0,2,1,MERGED
TheAlgorithms/Python,15,6,0,2,1,14,0,2,0,MERGED
TheAlgorithms/Python,50,6,0,2,2,40,8,2,0,MERGED
TheAlgorithms/Python,58,3,252,4,1,57,0,2,2,MERGED
TheAlgorithms/Python,37,2,53,2,1,36,0,2,0,MERGED
TheAlgorithms/Python,20,10,103,2,1,17,2,2,0,MERGED
TheAlgorithms/Python,669,9,179,3,6,652,11,3,0,MERGED
TheAlgorithms/Python,871,61,753,5,17,758,96,3,2,CLOSED
TheAlgorithms/Python,52,8,43,2,3,49,0,2,0,MERGED
TheAlgorithms/Python,2389,0,1606,1,48,2166,175,1,0,CLOSED
TheAlgorithms/Python,30,22,50,6,1,29,0,2,4,MERGED
TheAlgorithms/Python,59,7,51,2,1,58,0,2,0,MERGED
TheAlgorithms/Python,3,16,63,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,27,34,212,6,1,26,0,4,2,MERGED
TheAlgorithms/Python,1257,34,1563,2,108,619,530,2,0,MERGED
TheAlgorithms/Python,3,18,151,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,3,18,0,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,344,15,116,2,2,190,152,2,0,MERGED
TheAlgorithms/Python,0,12,13,2,0,0,0,2,0,MERGED
TheAlgorithms/Python,17,12,188,2,1,16,0,2,0,MERGED
TheAlgorithms/Python,21,11,0,3,1,20,0,3,0,MERGED
TheAlgorithms/Python,32,9,106,2,1,22,9,2,0,MERGED
TheAlgorithms/Python,69,0,109,2,3,66,0,2,0,MERGED
TheAlgorithms/Python,240,0,336,2,1,239,0,2,0,MERGED
TheAlgorithms/Python,63,0,17,2,1,16,46,2,0,MERGED
TheAlgorithms/Python,5,24,236,3,1,2,2,3,0,MERGED
TheAlgorithms/Python,3,22,0,4,1,1,1,3,1,CLOSED
TheAlgorithms/Python,9,0,23,2,1,4,4,2,0,MERGED
TheAlgorithms/Python,52,0,50,2,6,23,23,2,0,MERGED
TheAlgorithms/Python,19,0,140,2,1,12,6,2,0,MERGED
TheAlgorithms/Python,9,0,62,2,1,7,1,2,0,MERGED
TheAlgorithms/Python,105,0,0,2,2,88,15,2,0,MERGED
TheAlgorithms/Python,9,0,56,2,1,3,5,2,0,MERGED
TheAlgorithms/Python,79,0,0,2,1,78,0,2,0,MERGED
TheAlgorithms/Python,14,0,477,2,2,6,6,2,0,MERGED
TheAlgorithms/Python,67,0,1437,4,6,31,30,4,0,MERGED
TheAlgorithms/Python,79,0,392,2,1,40,38,2,0,MERGED
TheAlgorithms/Python,47,0,48,2,2,45,0,2,0,MERGED
TheAlgorithms/Python,4,0,415,2,1,3,0,2,0,MERGED
TheAlgorithms/Python,3,0,122,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,3,0,36,1,1,1,1,1,0,CLOSED
TheAlgorithms/Python,38,2,100,4,4,34,0,3,1,MERGED
TheAlgorithms/Python,3,0,20,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,46,0,31,2,1,45,0,2,0,MERGED
TheAlgorithms/Python,47,0,36,2,1,46,0,2,0,MERGED
TheAlgorithms/Python,16,0,0,2,1,15,0,2,0,MERGED
TheAlgorithms/Python,4,0,0,2,1,2,1,2,0,MERGED
TheAlgorithms/Python,48,0,88,2,1,47,0,2,0,MERGED
TheAlgorithms/Python,6,0,0,2,1,5,0,2,0,MERGED
TheAlgorithms/Python,63,0,41,2,2,61,0,2,0,MERGED
TheAlgorithms/Python,539,0,46,2,4,535,0,2,0,MERGED
TheAlgorithms/Python,40,0,76,2,2,37,1,2,0,MERGED
TheAlgorithms/Python,3,0,27,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,117,0,48,2,2,115,0,2,0,MERGED
TheAlgorithms/Python,117,0,0,2,1,116,0,2,0,MERGED
TheAlgorithms/Python,107,0,0,2,4,103,0,2,0,MERGED
TheAlgorithms/Python,3,0,51,2,1,1,1,2,0,MERGED
TheAlgorithms/Python,58,0,0,2,2,56,0,2,0,MERGED
TheAlgorithms/Python,3,0,0,2,1,2,0,2,0,MERGED
TheAlgorithms/Python,9,0,740,2,1,7,1,2,0,MERGED
TheAlgorithms/Python,9,0,44,2,2,5,2,2,0,MERGED
TheAlgorithms/Python,108,0,0,2,5,100,3,2,0,MERGED
TheAlgorithms/Python,164,0,0,2,3,161,0,2,0,MERGED
TheAlgorithms/Python,209,0,50,3,7,202,0,3,0,MERGED
TheAlgorithms/Python,21,0,0,2,1,20,0,2,0,MERGED
TheAlgorithms/Python,46,0,0,2,1,45,0,2,0,MERGED
TheAlgorithms/Python,41,0,0,2,2,39,0,2,0,MERGED
TheAlgorithms/Python,79,0,0,2,2,77,0,2,0,MERGED
TheAlgorithms/Python,37,0,0,2,1,36,0,2,0,MERGED
TheAlgorithms/Python,52,0,0,2,1,51,0,2,0,MERGED
TheAlgorithms/Python,47,1,0,2,1,46,0,2,0,MERGED
TheAlgorithms/Python,82,0,0,2,3,79,0,2,0,MERGED
TheAlgorithms/Python,7,0,361,2,1,3,3,2,0,MERGED
TheAlgorithms/Python,39,0,213,2,1,38,0,2,0,MERGED
TheAlgorithms/Python,29,0,138,2,1,28,0,2,0,MERGED
