repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
airbnb/javascript,17,0,52,2,1,0,16,1,1,CLOSED
airbnb/javascript,17,0,53,3,1,0,16,2,1,MERGED
airbnb/javascript,11,480,699,36,1,3,7,7,29,CLOSED
airbnb/javascript,7,0,213,8,1,3,3,3,5,CLOSED
airbnb/javascript,14,0,172,11,1,5,8,4,7,CLOSED
airbnb/javascript,6,0,531,7,1,3,2,4,3,MERGED
airbnb/javascript,58,0,318,4,1,57,0,2,2,MERGED
airbnb/javascript,27,0,167,4,1,15,11,3,1,MERGED
airbnb/javascript,4,0,60,3,1,3,0,2,1,MERGED
airbnb/javascript,3,0,0,11,1,1,1,5,6,CLOSED
airbnb/javascript,4,0,0,7,1,3,0,5,2,MERGED
airbnb/javascript,3,0,0,3,1,1,1,2,1,MERGED
airbnb/javascript,3,0,26,2,1,1,1,2,0,MERGED
airbnb/javascript,5,0,19,3,1,2,2,2,1,MERGED
airbnb/javascript,3,0,29,3,1,1,1,2,1,MERGED
airbnb/javascript,5,0,53,3,1,2,2,2,1,CLOSED
airbnb/javascript,14,0,148,3,1,8,5,2,1,MERGED
airbnb/javascript,5,0,0,3,1,2,2,2,1,MERGED
airbnb/javascript,39,3,31,3,1,33,5,2,1,MERGED
airbnb/javascript,244,0,27,3,1,175,68,3,0,CLOSED
airbnb/javascript,29,31,0,9,1,18,10,3,6,CLOSED
airbnb/javascript,31,4,36,9,1,15,15,3,6,MERGED
airbnb/javascript,92,12,294,14,1,89,2,7,7,CLOSED
airbnb/javascript,4,0,95,3,1,2,1,2,1,MERGED
airbnb/javascript,3,0,29,3,1,1,1,2,1,MERGED
airbnb/javascript,2,0,123,3,1,1,0,2,1,MERGED
airbnb/javascript,5,0,16,3,1,2,2,2,1,MERGED
airbnb/javascript,8,0,191,5,1,7,0,3,2,MERGED
airbnb/javascript,4,0,166,3,1,2,1,2,1,MERGED
airbnb/javascript,64,0,67,1,1,32,31,1,0,CLOSED
airbnb/javascript,61,0,119,3,1,30,30,2,1,MERGED
