repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
angular/angular,20,0,9,5,3,13,4,3,2,CLOSED
angular/angular,3,5,0,14,1,1,1,5,9,CLOSED
angular/angular,51,0,647,3,2,26,23,2,1,CLOSED
angular/angular,349,0,156,2,7,215,127,1,1,MERGED
angular/angular,182,1,10,4,6,172,4,3,1,MERGED
angular/angular,435,1,851,3,13,361,61,1,2,CLOSED
angular/angular,667,0,8,4,7,658,2,3,1,MERGED
angular/angular,167,0,0,4,6,93,68,2,2,MERGED
angular/angular,858,1,128,5,24,791,43,2,3,MERGED
angular/angular,77,7,9,6,3,74,0,2,4,CLOSED
angular/angular,50,7,9,8,2,48,0,3,5,CLOSED
angular/angular,296,0,461,3,22,186,88,2,1,MERGED
angular/angular,3,5,111,6,1,1,1,3,3,CLOSED
angular/angular,175,2,0,3,13,90,72,1,2,CLOSED
angular/angular,380,1,46,12,9,213,158,3,9,MERGED
angular/angular,982,0,547,4,19,679,284,2,2,MERGED
angular/angular,425,1,0,4,4,298,123,3,1,CLOSED
angular/angular,130,1,472,6,9,95,26,3,3,MERGED
angular/angular,154,0,42,7,7,109,38,3,4,MERGED
angular/angular,356,11,540,13,15,305,36,5,8,MERGED
angular/angular,384,4,0,4,1,383,0,3,1,MERGED
angular/angular,261,3,325,4,12,150,99,2,2,CLOSED
angular/angular,29,0,0,2,2,19,8,1,1,MERGED
angular/angular,30,2,0,3,2,27,1,2,1,MERGED
angular/angular,51,2,63,3,3,43,5,2,1,MERGED
angular/angular,193,2,659,6,14,97,82,3,3,MERGED
angular/angular,39,2,39,3,8,15,16,2,1,MERGED
angular/angular,962,11,387,11,27,866,69,4,7,MERGED
angular/angular,44,0,0,4,2,41,1,2,2,MERGED
angular/angular,157,10,14,3,5,114,38,2,1,MERGED
angular/angular,9,10,295,2,3,3,3,1,1,MERGED
angular/angular,74,6,260,5,7,58,9,2,3,MERGED
angular/angular,3,1,87,8,1,1,1,2,6,CLOSED
angular/angular,192,0,37,3,7,135,50,2,1,MERGED
angular/angular,11,1,126,4,2,6,3,2,2,CLOSED
angular/angular,106,2,60,3,5,70,31,2,1,MERGED
angular/angular,139,0,0,3,6,87,46,2,1,MERGED
angular/angular,129,71,282,10,7,121,1,4,6,CLOSED
angular/angular,108,0,0,4,7,84,17,2,2,CLOSED
angular/angular,598,0,30,6,11,572,15,3,3,MERGED
angular/angular,221,1,0,9,7,162,52,6,3,CLOSED
angular/angular,3,0,174,7,1,2,0,3,4,CLOSED
angular/angular,392,1,137,5,11,306,75,3,2,MERGED
angular/angular,0,14,110,9,0,0,0,2,7,CLOSED
angular/angular,291,6,362,7,6,205,80,3,4,CLOSED
angular/angular,1490,7,214,10,10,1479,1,3,7,CLOSED
angular/angular,19,0,0,3,1,18,0,2,1,MERGED
angular/angular,54,0,221,3,9,38,7,2,1,MERGED
angular/angular,156,0,11,5,3,111,42,2,3,MERGED
angular/angular,160,5,293,12,11,115,34,5,7,MERGED
angular/angular,136,0,102,4,8,71,57,2,2,MERGED
angular/angular,161,17,102,4,2,135,24,2,2,CLOSED
angular/angular,422,0,128,4,11,366,45,2,2,MERGED
angular/angular,460,0,0,4,7,334,119,2,2,MERGED
angular/angular,65,1,224,6,2,61,2,4,2,CLOSED
angular/angular,148,1,1438,4,7,41,100,3,1,MERGED
angular/angular,1496,0,17,3,10,1481,5,2,1,MERGED
angular/angular,582,0,0,3,11,479,92,2,1,MERGED
angular/angular,30,8,0,7,2,28,0,3,4,CLOSED
angular/angular,65,0,0,4,2,38,25,2,2,MERGED
angular/angular,387,1,0,3,4,247,136,2,1,MERGED
angular/angular,3,0,0,4,1,1,1,3,1,CLOSED
angular/angular,3,0,52,4,1,1,1,3,1,CLOSED
angular/angular,0,0,91,7,0,0,0,4,3,MERGED
angular/angular,45,76,288,18,3,32,10,6,12,CLOSED
angular/angular,71,2,11,4,4,35,32,2,2,CLOSED
angular/angular,7,3,8,6,1,3,3,2,4,CLOSED
angular/angular,3,2,11,4,1,1,1,2,2,CLOSED
angular/angular,14,1,244,3,2,8,4,2,1,CLOSED
angular/angular,183,23,183,19,8,172,3,5,14,CLOSED
angular/angular,198,1,0,2,8,183,7,1,1,MERGED
angular/angular,8,3,92,4,1,0,7,3,1,CLOSED
angular/angular,44,13,92,9,2,19,23,4,5,CLOSED
angular/angular,931,2,11,6,8,618,305,3,3,CLOSED
angular/angular,286,6,0,6,8,271,7,4,2,MERGED
angular/angular,401,1,0,7,14,263,124,1,6,CLOSED
angular/angular,384,0,72,5,6,277,101,2,3,MERGED
angular/angular,139,0,20,5,6,68,65,2,3,MERGED
