repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
ant-design/ant-design,298,1,14,4,9,259,30,2,2,CLOSED
ant-design/ant-design,834,1,0,3,11,783,40,2,1,MERGED
ant-design/ant-design,27,0,19,3,1,26,0,2,1,MERGED
ant-design/ant-design,284,0,16,4,3,261,20,2,2,MERGED
ant-design/ant-design,161,0,0,3,7,121,33,2,1,MERGED
ant-design/ant-design,76,0,10,2,11,33,32,2,0,MERGED
ant-design/ant-design,104,1,0,2,7,74,23,2,0,MERGED
ant-design/ant-design,2,0,0,2,1,1,0,2,0,MERGED
ant-design/ant-design,38,0,0,2,2,36,0,2,0,MERGED
ant-design/ant-design,434,0,5,2,11,415,8,2,0,CLOSED
ant-design/ant-design,1275,0,0,4,19,1235,21,3,1,MERGED
ant-design/ant-design,7,0,0,2,1,3,3,2,0,MERGED
ant-design/ant-design,112,0,27,2,14,61,37,2,0,MERGED
ant-design/ant-design,24,0,70,4,3,9,12,4,0,MERGED
ant-design/ant-design,462,0,27,8,17,440,5,4,4,CLOSED
ant-design/ant-design,234,0,8,3,9,223,2,2,1,MERGED
ant-design/ant-design,229,0,0,3,10,217,2,3,0,MERGED
ant-design/ant-design,444,0,8,3,15,414,15,3,0,MERGED
ant-design/ant-design,97,0,0,4,3,92,2,3,1,MERGED
ant-design/ant-design,158,0,0,2,4,67,87,2,0,MERGED
ant-design/ant-design,980,0,7,4,19,956,5,2,2,MERGED
ant-design/ant-design,75,0,0,2,2,42,31,2,0,MERGED
ant-design/ant-design,64,0,82,2,5,22,37,2,0,MERGED
ant-design/ant-design,16,0,0,2,2,8,6,2,0,MERGED
ant-design/ant-design,529,0,0,4,8,254,267,2,2,MERGED
ant-design/ant-design,56,2,0,3,2,41,13,2,1,MERGED
ant-design/ant-design,18,0,0,2,1,8,9,2,0,MERGED
ant-design/ant-design,3,0,0,2,1,1,1,2,0,MERGED
ant-design/ant-design,3,0,0,2,1,1,1,2,0,MERGED
ant-design/ant-design,66,0,17,1,3,39,24,1,0,MERGED
ant-design/ant-design,3,0,54,2,1,1,1,2,0,MERGED
ant-design/ant-design,7,0,0,2,1,5,1,2,0,MERGED
ant-design/ant-design,51,0,99,3,17,0,34,2,1,MERGED
ant-design/ant-design,151,0,0,4,17,57,77,2,2,CLOSED
ant-design/ant-design,153,0,0,5,17,58,78,2,3,MERGED
ant-design/ant-design,2,0,132,3,1,1,0,2,1,MERGED
ant-design/ant-design,66,0,0,4,1,65,0,2,2,MERGED
ant-design/ant-design,2,0,0,3,1,1,0,2,1,MERGED
ant-design/ant-design,2,0,0,3,1,1,0,2,1,CLOSED
ant-design/ant-design,639,0,0,2,18,617,4,2,0,CLOSED
ant-design/ant-design,12,0,0,3,2,9,1,2,1,MERGED
ant-design/ant-design,524,0,0,3,6,518,0,2,1,CLOSED
ant-design/ant-design,132,0,0,2,5,95,32,2,0,CLOSED
ant-design/ant-design,389,0,0,3,6,383,0,2,1,MERGED
ant-design/ant-design,167,0,5,2,7,160,0,2,0,CLOSED
ant-design/ant-design,433,0,15,2,10,420,3,2,0,MERGED
ant-design/ant-design,167,1,5,4,7,160,0,4,0,MERGED
ant-design/ant-design,307,0,64,2,10,147,150,2,0,MERGED
ant-design/ant-design,158,0,0,2,7,107,44,2,0,CLOSED
ant-design/ant-design,459,5,0,11,13,442,4,3,8,MERGED
ant-design/ant-design,224,0,0,5,12,150,62,5,0,CLOSED
ant-design/ant-design,159,0,0,3,4,96,59,2,1,CLOSED
ant-design/ant-design,155,0,0,2,7,108,40,2,0,CLOSED
ant-design/ant-design,47,0,0,3,7,21,19,2,1,MERGED
ant-design/ant-design,29,0,31,1,3,25,1,1,0,MERGED
ant-design/ant-design,187,0,0,2,5,121,61,2,0,CLOSED
ant-design/ant-design,187,0,0,2,5,121,61,2,0,MERGED
ant-design/ant-design,64,0,0,2,4,39,21,2,0,MERGED
ant-design/ant-design,3,0,367,2,1,2,0,2,0,MERGED
ant-design/ant-design,7,0,35,6,1,4,2,2,4,MERGED
ant-design/ant-design,456,0,42,4,3,264,189,2,2,CLOSED
ant-design/ant-design,682,2,117,5,11,646,25,2,3,MERGED
ant-design/ant-design,0,0,0,2,0,0,0,2,0,MERGED
ant-design/ant-design,682,0,0,3,11,646,25,2,1,MERGED
ant-design/ant-design,383,0,0,3,11,371,1,2,1,MERGED
ant-design/ant-design,26,0,0,3,3,22,1,2,1,MERGED
ant-design/ant-design,113,0,0,3,6,106,1,3,0,MERGED
ant-design/ant-design,165,0,55,2,5,88,72,2,0,MERGED
ant-design/ant-design,45,0,197,2,7,23,15,2,0,MERGED
ant-design/ant-design,21,0,0,2,3,13,5,2,0,MERGED
ant-design/ant-design,1911,0,0,5,54,1417,440,5,0,CLOSED
ant-design/ant-design,5971,0,42,11,111,4517,1343,10,1,CLOSED
ant-design/ant-design,128,0,22,2,9,58,61,1,1,MERGED
ant-design/ant-design,52,0,23,3,2,35,15,2,1,MERGED
ant-design/ant-design,234,1,38,3,14,209,11,2,1,MERGED
ant-design/ant-design,5700,0,20,11,100,4287,1313,10,1,CLOSED
ant-design/ant-design,418,0,10,2,11,405,2,2,0,MERGED
ant-design/ant-design,7777,0,0,11,150,6190,1437,11,0,CLOSED
ant-design/ant-design,7,0,0,5,1,2,4,2,3,CLOSED
ant-design/ant-design,50,0,0,2,2,28,20,2,0,MERGED
ant-design/ant-design,172,0,59,5,6,102,64,3,2,MERGED
ant-design/ant-design,345,0,55,1,8,173,164,1,0,MERGED
ant-design/ant-design,206,0,17,2,1,145,60,2,0,MERGED
ant-design/ant-design,6020,0,29,11,112,4563,1345,10,1,CLOSED
ant-design/ant-design,47,0,31,3,5,21,21,2,1,MERGED
ant-design/ant-design,39,0,29,4,6,18,15,3,1,MERGED
ant-design/ant-design,21,0,76,1,3,9,9,1,0,CLOSED
ant-design/ant-design,54,0,11,2,2,4,48,2,0,MERGED
ant-design/ant-design,56,0,45,8,5,34,17,2,6,MERGED
ant-design/ant-design,5,0,18,2,1,4,0,2,0,MERGED
ant-design/ant-design,8692,0,35,10,170,6879,1643,10,0,CLOSED
ant-design/ant-design,13,0,35,1,2,7,4,1,0,MERGED
ant-design/ant-design,42,0,63,2,4,19,19,2,0,MERGED
ant-design/ant-design,3,0,0,2,1,2,0,2,0,MERGED
ant-design/ant-design,17,0,24,2,2,4,11,2,0,MERGED
ant-design/ant-design,144,6,41,17,4,136,4,3,14,CLOSED
ant-design/ant-design,74,0,9,2,3,67,4,2,0,MERGED
ant-design/ant-design,29,0,0,2,2,17,10,2,0,MERGED
ant-design/ant-design,10,0,61,2,2,5,3,2,0,MERGED
ant-design/ant-design,9852,0,12,11,199,7555,2098,11,0,CLOSED
ant-design/ant-design,898,0,50,1,44,421,433,1,0,MERGED
ant-design/ant-design,40,0,0,2,12,15,13,2,0,CLOSED
ant-design/ant-design,30,0,18,2,10,10,10,2,0,MERGED
ant-design/ant-design,59,0,4,1,4,28,27,1,0,MERGED
ant-design/ant-design,2,0,0,2,1,1,0,2,0,MERGED
ant-design/ant-design,3,0,0,2,1,1,1,2,0,MERGED
ant-design/ant-design,10227,0,135,10,212,7839,2176,10,0,CLOSED
ant-design/ant-design,196,0,135,1,7,161,28,1,0,MERGED
ant-design/ant-design,15,0,64,5,2,9,4,3,2,MERGED
ant-design/ant-design,28,0,20,5,1,18,9,3,2,MERGED
ant-design/ant-design,182,0,23,2,5,171,6,2,0,CLOSED
ant-design/ant-design,69,0,0,6,3,60,6,3,3,MERGED
ant-design/ant-design,11057,0,4,10,229,8354,2474,10,0,MERGED
ant-design/ant-design,3,0,0,8,1,1,1,3,5,CLOSED
ant-design/ant-design,29,0,0,3,1,14,14,2,1,MERGED
ant-design/ant-design,3,0,0,2,1,1,1,2,0,MERGED
ant-design/ant-design,3,0,0,2,1,1,1,2,0,MERGED
ant-design/ant-design,3,0,9,3,1,1,1,2,1,MERGED
ant-design/ant-design,235,4,16,2,5,224,6,2,0,CLOSED
ant-design/ant-design,5,0,0,3,1,2,2,2,1,MERGED
ant-design/ant-design,224,0,0,2,6,212,6,2,0,MERGED
ant-design/ant-design,412,0,1842,2,12,243,157,2,0,MERGED
ant-design/ant-design,3,0,0,1,1,1,1,1,0,MERGED
ant-design/ant-design,223,0,7,1,11,208,4,1,0,CLOSED
ant-design/ant-design,213,0,0,1,9,204,0,1,0,MERGED
ant-design/ant-design,6,0,0,4,2,2,2,2,2,MERGED
ant-design/ant-design,1019,0,0,6,48,652,319,5,1,CLOSED
ant-design/ant-design,107,0,0,2,4,15,88,2,0,MERGED
ant-design/ant-design,211,0,0,3,8,202,1,2,1,MERGED
ant-design/ant-design,44,4,0,2,3,24,17,2,0,MERGED
ant-design/ant-design,9,0,8,2,1,3,5,2,0,MERGED
ant-design/ant-design,34,0,40,3,3,20,11,2,1,MERGED
ant-design/ant-design,687,3,18,3,9,465,213,2,1,MERGED
ant-design/ant-design,98,0,33,1,11,79,8,1,0,MERGED
ant-design/ant-design,11,0,33,2,2,8,1,2,0,MERGED
ant-design/ant-design,7,0,8,2,2,3,2,2,0,MERGED
ant-design/ant-design,4,0,98,2,2,0,2,2,0,MERGED
ant-design/ant-design,3,0,4,2,1,1,1,2,0,MERGED
ant-design/ant-design,3,0,27,2,1,1,1,2,0,MERGED
ant-design/ant-design,14,0,81,1,1,3,10,1,0,CLOSED
ant-design/ant-design,2,0,0,3,1,1,0,2,1,MERGED
ant-design/ant-design,31,0,0,2,3,17,11,2,0,MERGED
ant-design/ant-design,31,0,26,1,3,11,17,1,0,CLOSED
ant-design/ant-design,31,0,4,2,3,17,11,2,0,MERGED
ant-design/ant-design,37,0,10,2,3,27,7,2,0,MERGED
ant-design/ant-design,516,0,0,5,13,313,190,2,3,CLOSED
ant-design/ant-design,550,11,38,13,14,345,191,4,9,MERGED
ant-design/ant-design,302,3,97,3,37,159,106,2,1,MERGED
ant-design/ant-design,381,1,97,15,54,180,147,3,12,MERGED
ant-design/ant-design,13,0,233,3,2,6,5,3,0,MERGED
ant-design/ant-design,52,1,0,2,3,21,28,2,0,MERGED
ant-design/ant-design,438,0,254,6,13,402,23,3,3,MERGED
ant-design/ant-design,77,7,136,6,4,64,9,3,3,MERGED
ant-design/ant-design,3,0,0,4,1,1,1,3,1,MERGED
ant-design/ant-design,67,0,8,1,1,66,0,1,0,MERGED
ant-design/ant-design,6,0,0,1,2,3,1,1,0,MERGED
ant-design/ant-design,3,0,4,2,1,1,1,2,0,MERGED
ant-design/ant-design,1807,0,15,8,110,1231,466,8,0,CLOSED
ant-design/ant-design,1807,0,33,10,110,1231,466,9,1,CLOSED
ant-design/ant-design,75,1,36,2,3,71,1,2,0,MERGED
ant-design/ant-design,9,0,383,5,1,4,4,3,2,MERGED
ant-design/ant-design,44,2,210,1,3,27,14,1,0,MERGED
ant-design/ant-design,10,3,14,1,2,3,5,1,0,MERGED
ant-design/ant-design,3,0,0,3,1,1,1,2,1,MERGED
ant-design/ant-design,31,0,0,1,4,25,2,1,0,MERGED
ant-design/ant-design,37,0,0,2,9,16,12,2,0,MERGED
ant-design/ant-design,141,0,4,1,4,132,5,1,0,MERGED
ant-design/ant-design,3268,0,4,12,226,2100,942,12,0,CLOSED
ant-design/ant-design,72,0,4,1,14,39,19,1,0,MERGED
ant-design/ant-design,1239,1,0,2,21,561,657,2,0,MERGED
ant-design/ant-design,3,0,0,3,1,1,1,2,1,MERGED
ant-design/ant-design,41,0,36,3,5,21,15,2,1,MERGED
ant-design/ant-design,1925,6,0,12,21,1208,696,4,8,MERGED
ant-design/ant-design,327,3,59,9,10,299,18,4,5,MERGED
ant-design/ant-design,9,0,58,2,1,4,4,2,0,MERGED
ant-design/ant-design,30,0,51,1,4,26,0,1,0,MERGED
ant-design/ant-design,113,1,12,3,7,98,8,2,1,MERGED
ant-design/ant-design,356,0,9,2,10,233,113,2,0,MERGED
ant-design/ant-design,3,0,51,2,1,2,0,2,0,MERGED
ant-design/ant-design,9,0,0,3,1,2,6,2,1,MERGED
