repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,7,0,0,2,1,5,1,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,1,1,2,0,MERGED
avelino/awesome-go,7,0,0,2,1,5,1,2,0,MERGED
avelino/awesome-go,4,0,0,2,1,2,1,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,1,1,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,6,0,0,2,1,5,0,2,0,MERGED
avelino/awesome-go,3,0,17,2,1,2,0,2,0,MERGED
avelino/awesome-go,12,0,0,2,1,11,0,2,0,MERGED
avelino/awesome-go,14,0,0,2,1,2,11,1,1,CLOSED
avelino/awesome-go,4,0,0,2,1,2,1,2,0,MERGED
avelino/awesome-go,3,0,24,2,1,2,0,2,0,MERGED
avelino/awesome-go,7,0,73,2,1,6,0,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,146,2,1,1,1,2,0,MERGED
avelino/awesome-go,2,0,105,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,21,5,1,1,1,3,2,MERGED
avelino/awesome-go,2,0,0,4,1,1,0,3,1,MERGED
avelino/awesome-go,6,0,14,2,1,4,1,2,0,MERGED
avelino/awesome-go,2,0,23,2,1,1,0,2,0,MERGED
avelino/awesome-go,9,0,17,2,1,8,0,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,1,1,2,0,MERGED
avelino/awesome-go,3,0,23,2,1,1,1,2,0,MERGED
avelino/awesome-go,7,0,66,2,1,6,0,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,1,1,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,7,0,0,2,1,6,0,2,0,MERGED
avelino/awesome-go,4,0,0,2,1,2,1,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,16,2,1,0,2,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,1,1,2,0,MERGED
avelino/awesome-go,2,0,130,2,1,1,0,2,0,MERGED
avelino/awesome-go,14,0,0,2,1,8,5,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,2,0,2,0,MERGED
avelino/awesome-go,5,0,30,5,1,2,2,2,3,CLOSED
avelino/awesome-go,3,0,0,1,1,2,0,1,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,10,0,0,3,1,9,0,2,1,MERGED
avelino/awesome-go,2,0,49,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,2,0,2,0,MERGED
avelino/awesome-go,11,0,0,2,1,10,0,2,0,MERGED
avelino/awesome-go,9,0,0,5,1,8,0,3,2,MERGED
avelino/awesome-go,3,0,0,2,1,2,0,2,0,MERGED
avelino/awesome-go,6,0,0,2,1,3,2,2,0,MERGED
avelino/awesome-go,2,0,30,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,0,6,1,1,0,2,4,CLOSED
avelino/awesome-go,11,0,121,2,1,10,0,2,0,MERGED
avelino/awesome-go,8,0,45,2,1,7,0,2,0,MERGED
avelino/awesome-go,4,0,0,2,1,2,1,2,0,MERGED
avelino/awesome-go,8,1,0,8,1,7,0,4,4,MERGED
avelino/awesome-go,2,14,0,5,1,1,0,3,2,CLOSED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,81,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,44,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,39,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,80,2,1,2,0,2,0,MERGED
avelino/awesome-go,2,0,56,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,1,1,2,0,MERGED
avelino/awesome-go,37,0,0,2,1,18,18,2,0,MERGED
avelino/awesome-go,3,0,48,2,1,1,1,2,0,MERGED
avelino/awesome-go,514,1,154,9,1,305,208,3,6,CLOSED
avelino/awesome-go,2,0,0,4,1,1,0,2,2,MERGED
avelino/awesome-go,27,0,422,2,1,13,13,2,0,MERGED
avelino/awesome-go,12,0,418,2,1,11,0,2,0,MERGED
avelino/awesome-go,2,0,88,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,3,2,1,1,0,2,0,MERGED
avelino/awesome-go,11,0,20,2,1,6,4,2,0,MERGED
avelino/awesome-go,14,0,32,3,1,8,5,3,0,MERGED
avelino/awesome-go,6,0,87,2,1,3,2,2,0,MERGED
avelino/awesome-go,3,25,0,7,1,1,1,3,4,CLOSED
avelino/awesome-go,3,0,26,2,1,1,1,2,0,MERGED
avelino/awesome-go,2,0,72,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,1,1,2,0,MERGED
avelino/awesome-go,3,0,0,2,1,1,1,2,0,MERGED
avelino/awesome-go,3,0,233,5,1,2,0,3,2,MERGED
avelino/awesome-go,2,0,53,4,1,1,0,3,1,MERGED
avelino/awesome-go,2,0,0,5,1,1,0,3,2,CLOSED
avelino/awesome-go,2,0,48,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,76,3,1,1,0,2,1,MERGED
avelino/awesome-go,2,0,0,3,1,1,0,2,1,MERGED
avelino/awesome-go,2,0,91,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,0,4,1,1,0,2,2,MERGED
avelino/awesome-go,3,0,0,2,1,1,1,2,0,MERGED
avelino/awesome-go,96,0,60,5,1,52,43,2,3,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,137,4,1,1,1,2,2,MERGED
avelino/awesome-go,2,0,0,5,1,1,0,3,2,MERGED
avelino/awesome-go,4,0,0,6,1,2,1,3,3,MERGED
avelino/awesome-go,3,0,134,2,1,2,0,2,0,MERGED
avelino/awesome-go,5,0,218,2,1,1,3,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,154,6,1,1,0,3,3,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,10,0,0,1,1,9,0,1,0,CLOSED
avelino/awesome-go,9,0,0,3,1,8,0,2,1,MERGED
avelino/awesome-go,2,0,0,9,1,1,0,4,5,MERGED
avelino/awesome-go,14,0,0,4,1,8,5,2,2,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,108,3,1,1,0,2,1,MERGED
avelino/awesome-go,3,4,0,5,1,1,1,3,2,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,3,0,41,5,1,1,1,3,2,MERGED
avelino/awesome-go,3,0,60,2,1,1,1,2,0,MERGED
avelino/awesome-go,2,0,0,5,1,1,0,2,3,MERGED
avelino/awesome-go,6,0,0,3,1,5,0,2,1,MERGED
avelino/awesome-go,2,5,0,3,1,1,0,2,1,MERGED
avelino/awesome-go,2,0,57,3,1,1,0,2,1,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,0,4,1,1,0,2,2,MERGED
avelino/awesome-go,2,0,53,2,1,1,0,2,0,MERGED
avelino/awesome-go,2,0,0,4,1,1,0,2,2,MERGED
avelino/awesome-go,2,0,0,2,1,1,0,2,0,MERGED
avelino/awesome-go,6,0,0,2,1,5,0,2,0,MERGED
avelino/awesome-go,4,0,0,2,1,3,0,2,0,MERGED
avelino/awesome-go,2,0,174,2,1,1,0,2,0,MERGED
