repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
awesome-selfhosted/awesome-selfhosted,9,0,102,2,1,6,2,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,3,0,0,2,1,2,0,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,90,0,103,3,1,50,39,2,1,MERGED
awesome-selfhosted/awesome-selfhosted,100,0,252,2,1,69,30,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,441,0,20,4,2,435,4,3,1,MERGED
awesome-selfhosted/awesome-selfhosted,3,0,0,1,1,1,1,1,0,MERGED
awesome-selfhosted/awesome-selfhosted,95,0,0,2,1,48,46,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,2,0,0,4,1,1,0,2,2,MERGED
awesome-selfhosted/awesome-selfhosted,28,0,271,2,1,18,9,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,74,0,0,2,1,66,7,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,102,3,0,2,1,78,23,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,0,0,6,2,0,0,0,1,1,CLOSED
awesome-selfhosted/awesome-selfhosted,214,34,186,4,1,115,98,3,1,CLOSED
awesome-selfhosted/awesome-selfhosted,9,0,0,3,1,8,0,2,1,MERGED
awesome-selfhosted/awesome-selfhosted,36,11,0,3,1,32,3,2,1,MERGED
awesome-selfhosted/awesome-selfhosted,2,7,146,2,1,1,0,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,3,7,53,2,1,1,1,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,6,0,0,2,1,4,1,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,4,0,0,2,1,3,0,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,8,0,42,1,1,6,1,1,0,CLOSED
awesome-selfhosted/awesome-selfhosted,8,0,0,2,1,6,1,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,6,1,0,5,1,4,1,3,2,MERGED
awesome-selfhosted/awesome-selfhosted,4,0,114,2,1,3,0,2,0,MERGED
awesome-selfhosted/awesome-selfhosted,168,0,0,4,1,102,65,2,2,MERGED
