repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
axios/axios,4,0,188,5,1,3,0,3,2,MERGED
axios/axios,27,0,320,8,1,25,1,3,5,CLOSED
axios/axios,141,0,363,4,8,124,9,2,2,MERGED
axios/axios,14,0,186,2,1,8,5,2,0,MERGED
axios/axios,201,16,594,10,6,118,77,4,6,CLOSED
axios/axios,140,454,723,29,2,90,48,7,22,CLOSED
axios/axios,17,12,357,10,2,15,0,4,6,MERGED
axios/axios,216,14,137,3,6,199,11,2,1,MERGED
axios/axios,856,5,13,4,8,680,168,2,2,MERGED
axios/axios,9,0,182,6,3,3,3,2,4,MERGED
axios/axios,67,560,0,15,3,42,22,4,11,CLOSED
axios/axios,43,10,0,3,2,38,3,2,1,CLOSED
axios/axios,5,0,218,5,1,2,2,3,2,MERGED
axios/axios,13,128,807,30,2,9,2,7,23,MERGED
axios/axios,4,0,201,5,1,3,0,3,2,MERGED
axios/axios,9,4,200,10,1,5,3,3,7,CLOSED
axios/axios,8,4,0,4,2,4,2,2,2,CLOSED
axios/axios,3,10,335,9,1,1,1,2,7,MERGED
axios/axios,4087,69,492,3,17,2204,1866,2,1,CLOSED
axios/axios,22,2,224,7,2,19,1,2,5,MERGED
axios/axios,38,219,552,32,3,28,7,16,16,MERGED
axios/axios,48,56,160,15,5,27,16,4,11,CLOSED
axios/axios,5,1,172,2,1,2,2,2,0,MERGED
axios/axios,92,84,115,12,2,70,20,2,10,CLOSED
axios/axios,4,47,0,2,1,2,1,2,0,MERGED
axios/axios,5,21,269,2,1,2,2,2,0,MERGED
axios/axios,31,19,446,2,3,22,6,2,0,MERGED
axios/axios,11,0,40,1,1,10,0,1,0,CLOSED
axios/axios,2,0,162,6,1,1,0,3,3,MERGED
axios/axios,3,0,167,2,1,2,0,2,0,MERGED
axios/axios,21,1,2301,4,5,10,6,2,2,CLOSED
axios/axios,4,24,598,3,1,2,1,2,1,CLOSED
axios/axios,84,24,270,6,7,51,26,2,4,MERGED
axios/axios,241,24,16,10,5,194,42,4,6,MERGED
axios/axios,2,0,0,2,1,1,0,2,0,MERGED
axios/axios,100,15,181,4,3,31,66,2,2,MERGED
axios/axios,7,12,98,2,1,5,1,2,0,MERGED
axios/axios,22,51,345,11,2,18,2,4,7,CLOSED
axios/axios,4,1,187,2,1,3,0,2,0,MERGED
axios/axios,75,407,161,17,4,71,0,6,11,CLOSED
axios/axios,35,0,15,2,1,33,1,2,0,MERGED
axios/axios,7,0,164,2,1,5,1,2,0,MERGED
axios/axios,86,23,0,12,3,65,18,4,8,MERGED
axios/axios,5,15,141,3,1,4,0,2,1,CLOSED
axios/axios,9,13,9,12,2,5,2,6,6,MERGED
axios/axios,46,7,253,2,2,42,2,2,0,MERGED
axios/axios,20,280,40,3,1,19,0,2,1,CLOSED
axios/axios,3,1,0,2,1,1,1,2,0,MERGED
axios/axios,63,274,291,4,2,61,0,3,1,CLOSED
axios/axios,123,19,10,6,8,115,0,4,2,MERGED
axios/axios,110,266,289,10,2,51,57,5,5,CLOSED
axios/axios,172,1,646,16,6,160,6,5,11,MERGED
axios/axios,3,0,0,5,1,1,1,3,2,MERGED
axios/axios,0,0,87,5,0,0,0,2,3,CLOSED
axios/axios,6,0,0,2,2,2,2,2,0,MERGED
axios/axios,3,0,0,2,1,1,1,2,0,MERGED
axios/axios,4,474,0,7,1,3,0,3,4,CLOSED
axios/axios,53,2,10,5,2,41,10,2,3,CLOSED
axios/axios,28,0,210,5,2,25,1,3,2,MERGED
axios/axios,233,0,0,3,6,177,50,2,1,MERGED
axios/axios,147,14,544,5,6,82,59,2,3,MERGED
axios/axios,245,275,29,9,8,210,27,1,8,CLOSED
axios/axios,6,0,48,15,2,2,2,4,11,MERGED
axios/axios,26,0,579,4,2,23,1,2,2,MERGED
axios/axios,8,70,11,11,2,4,2,4,7,MERGED
axios/axios,4,0,0,4,1,1,2,2,2,MERGED
axios/axios,35,0,56,3,2,33,0,2,1,MERGED
axios/axios,240,23,158,5,12,210,18,3,2,CLOSED
axios/axios,3,0,34,2,1,1,1,2,0,MERGED
axios/axios,3,0,34,2,1,1,1,2,0,MERGED
axios/axios,3,22,340,4,1,1,1,2,2,MERGED
axios/axios,12,26,66,29,1,11,0,11,18,MERGED
axios/axios,12,127,10,10,2,9,1,4,6,CLOSED
axios/axios,135,0,371,3,3,131,1,2,1,CLOSED
axios/axios,7,9,244,11,1,3,3,4,7,MERGED
axios/axios,3,2,299,2,1,1,1,2,0,MERGED
axios/axios,80,111,201,3,2,52,26,2,1,CLOSED
axios/axios,18,9,376,4,1,14,3,3,1,MERGED
axios/axios,6,5,10,8,1,5,0,5,3,MERGED
axios/axios,7,8,161,14,1,5,1,4,10,MERGED
axios/axios,24,2,0,3,2,21,1,2,1,MERGED
axios/axios,3,1,86,3,1,1,1,2,1,MERGED
axios/axios,47,0,42,1,4,40,3,1,0,CLOSED
axios/axios,375,15,37,8,26,208,141,2,6,CLOSED
axios/axios,342,159,28,10,1,284,57,3,7,CLOSED
axios/axios,3,0,0,4,1,1,1,2,2,MERGED
axios/axios,4,4,521,2,1,2,1,2,0,MERGED
axios/axios,5,0,0,2,1,2,2,1,1,CLOSED
axios/axios,22,1,10,7,2,15,5,2,5,MERGED
axios/axios,67,3,74,4,6,54,7,3,1,MERGED
axios/axios,5,0,28,4,1,2,2,3,1,MERGED
axios/axios,28,20,21,4,2,21,5,3,1,MERGED
axios/axios,55,10,142,4,2,44,9,2,2,CLOSED
axios/axios,5,0,0,5,1,2,2,3,2,MERGED
axios/axios,172,6,8,23,6,113,53,10,13,MERGED
axios/axios,15,8,299,8,2,4,9,3,5,MERGED
axios/axios,3,0,0,5,1,1,1,3,2,MERGED
axios/axios,6,29,68,8,1,5,0,4,4,MERGED
axios/axios,53,39,11,14,2,46,5,5,9,MERGED
axios/axios,193,4,9,8,7,169,17,5,3,MERGED
axios/axios,7,0,755,5,1,2,4,3,2,MERGED
axios/axios,8,11,344,9,2,5,1,3,6,MERGED
axios/axios,131,17,14,6,11,100,20,3,3,MERGED
axios/axios,2,3,0,4,1,1,0,3,1,MERGED
axios/axios,7,23,406,5,1,5,1,2,3,CLOSED
axios/axios,3,0,79,4,1,1,1,3,1,MERGED
axios/axios,2,0,0,4,1,1,0,3,1,MERGED
axios/axios,19,0,4,5,2,17,0,4,1,MERGED
axios/axios,30,25,139,6,2,26,2,3,3,CLOSED
axios/axios,379,200,133,9,13,340,26,5,4,CLOSED
axios/axios,9,20,127,9,1,7,1,4,5,CLOSED
axios/axios,181,0,115,13,14,126,41,6,7,MERGED
axios/axios,7,86,315,8,1,5,1,5,3,CLOSED
axios/axios,7,56,0,6,2,2,3,3,3,CLOSED
axios/axios,2,0,104,5,1,1,0,3,2,MERGED
axios/axios,117,50,121,22,3,108,6,4,18,MERGED
axios/axios,35,1,167,5,2,31,2,3,2,MERGED
axios/axios,664,3,105,5,6,315,343,3,2,MERGED
axios/axios,20,2,15,6,2,14,4,4,2,MERGED
axios/axios,3,20,168,5,1,1,1,3,2,CLOSED
axios/axios,23,1,117,7,2,20,1,3,4,MERGED
axios/axios,12,13,84,9,2,9,1,3,6,CLOSED
axios/axios,32,4,68,6,2,29,1,4,2,MERGED
axios/axios,7,3,252,4,1,4,2,3,1,MERGED
axios/axios,11,0,412,14,2,5,4,6,8,CLOSED
axios/axios,39,368,783,18,10,22,7,6,12,CLOSED
axios/axios,7,26,127,7,1,3,3,4,3,MERGED
axios/axios,527,0,10,9,9,304,214,5,4,MERGED
axios/axios,3,2,224,5,1,1,1,3,2,CLOSED
axios/axios,141,0,524,11,4,127,10,3,8,MERGED
axios/axios,3,0,0,5,1,1,1,3,2,MERGED
axios/axios,74,16,180,7,2,36,36,5,2,MERGED
axios/axios,2,6,196,4,1,1,0,3,1,MERGED
axios/axios,5,4,106,5,1,3,1,4,1,MERGED
axios/axios,16,1,26,8,2,13,1,5,3,MERGED
axios/axios,29,15,11,5,2,15,12,3,2,CLOSED
axios/axios,485,21,73,15,18,454,13,5,10,MERGED
axios/axios,7,15,170,5,2,3,2,3,2,CLOSED
axios/axios,9,178,72,13,3,5,1,4,9,MERGED
axios/axios,18,179,48,6,2,14,2,3,3,CLOSED
axios/axios,154,4,50,8,3,148,3,4,4,MERGED
axios/axios,9,302,12,6,1,4,4,3,3,CLOSED
axios/axios,3,0,148,7,1,2,0,3,4,MERGED
axios/axios,9,0,10,6,1,5,3,4,2,MERGED
axios/axios,11,14,61,7,1,5,5,3,4,CLOSED
axios/axios,38,496,16,18,2,18,18,6,12,CLOSED
axios/axios,4,6,294,4,2,1,1,3,1,MERGED
axios/axios,3,0,72,6,1,2,0,3,3,MERGED
axios/axios,23,471,389,5,1,22,0,3,2,CLOSED
axios/axios,20,18,4,23,2,17,1,4,19,CLOSED
axios/axios,55,516,569,23,3,50,2,9,14,CLOSED
axios/axios,9,137,0,6,1,5,3,4,2,MERGED
axios/axios,19,257,175,10,1,17,1,4,6,CLOSED
axios/axios,3,0,154,4,1,0,2,3,1,MERGED
axios/axios,327,636,161,45,5,298,24,16,29,CLOSED
axios/axios,61,257,101,5,3,36,22,3,2,CLOSED
axios/axios,3,2,253,3,1,1,1,2,1,CLOSED
axios/axios,3,3,157,7,1,1,1,4,3,MERGED
axios/axios,62,318,1751,29,3,27,32,10,19,CLOSED
axios/axios,14,1,308,11,2,11,1,4,7,MERGED
axios/axios,7,92,274,12,1,0,6,6,6,CLOSED
axios/axios,7,122,53,1,1,4,2,1,0,CLOSED
axios/axios,119,114,710,8,13,90,16,3,5,CLOSED
axios/axios,3,28,178,1,1,1,1,1,0,CLOSED
axios/axios,3,17,17,3,1,1,1,2,1,MERGED
axios/axios,3,13,100,3,1,1,1,2,1,MERGED
axios/axios,5,47,491,5,2,2,1,3,2,CLOSED
axios/axios,5,45,408,2,1,3,1,2,0,MERGED
axios/axios,12,1220,125,7,1,10,1,4,3,CLOSED
axios/axios,6,0,0,1,2,2,2,1,0,CLOSED
axios/axios,3,31,62,2,1,1,1,2,0,MERGED
axios/axios,6,31,0,4,2,2,2,3,1,MERGED
axios/axios,3,28,0,2,1,1,1,2,0,MERGED
axios/axios,2,27,0,2,1,1,0,2,0,MERGED
axios/axios,9,64,319,11,3,4,2,4,7,CLOSED
axios/axios,3,24,42,2,1,1,1,2,0,MERGED
axios/axios,4,393,44,8,1,3,0,3,5,CLOSED
axios/axios,23,187,430,14,3,19,1,6,8,MERGED
axios/axios,3,34,281,3,1,1,1,2,1,MERGED
axios/axios,3,15,0,2,1,1,1,2,0,MERGED
axios/axios,3,28,0,5,1,1,1,2,3,CLOSED
axios/axios,3,1,129,1,1,1,1,1,0,CLOSED
axios/axios,5,213,674,6,1,4,0,3,3,CLOSED
axios/axios,9,4,232,4,1,5,3,3,1,MERGED
axios/axios,2,3,0,2,1,1,0,2,0,MERGED
axios/axios,15,29,284,4,1,13,1,3,1,MERGED
axios/axios,3,366,85,11,1,1,1,5,6,CLOSED
axios/axios,46,20,144,7,4,40,2,4,3,MERGED
axios/axios,2,18,138,7,1,1,0,4,3,MERGED
axios/axios,8,0,0,2,1,5,2,1,1,CLOSED
axios/axios,3,4,0,4,1,1,1,3,1,MERGED
axios/axios,3,4,0,5,1,1,1,3,2,CLOSED
axios/axios,4453,5,80,7,6,4429,18,3,4,CLOSED
axios/axios,34,6,482,5,2,22,10,3,2,CLOSED
axios/axios,10,2,38,5,1,5,4,3,2,MERGED
axios/axios,5,335,0,6,1,2,2,4,2,CLOSED
axios/axios,41,0,61,8,2,39,0,4,4,MERGED
axios/axios,16,0,317,5,3,11,2,3,2,MERGED
axios/axios,3,0,283,10,1,1,1,4,6,MERGED
axios/axios,74,6,53,4,10,45,19,3,1,MERGED
axios/axios,65,1173,234,8,4,50,11,6,2,CLOSED
axios/axios,158,1134,788,12,10,74,74,4,8,CLOSED
axios/axios,15,34,208,5,3,6,6,3,2,MERGED
axios/axios,8,317,293,23,2,5,1,7,16,MERGED
axios/axios,48,105,211,10,2,44,2,4,6,MERGED
axios/axios,2,1116,42,13,1,1,0,8,5,MERGED
axios/axios,20,26,79,19,3,4,13,6,13,MERGED
axios/axios,0,8,211,10,0,0,0,3,7,CLOSED
axios/axios,3,2,200,10,1,1,1,4,6,CLOSED
axios/axios,3,2,40,5,1,1,1,3,2,CLOSED
axios/axios,6,0,212,5,1,3,2,3,2,CLOSED
axios/axios,19,0,211,7,2,17,0,4,3,MERGED
axios/axios,2,459,55,5,1,1,0,3,2,CLOSED
axios/axios,2,66,128,4,1,1,0,3,1,MERGED
axios/axios,21,227,311,11,2,17,2,4,7,CLOSED
axios/axios,35,64,47,10,3,25,7,5,5,MERGED
axios/axios,3,1,172,3,1,1,1,2,1,CLOSED
