repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
codecrafters-io/build-your-own-x,26,0,236,5,1,22,3,2,3,CLOSED
codecrafters-io/build-your-own-x,3,0,0,3,1,1,1,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,2,0,193,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,1,0,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,3,0,0,3,1,1,1,2,1,MERGED
codecrafters-io/build-your-own-x,6,0,0,3,1,3,2,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,46,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,376,0,0,1,1,191,184,1,0,MERGED
codecrafters-io/build-your-own-x,2,0,410,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,3,0,236,3,1,2,0,2,1,CLOSED
codecrafters-io/build-your-own-x,2,0,48,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,24,0,50,3,1,11,12,2,1,MERGED
codecrafters-io/build-your-own-x,20,0,0,3,1,19,0,2,1,MERGED
codecrafters-io/build-your-own-x,3,0,101,3,1,2,0,2,1,CLOSED
codecrafters-io/build-your-own-x,2,0,101,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,3,0,103,3,1,1,1,2,1,MERGED
codecrafters-io/build-your-own-x,4,0,219,3,2,1,1,2,1,CLOSED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,14,0,1256,3,1,11,2,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,74,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,87,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,4,0,19,3,1,2,1,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,4,1,1,0,3,1,MERGED
codecrafters-io/build-your-own-x,2,0,103,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,7,0,60,3,1,6,0,2,1,MERGED
codecrafters-io/build-your-own-x,5,0,191,3,1,2,2,2,1,MERGED
codecrafters-io/build-your-own-x,13,0,23,3,1,6,6,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,2,0,61,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,2,0,0,5,1,1,0,2,3,CLOSED
codecrafters-io/build-your-own-x,2,0,0,2,1,1,0,2,0,CLOSED
codecrafters-io/build-your-own-x,3,0,148,3,1,1,1,2,1,MERGED
codecrafters-io/build-your-own-x,3,0,0,3,1,1,1,2,1,MERGED
codecrafters-io/build-your-own-x,11,0,104,4,1,9,1,3,1,MERGED
codecrafters-io/build-your-own-x,2,1,70,4,1,1,0,2,2,CLOSED
codecrafters-io/build-your-own-x,2,1,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,3,0,17,3,1,1,1,2,1,MERGED
codecrafters-io/build-your-own-x,2,1,282,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,2,1,277,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,1,41,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,3,0,49,3,1,1,1,2,1,MERGED
codecrafters-io/build-your-own-x,3,5,244,4,1,2,0,3,1,CLOSED
codecrafters-io/build-your-own-x,2,1,0,6,1,1,0,3,3,MERGED
codecrafters-io/build-your-own-x,2,7,0,4,1,1,0,3,1,MERGED
codecrafters-io/build-your-own-x,3,0,161,3,1,1,1,2,1,MERGED
codecrafters-io/build-your-own-x,2,15,86,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,2,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,2,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,16,24,36,3,1,9,6,2,1,MERGED
codecrafters-io/build-your-own-x,2,8,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,1,45,3,1,0,1,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,8,141,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,2,7,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,6,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,6,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,6,0,3,1,1,0,2,1,CLOSED
codecrafters-io/build-your-own-x,3,0,0,3,1,2,0,2,1,MERGED
codecrafters-io/build-your-own-x,6,0,0,2,1,5,0,1,1,CLOSED
codecrafters-io/build-your-own-x,2,34,0,2,1,1,0,2,0,MERGED
codecrafters-io/build-your-own-x,2,1,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,25,168,1,1,0,1,1,0,MERGED
codecrafters-io/build-your-own-x,62,0,0,1,3,59,0,1,0,CLOSED
codecrafters-io/build-your-own-x,2,0,0,1,1,1,0,1,0,CLOSED
codecrafters-io/build-your-own-x,2,2,39,4,1,1,0,2,2,CLOSED
codecrafters-io/build-your-own-x,1,1,0,3,1,0,0,2,1,MERGED
codecrafters-io/build-your-own-x,3,25,0,2,1,1,1,2,0,MERGED
codecrafters-io/build-your-own-x,3,21,93,2,1,1,1,2,0,MERGED
codecrafters-io/build-your-own-x,3,0,0,6,1,1,1,3,3,MERGED
codecrafters-io/build-your-own-x,2,6,89,3,1,0,1,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,45,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,2,1,1,0,2,0,OPEN
codecrafters-io/build-your-own-x,2,84,0,3,1,1,0,2,1,MERGED
codecrafters-io/build-your-own-x,2,0,0,2,1,1,0,2,0,OPEN
codecrafters-io/build-your-own-x,2,193,0,4,1,1,0,3,1,CLOSED
