repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
d3/d3,328,0,250,4,6,311,11,2,2,MERGED
d3/d3,75,0,80,3,3,31,41,2,1,MERGED
d3/d3,3,0,66,3,1,2,0,2,1,CLOSED
d3/d3,3,0,0,2,1,1,1,1,1,MERGED
d3/d3,121,0,0,1,4,62,55,1,0,MERGED
d3/d3,26,1,316,13,3,19,4,2,11,MERGED
d3/d3,256,88,352,11,7,248,1,2,9,MERGED
d3/d3,19,100,172,5,3,12,4,2,3,CLOSED
d3/d3,29,0,561,5,6,18,5,2,3,MERGED
d3/d3,100,0,0,5,5,42,53,2,3,MERGED
d3/d3,62,5,0,6,6,48,8,2,4,MERGED
d3/d3,3,0,0,4,1,1,1,2,2,MERGED
d3/d3,2,0,128,3,1,1,0,2,1,MERGED
d3/d3,5845,11,241,3,96,5114,635,2,1,MERGED
d3/d3,63,1,298,8,1,59,3,3,5,MERGED
d3/d3,11,0,98,3,1,5,5,2,1,MERGED
d3/d3,19,0,72,2,1,6,12,2,0,MERGED
d3/d3,20,3,191,36,1,14,5,2,34,CLOSED
d3/d3,11,0,120,5,3,7,1,2,3,CLOSED
d3/d3,3,0,0,2,1,0,2,2,0,MERGED
d3/d3,809,0,133,4,9,799,1,2,2,MERGED
d3/d3,96,3,280,6,11,79,6,2,4,MERGED
d3/d3,768,2,450,4,9,758,1,2,2,MERGED
d3/d3,704,2,164,12,12,690,2,2,10,MERGED
d3/d3,98,0,183,4,1,93,4,2,2,MERGED
d3/d3,91,1,122,6,7,78,6,2,4,CLOSED
d3/d3,731,0,25,10,15,687,29,2,8,MERGED
d3/d3,354,23,294,7,32,162,160,4,3,MERGED
d3/d3,10,0,75,3,2,4,4,2,1,MERGED
d3/d3,723,5,207,3,8,714,1,2,1,MERGED
d3/d3,333,3,390,6,6,234,93,2,4,MERGED
d3/d3,51,10,617,6,7,37,7,2,4,MERGED
d3/d3,132,1,450,5,3,129,0,2,3,MERGED
d3/d3,112,0,0,2,3,109,0,2,0,MERGED
d3/d3,798,20,146,9,16,713,69,2,7,MERGED
d3/d3,40,1,0,3,20,20,0,2,1,MERGED
d3/d3,90,5,37,6,4,78,8,2,4,MERGED
d3/d3,53,4,256,8,3,38,12,2,6,MERGED
d3/d3,36,4,253,9,6,24,6,3,6,MERGED
d3/d3,179,2,153,6,7,166,6,2,4,MERGED
d3/d3,253,3,304,6,10,183,60,2,4,MERGED
d3/d3,17,2,126,3,3,8,6,2,1,MERGED
d3/d3,299,290,321,6,6,189,104,3,3,CLOSED
d3/d3,321,61,261,13,16,277,28,3,10,MERGED
d3/d3,80,1,315,7,5,49,26,2,5,MERGED
d3/d3,173,57,114,5,3,163,7,2,3,MERGED
d3/d3,120,162,358,5,5,83,32,2,3,CLOSED
d3/d3,429,2,191,8,9,396,24,2,6,MERGED
d3/d3,577,9,74,6,9,488,80,2,4,MERGED
d3/d3,281,47,142,5,9,170,102,2,3,MERGED
d3/d3,471,158,71,6,7,463,1,2,4,CLOSED
d3/d3,29,3,0,3,3,21,5,2,1,CLOSED
d3/d3,77,3,99,7,6,69,2,2,5,MERGED
d3/d3,22,3,88,4,6,8,8,2,2,MERGED
d3/d3,125,0,18,3,9,98,18,2,1,MERGED
d3/d3,81,0,58,2,3,51,27,2,0,MERGED
d3/d3,1055,150,0,15,26,1006,23,2,13,CLOSED
d3/d3,18,383,916,4,1,11,6,2,2,CLOSED
d3/d3,708,146,76,12,7,584,117,4,8,CLOSED
d3/d3,722,0,226,5,10,376,336,2,3,CLOSED
d3/d3,21,146,165,7,1,19,1,3,4,CLOSED
d3/d3,1196,145,520,22,18,839,339,2,20,CLOSED
d3/d3,608,144,157,8,9,389,210,2,6,CLOSED
d3/d3,202,4,124,7,13,187,2,2,5,MERGED
d3/d3,498,4,374,10,7,357,134,2,8,CLOSED
d3/d3,117,82,139,22,3,88,26,3,19,CLOSED
d3/d3,409,0,277,4,7,380,22,2,2,CLOSED
d3/d3,27,0,216,1,3,12,12,1,0,MERGED
d3/d3,252,0,178,1,9,170,73,1,0,MERGED
d3/d3,1254,138,0,10,11,1243,0,3,7,CLOSED
d3/d3,23,72,453,8,3,12,8,2,6,CLOSED
d3/d3,723,0,718,5,8,238,477,2,3,MERGED
d3/d3,3,0,268,3,1,1,1,2,1,MERGED
d3/d3,27,0,509,3,7,10,10,2,1,CLOSED
d3/d3,168,1,69,3,10,122,36,2,1,MERGED
d3/d3,12,1,223,2,1,9,2,2,0,MERGED
d3/d3,56,6,135,6,5,41,10,2,4,CLOSED
d3/d3,752,6,125,20,19,720,13,3,17,CLOSED
d3/d3,122,6,34,8,10,94,18,2,6,CLOSED
d3/d3,9,131,482,9,3,3,3,3,6,CLOSED
d3/d3,3,0,261,4,1,1,1,2,2,MERGED
d3/d3,6,4,114,3,2,2,2,2,1,MERGED
d3/d3,9,0,132,3,3,3,3,2,1,MERGED
d3/d3,15,1,211,3,1,7,7,2,1,MERGED
d3/d3,298,0,245,18,12,271,15,2,16,MERGED
d3/d3,234,42,172,3,2,232,0,2,1,CLOSED
d3/d3,14,5,142,2,2,12,0,2,0,MERGED
d3/d3,2,4,0,3,1,1,0,2,1,MERGED
d3/d3,21,4,11,3,3,11,7,2,1,MERGED
d3/d3,25,2,619,3,3,17,5,2,1,MERGED
d3/d3,3,2,76,3,1,1,1,2,1,MERGED
d3/d3,11,0,43,3,3,4,4,2,1,MERGED
d3/d3,13,0,0,8,3,5,5,2,6,MERGED
d3/d3,304,1,567,8,9,270,25,2,6,MERGED
d3/d3,61,38,473,31,5,49,7,7,24,CLOSED
d3/d3,49,5,255,5,2,44,3,2,3,CLOSED
d3/d3,11,4,269,3,3,5,3,2,1,MERGED
d3/d3,3,12,0,4,1,1,1,2,2,MERGED
d3/d3,14,0,686,5,1,13,0,2,3,CLOSED
d3/d3,11,4,186,2,3,5,3,2,0,MERGED
d3/d3,19,0,71,3,3,7,9,2,1,MERGED
d3/d3,2,0,59,3,1,1,0,2,1,MERGED
d3/d3,9,0,0,1,3,3,3,1,0,MERGED
d3/d3,6,2,0,2,2,2,2,2,0,MERGED
d3/d3,458,1,307,10,14,269,175,2,8,MERGED
d3/d3,25,0,0,5,3,11,11,2,3,MERGED
d3/d3,55,0,164,2,4,44,7,2,0,MERGED
d3/d3,47,25,0,4,3,39,5,2,2,MERGED
d3/d3,43,0,118,4,10,24,9,2,2,MERGED
d3/d3,73,0,198,6,5,34,34,2,4,CLOSED
d3/d3,16,0,0,3,4,8,4,2,1,MERGED
d3/d3,44,0,19,4,4,35,5,2,2,MERGED
d3/d3,3,0,60,2,1,1,1,2,0,MERGED
d3/d3,297,2,20,4,8,280,9,2,2,MERGED
d3/d3,368,0,272,5,7,223,138,2,3,CLOSED
d3/d3,232,1,387,6,5,226,1,2,4,MERGED
d3/d3,735,346,304,33,15,512,208,9,24,CLOSED
d3/d3,5,0,238,2,1,2,2,2,0,MERGED
d3/d3,24,0,9,3,4,10,10,2,1,MERGED
d3/d3,122,15,44,5,4,91,27,2,3,MERGED
d3/d3,168,10,116,9,8,138,22,2,7,MERGED
d3/d3,814,0,0,2,6,805,3,2,0,MERGED
d3/d3,738,17,108,36,14,607,117,2,34,MERGED
d3/d3,103,6,521,4,4,92,7,2,2,CLOSED
d3/d3,73,44,409,9,8,51,14,3,6,CLOSED
d3/d3,38,3,172,9,1,24,13,2,7,MERGED
d3/d3,27,2,73,3,1,26,0,2,1,MERGED
d3/d3,21,0,175,2,1,11,9,1,1,CLOSED
d3/d3,26,1,88,3,1,20,5,2,1,MERGED
d3/d3,11,8,491,8,3,4,4,2,6,MERGED
d3/d3,251,46,409,21,5,198,48,2,19,CLOSED
d3/d3,4,6,153,3,2,2,0,2,1,MERGED
d3/d3,144,20,593,3,4,130,10,2,1,MERGED
d3/d3,89,5,288,2,4,64,21,2,0,MERGED
d3/d3,7,5,70,1,3,3,1,1,0,MERGED
d3/d3,48,36,452,7,4,36,8,2,5,CLOSED
d3/d3,40,4,546,8,4,26,10,2,6,MERGED
d3/d3,11,2,225,3,2,5,4,2,1,MERGED
d3/d3,347,1,165,9,6,340,1,2,7,MERGED
d3/d3,15,1,127,2,1,6,8,2,0,MERGED
d3/d3,134,0,1670,3,8,63,63,2,1,CLOSED
d3/d3,1381,373,667,24,22,899,460,2,22,CLOSED
d3/d3,491,15,53,6,9,312,170,2,4,CLOSED
d3/d3,433,30,490,3,3,430,0,2,1,CLOSED
d3/d3,61,8,11,3,4,53,4,2,1,MERGED
d3/d3,25,0,42,2,1,22,2,2,0,MERGED
d3/d3,5,0,30,3,1,4,0,2,1,MERGED
d3/d3,60,143,113,11,2,56,2,2,9,CLOSED
d3/d3,4,25,185,9,1,2,1,2,7,CLOSED
d3/d3,30,2,481,5,1,13,16,2,3,MERGED
d3/d3,230,366,453,22,10,198,22,3,19,CLOSED
d3/d3,137,1,135,7,7,96,34,2,5,MERGED
d3/d3,69,3,53,4,5,62,2,2,2,MERGED
d3/d3,19,0,489,4,6,7,6,2,2,MERGED
d3/d3,67,2,663,3,4,60,3,2,1,MERGED
d3/d3,33,0,20,3,7,20,6,2,1,MERGED
d3/d3,40,6,166,3,10,15,15,2,1,MERGED
d3/d3,351,10,281,6,19,272,60,3,3,CLOSED
d3/d3,2568,15,236,20,44,2132,392,6,14,CLOSED
d3/d3,3,0,0,2,1,1,1,2,0,MERGED
d3/d3,34,4,136,5,4,16,14,2,3,CLOSED
d3/d3,332,1,975,2,6,163,163,2,0,CLOSED
d3/d3,3,0,0,2,1,1,1,2,0,MERGED
d3/d3,51,0,111,3,4,41,6,2,1,MERGED
d3/d3,16,0,34,4,4,8,4,2,2,CLOSED
d3/d3,43,227,112,3,1,39,3,2,1,CLOSED
d3/d3,13,17,380,7,3,6,4,3,4,CLOSED
d3/d3,27,0,226,2,5,11,11,2,0,MERGED
d3/d3,285,12,78,10,10,193,82,3,7,MERGED
d3/d3,26,47,195,5,1,25,0,2,3,CLOSED
d3/d3,31,1,76,10,3,22,6,2,8,CLOSED
d3/d3,131,0,324,3,4,115,12,2,1,MERGED
d3/d3,1138,6,69,4,102,518,518,2,2,MERGED
d3/d3,21,2,88,4,4,15,2,2,2,CLOSED
d3/d3,24,17,317,4,2,15,7,2,2,MERGED
d3/d3,21,17,111,3,5,13,3,2,1,MERGED
d3/d3,56,17,11,3,4,37,15,2,1,MERGED
d3/d3,21,16,0,3,5,12,4,2,1,MERGED
d3/d3,65,15,119,6,6,46,13,2,4,MERGED
d3/d3,14,1,602,9,2,8,4,3,6,MERGED
d3/d3,33,3,694,3,3,30,0,2,1,CLOSED
