repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
denoland/deno,3,0,0,2,1,1,1,2,0,MERGED
denoland/deno,3,0,0,2,1,1,1,2,0,MERGED
denoland/deno,178,1,0,6,10,141,27,3,3,MERGED
denoland/deno,4,0,0,2,1,1,2,2,0,MERGED
denoland/deno,62,24,0,10,5,53,4,5,5,CLOSED
denoland/deno,81,3,542,16,4,5,72,6,10,MERGED
denoland/deno,210,0,565,4,3,205,2,2,2,CLOSED
denoland/deno,3,0,0,2,1,1,1,2,0,MERGED
denoland/deno,28,2,80,6,2,26,0,5,1,CLOSED
denoland/deno,3,0,26,3,1,1,1,3,0,MERGED
denoland/deno,28,0,122,6,1,17,10,4,2,CLOSED
denoland/deno,3,0,0,5,1,1,1,3,2,MERGED
denoland/deno,59,0,199,11,3,27,29,5,6,MERGED
denoland/deno,1,0,115,6,1,0,0,4,2,MERGED
denoland/deno,72,0,224,5,1,37,34,4,1,MERGED
denoland/deno,181,21,4561,12,5,140,36,5,7,CLOSED
denoland/deno,2,0,32,3,1,1,0,2,1,CLOSED
denoland/deno,2,0,32,12,1,1,0,4,8,CLOSED
denoland/deno,12,2,126,5,2,5,5,4,1,MERGED
denoland/deno,3,0,0,6,1,1,1,4,2,MERGED
denoland/deno,18,0,52,3,1,9,8,2,1,CLOSED
denoland/deno,18,0,12,2,1,9,8,2,0,MERGED
denoland/deno,4,0,64,1,1,1,2,1,0,CLOSED
denoland/deno,11,2,159,3,3,4,4,3,0,MERGED
denoland/deno,4,0,0,3,1,1,2,2,1,MERGED
denoland/deno,3,0,81,6,1,2,0,4,2,CLOSED
denoland/deno,4,2,68,5,2,2,0,3,2,CLOSED
denoland/deno,50,0,0,4,1,49,0,2,2,CLOSED
denoland/deno,7,2,0,5,1,6,0,3,2,CLOSED
denoland/deno,79,20,0,8,7,68,4,5,3,CLOSED
denoland/deno,5,2,79,8,1,2,2,5,3,MERGED
denoland/deno,0,3,48,6,0,0,0,4,2,CLOSED
denoland/deno,145,2,41,8,1,82,62,4,4,CLOSED
denoland/deno,21,2,68,16,2,19,0,6,10,MERGED
denoland/deno,101,1,0,6,3,65,33,3,3,CLOSED
denoland/deno,2,1,13,3,1,1,0,2,1,MERGED
denoland/deno,16,1,227,9,1,11,4,6,3,MERGED
denoland/deno,5,1,44,6,1,1,3,4,2,MERGED
denoland/deno,0,0,0,1,0,0,0,1,0,CLOSED
denoland/deno,30,0,44,1,1,20,9,1,0,CLOSED
denoland/deno,5,0,730,6,1,2,2,2,4,CLOSED
denoland/deno,3,0,111,5,1,1,1,3,2,CLOSED
denoland/deno,103,3,2581,7,13,80,10,2,5,CLOSED
denoland/deno,9,0,67,3,1,7,1,2,1,CLOSED
denoland/deno,28,0,256,7,1,13,14,4,3,CLOSED
denoland/deno,23,0,54,6,2,11,10,5,1,MERGED
denoland/deno,51,0,107,1,5,23,23,1,0,CLOSED
denoland/deno,33,0,107,2,4,14,15,2,0,MERGED
denoland/deno,42,0,178,3,5,22,15,2,1,CLOSED
denoland/deno,32,0,0,2,3,8,21,2,0,MERGED
denoland/deno,3,0,144,3,1,1,1,2,1,CLOSED
denoland/deno,234,6,272,9,4,197,33,3,6,CLOSED
denoland/deno,3,3,27,8,1,1,1,4,4,CLOSED
denoland/deno,12,6,101,9,3,5,4,6,3,MERGED
denoland/deno,3,3,31,4,1,1,1,3,1,MERGED
denoland/deno,17,2,205,6,4,12,1,3,3,CLOSED
denoland/deno,3,0,1,6,1,1,1,3,3,CLOSED
denoland/deno,78,17,158,8,1,77,0,4,4,CLOSED
denoland/deno,3,0,0,5,1,1,1,3,2,CLOSED
denoland/deno,144,17,160,4,8,132,4,3,1,CLOSED
denoland/deno,110,17,390,6,4,62,44,3,3,CLOSED
denoland/deno,20,22,55,3,1,13,6,2,1,CLOSED
denoland/deno,12,5,147,6,1,8,3,4,2,MERGED
denoland/deno,11,15,70,7,1,5,5,4,3,CLOSED
denoland/deno,46,1,46,5,1,35,10,4,1,CLOSED
denoland/deno,3,1,0,7,1,1,1,4,3,CLOSED
denoland/deno,7,1,88,7,1,6,0,5,2,CLOSED
denoland/deno,3,0,22,5,1,1,1,3,2,CLOSED
denoland/deno,3,0,0,6,1,1,1,4,2,CLOSED
denoland/deno,28,1,90,5,1,14,13,3,2,MERGED
denoland/deno,3,0,11,3,1,1,1,2,1,CLOSED
denoland/deno,20,3,129,21,4,8,8,10,11,MERGED
denoland/deno,3,0,0,6,1,1,1,3,3,CLOSED
denoland/deno,3,4,47,8,1,2,0,4,4,CLOSED
denoland/deno,26,0,0,3,2,12,12,2,1,CLOSED
denoland/deno,3,0,28,6,1,1,1,3,3,CLOSED
denoland/deno,57,20,0,17,7,49,1,4,13,CLOSED
denoland/deno,2,0,0,7,1,1,0,4,3,CLOSED
denoland/deno,145,21,410,5,3,129,13,4,1,CLOSED
denoland/deno,42,2,413,4,1,32,9,2,2,MERGED
denoland/deno,3,0,4,8,1,1,1,4,4,CLOSED
denoland/deno,3,0,0,5,1,1,1,3,2,CLOSED
denoland/deno,83,19,507,2,7,69,7,1,1,CLOSED
denoland/deno,3,0,0,6,1,1,1,3,3,CLOSED
denoland/deno,4,0,0,4,1,1,2,2,2,CLOSED
denoland/deno,3,0,15,7,1,1,1,4,3,CLOSED
denoland/deno,387,15,796,18,12,374,1,5,13,CLOSED
denoland/deno,5,0,24,6,1,2,2,5,1,MERGED
denoland/deno,2,0,52,4,1,1,0,3,1,MERGED
denoland/deno,4,0,18,3,1,1,2,2,1,CLOSED
denoland/deno,4,0,30,3,1,1,2,2,1,CLOSED
denoland/deno,4,0,30,8,1,1,2,4,4,CLOSED
denoland/deno,17,19,139,5,2,7,8,4,1,CLOSED
denoland/deno,13,0,450,3,1,12,0,2,1,CLOSED
denoland/deno,3,1,659,3,1,1,1,2,1,CLOSED
denoland/deno,35,12,909,4,6,27,2,2,2,CLOSED
denoland/deno,25,12,214,9,3,20,2,4,5,CLOSED
denoland/deno,465,12,88,10,10,454,1,5,5,CLOSED
denoland/deno,0,0,85,3,0,0,0,2,1,CLOSED
denoland/deno,6,0,86,4,1,5,0,2,2,CLOSED
denoland/deno,2,0,179,12,1,1,0,4,8,CLOSED
