repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
donnemartin/system-design-primer,814,0,0,1,8,403,403,1,0,MERGED
donnemartin/system-design-primer,5,0,0,1,1,2,2,1,0,MERGED
donnemartin/system-design-primer,3,0,0,7,1,2,0,3,4,MERGED
donnemartin/system-design-primer,5,0,78,3,1,2,2,2,1,MERGED
donnemartin/system-design-primer,3,0,0,3,1,1,1,2,1,MERGED
donnemartin/system-design-primer,3,0,3,3,1,1,1,2,1,MERGED
donnemartin/system-design-primer,17,0,0,4,1,8,8,3,1,MERGED
donnemartin/system-design-primer,3,0,67,4,1,1,1,2,2,MERGED
donnemartin/system-design-primer,2,1,0,5,1,1,0,2,3,CLOSED
donnemartin/system-design-primer,7,0,0,1,1,3,3,1,0,MERGED
donnemartin/system-design-primer,17,0,0,1,1,8,8,1,0,MERGED
donnemartin/system-design-primer,5,0,0,1,1,2,2,1,0,MERGED
donnemartin/system-design-primer,2,0,0,3,1,1,0,2,1,MERGED
donnemartin/system-design-primer,78,2,224,4,8,35,35,2,2,MERGED
donnemartin/system-design-primer,9,0,0,3,3,3,3,2,1,MERGED
donnemartin/system-design-primer,3,1,35,3,1,1,1,2,1,MERGED
donnemartin/system-design-primer,2,1,212,3,1,1,0,2,1,MERGED
donnemartin/system-design-primer,3,0,0,4,1,1,1,3,1,MERGED
donnemartin/system-design-primer,5,0,0,1,1,4,0,1,0,MERGED
donnemartin/system-design-primer,5,0,0,3,1,2,2,2,1,MERGED
donnemartin/system-design-primer,6,2,81,7,1,4,1,3,4,CLOSED
donnemartin/system-design-primer,3,3,134,4,1,2,0,2,2,MERGED
donnemartin/system-design-primer,3,1,0,6,1,1,1,5,1,MERGED
donnemartin/system-design-primer,30,0,0,1,1,29,0,1,0,MERGED
donnemartin/system-design-primer,1774,0,0,2,1,1773,0,2,0,CLOSED
donnemartin/system-design-primer,22,0,130,1,1,11,10,1,0,MERGED
donnemartin/system-design-primer,18,0,436,2,18,0,0,2,0,MERGED
donnemartin/system-design-primer,14,0,0,1,1,13,0,1,0,MERGED
donnemartin/system-design-primer,3,0,287,3,1,1,1,2,1,MERGED
donnemartin/system-design-primer,3,0,16,2,1,1,1,1,1,CLOSED
donnemartin/system-design-primer,5,0,70,4,1,2,2,3,1,OPEN
