repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
electron/electron,1114,5,59,1,29,678,407,1,0,MERGED
electron/electron,1365,0,112,3,21,1344,0,2,1,MERGED
electron/electron,8,0,0,3,1,6,1,2,1,MERGED
electron/electron,1233,11,283,21,25,1184,24,4,17,MERGED
electron/electron,17,104,142,13,4,11,2,3,10,CLOSED
electron/electron,6,0,12,1,2,2,2,1,0,MERGED
electron/electron,445,0,189,12,18,308,119,3,9,MERGED
electron/electron,6,0,182,3,1,4,1,2,1,MERGED
electron/electron,248,2,277,7,7,188,53,2,5,MERGED
electron/electron,47,0,39,2,4,35,8,2,0,MERGED
electron/electron,594,3,239,3,16,568,10,2,1,MERGED
electron/electron,318,0,87,14,8,242,68,4,10,MERGED
electron/electron,2,0,76,1,1,1,0,1,0,MERGED
electron/electron,382,5,147,5,1,165,216,2,3,MERGED
electron/electron,30,0,136,1,4,26,0,1,0,MERGED
electron/electron,1449,4,279,1,38,999,412,1,0,MERGED
electron/electron,223,0,97,10,6,196,21,3,7,MERGED
electron/electron,128,0,54,1,14,85,29,1,0,MERGED
electron/electron,769,4,219,1,21,539,209,1,0,MERGED
electron/electron,211,0,0,6,2,140,69,2,4,MERGED
electron/electron,13,0,219,13,1,12,0,3,10,MERGED
electron/electron,2204,14,530,5,45,1959,200,2,3,MERGED
electron/electron,7,0,189,4,1,0,6,2,2,MERGED
electron/electron,135,0,11,3,8,121,6,2,1,MERGED
electron/electron,48,0,24,3,4,35,9,2,1,MERGED
electron/electron,91,0,83,1,7,62,22,1,0,MERGED
electron/electron,222,0,184,1,13,192,17,1,0,MERGED
electron/electron,250,0,352,1,21,135,94,1,0,MERGED
electron/electron,3196,17,596,12,128,1489,1579,4,8,MERGED
electron/electron,8,0,49,3,2,3,3,2,1,MERGED
electron/electron,77,0,11,1,6,43,28,1,0,MERGED
electron/electron,150,0,0,1,2,111,37,1,0,MERGED
electron/electron,2538,51,152,2,44,2456,38,1,1,MERGED
electron/electron,273,0,102,1,18,222,33,1,0,MERGED
electron/electron,112,0,11,1,9,96,7,1,0,MERGED
electron/electron,49,0,223,1,6,34,9,1,0,MERGED
electron/electron,405,12,704,31,12,157,236,6,25,MERGED
electron/electron,91,0,492,1,19,32,40,1,0,MERGED
electron/electron,223,0,110,1,13,197,13,1,0,MERGED
electron/electron,24,0,60,5,6,10,8,2,3,MERGED
electron/electron,43,0,11,1,6,31,6,1,0,MERGED
electron/electron,164,0,0,1,8,154,2,1,0,MERGED
electron/electron,4624,0,136,1,12,4569,43,1,0,MERGED
electron/electron,112,0,11,1,5,70,37,1,0,MERGED
electron/electron,93,0,175,1,6,80,7,1,0,MERGED
electron/electron,16,0,87,2,2,9,5,1,1,MERGED
electron/electron,210,0,0,1,6,167,37,1,0,MERGED
electron/electron,71,0,11,3,6,51,14,2,1,MERGED
electron/electron,66,0,11,1,4,48,14,1,0,MERGED
electron/electron,39,0,686,7,4,25,10,4,3,MERGED
electron/electron,235,0,0,1,5,227,3,1,0,MERGED
electron/electron,199,0,0,1,3,183,13,1,0,MERGED
electron/electron,1458,0,0,1,16,1367,75,1,0,MERGED
electron/electron,47,0,146,1,5,33,9,1,0,MERGED
electron/electron,1660,0,403,1,222,780,658,1,0,MERGED
electron/electron,383,0,11,1,18,319,46,1,0,MERGED
electron/electron,5442,0,1238,3,90,2121,3231,2,1,MERGED
electron/electron,6,0,21,1,2,2,2,1,0,MERGED
electron/electron,1440,0,232,1,30,589,821,1,0,MERGED
electron/electron,908,10,112,6,192,431,285,3,3,MERGED
electron/electron,40,0,56,4,4,10,26,2,2,MERGED
electron/electron,4,0,160,5,1,2,1,2,3,MERGED
electron/electron,432,0,0,2,7,247,178,2,0,MERGED
electron/electron,185,0,209,3,5,134,46,2,1,MERGED
electron/electron,3,0,395,8,1,1,1,3,5,MERGED
electron/electron,3,0,0,3,1,1,1,2,1,CLOSED
electron/electron,5,0,0,4,1,2,2,2,2,MERGED
electron/electron,3,0,18,3,1,1,1,2,1,MERGED
electron/electron,5,0,0,3,1,2,2,2,1,MERGED
electron/electron,108,0,60,3,6,51,51,2,1,MERGED
electron/electron,51,0,0,3,9,21,21,2,1,MERGED
electron/electron,3,0,17,2,1,1,1,2,0,MERGED
electron/electron,3,0,0,3,1,1,1,2,1,MERGED
electron/electron,11,0,411,3,1,5,5,2,1,MERGED
electron/electron,3,0,190,3,1,1,1,2,1,MERGED
electron/electron,3,0,0,3,1,1,1,2,1,MERGED
electron/electron,25,0,21,1,1,16,8,1,0,MERGED
electron/electron,19,0,52,2,1,9,9,2,0,MERGED
electron/electron,15,0,66,2,1,7,7,2,0,MERGED
electron/electron,104,0,137,3,1,51,52,2,1,MERGED
