repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
facebook/create-react-app,2,0,0,1,1,1,0,1,0,CLOSED
facebook/create-react-app,3,0,0,2,1,1,1,2,0,MERGED
facebook/create-react-app,30,0,311,7,5,22,3,4,3,MERGED
facebook/create-react-app,11,0,0,5,2,3,6,2,3,MERGED
facebook/create-react-app,15,0,262,6,1,13,1,3,3,MERGED
facebook/create-react-app,10,0,0,6,4,4,2,2,4,MERGED
facebook/create-react-app,3,0,190,11,1,1,1,3,8,MERGED
facebook/create-react-app,214,0,190,4,7,113,94,3,1,MERGED
facebook/create-react-app,14,0,101,1,1,10,3,1,0,MERGED
facebook/create-react-app,37,0,189,3,7,15,15,2,1,MERGED
facebook/create-react-app,41,0,577,4,4,26,11,3,1,MERGED
facebook/create-react-app,345,0,46,11,9,311,25,3,8,MERGED
facebook/create-react-app,125,1,9,17,9,76,40,3,14,MERGED
facebook/create-react-app,75,0,362,9,5,61,9,5,4,MERGED
facebook/create-react-app,36,0,9,2,4,25,7,2,0,MERGED
facebook/create-react-app,24,0,0,1,2,19,3,1,0,MERGED
facebook/create-react-app,3643,0,32,5,2,3639,2,2,3,CLOSED
facebook/create-react-app,31,0,95,13,1,28,2,4,9,MERGED
facebook/create-react-app,8,0,508,3,2,5,1,2,1,MERGED
facebook/create-react-app,16,0,162,4,4,12,0,2,2,MERGED
facebook/create-react-app,5,0,919,6,1,2,2,3,3,MERGED
facebook/create-react-app,70,0,394,13,4,41,25,4,9,CLOSED
facebook/create-react-app,11,0,210,1,1,10,0,1,0,MERGED
facebook/create-react-app,14,0,36,3,2,9,3,2,1,MERGED
facebook/create-react-app,438,0,733,2,6,221,211,1,1,MERGED
facebook/create-react-app,58,0,209,4,4,37,17,2,2,MERGED
facebook/create-react-app,33,1,41,22,3,24,6,4,18,CLOSED
facebook/create-react-app,47,0,48,3,7,25,15,2,1,MERGED
facebook/create-react-app,3,0,81,1,1,1,1,1,0,MERGED
facebook/create-react-app,142,0,71,1,7,80,55,1,0,MERGED
facebook/create-react-app,3,0,0,5,1,1,1,3,2,CLOSED
facebook/create-react-app,85,0,9,9,3,77,5,3,6,MERGED
facebook/create-react-app,3,0,0,3,1,1,1,2,1,MERGED
facebook/create-react-app,7,0,97,3,1,3,3,2,1,MERGED
facebook/create-react-app,144,11,791,13,3,119,22,4,9,CLOSED
facebook/create-react-app,15,0,147,4,3,11,1,3,1,MERGED
facebook/create-react-app,5,0,81,4,3,2,0,3,1,MERGED
facebook/create-react-app,91,0,0,2,1,63,27,2,0,MERGED
facebook/create-react-app,27,0,454,12,2,4,21,4,8,MERGED
facebook/create-react-app,3,0,73,8,1,1,1,3,5,MERGED
facebook/create-react-app,9,0,0,2,1,6,2,1,1,CLOSED
facebook/create-react-app,6,0,158,6,1,3,2,3,3,MERGED
facebook/create-react-app,13,0,86,19,2,11,0,5,14,MERGED
facebook/create-react-app,2,0,169,6,1,1,0,2,4,MERGED
facebook/create-react-app,2,0,427,6,1,1,0,3,3,MERGED
facebook/create-react-app,2,0,217,7,1,1,0,3,4,MERGED
facebook/create-react-app,8,0,22,8,2,6,0,3,5,MERGED
facebook/create-react-app,45,2,100,26,3,34,8,6,20,MERGED
facebook/create-react-app,6,0,423,9,1,4,1,3,6,CLOSED
facebook/create-react-app,44,1,634,6,3,25,16,3,3,CLOSED
facebook/create-react-app,201,4,32,40,4,119,78,11,29,CLOSED
facebook/create-react-app,6,0,28,14,2,2,2,4,10,MERGED
facebook/create-react-app,3,0,56,13,1,1,1,4,9,CLOSED
facebook/create-react-app,12,0,43,9,2,8,2,4,5,CLOSED
facebook/create-react-app,4,0,115,7,1,3,0,4,3,MERGED
facebook/create-react-app,83,10,667,11,5,63,15,4,7,CLOSED
facebook/create-react-app,60,42,20,8,7,50,3,3,5,CLOSED
facebook/create-react-app,35,0,115,20,6,17,12,8,12,CLOSED
facebook/create-react-app,16,0,104,7,2,8,6,2,5,CLOSED
facebook/create-react-app,17,1,55,13,2,10,5,5,8,CLOSED
facebook/create-react-app,3,0,0,3,1,1,1,2,1,MERGED
facebook/create-react-app,3,0,0,10,1,1,1,3,7,MERGED
facebook/create-react-app,2,0,61,7,1,1,0,4,3,CLOSED
facebook/create-react-app,9,10,1464,10,2,5,2,4,6,CLOSED
facebook/create-react-app,15,0,253,3,1,13,1,2,1,CLOSED
facebook/create-react-app,2,0,0,8,1,1,0,3,5,CLOSED
facebook/create-react-app,94,0,21,3,6,22,66,2,1,CLOSED
facebook/create-react-app,10,0,190,5,2,6,2,2,3,CLOSED
facebook/create-react-app,3,0,0,4,1,1,1,3,1,MERGED
facebook/create-react-app,5,0,0,3,1,2,2,2,1,CLOSED
facebook/create-react-app,3,0,21,5,1,1,1,3,2,MERGED
facebook/create-react-app,12,0,569,21,2,10,0,9,12,MERGED
facebook/create-react-app,28,0,219,5,1,27,0,2,3,MERGED
facebook/create-react-app,10,0,126,3,1,4,5,3,0,MERGED
facebook/create-react-app,19,0,0,11,1,18,0,5,6,CLOSED
facebook/create-react-app,5,0,122,4,1,0,4,2,2,MERGED
facebook/create-react-app,2,0,114,6,1,1,0,2,4,CLOSED
facebook/create-react-app,2,0,179,5,1,1,0,3,2,CLOSED
facebook/create-react-app,29,0,118,2,2,16,11,2,0,MERGED
facebook/create-react-app,3,0,128,3,1,1,1,2,1,MERGED
facebook/create-react-app,67,0,513,21,4,53,10,6,15,MERGED
facebook/create-react-app,18,0,379,6,2,10,6,3,3,MERGED
facebook/create-react-app,4,0,164,4,1,1,2,3,1,MERGED
facebook/create-react-app,382,0,370,25,16,295,71,8,17,CLOSED
facebook/create-react-app,2,2,228,12,1,1,0,3,9,CLOSED
facebook/create-react-app,13,0,555,8,2,9,2,4,4,MERGED
facebook/create-react-app,13,0,0,4,1,8,4,2,2,CLOSED
facebook/create-react-app,8,0,32,5,2,4,2,2,3,MERGED
facebook/create-react-app,4,0,13,5,1,3,0,2,3,CLOSED
facebook/create-react-app,10,0,0,12,2,4,4,4,8,MERGED
facebook/create-react-app,26,7,1218,30,5,10,11,9,21,CLOSED
facebook/create-react-app,42,3,1911,5,1,41,0,2,3,MERGED
facebook/create-react-app,243,0,244,4,7,134,102,2,2,MERGED
facebook/create-react-app,2,0,289,3,1,0,1,2,1,MERGED
facebook/create-react-app,21,6,381,13,3,13,5,2,11,CLOSED
facebook/create-react-app,2,3,1979,3,1,1,0,2,1,MERGED
facebook/create-react-app,6,0,24,6,1,4,1,2,4,CLOSED
facebook/create-react-app,7,0,344,16,2,4,1,5,11,CLOSED
facebook/create-react-app,220,2,940,27,13,201,6,6,21,CLOSED
facebook/create-react-app,5,0,11,3,1,2,2,2,1,MERGED
facebook/create-react-app,42,0,113,8,2,33,7,3,5,CLOSED
facebook/create-react-app,9,0,11,8,1,8,0,4,4,MERGED
facebook/create-react-app,2,0,0,2,1,1,0,2,0,MERGED
facebook/create-react-app,5,0,48,2,1,2,2,2,0,MERGED
facebook/create-react-app,18,58,159,36,4,14,0,10,26,CLOSED
facebook/create-react-app,70,0,4366,23,3,59,8,6,17,CLOSED
facebook/create-react-app,20,0,259,9,2,18,0,4,5,MERGED
facebook/create-react-app,209,0,71,8,1,103,105,4,4,MERGED
facebook/create-react-app,25,0,708,3,5,18,2,2,1,MERGED
facebook/create-react-app,8,0,249,11,2,4,2,3,8,MERGED
facebook/create-react-app,27,0,512,8,3,19,5,4,4,MERGED
facebook/create-react-app,240,0,130,5,6,149,85,2,3,MERGED
facebook/create-react-app,35,0,406,8,2,26,7,4,4,MERGED
facebook/create-react-app,125,2,911,14,5,119,1,6,8,CLOSED
facebook/create-react-app,173,4,1629,69,15,149,9,19,50,MERGED
facebook/create-react-app,2,0,52,2,1,1,0,2,0,MERGED
facebook/create-react-app,4,0,16,2,1,2,1,1,1,CLOSED
facebook/create-react-app,4,0,15,5,1,2,1,2,3,MERGED
facebook/create-react-app,294,36,1139,20,23,203,68,4,16,MERGED
facebook/create-react-app,2,0,88,3,1,0,1,2,1,MERGED
facebook/create-react-app,14,0,83,1,3,8,3,1,0,MERGED
facebook/create-react-app,24,0,104,1,2,22,0,1,0,MERGED
facebook/create-react-app,3,0,66,7,1,1,1,3,4,MERGED
facebook/create-react-app,49,0,15,1,1,30,18,1,0,MERGED
facebook/create-react-app,7,0,201,8,2,4,1,2,6,MERGED
facebook/create-react-app,572,36,498,14,9,92,471,6,8,CLOSED
facebook/create-react-app,59,0,730,10,1,31,27,3,7,MERGED
facebook/create-react-app,63,0,516,2,4,44,15,2,0,MERGED
facebook/create-react-app,5,0,0,7,1,4,0,3,4,MERGED
facebook/create-react-app,2,0,133,6,1,1,0,3,3,MERGED
facebook/create-react-app,41,0,39,8,1,6,34,4,4,MERGED
facebook/create-react-app,60,5,2173,37,2,55,3,8,29,MERGED
facebook/create-react-app,0,0,0,6,0,0,0,3,3,CLOSED
facebook/create-react-app,4,0,171,4,1,3,0,2,2,MERGED
facebook/create-react-app,9,0,0,3,1,7,1,2,1,MERGED
facebook/create-react-app,3,0,22,6,1,1,1,2,4,MERGED
facebook/create-react-app,2,0,817,10,1,1,0,3,7,CLOSED
facebook/create-react-app,6,0,176,4,1,4,1,2,2,MERGED
facebook/create-react-app,10,0,95,9,2,4,4,4,5,MERGED
facebook/create-react-app,2,0,320,4,1,1,0,2,2,MERGED
facebook/create-react-app,5,0,224,7,1,3,1,3,4,CLOSED
facebook/create-react-app,75,60,267,9,1,26,48,4,5,CLOSED
facebook/create-react-app,29,0,0,10,1,28,0,2,8,MERGED
facebook/create-react-app,5,0,0,3,1,2,2,2,1,MERGED
facebook/create-react-app,94,0,142,1,4,88,2,1,0,MERGED
facebook/create-react-app,18,0,1084,1,1,17,0,1,0,MERGED
facebook/create-react-app,27,0,108,5,1,23,3,2,3,MERGED
facebook/create-react-app,42,0,651,2,3,20,19,2,0,MERGED
facebook/create-react-app,68,0,0,5,2,59,7,2,3,CLOSED
facebook/create-react-app,12,0,2090,3,3,6,3,2,1,MERGED
facebook/create-react-app,43,1,572,10,3,38,2,5,5,CLOSED
facebook/create-react-app,174,1,491,15,2,108,64,3,12,MERGED
facebook/create-react-app,2,0,0,5,1,1,0,2,3,MERGED
facebook/create-react-app,142,0,285,16,5,113,24,5,11,MERGED
facebook/create-react-app,24,0,0,13,2,20,2,4,9,MERGED
facebook/create-react-app,12,0,411,7,1,9,2,3,4,MERGED
facebook/create-react-app,43,0,10,2,3,38,2,2,0,MERGED
facebook/create-react-app,9,108,953,26,2,7,0,7,19,CLOSED
facebook/create-react-app,5,0,36,2,2,3,0,1,1,CLOSED
facebook/create-react-app,472,0,8,9,9,346,117,5,4,CLOSED
facebook/create-react-app,5,0,45,4,2,3,0,2,2,CLOSED
facebook/create-react-app,108,0,1041,11,8,96,4,3,8,CLOSED
facebook/create-react-app,4,0,151,7,2,2,0,3,4,CLOSED
facebook/create-react-app,8,0,126,5,2,6,0,2,3,CLOSED
facebook/create-react-app,18,29,10,6,3,14,1,3,3,CLOSED
facebook/create-react-app,232,0,178,9,8,203,21,6,3,MERGED
facebook/create-react-app,1710,37,153,48,37,1329,344,35,13,CLOSED
facebook/create-react-app,3,0,64,3,1,1,1,2,1,CLOSED
facebook/create-react-app,9,0,1004,8,3,3,3,3,5,CLOSED
facebook/create-react-app,5,0,0,4,1,2,2,2,2,MERGED
facebook/create-react-app,54,3,15,43,4,43,7,12,31,MERGED
facebook/create-react-app,3,29,79,5,1,1,1,2,3,CLOSED
facebook/create-react-app,28,27,215,2,2,16,10,2,0,CLOSED
facebook/create-react-app,15,55,25,20,1,14,0,3,17,CLOSED
facebook/create-react-app,4,0,191,3,2,2,0,2,1,MERGED
facebook/create-react-app,15,0,137,1,3,11,1,1,0,MERGED
facebook/create-react-app,23,2,57,6,1,22,0,3,3,MERGED
facebook/create-react-app,3,0,0,3,1,1,1,2,1,MERGED
facebook/create-react-app,29,54,125,8,1,28,0,4,4,CLOSED
facebook/create-react-app,14,0,325,3,4,6,4,2,1,CLOSED
facebook/create-react-app,14,0,499,8,2,6,6,2,6,CLOSED
facebook/create-react-app,3,0,48,5,1,1,1,2,3,MERGED
facebook/create-react-app,7,0,10,1,2,5,0,1,0,MERGED
facebook/create-react-app,7,0,76,1,1,6,0,1,0,MERGED
facebook/create-react-app,70,2,832,8,42,17,11,3,5,CLOSED
facebook/create-react-app,4,22,38,4,1,2,1,3,1,CLOSED
facebook/create-react-app,8,0,8,8,2,4,2,2,6,MERGED
facebook/create-react-app,5,12,398,4,1,3,1,2,2,CLOSED
facebook/create-react-app,39,0,188,14,5,33,1,6,8,CLOSED
facebook/create-react-app,8,24,577,4,4,4,0,2,2,CLOSED
facebook/create-react-app,3,0,0,19,1,2,0,5,14,CLOSED
facebook/create-react-app,6,23,48,5,1,5,0,2,3,MERGED
facebook/create-react-app,61,0,832,3,43,9,9,1,2,CLOSED
facebook/create-react-app,77,39,2557,19,43,20,14,3,16,CLOSED
