repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
facebook/react-native,0,1,0,7,0,0,0,4,3,CLOSED
facebook/react-native,4,0,97,2,1,1,2,1,1,CLOSED
facebook/react-native,5,8,332,4,1,2,2,2,2,CLOSED
facebook/react-native,174,6,114,14,10,164,0,6,8,CLOSED
facebook/react-native,6,8,123,4,1,5,0,2,2,CLOSED
facebook/react-native,3,0,0,6,1,2,0,3,3,CLOSED
facebook/react-native,13,7,0,3,1,11,1,2,1,CLOSED
facebook/react-native,2,6,29,4,1,1,0,2,2,CLOSED
facebook/react-native,18,5,26,4,5,7,6,2,2,CLOSED
facebook/react-native,3,2,120,3,1,1,1,2,1,CLOSED
facebook/react-native,3,0,128,10,1,1,1,5,5,CLOSED
facebook/react-native,11,4,14,8,1,6,4,4,4,CLOSED
facebook/react-native,7,0,120,4,1,3,3,2,2,CLOSED
facebook/react-native,3,0,0,11,1,1,1,4,7,MERGED
facebook/react-native,669,41,252,11,15,638,16,3,8,CLOSED
facebook/react-native,17,6,102,4,3,13,1,2,2,CLOSED
facebook/react-native,729,38,908,10,15,392,322,4,6,CLOSED
facebook/react-native,3,41,141,6,1,1,1,3,3,CLOSED
facebook/react-native,17,29,148,12,1,8,8,6,6,CLOSED
facebook/react-native,98,37,219,2,2,96,0,1,1,CLOSED
facebook/react-native,4,12,302,2,1,3,0,1,1,CLOSED
facebook/react-native,168,34,1053,2,8,153,7,1,1,CLOSED
facebook/react-native,2,34,550,14,1,1,0,4,10,CLOSED
facebook/react-native,3,5,0,9,1,1,1,4,5,CLOSED
facebook/react-native,24,34,298,5,1,9,14,2,3,CLOSED
facebook/react-native,6,24,81,5,1,3,2,3,2,CLOSED
facebook/react-native,10,0,362,3,2,8,0,2,1,CLOSED
facebook/react-native,5,26,363,11,1,3,1,4,7,CLOSED
facebook/react-native,11,0,498,2,1,6,4,1,1,CLOSED
facebook/react-native,113,4,301,5,5,95,13,2,3,CLOSED
facebook/react-native,9,1,77,7,1,8,0,3,4,CLOSED
facebook/react-native,11,27,138,5,1,9,1,2,3,CLOSED
facebook/react-native,294,27,684,8,17,236,41,6,2,CLOSED
facebook/react-native,40,3,296,9,4,24,12,3,6,CLOSED
facebook/react-native,56,24,326,2,1,55,0,1,1,CLOSED
facebook/react-native,1523,25,1144,10,43,782,698,8,2,MERGED
facebook/react-native,9,0,132,7,1,8,0,3,4,MERGED
facebook/react-native,3,0,74,5,1,1,1,3,2,CLOSED
facebook/react-native,6,11,397,11,1,4,1,6,5,CLOSED
facebook/react-native,6,0,84,8,2,2,2,3,5,MERGED
facebook/react-native,3,0,25,2,1,2,0,1,1,CLOSED
facebook/react-native,635,0,125,1,36,416,183,1,0,MERGED
facebook/react-native,3,0,73,3,1,1,1,2,1,MERGED
facebook/react-native,1414,0,686,2,36,1328,50,2,0,MERGED
facebook/react-native,11,0,141,4,2,4,5,2,2,CLOSED
facebook/react-native,936,0,515,2,26,829,81,2,0,MERGED
facebook/react-native,2933,0,393,1,52,2807,74,1,0,MERGED
facebook/react-native,3,0,132,4,1,1,1,2,2,MERGED
facebook/react-native,375,0,222,1,12,204,159,1,0,MERGED
facebook/react-native,385,1,183,8,8,377,0,2,6,CLOSED
facebook/react-native,475,0,359,1,12,411,52,1,0,MERGED
facebook/react-native,1544,0,863,1,77,937,530,1,0,MERGED
facebook/react-native,51,0,339,1,4,14,33,1,0,CLOSED
facebook/react-native,13,0,122,1,2,6,5,1,0,CLOSED
facebook/react-native,37,0,103,1,1,21,15,1,0,CLOSED
facebook/react-native,153,0,0,1,5,140,8,1,0,MERGED
facebook/react-native,99,0,162,2,1,61,37,2,0,CLOSED
facebook/react-native,0,0,105,1,0,0,0,1,0,CLOSED
facebook/react-native,10,5,0,2,2,6,2,1,1,CLOSED
facebook/react-native,1241,0,1014,1,75,794,372,1,0,MERGED
facebook/react-native,0,4,55,5,0,0,0,2,3,CLOSED
facebook/react-native,4,0,196,7,1,2,1,3,4,MERGED
facebook/react-native,199,3,299,6,5,178,16,2,4,MERGED
facebook/react-native,4111,0,1564,1,88,3819,204,1,0,MERGED
facebook/react-native,18,0,184,2,1,15,2,2,0,MERGED
facebook/react-native,225,0,445,1,17,97,111,1,0,MERGED
facebook/react-native,198,0,27,6,2,195,1,5,1,MERGED
facebook/react-native,19,1,142,4,1,9,9,2,2,CLOSED
facebook/react-native,79,0,320,5,3,48,28,2,3,MERGED
facebook/react-native,241,0,498,1,33,112,96,1,0,MERGED
facebook/react-native,19,0,112,4,1,9,9,2,2,MERGED
facebook/react-native,0,1,0,1,0,0,0,1,0,CLOSED
facebook/react-native,4130,0,733,4,420,3182,528,3,1,MERGED
facebook/react-native,128,2,831,10,13,47,68,6,4,CLOSED
facebook/react-native,10,2,177,4,1,8,1,2,2,CLOSED
facebook/react-native,1120,0,454,1,38,837,245,1,0,MERGED
facebook/react-native,7592,0,1157,2,121,6806,665,1,1,MERGED
facebook/react-native,244,6,6,3,15,139,90,2,1,CLOSED
facebook/react-native,19,1,97,3,2,14,3,1,2,CLOSED
facebook/react-native,4,0,242,3,1,1,2,2,1,MERGED
facebook/react-native,81,0,81,3,7,74,0,1,2,CLOSED
facebook/react-native,94,0,0,4,4,74,16,3,1,MERGED
facebook/react-native,301,0,0,5,8,271,22,4,1,CLOSED
facebook/react-native,104,0,0,2,2,88,14,2,0,MERGED
facebook/react-native,6,4,250,15,2,2,2,9,6,MERGED
facebook/react-native,4,0,0,1,2,1,1,1,0,MERGED
facebook/react-native,2,0,88,7,1,1,0,3,4,CLOSED
facebook/react-native,3,0,79,8,1,1,1,4,4,CLOSED
facebook/react-native,2,7,0,5,1,0,1,3,2,CLOSED
facebook/react-native,3,4,57,4,1,1,1,3,1,MERGED
facebook/react-native,3,1,358,8,1,1,1,4,4,CLOSED
facebook/react-native,3,0,0,6,1,1,1,3,3,CLOSED
facebook/react-native,3,0,57,4,1,1,1,2,2,MERGED
facebook/react-native,3,0,71,5,1,1,1,3,2,MERGED
facebook/react-native,3,0,0,2,1,1,1,2,0,MERGED
facebook/react-native,71,0,133,2,7,32,32,2,0,MERGED
facebook/react-native,25,0,123,8,11,10,4,3,5,MERGED
facebook/react-native,7,7,145,7,1,3,3,4,3,CLOSED
facebook/react-native,5,4,0,6,1,2,2,3,3,CLOSED
facebook/react-native,3,28,0,8,1,1,1,5,3,CLOSED
facebook/react-native,6,4,0,5,2,2,2,3,2,MERGED
facebook/react-native,8,7,66,6,1,4,3,3,3,MERGED
facebook/react-native,3,4,0,8,1,1,1,4,4,CLOSED
facebook/react-native,80,4,453,5,3,76,1,3,2,CLOSED
facebook/react-native,8,3,11,11,1,7,0,3,8,CLOSED
facebook/react-native,2,28,550,11,1,1,0,5,6,CLOSED
facebook/react-native,7,0,39,5,1,3,3,3,2,MERGED
facebook/react-native,130,64,248,18,4,33,93,6,12,CLOSED
facebook/react-native,81,4,81,2,7,74,0,1,1,CLOSED
facebook/react-native,99,5,217,7,2,97,0,3,4,CLOSED
facebook/react-native,5,78,97,13,1,4,0,6,7,CLOSED
facebook/react-native,178,42,1053,9,9,161,8,6,3,CLOSED
facebook/react-native,11,5,138,3,1,9,1,2,1,CLOSED
facebook/react-native,208,4,719,21,7,198,3,7,14,CLOSED
facebook/react-native,45,56,831,3,3,12,30,3,0,CLOSED
facebook/react-native,9,3,5,3,1,8,0,2,1,MERGED
facebook/react-native,3,0,178,3,1,1,1,2,1,MERGED
facebook/react-native,3,3,517,53,1,1,1,24,29,CLOSED
facebook/react-native,6,3,62,12,1,3,2,6,6,CLOSED
facebook/react-native,38,0,70,3,2,16,20,2,1,MERGED
facebook/react-native,9,4,248,7,1,8,0,2,5,CLOSED
facebook/react-native,7,0,15,1,1,5,1,1,0,MERGED
facebook/react-native,6,0,256,8,1,3,2,3,5,MERGED
facebook/react-native,5,7,408,16,1,3,1,6,10,CLOSED
facebook/react-native,6,1,73,6,2,2,2,3,3,CLOSED
facebook/react-native,3,5,0,9,1,1,1,4,5,MERGED
facebook/react-native,2,4,111,8,1,1,0,4,4,CLOSED
facebook/react-native,74,1,111,6,5,68,1,3,3,MERGED
facebook/react-native,3,3,0,5,1,1,1,3,2,MERGED
facebook/react-native,3,0,180,2,1,1,1,2,0,MERGED
facebook/react-native,16,5,619,16,2,13,1,4,12,CLOSED
facebook/react-native,5,7,35,7,1,2,2,4,3,MERGED
facebook/react-native,3,4,90,6,1,1,1,3,3,MERGED
facebook/react-native,6,4,0,7,2,2,2,4,3,MERGED
facebook/react-native,15,64,65,17,1,13,1,8,9,CLOSED
facebook/react-native,5,7,76,6,1,4,0,3,3,MERGED
facebook/react-native,27,7,725,7,6,11,10,5,2,CLOSED
facebook/react-native,3,0,108,8,1,1,1,4,4,CLOSED
facebook/react-native,19,179,153,12,1,11,7,4,8,CLOSED
facebook/react-native,3,7,105,7,1,1,1,4,3,CLOSED
facebook/react-native,2,0,321,5,1,1,0,3,2,CLOSED
facebook/react-native,3,0,87,15,1,1,1,6,9,CLOSED
facebook/react-native,2,4,64,4,1,0,1,3,1,CLOSED
facebook/react-native,3,0,198,3,1,1,1,2,1,CLOSED
facebook/react-native,5,12,40,7,1,2,2,4,3,CLOSED
facebook/react-native,44,3,23,8,1,43,0,2,6,MERGED
facebook/react-native,5,68,1179,19,1,2,2,8,11,CLOSED
facebook/react-native,13,1,54,6,1,7,5,3,3,CLOSED
facebook/react-native,4,4,346,8,1,0,3,4,4,CLOSED
facebook/react-native,1459,0,3455,1,37,750,672,1,0,MERGED
facebook/react-native,3,0,0,3,1,1,1,2,1,MERGED
facebook/react-native,202,9,827,7,4,100,98,3,4,CLOSED
facebook/react-native,29,18,12,5,3,17,9,4,1,CLOSED
facebook/react-native,16,0,93,2,3,7,6,2,0,MERGED
facebook/react-native,42,4,148,25,5,29,8,5,20,CLOSED
facebook/react-native,5,3,13,4,1,2,2,2,2,CLOSED
facebook/react-native,18,16,292,6,4,13,1,3,3,CLOSED
facebook/react-native,7,2,371,4,1,3,3,2,2,CLOSED
facebook/react-native,13,0,0,1,2,8,3,1,0,CLOSED
facebook/react-native,21,0,116,3,2,16,3,2,1,MERGED
facebook/react-native,19,16,47,11,2,12,5,5,6,CLOSED
facebook/react-native,3,5,0,5,1,1,1,3,2,CLOSED
facebook/react-native,326,16,405,13,5,294,27,4,9,CLOSED
facebook/react-native,476,48,867,29,11,433,32,11,18,MERGED
facebook/react-native,179,280,181,43,6,173,0,12,31,CLOSED
facebook/react-native,4,15,90,5,1,2,1,3,2,CLOSED
facebook/react-native,28,0,175,12,3,24,1,5,7,MERGED
facebook/react-native,8,0,0,6,1,6,1,3,3,CLOSED
facebook/react-native,11,1,262,14,1,10,0,6,8,CLOSED
facebook/react-native,3,0,0,2,1,1,1,2,0,MERGED
facebook/react-native,5,3,88,13,1,0,4,4,9,CLOSED
facebook/react-native,10,0,20,5,1,8,1,3,2,MERGED
facebook/react-native,3,5,0,6,1,1,1,3,3,MERGED
facebook/react-native,3,0,132,5,1,1,1,3,2,MERGED
facebook/react-native,3,2,0,8,1,1,1,4,4,CLOSED
facebook/react-native,3,1,0,5,1,1,1,3,2,MERGED
facebook/react-native,3,2,100,8,1,1,1,4,4,CLOSED
facebook/react-native,118,46,191,19,3,65,50,7,12,MERGED
facebook/react-native,5,1,98,2,1,2,2,2,0,MERGED
facebook/react-native,29,2,174,2,1,14,14,2,0,MERGED
facebook/react-native,10,2,0,15,2,4,4,5,10,CLOSED
facebook/react-native,13,25,0,8,1,6,6,4,4,CLOSED
facebook/react-native,13,1,384,3,1,11,1,2,1,CLOSED
facebook/react-native,6,3,112,6,1,5,0,2,4,CLOSED
facebook/react-native,2,4,200,9,1,1,0,5,4,CLOSED
facebook/react-native,465,0,614,11,9,456,0,5,6,CLOSED
facebook/react-native,2,0,125,2,1,1,0,1,1,CLOSED
facebook/react-native,9,2,225,10,1,8,0,4,6,MERGED
facebook/react-native,6,0,189,4,2,2,2,2,2,CLOSED
facebook/react-native,51,4,70,9,17,34,0,5,4,CLOSED
facebook/react-native,35,2,256,4,2,30,3,2,2,CLOSED
facebook/react-native,3,0,25,5,1,1,1,3,2,MERGED
facebook/react-native,37,2,157,3,4,32,1,2,1,CLOSED
facebook/react-native,28,44,10,28,4,22,2,9,19,CLOSED
facebook/react-native,3,0,0,6,1,1,1,3,3,MERGED
facebook/react-native,299,204,520,26,3,287,9,8,18,CLOSED
facebook/react-native,24,0,320,5,2,22,0,3,2,CLOSED
facebook/react-native,10,0,69,2,1,9,0,2,0,MERGED
facebook/react-native,17,0,0,7,1,8,8,3,4,MERGED
facebook/react-native,28,3,85,4,1,16,11,3,1,CLOSED
facebook/react-native,2,1,244,6,1,1,0,2,4,CLOSED
facebook/react-native,18,1,237,3,2,13,3,2,1,CLOSED
facebook/react-native,40,73,535,16,3,22,15,8,8,CLOSED
facebook/react-native,111,1,166,7,2,54,55,3,4,CLOSED
facebook/react-native,3,0,0,3,1,1,1,2,1,MERGED
facebook/react-native,3,1,83,3,1,1,1,2,1,MERGED
facebook/react-native,154,1,229,14,15,66,73,4,10,CLOSED
facebook/react-native,26,13,183,16,1,22,3,4,12,CLOSED
facebook/react-native,3,1,107,5,1,1,1,4,1,CLOSED
facebook/react-native,3,0,35,2,1,1,1,1,1,CLOSED
facebook/react-native,1245,0,782,1,49,906,290,1,0,MERGED
facebook/react-native,10,4,180,24,1,9,0,5,19,CLOSED
facebook/react-native,3,41,351,8,1,1,1,5,3,CLOSED
facebook/react-native,9,0,47,9,1,4,4,4,5,MERGED
facebook/react-native,3,0,276,3,1,1,1,2,1,CLOSED
facebook/react-native,3,0,60,2,1,1,1,1,1,CLOSED
facebook/react-native,3,3,46,4,1,1,1,3,1,CLOSED
facebook/react-native,257,1,423,4,2,255,0,2,2,CLOSED
facebook/react-native,17,62,117,13,2,14,1,7,6,CLOSED
facebook/react-native,14,0,279,6,3,10,1,4,2,CLOSED
facebook/react-native,3,13,2,3,1,1,1,3,0,CLOSED
facebook/react-native,147,0,79,17,4,142,1,7,10,MERGED
facebook/react-native,54,62,338,22,10,36,8,10,12,CLOSED
facebook/react-native,23,3,35,13,4,13,6,5,8,CLOSED
facebook/react-native,7,0,0,7,1,3,3,4,3,MERGED
facebook/react-native,3,0,87,7,1,1,1,3,4,MERGED
facebook/react-native,67,0,570,5,1,43,23,3,2,MERGED
facebook/react-native,6,12,67,7,1,5,0,3,4,CLOSED
facebook/react-native,5,0,104,2,1,2,2,1,1,CLOSED
facebook/react-native,3,0,128,8,1,1,1,3,5,MERGED
facebook/react-native,315,0,1216,4,22,205,88,2,2,MERGED
facebook/react-native,3,0,115,8,1,1,1,3,5,MERGED
facebook/react-native,3,0,102,4,1,1,1,2,2,CLOSED
facebook/react-native,3,0,153,5,1,1,1,2,3,MERGED
facebook/react-native,3,0,152,4,1,1,1,2,2,MERGED
facebook/react-native,527,28,753,18,13,514,0,7,11,CLOSED
facebook/react-native,422,0,395,1,29,172,221,1,0,MERGED
facebook/react-native,7,354,65,36,1,5,1,13,23,CLOSED
facebook/react-native,2,0,85,2,1,1,0,2,0,MERGED
facebook/react-native,50,0,134,1,4,27,19,1,0,MERGED
facebook/react-native,12,12,271,3,1,10,1,3,0,CLOSED
facebook/react-native,14,0,66,4,1,11,2,3,1,MERGED
facebook/react-native,3,0,12,1,1,1,1,1,0,MERGED
facebook/react-native,3,0,12,1,1,1,1,1,0,MERGED
facebook/react-native,3,11,214,6,1,0,2,3,3,CLOSED
facebook/react-native,217,11,413,10,2,140,75,5,5,CLOSED
facebook/react-native,3,0,118,6,1,1,1,3,3,CLOSED
facebook/react-native,5,60,33,5,2,1,2,4,1,CLOSED
facebook/react-native,3,0,61,3,1,1,1,2,1,CLOSED
facebook/react-native,229,117,220,20,7,213,9,9,11,CLOSED
facebook/react-native,5,60,47,10,2,1,2,6,4,CLOSED
facebook/react-native,64,0,289,7,2,28,34,3,4,MERGED
facebook/react-native,63,0,189,3,1,42,20,2,1,MERGED
facebook/react-native,12,0,23,2,1,7,4,2,0,MERGED
