repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
facebook/react,344,4,486,7,24,241,79,3,4,MERGED
facebook/react,5,0,54,3,1,2,2,2,1,MERGED
facebook/react,6,0,0,2,2,2,2,2,0,MERGED
facebook/react,101,0,82,2,1,100,0,2,0,MERGED
facebook/react,5,0,0,2,1,2,2,2,0,MERGED
facebook/react,93,0,0,2,1,69,23,2,0,MERGED
facebook/react,3,0,35,2,1,1,1,2,0,MERGED
facebook/react,9,0,0,2,1,8,0,2,0,MERGED
facebook/react,3,0,0,5,1,1,1,2,3,MERGED
facebook/react,6,0,150,2,2,2,2,2,0,MERGED
facebook/react,5,0,0,1,1,4,0,1,0,MERGED
facebook/react,52,0,205,5,4,34,14,3,2,MERGED
facebook/react,3641,0,119,7,18,1875,1748,2,5,CLOSED
facebook/react,3,0,0,3,1,1,1,2,1,MERGED
facebook/react,25,132,222,9,1,18,6,4,5,CLOSED
facebook/react,8,0,334,5,1,5,2,3,2,MERGED
facebook/react,113,0,362,2,4,109,0,2,0,MERGED
facebook/react,70,0,60,3,4,33,33,3,0,MERGED
facebook/react,100,0,54,4,7,82,11,3,1,MERGED
facebook/react,18848,48,119,6,10,18809,29,3,3,CLOSED
facebook/react,35,0,813,12,1,15,19,3,9,MERGED
facebook/react,89,0,0,3,5,75,9,3,0,MERGED
facebook/react,11,1,273,22,1,10,0,4,18,CLOSED
facebook/react,7,0,113,8,1,3,3,4,4,MERGED
facebook/react,20,5,495,14,5,12,3,6,8,MERGED
facebook/react,11,0,71,5,1,7,3,3,2,MERGED
facebook/react,10,0,802,2,2,4,4,2,0,MERGED
facebook/react,3,1,0,7,1,2,0,4,3,CLOSED
facebook/react,5,0,195,2,1,2,2,2,0,MERGED
facebook/react,4,1,90,7,1,3,0,3,4,MERGED
facebook/react,13,1,114,3,1,6,6,2,1,MERGED
facebook/react,67,0,0,6,7,54,6,4,2,MERGED
facebook/react,13,0,0,2,1,10,2,2,0,MERGED
facebook/react,13,0,0,2,1,12,0,2,0,MERGED
facebook/react,18,9,175,3,1,1,16,2,1,CLOSED
facebook/react,73,0,138,2,1,52,20,2,0,MERGED
facebook/react,126,0,164,7,1,125,0,4,3,MERGED
facebook/react,27,0,115,2,3,24,0,2,0,MERGED
facebook/react,3,0,125,3,1,1,1,2,1,MERGED
facebook/react,86,0,478,2,10,51,25,2,0,MERGED
facebook/react,171,0,55,12,1,76,94,4,8,MERGED
facebook/react,85,0,64,3,1,58,26,2,1,CLOSED
facebook/react,3,0,206,2,1,1,1,2,0,MERGED
facebook/react,8,0,0,1,1,4,3,1,0,MERGED
facebook/react,87,198,378,21,5,82,0,6,15,CLOSED
facebook/react,13,1,189,4,1,8,4,3,1,MERGED
facebook/react,3,0,178,5,1,1,1,3,2,CLOSED
facebook/react,8,9,312,4,1,4,3,2,2,MERGED
facebook/react,207,1,437,6,13,107,87,3,3,CLOSED
facebook/react,197,35,100,17,9,107,81,5,12,CLOSED
facebook/react,3716,0,288,3,52,2865,799,3,0,MERGED
facebook/react,23,6,12,9,4,18,1,4,5,MERGED
facebook/react,10,5,0,3,2,8,0,3,0,MERGED
facebook/react,57,1,51,3,2,23,32,3,0,MERGED
facebook/react,2,0,365,3,1,1,0,2,1,MERGED
facebook/react,67,10,347,8,14,45,8,3,5,CLOSED
facebook/react,273,2,1984,6,5,265,3,4,2,MERGED
facebook/react,79,1,102,3,2,72,5,3,0,MERGED
facebook/react,7,0,221,4,2,3,2,2,2,MERGED
facebook/react,279,0,311,3,9,251,19,3,0,MERGED
facebook/react,179,16,242,15,5,167,7,4,11,MERGED
facebook/react,3,0,24,3,1,1,1,2,1,MERGED
facebook/react,77,0,0,3,5,70,2,2,1,CLOSED
facebook/react,106,4,0,13,3,103,0,5,8,MERGED
facebook/react,3,1,95,2,1,2,0,2,0,MERGED
facebook/react,37,0,244,2,3,31,3,2,0,MERGED
facebook/react,5,0,91,2,1,2,2,2,0,MERGED
facebook/react,40,18,364,8,3,28,9,5,3,MERGED
facebook/react,3,2,60,2,1,1,1,2,0,MERGED
facebook/react,6,1,0,2,2,2,2,2,0,MERGED
facebook/react,7,1,0,2,1,3,3,2,0,MERGED
facebook/react,10,7,132,6,1,9,0,3,3,MERGED
facebook/react,67,0,492,4,1,25,41,3,1,MERGED
facebook/react,22,0,197,2,1,17,4,2,0,MERGED
facebook/react,3,0,84,2,1,1,1,2,0,MERGED
facebook/react,34,0,336,2,2,11,21,2,0,MERGED
facebook/react,3,0,131,3,1,1,1,2,1,MERGED
facebook/react,9,1,51,2,2,3,4,1,1,CLOSED
facebook/react,3,0,415,2,1,1,1,2,0,MERGED
facebook/react,3,0,33,2,1,1,1,2,0,MERGED
facebook/react,27,6,57,3,3,23,1,2,1,MERGED
facebook/react,78,0,66,3,5,72,1,2,1,MERGED
facebook/react,687,12,212,17,9,571,107,7,10,MERGED
facebook/react,28,0,171,2,2,26,0,1,1,CLOSED
facebook/react,95,6,11,7,5,19,71,3,4,MERGED
facebook/react,5,3,0,3,1,4,0,3,0,MERGED
facebook/react,3,1,209,2,1,1,1,2,0,MERGED
facebook/react,93,1,66,5,2,91,0,3,2,MERGED
facebook/react,9,0,641,5,1,4,4,2,3,MERGED
facebook/react,4,0,0,3,1,3,0,2,1,MERGED
facebook/react,3,0,0,1,1,1,1,1,0,MERGED
facebook/react,28,0,203,2,3,14,11,2,0,MERGED
facebook/react,8,18,109,5,1,5,2,2,3,CLOSED
facebook/react,486,2,751,10,5,311,170,4,6,CLOSED
facebook/react,5,0,22,3,1,2,2,2,1,MERGED
facebook/react,3,0,151,2,1,1,1,2,0,MERGED
facebook/react,5,0,289,3,2,2,1,2,1,MERGED
facebook/react,3,0,0,4,1,2,0,2,2,MERGED
facebook/react,53,0,124,1,1,52,0,1,0,MERGED
facebook/react,3,0,417,4,1,1,1,3,1,MERGED
facebook/react,2,0,0,2,1,1,0,2,0,MERGED
facebook/react,2,0,0,5,1,1,0,2,3,MERGED
facebook/react,170,13,303,6,5,154,11,4,2,CLOSED
facebook/react,61,0,66,1,3,58,0,1,0,MERGED
facebook/react,60,1,311,2,1,33,26,1,1,CLOSED
facebook/react,20,0,74,8,2,10,8,2,6,MERGED
facebook/react,3,37,42,4,1,1,1,2,2,CLOSED
facebook/react,60,16,311,1,1,33,26,1,0,CLOSED
facebook/react,3,0,271,4,1,1,1,2,2,MERGED
facebook/react,2,0,167,2,1,1,0,2,0,MERGED
facebook/react,60,8,253,4,2,57,1,2,2,CLOSED
facebook/react,2,0,0,3,1,1,0,2,1,MERGED
facebook/react,80,15,460,11,1,10,69,5,6,CLOSED
facebook/react,10,42,443,3,1,3,6,2,1,CLOSED
facebook/react,52873,2,267,17,149,51813,911,10,7,MERGED
facebook/react,13,0,0,4,1,10,2,2,2,CLOSED
facebook/react,195,0,319,2,10,168,17,2,0,MERGED
facebook/react,51,0,251,2,5,16,30,2,0,MERGED
facebook/react,5,0,431,2,1,2,2,2,0,MERGED
facebook/react,11,0,68,3,1,5,5,2,1,MERGED
facebook/react,30,1,105,4,4,25,1,2,2,CLOSED
facebook/react,15,0,311,2,1,8,6,2,0,MERGED
facebook/react,72,0,272,6,7,41,24,3,3,MERGED
facebook/react,3,0,0,3,1,1,1,2,1,CLOSED
facebook/react,5,0,0,4,1,1,3,2,2,CLOSED
facebook/react,16,0,0,4,3,8,5,3,1,MERGED
facebook/react,15,0,0,2,2,7,6,2,0,MERGED
facebook/react,75,55,323,6,7,44,24,3,3,MERGED
facebook/react,9,0,60,4,1,1,7,2,2,MERGED
facebook/react,7,11,78,5,1,3,3,2,3,MERGED
facebook/react,68,0,239,4,6,17,45,3,1,MERGED
facebook/react,47,0,413,3,1,15,31,2,1,MERGED
facebook/react,3,0,0,5,1,1,1,2,3,MERGED
facebook/react,3,0,0,3,1,1,1,2,1,MERGED
facebook/react,22,0,195,4,2,19,1,3,1,MERGED
facebook/react,12,0,0,3,4,4,4,2,1,CLOSED
facebook/react,3,0,0,3,1,1,1,2,1,MERGED
facebook/react,12,3,602,7,1,6,5,2,5,MERGED
facebook/react,7,0,6,2,1,3,3,2,0,MERGED
facebook/react,100,2,66,9,1,99,0,3,6,CLOSED
facebook/react,14,0,156,2,1,12,1,1,1,MERGED
facebook/react,5,2,45,3,2,2,1,3,0,MERGED
facebook/react,85,0,184,9,1,41,43,3,6,CLOSED
facebook/react,35,124,576,10,5,10,20,3,7,CLOSED
facebook/react,9,61,214,1,1,4,4,1,0,CLOSED
facebook/react,55,112,448,5,3,52,0,3,2,CLOSED
facebook/react,412,6,454,5,12,400,0,2,3,CLOSED
facebook/react,3,1,56,4,1,1,1,2,2,CLOSED
facebook/react,21,0,88,2,2,12,7,2,0,MERGED
facebook/react,6,0,68,4,2,2,2,2,2,MERGED
facebook/react,121,1,0,4,2,25,94,2,2,CLOSED
facebook/react,3,0,0,4,1,1,1,2,2,MERGED
facebook/react,153,33,581,7,3,124,26,3,4,CLOSED
facebook/react,12,0,164,5,4,4,4,3,2,MERGED
facebook/react,165,13,328,9,2,159,4,3,6,MERGED
facebook/react,3,101,52,10,1,1,1,2,8,CLOSED
facebook/react,83,0,66,2,3,80,0,2,0,MERGED
facebook/react,79,2,69,6,4,73,2,3,3,MERGED
facebook/react,19,0,87,2,2,7,10,2,0,MERGED
facebook/react,7,1,130,3,2,4,1,1,2,CLOSED
facebook/react,140,22,600,3,2,113,25,2,1,CLOSED
facebook/react,83,23,174,5,6,75,2,4,1,MERGED
facebook/react,3,1,11,6,1,1,1,3,3,MERGED
facebook/react,4,26,99,28,1,2,1,7,21,CLOSED
facebook/react,5,0,0,4,1,2,2,2,2,CLOSED
facebook/react,65,24,136,18,4,55,6,6,12,MERGED
facebook/react,38,1,91,6,3,13,22,2,4,MERGED
facebook/react,19,52,11,12,3,8,8,5,7,CLOSED
facebook/react,3,0,0,3,1,1,1,2,1,MERGED
facebook/react,57,0,37,6,1,56,0,3,3,CLOSED
facebook/react,1125,3,547,5,13,26,1086,2,3,MERGED
facebook/react,115,18,22,2,4,105,6,2,0,MERGED
facebook/react,47,38,248,12,3,41,3,5,7,CLOSED
facebook/react,3,1,78,7,1,1,1,2,5,MERGED
facebook/react,6,0,156,4,2,3,1,2,2,CLOSED
facebook/react,29,17,298,5,5,6,18,3,2,MERGED
facebook/react,3,3,33,4,1,2,0,2,2,CLOSED
facebook/react,54,0,328,9,6,42,6,4,5,MERGED
facebook/react,2,1,257,6,1,1,0,2,4,MERGED
facebook/react,4,1,788,3,1,3,0,2,1,MERGED
facebook/react,27,10,311,8,2,25,0,2,6,MERGED
facebook/react,77,0,66,4,3,74,0,2,2,CLOSED
facebook/react,23,0,0,7,1,15,7,3,4,CLOSED
facebook/react,22,98,18,11,2,13,7,4,7,CLOSED
facebook/react,89,7,241,4,5,63,21,2,2,MERGED
facebook/react,13,0,209,9,1,11,1,4,5,CLOSED
facebook/react,13,3,231,3,1,11,1,2,1,MERGED
facebook/react,3,5,76,10,1,1,1,4,6,CLOSED
facebook/react,1196,1,0,4,12,451,733,2,2,MERGED
facebook/react,12,0,476,2,2,10,0,2,0,MERGED
facebook/react,107,29,62,4,4,99,4,3,1,CLOSED
facebook/react,7,0,4,2,1,5,1,2,0,MERGED
facebook/react,621,0,213,3,8,436,177,2,1,CLOSED
facebook/react,32,1,97,3,2,17,13,2,1,CLOSED
facebook/react,4,0,75,7,1,2,1,3,4,MERGED
facebook/react,117,1,364,4,5,62,50,2,2,MERGED
facebook/react,426,1,901,2,4,309,113,2,0,MERGED
facebook/react,7,0,54,6,1,4,2,3,3,MERGED
facebook/react,121,0,238,8,6,87,28,5,3,MERGED
facebook/react,20,1,82,3,2,16,2,2,1,MERGED
facebook/react,69,0,390,4,3,66,0,2,2,MERGED
facebook/react,4,1,406,2,1,1,2,2,0,MERGED
facebook/react,55,34,624,9,1,43,11,4,5,CLOSED
facebook/react,41,9,784,5,2,22,17,3,2,MERGED
facebook/react,31,0,342,3,1,25,5,2,1,MERGED
facebook/react,17,0,165,9,1,11,5,4,5,MERGED
facebook/react,29,0,361,6,2,26,1,2,4,CLOSED
facebook/react,22,0,208,3,2,17,3,2,1,MERGED
facebook/react,33,6,187,8,3,15,15,3,5,MERGED
facebook/react,6,0,380,5,1,4,1,3,2,MERGED
facebook/react,19,3,1456,20,2,11,6,6,14,CLOSED
facebook/react,48,0,0,3,4,34,10,1,2,CLOSED
facebook/react,24,3,127,12,2,19,3,5,7,CLOSED
facebook/react,927,1,332,4,17,691,219,3,1,MERGED
facebook/react,50,87,298,15,2,47,1,5,10,CLOSED
facebook/react,6,0,0,6,1,5,0,3,3,MERGED
facebook/react,349,47,731,6,45,152,152,3,3,CLOSED
facebook/react,4,0,210,6,1,3,0,4,2,MERGED
facebook/react,29,4,539,5,3,26,0,3,2,MERGED
facebook/react,25,0,59,6,1,12,12,3,3,CLOSED
facebook/react,493,54,12,18,18,475,0,5,13,MERGED
facebook/react,71,18,127,3,3,68,0,2,1,CLOSED
facebook/react,17,72,87,5,3,5,9,3,2,CLOSED
facebook/react,30,72,13,3,1,22,7,3,0,MERGED
facebook/react,225,14,990,5,9,205,11,2,3,MERGED
facebook/react,307,20,169,10,7,257,43,2,8,CLOSED
facebook/react,157,13,334,7,6,114,37,3,4,MERGED
facebook/react,3,0,465,7,1,1,1,3,4,MERGED
facebook/react,12,3,0,2,2,5,5,2,0,MERGED
facebook/react,107,4,123,11,4,64,39,5,6,MERGED
facebook/react,9,2,68,14,1,8,0,6,8,CLOSED
facebook/react,4,1,10,5,1,3,0,2,3,MERGED
facebook/react,18,0,0,4,2,16,0,3,1,MERGED
facebook/react,3,0,186,3,1,1,1,2,1,MERGED
facebook/react,81,0,16,1,2,79,0,1,0,MERGED
facebook/react,107,0,66,3,4,103,0,2,1,CLOSED
facebook/react,14,0,174,3,1,8,5,2,1,CLOSED
facebook/react,218,12,0,4,3,212,3,3,1,CLOSED
facebook/react,2,0,262,3,1,1,0,2,1,MERGED
facebook/react,41,3,80,4,3,19,19,2,2,MERGED
facebook/react,3,2,0,5,1,1,1,3,2,CLOSED
facebook/react,13,3,459,35,1,6,6,5,30,MERGED
facebook/react,139,76,106,12,3,136,0,6,6,MERGED
facebook/react,13,0,98,2,1,7,5,2,0,MERGED
facebook/react,15,6,462,5,2,13,0,3,2,CLOSED
facebook/react,75,82,7,15,3,72,0,6,9,CLOSED
facebook/react,14,81,89,9,3,5,6,4,5,CLOSED
facebook/react,69,3,344,4,1,37,31,2,2,MERGED
facebook/react,240,65,359,28,1,120,119,7,21,CLOSED
facebook/react,292,0,90,3,7,225,60,2,1,CLOSED
facebook/react,84,14,456,4,3,79,2,3,1,MERGED
facebook/react,3,0,49,3,1,1,1,2,1,MERGED
facebook/react,3,0,0,3,1,1,1,2,1,MERGED
facebook/react,1206,0,256,9,21,892,293,4,5,CLOSED
facebook/react,5,0,81,2,1,2,2,2,0,MERGED
facebook/react,28,70,123,10,2,25,1,5,5,CLOSED
facebook/react,14,4,80,6,2,11,1,3,3,CLOSED
facebook/react,46,11,249,13,2,43,1,5,8,CLOSED
facebook/react,5,0,246,2,1,3,1,2,0,MERGED
