repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
flutter/flutter,3,3,0,4,1,1,1,2,2,CLOSED
flutter/flutter,8,0,0,4,1,3,4,2,2,CLOSED
flutter/flutter,5,0,0,6,1,1,3,2,4,CLOSED
flutter/flutter,3,0,0,2,1,1,1,1,1,CLOSED
flutter/flutter,3,1,317,3,1,1,1,2,1,CLOSED
flutter/flutter,3,1,22,3,1,1,1,2,1,CLOSED
flutter/flutter,3,0,115,5,1,1,1,3,2,CLOSED
flutter/flutter,7,0,0,3,1,3,3,2,1,CLOSED
flutter/flutter,5,0,0,4,1,2,2,2,2,CLOSED
flutter/flutter,3,37,0,3,1,1,1,2,1,CLOSED
flutter/flutter,25,2,42,3,1,11,13,2,1,CLOSED
flutter/flutter,3,29,0,3,1,1,1,2,1,CLOSED
flutter/flutter,3,1,0,8,1,1,1,4,4,CLOSED
flutter/flutter,2682,0,0,3,33,2649,0,3,0,MERGED
flutter/flutter,3,1,0,7,1,1,1,3,4,MERGED
flutter/flutter,4768,0,0,17,49,4719,0,16,1,MERGED
flutter/flutter,59,0,0,4,3,52,4,2,2,MERGED
flutter/flutter,44,0,11,4,3,41,0,3,1,MERGED
flutter/flutter,113,0,14,3,3,69,41,2,1,MERGED
flutter/flutter,362,0,0,4,9,56,297,2,2,MERGED
flutter/flutter,23,0,158,4,4,13,6,2,2,MERGED
flutter/flutter,310,0,79,1,24,170,116,1,0,MERGED
flutter/flutter,30,0,150,1,6,12,12,1,0,MERGED
flutter/flutter,16,0,192,5,1,2,13,2,3,MERGED
flutter/flutter,55,0,0,5,6,38,11,2,3,MERGED
flutter/flutter,35,0,479,13,2,21,12,4,9,MERGED
flutter/flutter,214,0,78,4,5,204,5,2,2,MERGED
flutter/flutter,385,0,0,5,11,220,154,2,3,MERGED
flutter/flutter,139,0,368,3,1,96,42,2,1,MERGED
flutter/flutter,14,0,64,3,2,10,2,2,1,MERGED
flutter/flutter,61,1,0,5,4,43,14,2,3,MERGED
flutter/flutter,117,0,120,5,1,64,52,3,2,MERGED
flutter/flutter,76,0,14,3,2,72,2,2,1,MERGED
flutter/flutter,44,0,248,3,2,25,17,2,1,MERGED
flutter/flutter,165,0,0,3,3,105,57,2,1,MERGED
flutter/flutter,187,0,262,3,6,98,83,2,1,MERGED
flutter/flutter,7,0,0,3,1,2,4,2,1,MERGED
flutter/flutter,10,0,91,3,2,4,4,2,1,MERGED
flutter/flutter,6,0,62,3,2,4,0,2,1,MERGED
flutter/flutter,156,0,279,3,7,136,13,2,1,MERGED
flutter/flutter,20,0,0,4,1,11,8,2,2,MERGED
flutter/flutter,10,0,206,7,1,5,4,3,4,MERGED
flutter/flutter,46,0,177,7,3,22,21,2,5,MERGED
flutter/flutter,6,0,96,3,2,2,2,2,1,MERGED
flutter/flutter,142,0,0,3,37,51,54,2,1,MERGED
flutter/flutter,37,0,0,4,2,15,20,2,2,MERGED
flutter/flutter,79,0,59,3,3,18,58,2,1,MERGED
flutter/flutter,48,0,0,7,1,47,0,2,5,MERGED
flutter/flutter,90,0,146,3,4,76,10,2,1,MERGED
flutter/flutter,66,0,183,2,4,34,28,2,0,MERGED
flutter/flutter,21,0,0,3,3,9,9,2,1,MERGED
flutter/flutter,60,0,0,5,2,33,25,3,2,MERGED
flutter/flutter,79,0,0,4,1,78,0,2,2,MERGED
flutter/flutter,74,0,168,3,5,56,13,2,1,MERGED
flutter/flutter,31,0,73,5,1,14,16,2,3,MERGED
flutter/flutter,22,0,99,3,3,14,5,2,1,MERGED
flutter/flutter,29743,0,155,4,31,16,29696,2,2,MERGED
flutter/flutter,186,0,176,3,6,125,55,2,1,MERGED
flutter/flutter,31,0,0,5,1,22,8,3,2,MERGED
flutter/flutter,11,0,11,3,1,5,5,2,1,MERGED
flutter/flutter,3,0,25,5,1,1,1,3,2,MERGED
flutter/flutter,3,0,88,6,1,1,1,2,4,MERGED
flutter/flutter,3,0,40,3,1,2,0,2,1,MERGED
flutter/flutter,36,0,122,3,2,33,1,2,1,MERGED
flutter/flutter,649,0,1987,3,30,450,169,2,1,MERGED
flutter/flutter,7,0,0,3,1,3,3,2,1,MERGED
flutter/flutter,47,0,80,4,13,17,17,2,2,MERGED
flutter/flutter,7,0,166,3,1,3,3,2,1,MERGED
flutter/flutter,5,0,0,3,1,2,2,2,1,MERGED
flutter/flutter,41,0,97,3,5,16,20,2,1,MERGED
flutter/flutter,28,0,72,3,2,23,3,2,1,MERGED
