repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
freeCodeCamp/freeCodeCamp,103,2,0,5,2,100,1,3,2,MERGED
freeCodeCamp/freeCodeCamp,238,0,0,1,10,122,106,1,0,MERGED
freeCodeCamp/freeCodeCamp,95,20,105,1,2,51,42,1,0,CLOSED
freeCodeCamp/freeCodeCamp,61538,0,0,2,38,61466,34,2,0,MERGED
freeCodeCamp/freeCodeCamp,68089,0,0,2,76,64419,3594,2,0,MERGED
freeCodeCamp/freeCodeCamp,5,0,342,2,1,2,2,2,0,MERGED
freeCodeCamp/freeCodeCamp,5,0,329,3,1,2,2,2,1,CLOSED
freeCodeCamp/freeCodeCamp,904,0,120,1,10,461,433,1,0,CLOSED
freeCodeCamp/freeCodeCamp,904,0,104,2,10,461,433,2,0,MERGED
freeCodeCamp/freeCodeCamp,7,0,0,3,1,3,3,2,1,MERGED
freeCodeCamp/freeCodeCamp,9,0,335,3,1,4,4,2,1,MERGED
freeCodeCamp/freeCodeCamp,19,0,102,2,2,9,8,2,0,MERGED
freeCodeCamp/freeCodeCamp,38,0,0,2,2,27,9,2,0,MERGED
freeCodeCamp/freeCodeCamp,5,0,10,1,1,2,2,1,0,CLOSED
freeCodeCamp/freeCodeCamp,3,0,37,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,94,0,0,1,2,86,6,1,0,MERGED
freeCodeCamp/freeCodeCamp,85092,0,63,2,413,84485,194,1,1,CLOSED
freeCodeCamp/freeCodeCamp,85380,0,0,2,424,84661,295,2,0,CLOSED
freeCodeCamp/freeCodeCamp,81,0,0,1,4,38,39,1,0,CLOSED
freeCodeCamp/freeCodeCamp,85092,0,43,2,413,84485,194,2,0,MERGED
freeCodeCamp/freeCodeCamp,85380,0,0,2,424,84661,295,2,0,MERGED
freeCodeCamp/freeCodeCamp,6,3,42,4,1,3,2,3,1,CLOSED
freeCodeCamp/freeCodeCamp,5056,2,939,2,3,5049,4,1,1,CLOSED
freeCodeCamp/freeCodeCamp,4,2,65,2,1,2,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,5349,0,148,5,12,5241,96,3,2,MERGED
freeCodeCamp/freeCodeCamp,1968,0,28,2,19,1096,853,2,0,MERGED
freeCodeCamp/freeCodeCamp,5,4,897,1,1,2,2,1,0,CLOSED
freeCodeCamp/freeCodeCamp,2014,0,22,2,32,1386,596,2,0,MERGED
freeCodeCamp/freeCodeCamp,291,0,0,2,4,186,101,2,0,MERGED
freeCodeCamp/freeCodeCamp,66,0,144,3,4,30,32,2,1,MERGED
freeCodeCamp/freeCodeCamp,3,0,0,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,5,0,313,3,1,2,2,2,1,MERGED
freeCodeCamp/freeCodeCamp,37,7,546,4,1,36,0,2,2,CLOSED
freeCodeCamp/freeCodeCamp,21,7,453,8,1,20,0,3,5,CLOSED
freeCodeCamp/freeCodeCamp,5,0,0,2,1,2,2,2,0,MERGED
freeCodeCamp/freeCodeCamp,44,0,111,2,3,19,22,2,0,MERGED
freeCodeCamp/freeCodeCamp,5,0,0,2,1,4,0,2,0,MERGED
freeCodeCamp/freeCodeCamp,100,0,0,2,2,57,41,2,0,MERGED
freeCodeCamp/freeCodeCamp,11,0,8,2,3,5,3,2,0,MERGED
freeCodeCamp/freeCodeCamp,51,0,27,2,4,45,2,2,0,MERGED
freeCodeCamp/freeCodeCamp,14,0,0,2,3,6,5,2,0,MERGED
freeCodeCamp/freeCodeCamp,8,0,123,1,1,5,2,1,0,CLOSED
freeCodeCamp/freeCodeCamp,4,1,0,4,1,3,0,2,2,MERGED
freeCodeCamp/freeCodeCamp,3,0,39,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,31986,0,37,2,38,31802,146,2,0,MERGED
freeCodeCamp/freeCodeCamp,641,2,202,2,5,547,89,2,0,MERGED
freeCodeCamp/freeCodeCamp,281,3,311,2,1,280,0,2,0,MERGED
freeCodeCamp/freeCodeCamp,3,0,38,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,6,0,58,2,1,2,3,2,0,MERGED
freeCodeCamp/freeCodeCamp,3,1,0,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,3076,0,0,4,4,3071,1,2,2,MERGED
freeCodeCamp/freeCodeCamp,13,0,0,2,1,6,6,2,0,MERGED
freeCodeCamp/freeCodeCamp,83,1,0,4,1,49,33,2,2,CLOSED
freeCodeCamp/freeCodeCamp,83,0,35,2,1,49,33,2,0,MERGED
freeCodeCamp/freeCodeCamp,5,0,63,4,1,2,2,2,2,CLOSED
freeCodeCamp/freeCodeCamp,20,0,0,2,1,10,9,2,0,CLOSED
freeCodeCamp/freeCodeCamp,1435,0,0,2,24,823,588,2,0,MERGED
freeCodeCamp/freeCodeCamp,19,0,0,2,1,16,2,2,0,MERGED
freeCodeCamp/freeCodeCamp,7,0,144,2,1,4,2,2,0,MERGED
freeCodeCamp/freeCodeCamp,3,0,0,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,18,0,22,1,2,14,2,1,0,CLOSED
freeCodeCamp/freeCodeCamp,3,0,0,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,17,1,0,2,1,8,8,2,0,MERGED
freeCodeCamp/freeCodeCamp,328,0,0,1,12,164,152,1,0,MERGED
freeCodeCamp/freeCodeCamp,37,0,49,2,7,28,2,2,0,MERGED
freeCodeCamp/freeCodeCamp,5,0,0,3,1,2,2,3,0,MERGED
freeCodeCamp/freeCodeCamp,27,0,237,4,1,25,1,2,2,CLOSED
freeCodeCamp/freeCodeCamp,3,2,76,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,2,1,137,2,1,1,0,2,0,MERGED
freeCodeCamp/freeCodeCamp,38,5,157,7,1,30,7,3,4,CLOSED
freeCodeCamp/freeCodeCamp,718,0,21,2,62,399,257,2,0,MERGED
freeCodeCamp/freeCodeCamp,2,0,252,2,1,1,0,2,0,MERGED
freeCodeCamp/freeCodeCamp,7,1,169,7,1,3,3,3,4,MERGED
freeCodeCamp/freeCodeCamp,3,0,17,2,1,2,0,1,1,MERGED
freeCodeCamp/freeCodeCamp,5771,0,34,2,44,4835,892,2,0,MERGED
freeCodeCamp/freeCodeCamp,3,1,85,5,1,1,1,4,1,MERGED
freeCodeCamp/freeCodeCamp,11,0,71,3,1,5,5,2,1,MERGED
freeCodeCamp/freeCodeCamp,1045,0,208,1,12,572,461,1,0,CLOSED
freeCodeCamp/freeCodeCamp,5,0,99,2,1,2,2,2,0,MERGED
freeCodeCamp/freeCodeCamp,5,0,10,2,1,4,0,2,0,MERGED
freeCodeCamp/freeCodeCamp,3,0,82,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,1051,0,88,2,12,577,462,2,0,MERGED
freeCodeCamp/freeCodeCamp,2,1,54,8,1,1,0,3,5,MERGED
freeCodeCamp/freeCodeCamp,18,0,17,4,2,11,5,3,1,MERGED
freeCodeCamp/freeCodeCamp,44,0,142,3,3,29,12,3,0,MERGED
freeCodeCamp/freeCodeCamp,7,0,0,1,1,1,5,1,0,MERGED
freeCodeCamp/freeCodeCamp,9,0,94,1,1,6,2,0,1,CLOSED
freeCodeCamp/freeCodeCamp,29,0,106,4,3,17,9,3,1,CLOSED
freeCodeCamp/freeCodeCamp,262,0,542,2,2,249,11,1,1,CLOSED
freeCodeCamp/freeCodeCamp,384979,4,46,9,796,72,384111,4,5,CLOSED
freeCodeCamp/freeCodeCamp,11,3,141,10,1,6,4,3,7,MERGED
freeCodeCamp/freeCodeCamp,3,0,80,1,1,1,1,1,0,MERGED
freeCodeCamp/freeCodeCamp,26,0,328,4,3,19,4,3,1,MERGED
freeCodeCamp/freeCodeCamp,50,0,0,4,5,34,11,1,3,CLOSED
freeCodeCamp/freeCodeCamp,50,0,38,5,5,34,11,3,2,MERGED
freeCodeCamp/freeCodeCamp,4,0,100,2,1,1,2,2,0,MERGED
freeCodeCamp/freeCodeCamp,3,0,0,1,1,2,0,1,0,MERGED
freeCodeCamp/freeCodeCamp,5,0,122,3,1,2,2,1,2,MERGED
freeCodeCamp/freeCodeCamp,3,0,159,2,1,0,2,1,1,MERGED
freeCodeCamp/freeCodeCamp,23,0,12,19,1,11,11,2,17,CLOSED
freeCodeCamp/freeCodeCamp,5,3,0,3,1,3,1,3,0,MERGED
freeCodeCamp/freeCodeCamp,3,0,4,2,1,1,1,1,1,MERGED
freeCodeCamp/freeCodeCamp,38,1,96,3,7,9,22,2,1,CLOSED
freeCodeCamp/freeCodeCamp,3,0,124,2,1,1,1,2,0,MERGED
freeCodeCamp/freeCodeCamp,10800,0,321,7,111,9117,1572,7,0,MERGED
freeCodeCamp/freeCodeCamp,2156,6,116,8,8,1127,1021,3,5,MERGED
freeCodeCamp/freeCodeCamp,153,4,292,12,5,130,18,5,7,MERGED
freeCodeCamp/freeCodeCamp,2,0,11,2,1,1,0,2,0,MERGED
