repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
getify/You-Dont-Know-JS,19,0,0,4,1,9,9,2,2,CLOSED
getify/You-Dont-Know-JS,3,0,0,5,1,1,1,2,3,CLOSED
getify/You-Dont-Know-JS,17,0,175,3,1,8,8,2,1,MERGED
getify/You-Dont-Know-JS,5,0,0,3,1,2,2,2,1,MERGED
getify/You-Dont-Know-JS,5,0,230,3,1,2,2,2,1,MERGED
getify/You-Dont-Know-JS,27,0,69,3,2,20,5,2,1,CLOSED
getify/You-Dont-Know-JS,11,0,50,4,1,5,5,2,2,MERGED
getify/You-Dont-Know-JS,5,0,95,3,1,2,2,2,1,MERGED
getify/You-Dont-Know-JS,3,0,82,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,50,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,27,4,1,1,1,2,2,MERGED
getify/You-Dont-Know-JS,3,0,195,4,1,1,1,2,2,MERGED
getify/You-Dont-Know-JS,3,0,0,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,243,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,46,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,26,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,65,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,0,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,82,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,0,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,0,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,11,32,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,10,44,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,9,0,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,17,33,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,5,0,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,7,7,0,3,1,3,3,2,1,MERGED
getify/You-Dont-Know-JS,3,0,0,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,0,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,0,4,1,2,0,3,1,MERGED
getify/You-Dont-Know-JS,3,0,59,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,0,2,1,1,1,2,0,MERGED
getify/You-Dont-Know-JS,3,0,0,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,5,0,0,4,1,2,2,2,2,MERGED
getify/You-Dont-Know-JS,3,0,0,3,1,1,1,2,1,CLOSED
getify/You-Dont-Know-JS,5,0,0,3,1,2,2,2,1,MERGED
getify/You-Dont-Know-JS,5,0,0,3,1,2,2,2,1,MERGED
getify/You-Dont-Know-JS,3,0,142,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,227,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,151,3,1,1,1,2,1,MERGED
getify/You-Dont-Know-JS,3,0,189,2,1,1,1,2,0,MERGED
getify/You-Dont-Know-JS,5,0,27,5,1,2,2,2,3,MERGED
