repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
github/gitignore,2,0,0,7,1,1,0,3,4,CLOSED
github/gitignore,3,0,16,3,1,2,0,2,1,CLOSED
github/gitignore,3,0,40,4,1,2,0,3,1,CLOSED
github/gitignore,5,0,98,3,2,3,0,2,1,CLOSED
github/gitignore,2,0,0,4,1,1,0,2,2,CLOSED
github/gitignore,22,0,67,3,3,19,0,2,1,CLOSED
github/gitignore,6,0,48,3,1,5,0,2,1,CLOSED
github/gitignore,30,0,32,4,3,27,0,3,1,CLOSED
github/gitignore,4,0,86,6,1,2,1,3,3,CLOSED
github/gitignore,2,0,0,3,1,1,0,2,1,CLOSED
github/gitignore,9,0,115,3,1,8,0,2,1,CLOSED
github/gitignore,3,0,88,3,1,2,0,2,1,CLOSED
github/gitignore,8,0,0,3,1,7,0,2,1,CLOSED
github/gitignore,77,0,66,3,1,76,0,2,1,CLOSED
github/gitignore,13,0,47,3,1,12,0,2,1,CLOSED
github/gitignore,5,0,22,6,1,4,0,3,3,CLOSED
github/gitignore,32,0,142,1,6,26,0,1,0,MERGED
github/gitignore,2,0,80,1,1,1,0,1,0,MERGED
github/gitignore,32,0,15,1,6,26,0,1,0,MERGED
github/gitignore,9,0,359,1,1,8,0,1,0,MERGED
github/gitignore,11,0,351,1,1,10,0,1,0,MERGED
github/gitignore,6,0,77,3,1,5,0,2,1,CLOSED
github/gitignore,23,0,0,7,1,22,0,2,5,CLOSED
github/gitignore,32,0,32,1,6,26,0,1,0,MERGED
github/gitignore,13,0,16,3,1,12,0,2,1,CLOSED
github/gitignore,3,0,0,1,1,2,0,1,0,CLOSED
github/gitignore,3,0,78,3,1,2,0,2,1,CLOSED
github/gitignore,2,0,109,3,1,1,0,2,1,CLOSED
github/gitignore,3,0,0,3,1,2,0,2,1,CLOSED
github/gitignore,25,0,0,3,2,23,0,2,1,CLOSED
github/gitignore,10,0,33,3,2,7,1,2,1,CLOSED
