repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
golang/go,75,0,113,10,2,71,2,4,6,CLOSED
golang/go,1,800,156,7,1,0,0,4,3,CLOSED
golang/go,3,0,25,3,1,1,1,2,1,CLOSED
golang/go,3,0,53,5,1,1,1,4,1,CLOSED
golang/go,124,0,288,7,8,91,25,4,3,CLOSED
golang/go,3,0,28,11,1,1,1,6,5,CLOSED
golang/go,9,0,219,6,3,3,3,3,3,CLOSED
golang/go,3,0,36,4,1,1,1,3,1,CLOSED
golang/go,5,0,116,4,1,2,2,3,1,CLOSED
golang/go,9,0,17,4,1,4,4,3,1,CLOSED
golang/go,3,0,53,5,1,1,1,3,2,CLOSED
golang/go,6,0,110,4,1,5,0,3,1,CLOSED
golang/go,16,0,57,5,1,15,0,3,2,CLOSED
golang/go,3,0,134,5,1,1,1,4,1,CLOSED
golang/go,3,0,45,5,1,1,1,3,2,CLOSED
golang/go,3,0,75,5,1,1,1,4,1,CLOSED
golang/go,3,0,107,7,1,1,1,3,4,CLOSED
golang/go,5,0,63,5,1,2,2,3,2,CLOSED
golang/go,7,0,183,4,1,6,0,3,1,CLOSED
golang/go,9,0,83,5,1,4,4,3,2,CLOSED
golang/go,9,0,183,7,1,8,0,4,3,CLOSED
golang/go,3,0,69,8,1,1,1,5,3,CLOSED
golang/go,9,0,0,2,1,4,4,2,0,CLOSED
golang/go,3,0,340,5,1,1,1,3,2,CLOSED
golang/go,32,0,84,4,4,22,6,3,1,CLOSED
golang/go,3,0,42,4,1,1,1,3,1,CLOSED
golang/go,9,0,646,5,1,4,4,3,2,CLOSED
golang/go,121,0,0,7,35,43,43,4,3,CLOSED
golang/go,214,0,152,6,4,187,23,5,1,CLOSED
golang/go,69,0,636,3,2,62,5,2,1,CLOSED
golang/go,14,0,448,3,1,13,0,2,1,CLOSED
golang/go,799,0,11,5,8,790,1,3,2,CLOSED
golang/go,511640,0,0,50,2543,288768,220329,49,1,CLOSED
golang/go,511640,0,0,50,2543,288768,220329,49,1,CLOSED
golang/go,27,0,237,3,9,9,9,2,1,CLOSED
golang/go,4,0,287,3,1,3,0,2,1,CLOSED
golang/go,2,0,121,6,1,1,0,3,3,CLOSED
golang/go,11,0,0,3,1,2,8,2,1,CLOSED
golang/go,5,0,0,3,1,2,2,2,1,CLOSED
golang/go,11,0,262,3,1,10,0,2,1,CLOSED
golang/go,12,0,151,3,1,11,0,2,1,CLOSED
golang/go,3,0,90,3,1,1,1,2,1,CLOSED
golang/go,9,0,270,9,1,8,0,3,6,CLOSED
golang/go,3,0,0,6,1,1,1,3,3,CLOSED
golang/go,50389,0,0,7,126,50011,252,6,1,CLOSED
golang/go,6,0,147,3,1,5,0,2,1,CLOSED
golang/go,3,0,95,6,1,1,1,3,3,CLOSED
golang/go,4,0,158,3,1,3,0,2,1,CLOSED
golang/go,5,0,0,6,1,2,2,3,3,CLOSED
golang/go,2,0,0,5,1,1,0,4,1,CLOSED
golang/go,14,0,107,3,1,13,0,2,1,CLOSED
golang/go,2,0,156,6,1,1,0,5,1,CLOSED
golang/go,3,0,686,5,1,1,1,3,2,CLOSED
golang/go,3,0,156,3,1,1,1,2,1,CLOSED
golang/go,864336,0,0,53,4767,581809,277760,52,1,CLOSED
golang/go,16,0,156,5,3,12,1,4,1,CLOSED
golang/go,955,0,156,14,29,807,119,14,0,CLOSED
golang/go,18,0,156,3,4,7,7,2,1,CLOSED
golang/go,2,0,156,3,1,1,0,2,1,CLOSED
golang/go,1,8,156,4,1,0,0,3,1,CLOSED
golang/go,55,0,428,3,6,16,33,2,1,CLOSED
golang/go,4,0,156,3,1,2,1,2,1,CLOSED
golang/go,15,0,156,3,1,7,7,2,1,CLOSED
golang/go,4,0,156,3,1,3,0,2,1,CLOSED
golang/go,83,0,156,6,17,33,33,4,2,CLOSED
golang/go,1,0,24,3,1,0,0,2,1,CLOSED
golang/go,7440,0,156,30,139,6235,1066,29,1,CLOSED
golang/go,6,0,224,3,1,5,0,2,1,CLOSED
golang/go,0,0,156,3,0,0,0,2,1,CLOSED
golang/go,18,0,24,3,1,16,1,2,1,CLOSED
golang/go,0,0,161,3,0,0,0,2,1,CLOSED
golang/go,0,0,161,4,0,0,0,2,2,CLOSED
golang/go,12,0,156,3,1,4,7,2,1,CLOSED
golang/go,77,0,3933,3,77,0,0,2,1,CLOSED
golang/go,0,0,178,3,0,0,0,2,1,CLOSED
golang/go,4,0,200,3,1,1,2,2,1,CLOSED
golang/go,2,0,31,3,1,1,0,2,1,CLOSED
golang/go,0,0,0,3,0,0,0,2,1,CLOSED
golang/go,7599,0,156,31,140,6367,1092,30,1,CLOSED
golang/go,3,0,325,3,1,1,1,2,1,CLOSED
golang/go,2,0,232,3,1,1,0,2,1,CLOSED
golang/go,4,0,622,3,1,2,1,2,1,CLOSED
golang/go,3,0,225,3,1,1,1,2,1,CLOSED
golang/go,8,0,74,18,1,3,4,7,11,CLOSED
golang/go,3,0,0,8,1,1,1,4,4,CLOSED
golang/go,14,4,74,44,2,10,2,4,40,CLOSED
golang/go,92,4,331,25,3,66,23,4,21,CLOSED
golang/go,3,0,0,11,1,1,1,3,8,CLOSED
golang/go,111,0,37,3,4,88,19,2,1,CLOSED
golang/go,3,0,0,9,1,1,1,3,6,CLOSED
golang/go,6,1365,45,29,1,5,0,6,23,CLOSED
golang/go,3,0,29,15,1,1,1,4,11,CLOSED
golang/go,127,10,1164,40,5,104,18,3,37,CLOSED
golang/go,3,0,25,8,1,1,1,3,5,CLOSED
golang/go,3,0,33,4,1,1,1,3,1,CLOSED
golang/go,3,0,32,6,1,1,1,3,3,CLOSED
golang/go,3,0,15,9,1,1,1,4,5,CLOSED
golang/go,6,4,73,7,2,2,2,3,4,CLOSED
golang/go,2,1,28,8,1,1,0,3,5,CLOSED
golang/go,29,5,1345,8,1,15,13,4,4,CLOSED
golang/go,64,0,52,12,14,25,25,4,8,CLOSED
golang/go,27,0,52,5,9,9,9,3,2,CLOSED
golang/go,16,5,223,13,2,13,1,3,10,CLOSED
golang/go,15,9,78,31,2,13,0,6,25,CLOSED
golang/go,3,0,55,8,1,1,1,4,4,CLOSED
golang/go,116,581,12,30,2,69,45,3,27,CLOSED
golang/go,22,0,12,14,2,15,5,3,11,CLOSED
golang/go,7,3,307,20,1,5,1,5,15,CLOSED
golang/go,3,0,153,9,1,1,1,3,6,CLOSED
golang/go,11,125,65,20,1,5,5,4,16,CLOSED
golang/go,2,0,13,8,1,1,0,3,5,CLOSED
golang/go,40,13,117,27,3,35,2,4,23,CLOSED
golang/go,13,0,108,13,3,5,5,3,10,CLOSED
golang/go,4,42,138,21,1,3,0,4,17,CLOSED
golang/go,1568157,0,754,64,6654,1200439,361064,64,0,CLOSED
golang/go,6,224,624,18,1,5,0,3,15,CLOSED
golang/go,238,32,501,47,4,218,16,3,44,CLOSED
golang/go,8,547,97,21,1,7,0,3,18,CLOSED
golang/go,24,1,86,25,1,17,6,3,22,CLOSED
golang/go,106,3,141,7,3,53,50,3,4,CLOSED
golang/go,3,0,433,12,1,2,0,3,9,CLOSED
golang/go,394,253,874,20,11,307,76,4,16,CLOSED
golang/go,3,0,0,7,1,1,1,3,4,CLOSED
golang/go,72,42,12,54,3,68,1,3,51,CLOSED
golang/go,19,123,300,33,4,11,4,4,29,CLOSED
golang/go,46,0,182,9,14,14,18,3,6,CLOSED
golang/go,3,0,32,6,1,1,1,3,3,CLOSED
golang/go,15,355,77,14,2,12,1,3,11,CLOSED
golang/go,2,1,0,7,1,1,0,3,4,CLOSED
golang/go,50,14,0,12,2,48,0,4,8,CLOSED
golang/go,4,0,147,8,1,2,1,3,5,CLOSED
golang/go,4,189,0,11,1,2,1,4,7,CLOSED
golang/go,3,0,13,9,1,2,0,3,6,CLOSED
golang/go,3,0,148,11,1,1,1,4,7,CLOSED
golang/go,3,0,0,10,1,1,1,4,6,CLOSED
golang/go,26,73,419,12,1,21,4,4,8,CLOSED
golang/go,3,1,83,12,1,1,1,3,9,CLOSED
golang/go,5,3,0,9,1,2,2,3,6,CLOSED
golang/go,357,45,405,30,18,158,181,3,27,CLOSED
golang/go,6,0,37,6,2,2,2,3,3,CLOSED
golang/go,1,0,1211,5,1,0,0,3,2,CLOSED
golang/go,3,0,80,18,1,1,1,3,15,CLOSED
golang/go,3,1,12,8,1,1,1,3,5,CLOSED
golang/go,29,1340,552,36,2,26,1,4,32,CLOSED
golang/go,36,0,116,5,1,27,8,2,3,CLOSED
golang/go,38,0,26,10,1,29,8,3,7,CLOSED
golang/go,18,0,1231,3,1,9,8,2,1,CLOSED
golang/go,18,0,1231,3,1,9,8,2,1,CLOSED
golang/go,18,0,1231,3,1,9,8,2,1,CLOSED
golang/go,18,0,1231,3,1,9,8,2,1,CLOSED
golang/go,18,0,1231,3,1,9,8,2,1,CLOSED
golang/go,3,0,1211,17,1,1,1,6,11,CLOSED
golang/go,11,196,507,18,1,7,3,3,15,CLOSED
golang/go,32,0,62,11,2,15,15,3,8,CLOSED
golang/go,21,4,519,6,3,17,1,4,2,CLOSED
golang/go,36,1336,402,7,2,33,1,4,3,CLOSED
golang/go,3,51,47,12,1,1,1,4,8,CLOSED
golang/go,5,0,1211,6,1,3,1,3,3,CLOSED
golang/go,3,0,29,10,1,1,1,3,7,CLOSED
golang/go,5,1,83,12,1,2,2,3,9,CLOSED
golang/go,3,1,223,8,1,1,1,3,5,CLOSED
golang/go,5,162,319,14,1,4,0,3,11,CLOSED
golang/go,2,0,1257,11,1,1,0,4,7,CLOSED
golang/go,3,362,608,12,1,1,1,3,9,CLOSED
golang/go,3,0,334,12,1,1,1,3,9,CLOSED
golang/go,3,0,340,13,1,1,1,3,10,CLOSED
golang/go,231,0,122,7,21,105,105,3,4,CLOSED
golang/go,26,3,1352,10,1,0,25,4,6,CLOSED
golang/go,117,1326,357,28,2,102,13,5,23,CLOSED
golang/go,3,155,244,10,1,1,1,3,7,CLOSED
golang/go,26,42,147,12,1,0,25,3,9,CLOSED
golang/go,97,18,697,45,3,91,3,3,42,CLOSED
golang/go,33,16,75,19,5,27,1,3,16,CLOSED
golang/go,11,0,424,7,1,0,10,3,4,CLOSED
golang/go,22,2,1449,10,1,20,1,3,7,CLOSED
golang/go,5,3,128,13,1,2,2,3,10,CLOSED
golang/go,9,88,61,7,1,8,0,4,3,CLOSED
golang/go,92,25,602,9,1,65,26,3,6,CLOSED
golang/go,17,307,167,6,2,14,1,3,3,CLOSED
golang/go,20,0,12,10,2,9,9,3,7,CLOSED
golang/go,13,0,779,32,3,9,1,4,28,OPEN
golang/go,33,0,119,11,2,30,1,3,8,CLOSED
golang/go,87,0,236,9,2,85,0,3,6,CLOSED
golang/go,2019,9,272,23,72,1481,466,20,3,CLOSED
golang/go,16,2,152,18,1,10,5,3,15,CLOSED
golang/go,96,1,249,13,2,88,6,3,10,CLOSED
golang/go,36,12,74,16,2,34,0,3,13,CLOSED
golang/go,7,97,162,14,1,5,1,3,11,CLOSED
golang/go,42,1,120,13,2,15,25,3,10,CLOSED
golang/go,3,0,0,6,1,1,1,3,3,CLOSED
golang/go,294,5,252,49,4,285,5,3,46,CLOSED
golang/go,1,1,35,10,1,0,0,4,6,CLOSED
golang/go,65,1300,12,42,4,55,6,4,38,CLOSED
golang/go,25,10,198,46,2,18,5,6,40,CLOSED
golang/go,6,0,33,3,1,2,3,2,1,CLOSED
golang/go,11,0,70,7,3,4,4,3,4,CLOSED
golang/go,10,0,280,12,1,9,0,3,9,CLOSED
golang/go,17,0,269,11,1,5,11,3,8,CLOSED
golang/go,9,0,197,11,1,5,3,3,8,CLOSED
golang/go,3,0,0,31,1,1,1,3,28,CLOSED
golang/go,6,97,410,7,1,5,0,3,4,CLOSED
golang/go,3,0,12,8,1,0,2,3,5,CLOSED
golang/go,5,1,133,12,1,2,2,3,9,CLOSED
golang/go,3,0,0,6,1,1,1,3,3,CLOSED
golang/go,49,288,1378,10,1,4,44,3,7,CLOSED
golang/go,3,0,0,6,1,1,1,3,3,CLOSED
golang/go,11,0,105,12,1,8,2,3,9,CLOSED
golang/go,7,0,0,6,1,3,3,3,3,CLOSED
golang/go,5013,0,76,12,22,2506,2485,3,9,CLOSED
golang/go,37,69,964,47,2,26,9,4,43,CLOSED
golang/go,81,0,427,17,2,52,27,3,14,CLOSED
golang/go,14,1,0,32,1,11,2,3,29,CLOSED
golang/go,14,2,104,9,1,11,2,3,6,CLOSED
golang/go,149,62,146,33,7,106,36,3,30,CLOSED
golang/go,277,1271,317,14,73,149,55,4,10,CLOSED
golang/go,5,0,57,5,1,2,2,3,2,CLOSED
golang/go,4,171,173,19,2,2,0,4,15,CLOSED
golang/go,3,0,0,8,1,1,1,3,5,CLOSED
golang/go,3,0,90,6,1,1,1,3,3,CLOSED
golang/go,3,0,18,11,1,1,1,4,7,CLOSED
golang/go,5112,0,1229,31,79,4942,91,30,1,CLOSED
golang/go,3,0,0,7,1,1,1,3,4,CLOSED
golang/go,3,48,65,11,1,1,1,4,7,CLOSED
golang/go,134,12,424,40,6,121,7,3,37,CLOSED
golang/go,15,120,77,12,1,10,4,3,9,CLOSED
golang/go,7,0,259,10,1,5,1,3,7,CLOSED
golang/go,34,294,74,33,3,28,3,3,30,CLOSED
golang/go,26,469,108,17,2,24,0,3,14,CLOSED
golang/go,5,2,12,31,1,2,2,3,28,CLOSED
golang/go,5,1,327,24,1,3,1,3,21,CLOSED
golang/go,60,45,291,32,3,38,19,3,29,CLOSED
golang/go,3,2,127,12,1,1,1,3,9,CLOSED
golang/go,10,0,52,19,2,6,2,3,16,CLOSED
golang/go,6538,0,1211,35,159,5284,1095,34,1,CLOSED
golang/go,10,0,69,4,1,9,0,3,1,CLOSED
golang/go,14,0,180,9,1,7,6,3,6,CLOSED
golang/go,3,21,528,29,1,1,1,3,26,CLOSED
golang/go,31,9,290,10,2,29,0,3,7,CLOSED
golang/go,8,37,120,12,2,3,3,3,9,CLOSED
golang/go,154,4,1211,13,2,130,22,5,8,CLOSED
golang/go,16,0,0,7,1,8,7,3,4,CLOSED
golang/go,14,0,0,3,2,12,0,2,1,CLOSED
golang/go,20,18,363,24,1,19,0,3,21,CLOSED
golang/go,9,1,51,5,1,4,4,3,2,CLOSED
golang/go,2,0,12,10,1,0,1,3,7,CLOSED
golang/go,13,220,401,27,3,7,3,3,24,CLOSED
