repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
goldbergyoni/nodebestpractices,22,0,0,1,1,11,10,1,0,MERGED
goldbergyoni/nodebestpractices,57,0,0,1,1,50,6,1,0,MERGED
goldbergyoni/nodebestpractices,20,0,0,1,1,9,10,1,0,MERGED
goldbergyoni/nodebestpractices,4,23,34,5,1,3,0,2,3,CLOSED
goldbergyoni/nodebestpractices,5,0,56,3,1,3,1,2,1,MERGED
goldbergyoni/nodebestpractices,5,0,82,1,1,2,2,1,0,MERGED
goldbergyoni/nodebestpractices,3,0,110,3,1,1,1,2,1,MERGED
goldbergyoni/nodebestpractices,3,0,54,4,1,1,1,3,1,MERGED
goldbergyoni/nodebestpractices,3,0,0,4,1,1,1,3,1,MERGED
goldbergyoni/nodebestpractices,184,326,9,18,1,181,2,4,14,CLOSED
goldbergyoni/nodebestpractices,5,0,45,4,1,2,2,3,1,MERGED
goldbergyoni/nodebestpractices,275,516,54,26,7,131,137,6,20,CLOSED
goldbergyoni/nodebestpractices,23,0,0,4,1,11,11,2,2,MERGED
goldbergyoni/nodebestpractices,3,0,114,3,1,1,1,2,1,MERGED
goldbergyoni/nodebestpractices,86,1,40,6,1,43,42,3,3,MERGED
goldbergyoni/nodebestpractices,5,0,50,4,1,2,2,2,2,MERGED
goldbergyoni/nodebestpractices,9,0,137,4,1,4,4,3,1,MERGED
goldbergyoni/nodebestpractices,3,0,0,3,1,1,1,3,0,MERGED
goldbergyoni/nodebestpractices,3,0,0,3,1,1,1,2,1,MERGED
goldbergyoni/nodebestpractices,7,0,0,3,1,3,3,2,1,MERGED
goldbergyoni/nodebestpractices,76,3,0,8,22,27,27,3,5,MERGED
goldbergyoni/nodebestpractices,21,3,134,3,1,10,10,2,1,MERGED
goldbergyoni/nodebestpractices,174,1,108,2,1,173,0,2,0,MERGED
goldbergyoni/nodebestpractices,13,0,143,3,1,6,6,2,1,MERGED
goldbergyoni/nodebestpractices,8,0,0,2,1,6,1,2,0,MERGED
goldbergyoni/nodebestpractices,48,1,0,5,1,45,2,3,2,CLOSED
goldbergyoni/nodebestpractices,12,314,0,12,2,7,3,5,7,CLOSED
goldbergyoni/nodebestpractices,3,0,63,3,1,1,1,2,1,MERGED
goldbergyoni/nodebestpractices,1,0,0,1,1,0,0,1,0,CLOSED
goldbergyoni/nodebestpractices,3,164,373,3,1,2,0,2,1,CLOSED
goldbergyoni/nodebestpractices,3,0,110,3,1,1,1,2,1,MERGED
goldbergyoni/nodebestpractices,6,7,144,6,2,2,2,3,3,CLOSED
goldbergyoni/nodebestpractices,5,0,0,3,1,2,2,2,1,MERGED
goldbergyoni/nodebestpractices,4,1,1,2,1,3,0,2,0,MERGED
goldbergyoni/nodebestpractices,23,4,966,7,1,7,15,3,4,MERGED
goldbergyoni/nodebestpractices,5,1,101,3,1,2,2,2,1,MERGED
goldbergyoni/nodebestpractices,8,1,71,2,2,3,3,2,0,MERGED
goldbergyoni/nodebestpractices,3,0,34,3,1,1,1,2,1,MERGED
goldbergyoni/nodebestpractices,13,315,154,12,1,10,2,6,6,CLOSED
goldbergyoni/nodebestpractices,27,177,1175,8,2,25,0,3,5,CLOSED
goldbergyoni/nodebestpractices,20,2,168,5,2,17,1,3,2,MERGED
goldbergyoni/nodebestpractices,11,1,35,2,1,5,5,2,0,MERGED
goldbergyoni/nodebestpractices,3,0,162,7,1,1,1,3,4,MERGED
goldbergyoni/nodebestpractices,5,0,76,5,1,2,2,2,3,MERGED
