repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
gothinkster/realworld,33,0,28,3,1,16,16,2,1,MERGED
gothinkster/realworld,11,0,0,2,1,5,5,2,0,MERGED
gothinkster/realworld,9,0,24,3,1,5,3,2,1,MERGED
gothinkster/realworld,3,0,0,3,1,1,1,2,1,MERGED
gothinkster/realworld,3,0,0,3,1,1,1,3,0,MERGED
gothinkster/realworld,5,0,58,3,1,2,2,2,1,MERGED
gothinkster/realworld,4,0,33,3,1,2,1,2,1,MERGED
gothinkster/realworld,3,0,0,2,1,1,1,2,0,MERGED
gothinkster/realworld,805,0,249,4,2,758,45,2,2,MERGED
gothinkster/realworld,3,0,33,2,1,1,1,2,0,MERGED
gothinkster/realworld,13,0,116,3,1,6,6,2,1,MERGED
gothinkster/realworld,3,0,0,2,1,1,1,2,0,MERGED
gothinkster/realworld,1218,0,324,7,1,1217,0,4,3,MERGED
gothinkster/realworld,582,1,13,2,3,310,269,2,0,MERGED
gothinkster/realworld,14,1,61,12,3,9,2,4,8,MERGED
gothinkster/realworld,3,0,0,2,1,1,1,2,0,MERGED
gothinkster/realworld,3,0,0,2,1,1,1,2,0,MERGED
gothinkster/realworld,5,0,0,3,1,2,2,2,1,MERGED
gothinkster/realworld,5,2,0,2,1,2,2,2,0,MERGED
gothinkster/realworld,18,0,0,3,1,9,8,2,1,MERGED
gothinkster/realworld,3,0,49,1,1,1,1,1,0,MERGED
gothinkster/realworld,5,0,0,1,1,2,2,1,0,MERGED
gothinkster/realworld,3,0,17,1,1,1,1,1,0,CLOSED
gothinkster/realworld,3,44,0,2,1,1,1,2,0,MERGED
gothinkster/realworld,5,31,88,3,1,4,0,2,1,MERGED
gothinkster/realworld,3,0,0,2,1,1,1,2,0,MERGED
gothinkster/realworld,16,0,88,2,2,7,7,2,0,MERGED
gothinkster/realworld,6,1,52,8,1,5,0,3,5,MERGED
gothinkster/realworld,3,1,11,2,1,1,1,2,0,MERGED
gothinkster/realworld,9,0,0,2,1,4,4,2,0,MERGED
gothinkster/realworld,3,4,0,3,1,1,1,2,1,MERGED
gothinkster/realworld,7,0,0,3,1,6,0,2,1,MERGED
gothinkster/realworld,5,0,0,2,1,2,2,2,0,MERGED
gothinkster/realworld,3,1,0,3,1,1,1,2,1,MERGED
gothinkster/realworld,7,20,108,5,1,3,3,2,3,MERGED
gothinkster/realworld,3,114,8,3,1,1,1,2,1,CLOSED
gothinkster/realworld,3,99,0,3,1,1,1,2,1,CLOSED
gothinkster/realworld,3,0,0,3,1,1,1,2,1,MERGED
