repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
iluwatar/java-design-patterns,108,2,45,6,8,98,2,2,4,MERGED
iluwatar/java-design-patterns,8,15,0,2,2,3,3,1,1,CLOSED
iluwatar/java-design-patterns,715,2,204,5,12,702,1,2,3,MERGED
iluwatar/java-design-patterns,996,0,186,2,24,465,507,2,0,MERGED
iluwatar/java-design-patterns,3,0,110,2,1,1,1,2,0,MERGED
iluwatar/java-design-patterns,1973,0,79,2,151,952,870,2,0,MERGED
iluwatar/java-design-patterns,36,0,29,4,2,32,2,2,2,MERGED
iluwatar/java-design-patterns,1,0,416,2,1,0,0,2,0,MERGED
iluwatar/java-design-patterns,33,0,394,2,4,7,22,2,0,MERGED
iluwatar/java-design-patterns,2804,3,33,9,53,2726,25,2,7,MERGED
iluwatar/java-design-patterns,36,0,39,4,3,11,22,2,2,MERGED
iluwatar/java-design-patterns,99,1,0,4,5,5,89,3,1,MERGED
iluwatar/java-design-patterns,135,0,78,5,8,127,0,3,2,MERGED
iluwatar/java-design-patterns,16,0,53,2,1,15,0,2,0,MERGED
iluwatar/java-design-patterns,23,2,87,13,2,21,0,4,9,MERGED
iluwatar/java-design-patterns,2000,0,70,16,14,1985,1,2,14,MERGED
iluwatar/java-design-patterns,82,0,0,6,1,54,27,3,3,MERGED
iluwatar/java-design-patterns,101,0,0,3,1,66,34,3,0,MERGED
iluwatar/java-design-patterns,3,0,0,2,1,1,1,2,0,MERGED
iluwatar/java-design-patterns,985,0,96,2,7,80,898,2,0,MERGED
iluwatar/java-design-patterns,90,1,0,6,3,86,1,2,4,MERGED
iluwatar/java-design-patterns,306,0,147,4,11,295,0,2,2,MERGED
iluwatar/java-design-patterns,164,3,0,6,9,57,98,2,4,MERGED
iluwatar/java-design-patterns,596,0,50,5,21,300,275,2,3,MERGED
iluwatar/java-design-patterns,11,0,190,6,1,8,2,3,3,MERGED
iluwatar/java-design-patterns,564,0,0,12,17,545,2,4,8,CLOSED
iluwatar/java-design-patterns,3,1,26,5,1,1,1,2,3,CLOSED
iluwatar/java-design-patterns,152,0,0,3,10,140,2,2,1,MERGED
iluwatar/java-design-patterns,6,2,382,3,2,3,1,2,1,MERGED
iluwatar/java-design-patterns,316,0,59,8,10,303,3,2,6,MERGED
iluwatar/java-design-patterns,346,0,153,5,4,338,4,3,2,CLOSED
iluwatar/java-design-patterns,399,0,642,15,15,382,2,3,12,MERGED
iluwatar/java-design-patterns,417,0,0,2,15,399,3,2,0,MERGED
iluwatar/java-design-patterns,64,2,74,5,8,51,5,3,2,MERGED
iluwatar/java-design-patterns,282,0,141,3,10,272,0,2,1,MERGED
iluwatar/java-design-patterns,114,18,174,6,1,107,6,2,4,CLOSED
iluwatar/java-design-patterns,11,0,123,4,1,5,5,3,1,MERGED
iluwatar/java-design-patterns,3,0,34,2,1,1,1,2,0,MERGED
iluwatar/java-design-patterns,3,0,66,2,1,1,1,2,0,MERGED
iluwatar/java-design-patterns,0,0,0,1,0,0,0,1,0,CLOSED
iluwatar/java-design-patterns,491,0,95,7,66,363,62,2,5,MERGED
iluwatar/java-design-patterns,373,1,151,5,9,363,1,2,3,MERGED
iluwatar/java-design-patterns,3,0,176,3,1,1,1,2,1,MERGED
iluwatar/java-design-patterns,107,0,62,2,1,53,53,2,0,MERGED
iluwatar/java-design-patterns,11,0,0,5,1,5,5,3,2,MERGED
iluwatar/java-design-patterns,6,0,106,3,1,4,1,2,1,MERGED
iluwatar/java-design-patterns,551,3,28,5,9,542,0,2,3,MERGED
iluwatar/java-design-patterns,345,0,269,5,1,257,87,2,3,MERGED
iluwatar/java-design-patterns,78,0,105,2,1,44,33,2,0,MERGED
iluwatar/java-design-patterns,54,0,267,3,1,35,18,2,1,MERGED
iluwatar/java-design-patterns,3,0,385,2,1,2,0,2,0,MERGED
iluwatar/java-design-patterns,3,0,198,2,1,2,0,2,0,MERGED
iluwatar/java-design-patterns,741,60,0,20,12,553,176,3,17,CLOSED
iluwatar/java-design-patterns,0,2,32,1,0,0,0,1,0,CLOSED
iluwatar/java-design-patterns,27,0,181,5,3,5,19,2,3,MERGED
iluwatar/java-design-patterns,313,32,0,20,8,305,0,5,15,CLOSED
iluwatar/java-design-patterns,28,1,49,3,1,27,0,2,1,CLOSED
iluwatar/java-design-patterns,879,19,0,24,12,866,1,3,21,MERGED
iluwatar/java-design-patterns,459,11,125,12,8,451,0,3,9,MERGED
