repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
jackfrued/Python-100-Days,3,21,0,6,1,1,1,3,3,CLOSED
jackfrued/Python-100-Days,3,14,8,2,1,1,1,2,0,MERGED
jackfrued/Python-100-Days,955,85,528,6,11,923,21,3,3,CLOSED
jackfrued/Python-100-Days,76,0,0,1,1,75,0,1,0,OPEN
jackfrued/Python-100-Days,0,0,4,1,0,0,0,1,0,CLOSED
jackfrued/Python-100-Days,3,95,8,3,1,1,1,2,1,MERGED
jackfrued/Python-100-Days,8,94,6,3,1,3,4,2,1,CLOSED
jackfrued/Python-100-Days,5,72,0,2,1,2,2,2,0,MERGED
jackfrued/Python-100-Days,3,9,788,5,1,1,1,2,3,CLOSED
jackfrued/Python-100-Days,7,9,0,6,1,3,3,4,2,CLOSED
jackfrued/Python-100-Days,4,0,40,1,1,2,1,1,0,CLOSED
jackfrued/Python-100-Days,7,1,56,3,1,3,3,2,1,CLOSED
jackfrued/Python-100-Days,7,0,102,3,1,3,3,2,1,CLOSED
jackfrued/Python-100-Days,14,11,0,2,1,9,4,2,0,MERGED
jackfrued/Python-100-Days,3,0,9,3,1,1,1,2,1,MERGED
jackfrued/Python-100-Days,5,11,19,2,1,2,2,2,0,CLOSED
jackfrued/Python-100-Days,6,0,30,1,1,3,2,1,0,CLOSED
jackfrued/Python-100-Days,8,0,60,2,1,7,0,2,0,MERGED
jackfrued/Python-100-Days,0,0,95,3,0,0,0,2,1,CLOSED
jackfrued/Python-100-Days,2,9,0,2,1,1,0,2,0,CLOSED
jackfrued/Python-100-Days,124,9,389,10,20,52,52,5,5,MERGED
jackfrued/Python-100-Days,35,8,75,2,1,31,3,2,0,CLOSED
jackfrued/Python-100-Days,3,8,22,3,1,1,1,2,1,CLOSED
jackfrued/Python-100-Days,7,6,12,2,1,3,3,2,0,CLOSED
jackfrued/Python-100-Days,7,6,0,2,1,4,2,2,0,CLOSED
jackfrued/Python-100-Days,5,6,6,2,1,2,2,2,0,CLOSED
jackfrued/Python-100-Days,4,6,11,2,1,2,1,2,0,CLOSED
jackfrued/Python-100-Days,11,4,77,2,2,9,0,2,0,MERGED
jackfrued/Python-100-Days,1,4,265,3,1,0,0,2,1,MERGED
jackfrued/Python-100-Days,5,3,18,2,1,2,2,2,0,CLOSED
jackfrued/Python-100-Days,5,3,8,3,1,2,2,2,1,CLOSED
jackfrued/Python-100-Days,5,3,29,2,1,2,2,2,0,CLOSED
jackfrued/Python-100-Days,5,2,7,3,1,2,2,2,1,CLOSED
jackfrued/Python-100-Days,3,2,0,5,1,1,1,3,2,CLOSED
jackfrued/Python-100-Days,4,2,15,2,1,2,1,2,0,CLOSED
jackfrued/Python-100-Days,4,2,0,3,1,1,2,2,1,CLOSED
jackfrued/Python-100-Days,5,1,19,3,1,2,2,2,1,MERGED
jackfrued/Python-100-Days,5,1,6,5,1,2,2,3,2,CLOSED
jackfrued/Python-100-Days,2,1,0,2,1,1,0,2,0,CLOSED
jackfrued/Python-100-Days,4,1,10,3,2,1,1,2,1,MERGED
jackfrued/Python-100-Days,7,0,0,2,1,4,2,2,0,CLOSED
jackfrued/Python-100-Days,327,0,0,1,15,310,2,1,0,CLOSED
jackfrued/Python-100-Days,5,0,25,3,1,2,2,2,1,CLOSED
jackfrued/Python-100-Days,3,0,13,1,1,1,1,1,0,CLOSED
jackfrued/Python-100-Days,3,0,60,3,1,1,1,2,1,MERGED
jackfrued/Python-100-Days,3,0,19,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,3,0,0,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,54,0,359,3,2,26,26,2,1,OPEN
jackfrued/Python-100-Days,5,0,0,1,1,2,2,1,0,OPEN
jackfrued/Python-100-Days,3,0,15,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,8,86,0,2,1,3,4,1,1,CLOSED
jackfrued/Python-100-Days,5,0,53,1,1,3,1,1,0,OPEN
jackfrued/Python-100-Days,10,0,25,1,1,5,4,1,0,OPEN
jackfrued/Python-100-Days,6,0,23,1,1,4,1,1,0,OPEN
jackfrued/Python-100-Days,10,0,32,1,1,4,5,1,0,OPEN
jackfrued/Python-100-Days,48,0,81,1,2,44,2,1,0,OPEN
jackfrued/Python-100-Days,3,0,26,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,3,0,30,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,4,0,27,1,1,1,2,1,0,OPEN
jackfrued/Python-100-Days,3,0,11,1,1,2,0,1,0,OPEN
jackfrued/Python-100-Days,6,0,0,1,1,2,3,1,0,OPEN
jackfrued/Python-100-Days,4,10,48,1,2,1,1,1,0,CLOSED
jackfrued/Python-100-Days,3,1067,7,1,1,1,1,1,0,CLOSED
jackfrued/Python-100-Days,3,0,30,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,24,0,27,1,1,23,0,1,0,OPEN
jackfrued/Python-100-Days,55,0,15,3,1,41,13,2,1,OPEN
jackfrued/Python-100-Days,0,0,15,2,0,0,0,1,1,OPEN
jackfrued/Python-100-Days,3,5,40,1,1,1,1,1,0,CLOSED
jackfrued/Python-100-Days,5,1,0,1,1,2,2,1,0,CLOSED
jackfrued/Python-100-Days,3,0,169,1,1,0,2,1,0,OPEN
jackfrued/Python-100-Days,0,0,5,1,0,0,0,1,0,OPEN
jackfrued/Python-100-Days,0,0,11,1,0,0,0,1,0,OPEN
jackfrued/Python-100-Days,4,0,7,1,1,1,2,1,0,CLOSED
jackfrued/Python-100-Days,0,0,5,1,0,0,0,1,0,CLOSED
jackfrued/Python-100-Days,3,526,14,3,1,1,1,2,1,CLOSED
jackfrued/Python-100-Days,5,0,0,1,1,2,2,1,0,OPEN
jackfrued/Python-100-Days,3,0,41,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,3,0,28,5,1,1,1,2,3,OPEN
jackfrued/Python-100-Days,13,547,33,2,2,5,6,1,1,CLOSED
jackfrued/Python-100-Days,3,0,0,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,5,0,6,1,1,4,0,1,0,OPEN
jackfrued/Python-100-Days,3,0,82,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,5,0,22,1,1,2,2,1,0,OPEN
jackfrued/Python-100-Days,56,147,43,1,1,54,1,1,0,CLOSED
jackfrued/Python-100-Days,21,0,6,1,1,19,1,1,0,OPEN
jackfrued/Python-100-Days,3,0,14,1,1,2,0,1,0,OPEN
jackfrued/Python-100-Days,0,0,6,1,0,0,0,1,0,OPEN
jackfrued/Python-100-Days,0,0,2,1,0,0,0,1,0,OPEN
jackfrued/Python-100-Days,0,0,72,1,0,0,0,1,0,CLOSED
jackfrued/Python-100-Days,13,0,28,1,1,11,1,1,0,OPEN
jackfrued/Python-100-Days,7,1049,10,1,1,3,3,1,0,CLOSED
jackfrued/Python-100-Days,0,817,4,1,0,0,0,1,0,CLOSED
jackfrued/Python-100-Days,3,0,49,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,3,0,0,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,4,1017,0,31,1,1,2,16,15,CLOSED
jackfrued/Python-100-Days,13,0,18,1,1,6,6,1,0,OPEN
jackfrued/Python-100-Days,11,0,0,1,1,5,5,1,0,OPEN
jackfrued/Python-100-Days,0,0,6,1,0,0,0,1,0,OPEN
jackfrued/Python-100-Days,17,0,8,2,1,11,5,2,0,OPEN
jackfrued/Python-100-Days,3,0,26,1,1,1,1,1,0,OPEN
jackfrued/Python-100-Days,3,0,4,3,1,1,1,2,1,OPEN
