repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
jlevy/the-art-of-command-line,21,2,68,5,1,20,0,2,3,CLOSED
jlevy/the-art-of-command-line,11,0,7,3,1,5,5,2,1,MERGED
jlevy/the-art-of-command-line,3,0,0,3,1,1,1,2,1,MERGED
jlevy/the-art-of-command-line,3,0,72,3,1,1,1,2,1,MERGED
jlevy/the-art-of-command-line,2,0,98,3,1,0,1,2,1,CLOSED
jlevy/the-art-of-command-line,3,4,159,6,1,2,0,3,3,MERGED
jlevy/the-art-of-command-line,3,4,0,7,1,1,1,4,3,MERGED
jlevy/the-art-of-command-line,2,0,57,3,1,0,1,2,1,CLOSED
jlevy/the-art-of-command-line,3,0,177,1,1,1,1,1,0,CLOSED
jlevy/the-art-of-command-line,3,0,233,3,1,2,0,2,1,MERGED
jlevy/the-art-of-command-line,3,0,41,3,1,1,1,2,1,CLOSED
jlevy/the-art-of-command-line,5,0,0,4,1,4,0,2,2,MERGED
jlevy/the-art-of-command-line,7,0,287,3,1,3,3,2,1,MERGED
jlevy/the-art-of-command-line,3,0,0,3,1,2,0,2,1,MERGED
jlevy/the-art-of-command-line,3,0,230,6,1,1,1,3,3,CLOSED
jlevy/the-art-of-command-line,5,1,0,3,1,2,2,2,1,CLOSED
jlevy/the-art-of-command-line,9,0,0,3,1,4,4,2,1,MERGED
jlevy/the-art-of-command-line,10,3,50,5,1,9,0,2,3,CLOSED
jlevy/the-art-of-command-line,5,0,34,3,1,4,0,2,1,MERGED
jlevy/the-art-of-command-line,3,0,0,3,1,1,1,2,1,MERGED
jlevy/the-art-of-command-line,3,0,209,3,1,1,1,2,1,MERGED
jlevy/the-art-of-command-line,3,0,90,3,1,1,1,2,1,MERGED
jlevy/the-art-of-command-line,6,3,0,5,1,5,0,3,2,CLOSED
jlevy/the-art-of-command-line,11,3,134,4,1,10,0,2,2,MERGED
jlevy/the-art-of-command-line,27,0,0,7,1,13,13,2,5,MERGED
jlevy/the-art-of-command-line,3,0,111,3,1,1,1,2,1,MERGED
jlevy/the-art-of-command-line,4,0,120,3,1,2,1,2,1,MERGED
jlevy/the-art-of-command-line,3,3,72,7,1,2,0,3,4,MERGED
jlevy/the-art-of-command-line,3,0,113,6,1,1,1,3,3,CLOSED
jlevy/the-art-of-command-line,4,0,0,2,1,3,0,1,1,CLOSED
jlevy/the-art-of-command-line,6,0,93,5,1,4,1,2,3,MERGED
jlevy/the-art-of-command-line,3,0,0,4,1,2,0,2,2,CLOSED
