repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
justjavac/free-programming-books-zh_CN,2,0,0,2,1,1,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,2,0,24,2,1,1,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,2,0,0,2,1,1,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,2,0,0,2,1,1,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,2,0,0,2,1,1,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,3,1,0,2,1,1,1,2,0,MERGED
justjavac/free-programming-books-zh_CN,14,0,61,2,1,13,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,2,0,41,2,1,1,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,3,0,15,2,1,2,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,3,0,0,2,1,2,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,3,0,39,2,1,1,1,2,0,MERGED
justjavac/free-programming-books-zh_CN,3,0,73,2,1,2,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,3,0,29,3,1,2,0,2,1,MERGED
justjavac/free-programming-books-zh_CN,3,0,27,2,1,2,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,3,0,7,6,1,1,1,3,3,CLOSED
justjavac/free-programming-books-zh_CN,7,1,10,4,1,6,0,2,2,CLOSED
justjavac/free-programming-books-zh_CN,6,3,13,2,1,5,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,4,2,35,3,1,2,1,2,1,MERGED
justjavac/free-programming-books-zh_CN,2,0,26,2,1,1,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,8,31,6,2,1,6,1,2,0,CLOSED
justjavac/free-programming-books-zh_CN,4,2,0,2,1,3,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,2,0,13,3,1,1,0,2,1,MERGED
justjavac/free-programming-books-zh_CN,8,110,0,5,1,5,2,3,2,CLOSED
justjavac/free-programming-books-zh_CN,3,0,0,3,1,1,1,2,1,MERGED
justjavac/free-programming-books-zh_CN,2,0,0,3,1,1,0,2,1,MERGED
justjavac/free-programming-books-zh_CN,2,0,0,2,1,1,0,2,0,MERGED
justjavac/free-programming-books-zh_CN,2,0,0,1,1,1,0,1,0,CLOSED
justjavac/free-programming-books-zh_CN,43,0,0,1,1,35,7,1,0,CLOSED
justjavac/free-programming-books-zh_CN,43,0,0,4,1,35,7,2,2,CLOSED
justjavac/free-programming-books-zh_CN,2,3,0,3,1,1,0,2,1,MERGED
justjavac/free-programming-books-zh_CN,7,0,39,3,1,6,0,2,1,MERGED
justjavac/free-programming-books-zh_CN,2,0,0,3,1,1,0,2,1,MERGED
justjavac/free-programming-books-zh_CN,2,0,24,3,1,1,0,2,1,MERGED
