repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
jwasham/coding-interview-university,1323,0,15,3,1,661,661,2,1,CLOSED
jwasham/coding-interview-university,3,0,4,1,1,1,1,1,0,CLOSED
jwasham/coding-interview-university,3,0,0,3,1,1,1,3,0,MERGED
jwasham/coding-interview-university,3,0,727,2,1,1,1,2,0,MERGED
jwasham/coding-interview-university,22,0,0,4,1,21,0,3,1,CLOSED
jwasham/coding-interview-university,190,0,115,8,1,87,102,3,5,MERGED
jwasham/coding-interview-university,664,0,77,2,1,325,338,2,0,MERGED
jwasham/coding-interview-university,9,0,5,2,1,4,4,2,0,MERGED
jwasham/coding-interview-university,702,0,55,4,1,325,376,2,2,MERGED
jwasham/coding-interview-university,39,0,81,2,1,19,19,2,0,MERGED
jwasham/coding-interview-university,1317,0,352,6,1,658,658,3,3,CLOSED
jwasham/coding-interview-university,3,0,0,3,1,1,1,2,1,MERGED
jwasham/coding-interview-university,2,0,37,3,1,1,0,2,1,MERGED
jwasham/coding-interview-university,1321,0,72,3,1,660,660,2,1,MERGED
jwasham/coding-interview-university,1317,0,280,3,1,658,658,2,1,CLOSED
jwasham/coding-interview-university,7,0,0,2,1,4,2,2,0,MERGED
jwasham/coding-interview-university,3,0,0,1,1,1,1,1,0,CLOSED
jwasham/coding-interview-university,13,0,38,4,2,10,1,3,1,MERGED
jwasham/coding-interview-university,3,0,181,5,1,1,1,2,3,CLOSED
jwasham/coding-interview-university,3,0,105,3,1,1,1,2,1,MERGED
jwasham/coding-interview-university,14,0,326,2,1,7,6,2,0,MERGED
jwasham/coding-interview-university,1658,0,80,6,2,1656,0,5,1,MERGED
jwasham/coding-interview-university,3,0,0,2,1,1,1,2,0,MERGED
jwasham/coding-interview-university,19,0,165,3,1,9,9,2,1,MERGED
jwasham/coding-interview-university,19,0,149,5,1,18,0,3,2,MERGED
jwasham/coding-interview-university,5,0,48,4,1,3,1,2,2,MERGED
jwasham/coding-interview-university,21,0,0,1,1,10,10,1,0,CLOSED
jwasham/coding-interview-university,4,0,152,4,1,3,0,2,2,MERGED
jwasham/coding-interview-university,15,0,151,3,1,7,7,2,1,MERGED
jwasham/coding-interview-university,1,0,0,2,1,0,0,2,0,CLOSED
jwasham/coding-interview-university,1317,0,36,1,1,658,658,1,0,CLOSED
jwasham/coding-interview-university,93,0,70,3,1,48,44,2,1,MERGED
jwasham/coding-interview-university,0,0,7,1,0,0,0,1,0,CLOSED
jwasham/coding-interview-university,0,0,0,2,0,0,0,1,1,CLOSED
jwasham/coding-interview-university,0,0,21,1,0,0,0,1,0,CLOSED
jwasham/coding-interview-university,0,0,7,1,0,0,0,1,0,CLOSED
jwasham/coding-interview-university,0,0,7,1,0,0,0,1,0,CLOSED
jwasham/coding-interview-university,0,0,0,1,0,0,0,1,0,CLOSED
jwasham/coding-interview-university,2,0,4,2,2,0,0,1,1,CLOSED
jwasham/coding-interview-university,0,0,10,1,0,0,0,1,0,CLOSED
jwasham/coding-interview-university,3,0,0,4,1,1,1,3,1,MERGED
jwasham/coding-interview-university,0,0,0,0,0,0,0,0,0,CLOSED
jwasham/coding-interview-university,7,0,0,3,1,3,3,2,1,MERGED
jwasham/coding-interview-university,2,0,78,3,1,1,0,2,1,MERGED
jwasham/coding-interview-university,181,0,0,1,1,90,90,1,0,CLOSED
jwasham/coding-interview-university,19,0,0,1,1,9,9,1,0,CLOSED
jwasham/coding-interview-university,18,0,0,1,1,8,9,1,0,CLOSED
jwasham/coding-interview-university,5,0,0,1,1,0,4,1,0,CLOSED
jwasham/coding-interview-university,3,0,0,1,1,1,1,1,0,CLOSED
jwasham/coding-interview-university,28,0,34,3,1,13,14,2,1,MERGED
jwasham/coding-interview-university,3,0,21,3,1,1,1,2,1,MERGED
jwasham/coding-interview-university,5,0,121,2,1,2,2,2,0,MERGED
jwasham/coding-interview-university,38,0,0,3,1,18,19,2,1,CLOSED
jwasham/coding-interview-university,0,0,17,1,0,0,0,1,0,CLOSED
jwasham/coding-interview-university,3,0,24,3,1,1,1,2,1,MERGED
jwasham/coding-interview-university,3,0,0,1,1,1,1,1,0,CLOSED
jwasham/coding-interview-university,2025,0,291,3,2,2022,1,2,1,MERGED
jwasham/coding-interview-university,3,0,0,3,1,1,1,2,1,MERGED
jwasham/coding-interview-university,3,0,41,3,1,1,1,2,1,MERGED
jwasham/coding-interview-university,3945,158,536,20,2,1923,2020,9,11,MERGED
jwasham/coding-interview-university,3,0,0,3,1,1,1,2,1,MERGED
jwasham/coding-interview-university,1681,3,51,7,2,1678,1,3,4,MERGED
jwasham/coding-interview-university,2015,22,0,6,1,2014,0,2,4,MERGED
jwasham/coding-interview-university,3,0,131,2,1,2,0,2,0,MERGED
jwasham/coding-interview-university,2010,0,124,2,1,2009,0,2,0,MERGED
jwasham/coding-interview-university,2002,1436,0,22,1,2001,0,13,9,MERGED
jwasham/coding-interview-university,2019,8,0,4,1,2018,0,3,1,MERGED
jwasham/coding-interview-university,2007,71,473,16,2,1979,26,5,11,MERGED
jwasham/coding-interview-university,31,0,18,3,1,15,15,3,0,MERGED
jwasham/coding-interview-university,6,0,360,10,1,5,0,4,6,MERGED
jwasham/coding-interview-university,2010,14,117,13,1,2009,0,4,9,MERGED
jwasham/coding-interview-university,55,3,0,3,1,27,27,2,1,MERGED
jwasham/coding-interview-university,76,1671,67,15,1,37,38,6,9,CLOSED
jwasham/coding-interview-university,7,26,29,6,1,2,4,3,3,CLOSED
jwasham/coding-interview-university,3,0,241,2,1,1,1,2,0,MERGED
jwasham/coding-interview-university,22,0,13,7,2,11,9,5,2,MERGED
jwasham/coding-interview-university,0,0,35,1,0,0,0,1,0,CLOSED
jwasham/coding-interview-university,31,0,0,4,1,19,11,2,2,MERGED
jwasham/coding-interview-university,1,1,17,4,1,0,0,3,1,CLOSED
jwasham/coding-interview-university,3,0,132,3,1,1,1,2,1,MERGED
