repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
kamranahmedse/developer-roadmap,1,0,292,3,1,0,0,2,1,MERGED
kamranahmedse/developer-roadmap,14,1,101,10,2,6,6,4,6,CLOSED
kamranahmedse/developer-roadmap,1,3,0,3,1,0,0,2,1,MERGED
kamranahmedse/developer-roadmap,6,3,120,6,2,2,2,4,2,CLOSED
kamranahmedse/developer-roadmap,12,0,63,3,2,5,5,2,1,CLOSED
kamranahmedse/developer-roadmap,4,1,104,9,2,1,1,4,5,CLOSED
kamranahmedse/developer-roadmap,4,0,42,5,2,1,1,3,2,CLOSED
kamranahmedse/developer-roadmap,3,2,66,7,1,1,1,4,3,CLOSED
kamranahmedse/developer-roadmap,6,2,24,3,2,2,2,2,1,MERGED
kamranahmedse/developer-roadmap,7,0,131,3,1,6,0,2,1,CLOSED
kamranahmedse/developer-roadmap,3,1,0,3,1,1,1,2,1,CLOSED
kamranahmedse/developer-roadmap,8,1,130,4,3,2,3,2,2,CLOSED
kamranahmedse/developer-roadmap,11,0,310,3,3,4,4,2,1,CLOSED
kamranahmedse/developer-roadmap,11,0,0,3,1,5,5,2,1,MERGED
kamranahmedse/developer-roadmap,6,6,15,6,2,2,2,3,3,MERGED
kamranahmedse/developer-roadmap,10764,0,383,3,4,10756,4,2,1,CLOSED
kamranahmedse/developer-roadmap,39,0,54,5,6,24,9,4,1,CLOSED
kamranahmedse/developer-roadmap,3,4,1197,3,1,1,1,2,1,CLOSED
kamranahmedse/developer-roadmap,6,4,76,5,2,2,2,3,2,CLOSED
kamranahmedse/developer-roadmap,3,4,42,2,1,1,1,2,0,MERGED
kamranahmedse/developer-roadmap,1,3,160,5,1,0,0,2,3,CLOSED
kamranahmedse/developer-roadmap,3,2,37,3,1,1,1,2,1,MERGED
kamranahmedse/developer-roadmap,5,117,145,2,1,2,2,2,0,CLOSED
kamranahmedse/developer-roadmap,3,0,19,3,1,1,1,2,1,CLOSED
kamranahmedse/developer-roadmap,3,116,0,2,1,1,1,2,0,MERGED
kamranahmedse/developer-roadmap,7,114,46,5,3,2,2,3,2,CLOSED
kamranahmedse/developer-roadmap,3,113,0,2,1,1,1,2,0,CLOSED
kamranahmedse/developer-roadmap,6,100,253,4,2,2,2,2,2,CLOSED
kamranahmedse/developer-roadmap,3,91,0,3,1,1,1,2,1,CLOSED
kamranahmedse/developer-roadmap,3,90,174,3,1,1,1,2,1,CLOSED
kamranahmedse/developer-roadmap,3,90,103,4,1,1,1,2,2,CLOSED
kamranahmedse/developer-roadmap,6,85,0,3,2,2,2,2,1,CLOSED
kamranahmedse/developer-roadmap,3,0,0,1,1,1,1,1,0,CLOSED
kamranahmedse/developer-roadmap,6,73,0,2,2,2,2,2,0,CLOSED
kamranahmedse/developer-roadmap,3,70,209,3,1,1,1,2,1,MERGED
kamranahmedse/developer-roadmap,3,0,0,3,1,1,1,2,1,MERGED
kamranahmedse/developer-roadmap,3,0,59,2,1,1,1,2,0,CLOSED
kamranahmedse/developer-roadmap,9,207,75,3,3,4,2,2,1,CLOSED
kamranahmedse/developer-roadmap,6,15,0,2,2,2,2,2,0,MERGED
kamranahmedse/developer-roadmap,6,6,0,1,2,2,2,1,0,CLOSED
kamranahmedse/developer-roadmap,6,91,155,4,2,2,2,3,1,CLOSED
kamranahmedse/developer-roadmap,78,111,157,3,5,37,36,2,1,CLOSED
kamranahmedse/developer-roadmap,0,0,6,2,0,0,0,2,0,CLOSED
kamranahmedse/developer-roadmap,3,0,0,3,1,1,1,2,1,MERGED
kamranahmedse/developer-roadmap,3,0,415,2,1,1,1,2,0,MERGED
kamranahmedse/developer-roadmap,3,5,649,1,1,1,1,1,0,CLOSED
kamranahmedse/developer-roadmap,6404,0,161,2,2,6400,2,2,0,CLOSED
kamranahmedse/developer-roadmap,0,0,5,1,0,0,0,1,0,CLOSED
kamranahmedse/developer-roadmap,6,728,31,5,2,2,2,3,2,CLOSED
kamranahmedse/developer-roadmap,3621,0,630,3,2,3617,2,2,1,MERGED
kamranahmedse/developer-roadmap,8,47,348,10,2,2,4,5,5,MERGED
kamranahmedse/developer-roadmap,9,0,73,4,1,7,1,2,2,CLOSED
kamranahmedse/developer-roadmap,6,718,0,6,2,2,2,3,3,CLOSED
kamranahmedse/developer-roadmap,6,53,137,2,2,2,2,1,1,CLOSED
kamranahmedse/developer-roadmap,3,716,249,3,1,1,1,2,1,CLOSED
kamranahmedse/developer-roadmap,6,722,43,7,2,2,2,4,3,CLOSED
kamranahmedse/developer-roadmap,6,65,50,3,2,2,2,2,1,CLOSED
kamranahmedse/developer-roadmap,0,0,23,2,0,0,0,2,0,CLOSED
kamranahmedse/developer-roadmap,6,0,78,5,2,2,2,3,2,CLOSED
kamranahmedse/developer-roadmap,3,0,47,4,1,1,1,2,2,CLOSED
