repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
labuladong/fucking-algorithm,422,0,199,4,14,205,203,2,2,MERGED
labuladong/fucking-algorithm,5,0,0,4,1,2,2,2,2,CLOSED
labuladong/fucking-algorithm,371,1,24,6,3,183,185,2,4,MERGED
labuladong/fucking-algorithm,387,0,0,4,5,212,170,2,2,MERGED
labuladong/fucking-algorithm,250,0,21,2,2,133,115,2,0,MERGED
labuladong/fucking-algorithm,197,0,0,3,10,187,0,2,1,MERGED
labuladong/fucking-algorithm,431,0,117,3,2,213,216,2,1,MERGED
labuladong/fucking-algorithm,601,0,121,2,2,305,294,2,0,MERGED
labuladong/fucking-algorithm,2033,0,13,6,102,1051,880,5,1,CLOSED
labuladong/fucking-algorithm,551,0,11,3,2,274,275,2,1,MERGED
labuladong/fucking-algorithm,227,0,82,6,4,119,104,2,4,MERGED
labuladong/fucking-algorithm,3,0,68,2,1,0,2,2,0,MERGED
labuladong/fucking-algorithm,451,0,121,5,6,220,225,2,3,MERGED
labuladong/fucking-algorithm,243,0,13,2,2,122,119,2,0,MERGED
labuladong/fucking-algorithm,235,0,0,3,2,233,0,2,1,MERGED
labuladong/fucking-algorithm,159,0,34,3,1,158,0,2,1,MERGED
labuladong/fucking-algorithm,79,0,44,3,1,41,37,2,1,MERGED
labuladong/fucking-algorithm,253,0,99,3,10,123,120,2,1,MERGED
labuladong/fucking-algorithm,122,0,0,3,1,121,0,2,1,MERGED
labuladong/fucking-algorithm,233,1,28,4,10,223,0,2,2,MERGED
labuladong/fucking-algorithm,543,0,21,4,9,271,263,2,2,MERGED
labuladong/fucking-algorithm,279,0,0,3,2,146,131,2,1,MERGED
labuladong/fucking-algorithm,216,0,0,3,8,101,107,2,1,MERGED
labuladong/fucking-algorithm,25,0,21,3,1,12,12,2,1,MERGED
labuladong/fucking-algorithm,566,0,89,4,10,277,279,2,2,MERGED
labuladong/fucking-algorithm,1039,0,185,2,74,796,169,2,0,CLOSED
labuladong/fucking-algorithm,177,0,36,7,2,94,81,2,5,MERGED
labuladong/fucking-algorithm,3,0,8,2,1,1,1,2,0,MERGED
labuladong/fucking-algorithm,7659,0,18,20,186,3832,3641,18,2,CLOSED
labuladong/fucking-algorithm,5,0,63,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,383,0,0,3,2,193,188,2,1,MERGED
labuladong/fucking-algorithm,400,0,22,2,2,199,199,2,0,MERGED
labuladong/fucking-algorithm,7,0,0,4,1,3,3,2,2,CLOSED
labuladong/fucking-algorithm,7692,0,7641,23,186,3865,3641,18,5,CLOSED
labuladong/fucking-algorithm,247,0,17,2,5,123,119,2,0,MERGED
labuladong/fucking-algorithm,209,0,18,1,1,0,208,1,0,CLOSED
labuladong/fucking-algorithm,378,0,18,5,9,185,184,2,3,MERGED
labuladong/fucking-algorithm,252,0,0,4,1,251,0,2,2,MERGED
labuladong/fucking-algorithm,304,0,25,3,3,301,0,2,1,CLOSED
labuladong/fucking-algorithm,75,0,98,4,5,70,0,2,2,MERGED
labuladong/fucking-algorithm,330,0,40,3,5,322,3,2,1,MERGED
labuladong/fucking-algorithm,561,0,0,3,6,278,277,2,1,MERGED
labuladong/fucking-algorithm,11729,0,14057,28,234,6365,5130,24,4,CLOSED
labuladong/fucking-algorithm,193,0,0,7,1,173,19,2,5,CLOSED
labuladong/fucking-algorithm,468,0,42,2,1,467,0,2,0,MERGED
labuladong/fucking-algorithm,191,0,0,3,4,187,0,2,1,MERGED
labuladong/fucking-algorithm,463,0,0,2,2,230,231,2,0,MERGED
labuladong/fucking-algorithm,19,0,33,2,9,5,5,2,0,MERGED
labuladong/fucking-algorithm,721,0,0,3,17,349,355,2,1,MERGED
labuladong/fucking-algorithm,5,0,87,5,1,4,0,2,3,MERGED
labuladong/fucking-algorithm,230,5,0,3,1,110,119,2,1,CLOSED
labuladong/fucking-algorithm,136,0,50,8,1,135,0,2,6,MERGED
labuladong/fucking-algorithm,539,0,80,3,8,263,268,2,1,MERGED
labuladong/fucking-algorithm,304,0,0,3,2,151,151,2,1,MERGED
labuladong/fucking-algorithm,175,0,14,3,2,87,86,2,1,MERGED
labuladong/fucking-algorithm,404,0,207,3,3,401,0,2,1,MERGED
labuladong/fucking-algorithm,152,0,48,3,1,151,0,2,1,MERGED
labuladong/fucking-algorithm,4,0,0,2,4,0,0,2,0,MERGED
labuladong/fucking-algorithm,158,0,14,3,2,12,144,2,1,MERGED
labuladong/fucking-algorithm,94,0,42,3,6,42,46,2,1,MERGED
labuladong/fucking-algorithm,63,0,40,7,2,30,31,2,5,CLOSED
labuladong/fucking-algorithm,3,0,64,2,1,1,1,2,0,MERGED
labuladong/fucking-algorithm,31,0,0,5,1,30,0,2,3,MERGED
labuladong/fucking-algorithm,161,0,4,3,9,76,76,2,1,MERGED
labuladong/fucking-algorithm,366,0,94,3,5,186,175,2,1,MERGED
labuladong/fucking-algorithm,240,0,67,3,2,118,120,2,1,MERGED
labuladong/fucking-algorithm,573,0,41,3,4,303,266,2,1,MERGED
labuladong/fucking-algorithm,5,2,0,2,1,2,2,2,0,CLOSED
labuladong/fucking-algorithm,358,1,3,3,2,177,179,2,1,MERGED
labuladong/fucking-algorithm,589,0,185,3,15,288,286,2,1,MERGED
labuladong/fucking-algorithm,610,0,135,3,17,296,297,2,1,MERGED
labuladong/fucking-algorithm,245,0,137,3,4,121,120,2,1,MERGED
labuladong/fucking-algorithm,435,0,0,3,10,219,206,2,1,MERGED
labuladong/fucking-algorithm,232,0,69,3,3,116,113,2,1,MERGED
labuladong/fucking-algorithm,271,0,63,3,3,134,134,2,1,MERGED
labuladong/fucking-algorithm,0,0,36,2,0,0,0,2,0,CLOSED
labuladong/fucking-algorithm,510,0,43,3,14,187,309,2,1,MERGED
labuladong/fucking-algorithm,5,0,0,2,1,2,2,2,0,CLOSED
labuladong/fucking-algorithm,3,0,0,2,1,1,1,2,0,CLOSED
labuladong/fucking-algorithm,184,0,142,3,8,93,83,2,1,MERGED
labuladong/fucking-algorithm,3,0,0,2,1,1,1,2,0,CLOSED
labuladong/fucking-algorithm,257,0,62,3,2,253,2,2,1,MERGED
labuladong/fucking-algorithm,512,0,0,3,6,254,252,2,1,MERGED
labuladong/fucking-algorithm,811,0,0,1,3,403,405,1,0,CLOSED
labuladong/fucking-algorithm,815,0,5,4,3,407,405,2,2,MERGED
labuladong/fucking-algorithm,465,0,52,2,9,455,1,1,1,CLOSED
labuladong/fucking-algorithm,241,0,52,3,10,230,1,2,1,MERGED
labuladong/fucking-algorithm,383,1,0,3,8,189,186,2,1,MERGED
labuladong/fucking-algorithm,556,1,88,3,2,270,284,2,1,MERGED
labuladong/fucking-algorithm,5,101,5,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,657,2,62,3,2,345,310,2,1,MERGED
labuladong/fucking-algorithm,248,1,0,3,10,118,120,2,1,MERGED
labuladong/fucking-algorithm,7,231,74,2,1,3,3,2,0,CLOSED
labuladong/fucking-algorithm,811,2,84,5,7,409,395,2,3,MERGED
labuladong/fucking-algorithm,653,6,77,4,2,341,310,2,2,MERGED
labuladong/fucking-algorithm,18,92,0,2,2,2,14,2,0,CLOSED
labuladong/fucking-algorithm,22,91,0,2,2,4,16,2,0,CLOSED
labuladong/fucking-algorithm,11,9,0,2,2,5,4,2,0,CLOSED
labuladong/fucking-algorithm,37,72,130,2,1,18,18,2,0,MERGED
labuladong/fucking-algorithm,5,82,49,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,3,82,0,2,1,1,1,2,0,MERGED
labuladong/fucking-algorithm,20,81,60,3,1,10,9,3,0,CLOSED
labuladong/fucking-algorithm,2,28,5,7,1,1,0,2,5,CLOSED
labuladong/fucking-algorithm,34,0,0,1,1,33,0,1,0,CLOSED
labuladong/fucking-algorithm,7,72,27,2,1,3,3,2,0,MERGED
labuladong/fucking-algorithm,26100,0,0,44,405,13578,12117,44,0,CLOSED
labuladong/fucking-algorithm,160,0,0,1,2,66,92,1,0,CLOSED
labuladong/fucking-algorithm,5,66,78,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,9,64,144,2,3,6,0,2,0,MERGED
labuladong/fucking-algorithm,5,54,8,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,5,51,0,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,5,45,0,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,5,44,0,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,5,36,0,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,5,35,6,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,55,17,191,2,1,26,28,2,0,MERGED
labuladong/fucking-algorithm,5,0,0,2,1,2,2,1,1,CLOSED
labuladong/fucking-algorithm,19,2,0,2,1,9,9,2,0,MERGED
labuladong/fucking-algorithm,5,9,11,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,63,0,20,2,1,61,1,2,0,MERGED
labuladong/fucking-algorithm,108,0,39,2,2,104,2,2,0,MERGED
labuladong/fucking-algorithm,37,0,0,3,1,35,1,2,1,CLOSED
labuladong/fucking-algorithm,24,0,0,2,1,23,0,2,0,MERGED
labuladong/fucking-algorithm,164,0,19,2,3,158,3,2,0,MERGED
labuladong/fucking-algorithm,36,0,0,1,1,34,1,1,0,CLOSED
labuladong/fucking-algorithm,172,0,59,4,3,169,0,2,2,MERGED
labuladong/fucking-algorithm,133,0,0,3,3,127,3,2,1,CLOSED
labuladong/fucking-algorithm,105,0,72,2,2,101,2,2,0,MERGED
labuladong/fucking-algorithm,87,2,54,2,1,85,1,2,0,MERGED
labuladong/fucking-algorithm,250,0,0,1,1,249,0,1,0,CLOSED
labuladong/fucking-algorithm,250,2,226,4,1,249,0,2,2,CLOSED
labuladong/fucking-algorithm,161,135,19,2,3,155,3,2,0,CLOSED
labuladong/fucking-algorithm,81,0,0,2,1,79,1,2,0,CLOSED
labuladong/fucking-algorithm,81,0,0,2,1,79,1,2,0,MERGED
labuladong/fucking-algorithm,44,134,0,2,1,41,2,2,0,CLOSED
labuladong/fucking-algorithm,160,134,2,2,2,153,5,2,0,CLOSED
labuladong/fucking-algorithm,60,0,12,4,1,56,3,2,2,CLOSED
labuladong/fucking-algorithm,53,0,12,2,1,48,4,2,0,MERGED
labuladong/fucking-algorithm,120,134,37,2,1,119,0,2,0,CLOSED
labuladong/fucking-algorithm,51,134,10,2,1,47,3,2,0,CLOSED
labuladong/fucking-algorithm,67,134,10,2,1,63,3,2,0,CLOSED
labuladong/fucking-algorithm,61,134,10,2,1,59,1,2,0,CLOSED
labuladong/fucking-algorithm,43,0,10,2,1,40,2,2,0,MERGED
labuladong/fucking-algorithm,62,0,147,4,1,60,1,2,2,MERGED
labuladong/fucking-algorithm,39,1,9,3,1,35,3,2,1,CLOSED
labuladong/fucking-algorithm,172,134,34,2,2,170,0,2,0,CLOSED
labuladong/fucking-algorithm,95,1,669,3,2,91,2,2,1,CLOSED
labuladong/fucking-algorithm,57,134,12,2,1,55,1,2,0,CLOSED
labuladong/fucking-algorithm,57,0,12,2,1,55,1,2,0,MERGED
labuladong/fucking-algorithm,22,134,14,2,1,21,0,2,0,CLOSED
labuladong/fucking-algorithm,38,1,15,2,1,36,1,2,0,MERGED
labuladong/fucking-algorithm,74,134,15,2,1,72,1,2,0,CLOSED
labuladong/fucking-algorithm,35,134,15,2,1,34,0,2,0,CLOSED
labuladong/fucking-algorithm,107,134,42,2,1,105,1,2,0,CLOSED
labuladong/fucking-algorithm,211,134,0,2,3,208,0,2,0,CLOSED
labuladong/fucking-algorithm,106,134,0,3,3,84,19,2,1,CLOSED
labuladong/fucking-algorithm,113,1,0,4,3,109,1,2,2,MERGED
labuladong/fucking-algorithm,21,134,0,2,1,20,0,2,0,CLOSED
labuladong/fucking-algorithm,42,0,138,2,1,40,1,2,0,MERGED
labuladong/fucking-algorithm,31,0,15,3,1,30,0,2,1,CLOSED
labuladong/fucking-algorithm,21,134,0,2,1,20,0,2,0,CLOSED
labuladong/fucking-algorithm,46,0,16,2,1,44,1,2,0,CLOSED
labuladong/fucking-algorithm,154,0,0,3,1,153,0,2,1,MERGED
labuladong/fucking-algorithm,23,134,0,2,1,22,0,2,0,CLOSED
labuladong/fucking-algorithm,138,134,59,3,1,137,0,2,1,CLOSED
labuladong/fucking-algorithm,76,134,0,4,1,75,0,2,2,CLOSED
labuladong/fucking-algorithm,46,0,0,3,1,44,1,3,0,MERGED
labuladong/fucking-algorithm,22,134,11,2,1,20,1,2,0,CLOSED
labuladong/fucking-algorithm,29,0,17,3,1,28,0,2,1,MERGED
labuladong/fucking-algorithm,43,134,67,2,1,42,0,2,0,CLOSED
labuladong/fucking-algorithm,33,134,0,3,1,32,0,2,1,CLOSED
labuladong/fucking-algorithm,28,0,0,3,1,27,0,2,1,CLOSED
labuladong/fucking-algorithm,22,134,164,2,1,21,0,2,0,CLOSED
labuladong/fucking-algorithm,99,0,9,1,1,97,1,1,0,CLOSED
labuladong/fucking-algorithm,38,0,0,2,1,36,1,1,1,CLOSED
labuladong/fucking-algorithm,99,0,10,2,1,97,1,2,0,MERGED
labuladong/fucking-algorithm,39,0,16,2,1,37,1,2,0,MERGED
labuladong/fucking-algorithm,37,0,20,2,1,36,0,2,0,MERGED
labuladong/fucking-algorithm,317,0,0,3,1,316,0,2,1,CLOSED
labuladong/fucking-algorithm,79,133,0,2,2,77,0,2,0,CLOSED
labuladong/fucking-algorithm,23,0,0,2,1,22,0,2,0,MERGED
labuladong/fucking-algorithm,116,0,32,2,1,114,1,2,0,MERGED
labuladong/fucking-algorithm,34,133,130,2,1,32,1,2,0,CLOSED
labuladong/fucking-algorithm,25,0,27,2,1,21,3,2,0,MERGED
labuladong/fucking-algorithm,22,133,0,2,1,21,0,2,0,CLOSED
labuladong/fucking-algorithm,22,133,0,2,1,20,1,2,0,CLOSED
labuladong/fucking-algorithm,375,133,0,2,2,373,0,2,0,CLOSED
labuladong/fucking-algorithm,57,104,39,1,1,49,7,1,0,CLOSED
labuladong/fucking-algorithm,36,133,15,2,1,35,0,2,0,CLOSED
labuladong/fucking-algorithm,3,6,51,1,1,1,1,1,0,CLOSED
labuladong/fucking-algorithm,72,133,46,2,1,70,1,2,0,CLOSED
labuladong/fucking-algorithm,70,133,0,2,1,68,1,2,0,CLOSED
labuladong/fucking-algorithm,37,133,19,2,1,35,1,2,0,CLOSED
labuladong/fucking-algorithm,58,133,0,2,1,56,1,2,0,CLOSED
labuladong/fucking-algorithm,30,132,21,2,1,29,0,2,0,CLOSED
labuladong/fucking-algorithm,27,132,0,4,1,26,0,3,1,CLOSED
labuladong/fucking-algorithm,55,0,21,1,1,54,0,1,0,CLOSED
labuladong/fucking-algorithm,24,132,15,2,1,23,0,2,0,CLOSED
labuladong/fucking-algorithm,18,0,27,2,2,8,8,2,0,MERGED
labuladong/fucking-algorithm,7,0,62,4,1,3,3,2,2,CLOSED
labuladong/fucking-algorithm,51,0,16,1,1,50,0,1,0,CLOSED
labuladong/fucking-algorithm,28,131,0,2,1,26,1,2,0,CLOSED
labuladong/fucking-algorithm,13990,130,10,2,428,13386,176,2,0,CLOSED
labuladong/fucking-algorithm,49,128,21,2,1,48,0,2,0,CLOSED
labuladong/fucking-algorithm,51,128,0,2,1,49,1,2,0,CLOSED
labuladong/fucking-algorithm,47,127,0,4,1,46,0,3,1,CLOSED
labuladong/fucking-algorithm,5,127,0,2,1,2,2,2,0,CLOSED
labuladong/fucking-algorithm,96,126,0,2,1,95,0,2,0,CLOSED
labuladong/fucking-algorithm,26,125,0,2,1,25,0,2,0,CLOSED
labuladong/fucking-algorithm,37,121,0,2,1,35,1,2,0,CLOSED
labuladong/fucking-algorithm,69,120,0,2,1,68,0,2,0,CLOSED
labuladong/fucking-algorithm,40,111,0,3,1,38,1,2,1,CLOSED
labuladong/fucking-algorithm,25,111,12,3,1,23,1,2,1,CLOSED
labuladong/fucking-algorithm,26,99,76,2,2,14,10,2,0,CLOSED
labuladong/fucking-algorithm,96,56,337,5,1,53,42,2,3,MERGED
labuladong/fucking-algorithm,101,98,47,2,1,100,0,2,0,CLOSED
labuladong/fucking-algorithm,14068,98,49,2,240,13628,200,2,0,CLOSED
labuladong/fucking-algorithm,30,89,693,2,1,28,1,2,0,CLOSED
labuladong/fucking-algorithm,8,85,0,2,2,3,3,2,0,CLOSED
labuladong/fucking-algorithm,198,31,0,2,6,98,94,2,0,MERGED
labuladong/fucking-algorithm,5,30,0,2,1,2,2,2,0,MERGED
labuladong/fucking-algorithm,6,15,0,2,2,2,2,2,0,MERGED
labuladong/fucking-algorithm,63,73,93,2,1,62,0,2,0,CLOSED
labuladong/fucking-algorithm,3,12,48,2,1,1,1,2,0,MERGED
labuladong/fucking-algorithm,5,10,45,3,1,2,2,2,1,MERGED
