repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
laravel/laravel,6,0,556,3,1,5,0,2,1,MERGED
laravel/laravel,28,0,508,5,1,27,0,2,3,MERGED
laravel/laravel,11,0,334,10,1,10,0,4,6,MERGED
laravel/laravel,415,0,0,3,7,204,204,2,1,CLOSED
laravel/laravel,46,0,308,3,1,31,14,2,1,CLOSED
laravel/laravel,2,0,120,2,1,1,0,2,0,MERGED
laravel/laravel,14,0,59,2,1,12,1,2,0,MERGED
laravel/laravel,19,0,98,2,2,17,0,2,0,MERGED
laravel/laravel,274,0,336,2,2,144,128,2,0,MERGED
laravel/laravel,19,0,324,10,1,18,0,2,8,MERGED
laravel/laravel,85,0,0,8,2,83,0,2,6,MERGED
laravel/laravel,3,0,38,3,1,1,1,2,1,MERGED
laravel/laravel,43,0,89,4,2,41,0,2,2,CLOSED
laravel/laravel,12,0,241,3,1,11,0,2,1,MERGED
laravel/laravel,46,0,396,8,2,35,9,3,5,CLOSED
laravel/laravel,14,0,238,2,1,13,0,2,0,MERGED
laravel/laravel,19,0,0,3,1,14,4,2,1,CLOSED
laravel/laravel,4,0,56,2,1,3,0,2,0,MERGED
laravel/laravel,3,0,34,3,1,1,1,2,1,CLOSED
laravel/laravel,3,0,5,3,1,1,1,2,1,MERGED
laravel/laravel,2,0,0,2,1,1,0,2,0,MERGED
laravel/laravel,147,0,83,3,3,144,0,3,0,MERGED
laravel/laravel,58,0,140,12,3,53,2,3,9,CLOSED
laravel/laravel,57,1,333,4,3,52,2,2,2,CLOSED
laravel/laravel,5,0,516,2,1,3,1,2,0,MERGED
laravel/laravel,3,0,87,2,1,1,1,2,0,MERGED
laravel/laravel,3,0,41,2,1,1,1,2,0,MERGED
laravel/laravel,26,0,289,3,2,23,1,2,1,CLOSED
laravel/laravel,2,0,79,2,1,1,0,2,0,MERGED
laravel/laravel,2,0,0,2,1,0,1,2,0,MERGED
laravel/laravel,3,0,73,4,1,1,1,2,2,MERGED
laravel/laravel,36,0,272,1,1,30,5,1,0,CLOSED
laravel/laravel,5,6,1167,6,2,2,1,2,4,CLOSED
laravel/laravel,53,25,1214,4,2,38,13,2,2,CLOSED
laravel/laravel,10,2,121,3,1,8,1,2,1,CLOSED
laravel/laravel,4,0,79,3,1,2,1,2,1,CLOSED
laravel/laravel,61,10,395,9,1,60,0,3,6,CLOSED
laravel/laravel,6,7,1677,12,1,3,2,2,10,CLOSED
laravel/laravel,0,3,292,1,0,0,0,1,0,MERGED
laravel/laravel,3,0,268,4,1,2,0,2,2,CLOSED
laravel/laravel,5,0,280,3,2,2,1,2,1,CLOSED
laravel/laravel,16,6,51,4,1,13,2,2,2,CLOSED
laravel/laravel,26,1,90,3,1,25,0,2,1,CLOSED
laravel/laravel,73,0,128,3,2,20,51,2,1,MERGED
laravel/laravel,243,0,53,6,3,240,0,2,4,MERGED
laravel/laravel,255,22,614,11,6,240,9,2,9,CLOSED
laravel/laravel,9,1,0,3,1,4,4,2,1,CLOSED
laravel/laravel,6,1,39,2,2,2,2,2,0,MERGED
laravel/laravel,5,0,0,3,1,2,2,2,1,MERGED
laravel/laravel,5,0,80,4,1,2,2,2,2,CLOSED
laravel/laravel,5,0,73,2,1,2,2,2,0,MERGED
laravel/laravel,3,0,46,2,1,1,1,2,0,MERGED
laravel/laravel,34,0,120,2,1,31,2,2,0,MERGED
laravel/laravel,50,0,91,2,1,49,0,2,0,MERGED
laravel/laravel,39,0,94,2,1,38,0,2,0,MERGED
laravel/laravel,17,0,99,2,2,14,1,2,0,MERGED
laravel/laravel,3,0,68,2,1,1,1,2,0,MERGED
laravel/laravel,6,0,143,3,1,3,2,2,1,MERGED
laravel/laravel,3,0,85,2,1,1,1,2,0,MERGED
laravel/laravel,9,1,51,2,1,7,1,1,1,CLOSED
laravel/laravel,29,3,993,10,1,16,12,2,8,CLOSED
laravel/laravel,106,15,10,2,2,72,32,2,0,CLOSED
laravel/laravel,24,3,209,5,1,13,10,2,3,CLOSED
laravel/laravel,3,0,165,3,1,1,1,2,1,MERGED
laravel/laravel,3,0,0,3,1,1,1,2,1,MERGED
laravel/laravel,14,1,225,3,2,6,6,2,1,MERGED
laravel/laravel,259,0,132,3,6,250,3,1,2,CLOSED
laravel/laravel,1464,2,493,2,30,1113,321,1,1,CLOSED
laravel/laravel,9,0,28,5,1,5,3,2,3,MERGED
laravel/laravel,4,0,102,3,1,2,1,2,1,MERGED
laravel/laravel,78,0,0,2,10,34,34,2,0,MERGED
laravel/laravel,3,0,10,2,1,1,1,1,1,CLOSED
laravel/laravel,5,0,127,2,2,2,1,2,0,MERGED
laravel/laravel,129,0,0,2,23,53,53,2,0,MERGED
laravel/laravel,51,0,96,2,1,32,18,2,0,MERGED
laravel/laravel,6,1,0,3,1,3,2,2,1,CLOSED
laravel/laravel,8,1,0,2,1,5,2,2,0,MERGED
laravel/laravel,5,0,0,2,1,2,2,2,0,MERGED
laravel/laravel,185,59,355,2,26,108,51,2,0,CLOSED
laravel/laravel,3,1,467,8,1,1,1,2,6,CLOSED
laravel/laravel,11,0,0,2,1,5,5,2,0,MERGED
laravel/laravel,9,0,41,1,2,4,3,1,0,MERGED
