repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
microsoft/PowerToys,39,0,0,1,4,35,0,1,0,MERGED
microsoft/PowerToys,3,2,60,5,1,1,1,4,1,MERGED
microsoft/PowerToys,3,2,0,3,1,1,1,2,1,CLOSED
microsoft/PowerToys,3,2,0,4,1,1,1,3,1,MERGED
microsoft/PowerToys,3,0,0,2,1,1,1,1,1,CLOSED
microsoft/PowerToys,3,0,24,1,1,1,1,1,0,CLOSED
microsoft/PowerToys,7,1,237,3,1,3,3,2,1,MERGED
microsoft/PowerToys,3,0,63,2,1,1,1,1,1,CLOSED
microsoft/PowerToys,68,123,293,10,9,38,21,4,6,CLOSED
microsoft/PowerToys,3,0,14,3,1,1,1,2,1,CLOSED
microsoft/PowerToys,3,0,39,3,1,1,1,2,1,CLOSED
microsoft/PowerToys,3,0,24,3,1,1,1,2,1,CLOSED
microsoft/PowerToys,13,0,0,3,1,6,6,2,1,MERGED
microsoft/PowerToys,162,0,0,4,4,158,0,3,1,CLOSED
microsoft/PowerToys,162,0,0,6,4,158,0,5,1,CLOSED
microsoft/PowerToys,66,166,0,9,6,60,0,8,1,CLOSED
microsoft/PowerToys,55169,0,44,2,341,54766,62,2,0,MERGED
microsoft/PowerToys,3,1,301,4,1,1,1,3,1,MERGED
microsoft/PowerToys,54,0,0,1,2,26,26,1,0,CLOSED
microsoft/PowerToys,54,0,126,2,2,26,26,2,0,MERGED
microsoft/PowerToys,3,0,68,2,1,1,1,2,0,MERGED
microsoft/PowerToys,3,0,43,5,1,1,1,3,2,CLOSED
microsoft/PowerToys,3,0,470,1,1,1,1,1,0,CLOSED
microsoft/PowerToys,3,0,115,3,1,1,1,2,1,MERGED
microsoft/PowerToys,3,0,26,3,1,1,1,2,1,CLOSED
microsoft/PowerToys,3,0,482,5,1,1,1,3,2,CLOSED
microsoft/PowerToys,3,0,480,3,1,1,1,2,1,MERGED
microsoft/PowerToys,5,0,571,4,1,2,2,2,2,MERGED
microsoft/PowerToys,3,0,654,3,1,1,1,2,1,MERGED
microsoft/PowerToys,3,0,514,5,1,1,1,3,2,CLOSED
microsoft/PowerToys,3,0,470,1,1,1,1,1,0,CLOSED
microsoft/PowerToys,17,0,1296,6,17,0,0,4,2,MERGED
microsoft/PowerToys,3,0,519,4,1,1,1,2,2,CLOSED
microsoft/PowerToys,3,0,30,3,1,1,1,2,1,MERGED
microsoft/PowerToys,3,0,470,5,1,1,1,3,2,CLOSED
microsoft/PowerToys,5,0,20,3,1,2,2,2,1,CLOSED
microsoft/PowerToys,3,0,0,2,1,1,1,1,1,CLOSED
microsoft/PowerToys,3,0,12,4,1,1,1,3,1,CLOSED
microsoft/PowerToys,5,0,470,3,1,2,2,2,1,CLOSED
microsoft/PowerToys,3,0,477,4,1,1,1,3,1,CLOSED
microsoft/PowerToys,5,0,470,3,1,2,2,2,1,CLOSED
microsoft/PowerToys,3,0,67,4,1,1,1,3,1,CLOSED
microsoft/PowerToys,3,0,516,3,1,1,1,2,1,CLOSED
microsoft/PowerToys,3,0,470,3,1,1,1,2,1,CLOSED
microsoft/PowerToys,11,0,591,4,1,5,5,3,1,MERGED
microsoft/PowerToys,3,0,470,2,1,1,1,2,0,MERGED
microsoft/PowerToys,3,0,738,4,1,1,1,2,2,CLOSED
microsoft/PowerToys,55,2,586,6,3,19,33,2,4,MERGED
microsoft/PowerToys,109,2,277,8,10,35,64,4,4,MERGED
microsoft/PowerToys,5,0,330,2,3,1,1,2,0,MERGED
microsoft/PowerToys,5,0,213,2,1,4,0,2,0,MERGED
microsoft/PowerToys,1,67,573,3,1,0,0,2,1,MERGED
microsoft/PowerToys,42,3,810,8,4,34,4,3,5,MERGED
microsoft/PowerToys,89,1,167,2,19,34,36,2,0,MERGED
microsoft/PowerToys,7,1,219,4,1,6,0,2,2,MERGED
microsoft/PowerToys,14,0,214,2,1,9,4,2,0,MERGED
microsoft/PowerToys,15,0,664,4,1,6,8,3,1,MERGED
microsoft/PowerToys,25,8,570,8,1,23,1,3,5,MERGED
microsoft/PowerToys,3,0,148,3,1,1,1,3,0,MERGED
microsoft/PowerToys,3,1,513,6,1,1,1,3,3,MERGED
microsoft/PowerToys,17,3,478,6,2,10,5,3,3,MERGED
microsoft/PowerToys,1084,1,1184,12,9,576,499,6,6,MERGED
microsoft/PowerToys,64,0,279,2,6,35,23,2,0,MERGED
microsoft/PowerToys,9,0,193,2,1,7,1,2,0,MERGED
microsoft/PowerToys,187,9,698,15,7,108,72,3,12,MERGED
microsoft/PowerToys,84,6,154,2,4,56,24,2,0,MERGED
microsoft/PowerToys,12,230,230,4,1,11,0,2,2,CLOSED
microsoft/PowerToys,30,2,1540,9,1,25,4,3,6,MERGED
microsoft/PowerToys,3,0,480,3,1,1,1,2,1,MERGED
microsoft/PowerToys,267,5,272,6,13,237,17,3,3,MERGED
microsoft/PowerToys,6,0,545,3,2,2,2,2,1,MERGED
microsoft/PowerToys,35,1,895,3,1,17,17,2,1,MERGED
microsoft/PowerToys,156,0,236,3,11,135,10,2,1,MERGED
microsoft/PowerToys,102,0,332,3,5,92,5,2,1,MERGED
microsoft/PowerToys,354,0,1048,3,3,208,143,2,1,MERGED
microsoft/PowerToys,129,2,264,3,6,68,55,2,1,MERGED
microsoft/PowerToys,67,2,314,2,1,32,34,2,0,MERGED
microsoft/PowerToys,385,0,271,2,13,186,186,2,0,MERGED
microsoft/PowerToys,3,0,230,2,1,1,1,2,0,MERGED
microsoft/PowerToys,15,1,252,2,3,6,6,2,0,MERGED
microsoft/PowerToys,6,0,697,5,2,2,2,3,2,MERGED
microsoft/PowerToys,28,0,604,3,2,19,7,2,1,MERGED
microsoft/PowerToys,148,0,1113,2,12,96,40,2,0,MERGED
microsoft/PowerToys,27,0,577,2,2,24,1,2,0,MERGED
microsoft/PowerToys,424,5,170,6,22,343,59,4,2,MERGED
microsoft/PowerToys,6119,6,212,6,63,6055,1,4,2,MERGED
microsoft/PowerToys,57,0,452,4,14,39,4,2,2,MERGED
microsoft/PowerToys,10,0,517,2,1,8,1,2,0,MERGED
microsoft/PowerToys,13,1,246,2,2,6,5,2,0,MERGED
microsoft/PowerToys,9,0,554,2,1,8,0,2,0,MERGED
microsoft/PowerToys,3,0,455,2,1,1,1,2,0,MERGED
microsoft/PowerToys,3,6,213,4,1,1,1,3,1,MERGED
microsoft/PowerToys,2,0,356,3,1,1,0,3,0,MERGED
microsoft/PowerToys,78,0,795,2,1,60,17,2,0,MERGED
microsoft/PowerToys,3,0,567,2,1,1,1,2,0,MERGED
microsoft/PowerToys,3,0,485,2,1,1,1,2,0,MERGED
microsoft/PowerToys,139,5,508,4,11,79,49,3,1,MERGED
microsoft/PowerToys,518,0,203,2,5,213,300,2,0,MERGED
microsoft/PowerToys,12,20,1577,24,1,9,2,3,21,CLOSED
microsoft/PowerToys,6173,7,1167,7,66,6091,16,3,4,CLOSED
microsoft/PowerToys,56618,0,161,3,358,0,56260,2,1,CLOSED
microsoft/PowerToys,9,0,322,2,1,6,2,2,0,MERGED
