repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
microsoft/terminal,8,2,95,4,1,4,3,3,1,MERGED
microsoft/terminal,14,2,105,8,3,8,3,4,4,MERGED
microsoft/terminal,3,1,18,4,1,1,1,3,1,MERGED
microsoft/terminal,5,1,289,4,1,4,0,3,1,MERGED
microsoft/terminal,32,0,408,4,1,14,17,2,2,CLOSED
microsoft/terminal,7,1,42,4,1,3,3,3,1,MERGED
microsoft/terminal,9,0,57,4,1,6,2,3,1,MERGED
microsoft/terminal,2,0,46,4,1,1,0,2,2,CLOSED
microsoft/terminal,7,0,61,3,1,6,0,2,1,MERGED
microsoft/terminal,5,0,339,8,1,4,0,4,4,MERGED
microsoft/terminal,5,0,207,5,1,2,2,3,2,MERGED
microsoft/terminal,74,253,112,7,4,66,4,7,0,MERGED
microsoft/terminal,12,5,82,5,2,5,5,3,2,MERGED
microsoft/terminal,48,240,1388,5,6,30,12,4,1,MERGED
microsoft/terminal,107,240,292,9,2,5,100,5,4,MERGED
microsoft/terminal,93,226,121,11,4,78,11,6,5,MERGED
microsoft/terminal,9,98,93,3,1,8,0,2,1,MERGED
microsoft/terminal,491,255,381,12,3,334,154,4,8,MERGED
microsoft/terminal,193,70,316,5,7,137,49,2,3,MERGED
microsoft/terminal,150,194,61,8,2,74,74,4,4,CLOSED
microsoft/terminal,27,6,488,4,2,19,6,2,2,CLOSED
microsoft/terminal,2,0,0,2,1,1,0,2,0,MERGED
microsoft/terminal,7,0,250,3,1,4,2,2,1,MERGED
microsoft/terminal,12,138,0,6,2,5,5,4,2,MERGED
microsoft/terminal,5,0,72,2,1,4,0,2,0,MERGED
microsoft/terminal,3,0,0,2,1,2,0,2,0,MERGED
microsoft/terminal,7,0,0,2,1,4,2,2,0,MERGED
microsoft/terminal,3,1,0,3,1,1,1,2,1,MERGED
microsoft/terminal,123,6,297,5,3,51,69,3,2,MERGED
microsoft/terminal,8,44,119,2,1,3,4,2,0,MERGED
microsoft/terminal,494,11,73,4,8,486,0,3,1,MERGED
microsoft/terminal,93,1,361,7,1,92,0,3,4,MERGED
microsoft/terminal,754,14,1224,9,14,740,0,4,5,MERGED
microsoft/terminal,37,0,363,4,1,22,14,4,0,MERGED
microsoft/terminal,7,0,120,4,1,3,3,4,0,MERGED
microsoft/terminal,5,2,122,3,1,3,1,2,1,MERGED
microsoft/terminal,355,169,44,12,2,182,171,8,4,MERGED
microsoft/terminal,1215,216,453,26,22,1193,0,6,20,MERGED
microsoft/terminal,45,0,182,3,2,43,0,3,0,MERGED
microsoft/terminal,3,110,0,3,1,1,1,3,0,MERGED
microsoft/terminal,75,0,533,4,6,38,31,3,1,MERGED
microsoft/terminal,150,4,777,5,6,126,18,3,2,MERGED
microsoft/terminal,3,2,70,3,1,1,1,2,1,MERGED
microsoft/terminal,23,3,25,4,1,21,1,3,1,MERGED
