repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
microsoft/vscode,32,3,22,7,2,26,4,3,4,CLOSED
microsoft/vscode,19,0,0,4,3,14,2,3,1,MERGED
microsoft/vscode,1462,0,0,16,12,1061,389,14,2,CLOSED
microsoft/vscode,3,0,28,5,1,1,1,3,2,MERGED
microsoft/vscode,3,0,2,5,1,1,1,3,2,MERGED
microsoft/vscode,9,0,61,5,1,4,4,3,2,MERGED
microsoft/vscode,3,0,0,6,1,1,1,4,2,MERGED
microsoft/vscode,3,0,124,5,1,1,1,3,2,MERGED
microsoft/vscode,3,0,0,5,1,1,1,3,2,MERGED
microsoft/vscode,20,0,584,5,1,14,5,3,2,MERGED
microsoft/vscode,19,0,3,4,1,4,14,3,1,MERGED
microsoft/vscode,3,4,140,11,1,1,1,6,5,CLOSED
microsoft/vscode,7,0,133,17,1,5,1,6,11,MERGED
microsoft/vscode,5,0,77,5,1,3,1,4,1,MERGED
microsoft/vscode,22,0,106,11,2,10,10,6,5,MERGED
microsoft/vscode,31,0,40,4,3,27,1,2,2,MERGED
microsoft/vscode,46,0,509,14,2,44,0,5,9,CLOSED
microsoft/vscode,3,0,88,11,1,1,1,4,7,MERGED
microsoft/vscode,14,0,46,4,2,11,1,2,2,CLOSED
microsoft/vscode,3,0,126,9,1,1,1,4,5,CLOSED
microsoft/vscode,5,0,10,5,1,2,2,3,2,CLOSED
microsoft/vscode,20,0,58,6,1,11,8,3,3,MERGED
microsoft/vscode,4,0,167,9,1,2,1,4,5,MERGED
microsoft/vscode,75,3,10,12,3,67,5,5,7,MERGED
microsoft/vscode,4,0,10,8,1,1,2,4,4,MERGED
microsoft/vscode,41,5,125,7,1,15,25,3,4,CLOSED
microsoft/vscode,215,0,45,3,2,195,18,2,1,MERGED
microsoft/vscode,5,10,270,7,1,2,2,5,2,CLOSED
microsoft/vscode,5,19,244,29,2,2,1,10,19,MERGED
microsoft/vscode,255,0,289,4,2,146,107,3,1,MERGED
microsoft/vscode,11,0,17,5,2,4,5,3,2,CLOSED
microsoft/vscode,82,1,23,12,2,75,5,5,7,MERGED
microsoft/vscode,25,17,399,10,3,22,0,4,6,CLOSED
microsoft/vscode,3,3,176,10,1,1,1,3,7,MERGED
microsoft/vscode,40,2,308,11,4,33,3,5,6,CLOSED
microsoft/vscode,3,0,0,6,1,1,1,4,2,CLOSED
microsoft/vscode,3,1,164,6,1,1,1,3,3,CLOSED
microsoft/vscode,3,1,65,8,1,1,1,4,4,MERGED
microsoft/vscode,2,0,49,5,1,0,1,3,2,MERGED
microsoft/vscode,13,2,0,4,1,12,0,3,1,MERGED
microsoft/vscode,405,1,0,6,2,0,403,3,3,MERGED
microsoft/vscode,5,1,502,7,1,2,2,4,3,CLOSED
microsoft/vscode,37,0,587,5,2,27,8,3,2,MERGED
microsoft/vscode,7,0,0,5,1,3,3,3,2,MERGED
microsoft/vscode,131,0,0,6,27,52,52,3,3,MERGED
microsoft/vscode,4,8,74,10,1,2,1,4,6,CLOSED
microsoft/vscode,103,0,550,10,4,57,42,3,7,MERGED
microsoft/vscode,12,0,638,9,1,8,3,4,5,MERGED
microsoft/vscode,7,0,78,5,1,4,2,3,2,MERGED
microsoft/vscode,10,0,33,5,1,8,1,3,2,MERGED
microsoft/vscode,165,0,95,5,14,75,76,3,2,MERGED
microsoft/vscode,4,0,0,3,1,3,0,2,1,CLOSED
microsoft/vscode,4,0,0,3,1,3,0,2,1,MERGED
microsoft/vscode,32,11,256,5,4,27,1,3,2,MERGED
microsoft/vscode,129,5,134,12,8,104,17,4,8,CLOSED
microsoft/vscode,18,1,121,5,3,9,6,3,2,MERGED
microsoft/vscode,114,1,237,11,3,110,1,3,8,MERGED
microsoft/vscode,3,0,0,5,1,1,1,3,2,MERGED
microsoft/vscode,7,0,0,5,1,3,3,3,2,MERGED
microsoft/vscode,3,0,0,7,1,1,1,4,3,MERGED
microsoft/vscode,103,0,0,3,11,60,32,2,1,MERGED
microsoft/vscode,16,0,12,4,2,13,1,3,1,MERGED
microsoft/vscode,3,0,12,4,1,1,1,3,1,MERGED
microsoft/vscode,49,0,0,8,11,19,19,3,5,MERGED
microsoft/vscode,158,0,0,7,32,63,63,3,4,MERGED
microsoft/vscode,507,0,0,9,16,434,57,8,1,CLOSED
microsoft/vscode,11,0,0,6,3,4,4,3,3,CLOSED
microsoft/vscode,4191,1,263,6,31,2412,1748,3,3,MERGED
microsoft/vscode,6,1,307,6,2,2,2,4,2,CLOSED
microsoft/vscode,112,96,759,12,3,95,14,7,5,CLOSED
microsoft/vscode,672,0,18,5,7,309,356,2,3,CLOSED
microsoft/vscode,911,0,18,3,13,463,435,2,1,MERGED
microsoft/vscode,6,0,233,9,1,0,5,3,6,CLOSED
microsoft/vscode,439,5,368,11,2,306,131,4,7,MERGED
microsoft/vscode,13,0,0,5,1,11,1,3,2,MERGED
microsoft/vscode,60,0,0,3,8,31,21,2,1,MERGED
microsoft/vscode,23,61,17,7,3,14,6,4,3,MERGED
microsoft/vscode,11,3,126,7,2,6,3,4,3,MERGED
microsoft/vscode,321,0,69,3,8,224,89,2,1,MERGED
microsoft/vscode,212,2,154,4,1,202,9,2,2,CLOSED
microsoft/vscode,64,2,117,5,1,60,3,3,2,MERGED
microsoft/vscode,43,3,293,11,4,20,19,4,7,MERGED
microsoft/vscode,48,0,10,2,4,42,2,2,0,MERGED
microsoft/vscode,8,1,364,5,1,4,3,3,2,CLOSED
microsoft/vscode,3,0,10,5,1,1,1,3,2,MERGED
microsoft/vscode,29,0,0,2,4,11,14,2,0,MERGED
microsoft/vscode,4,0,168,6,1,2,1,4,2,MERGED
microsoft/vscode,148,0,0,2,7,112,29,2,0,MERGED
microsoft/vscode,1709,0,0,2,28,1425,256,2,0,MERGED
microsoft/vscode,2,0,1,7,1,1,0,3,4,CLOSED
microsoft/vscode,5,0,75,5,1,2,2,3,2,MERGED
microsoft/vscode,118,0,199,2,19,53,46,2,0,MERGED
microsoft/vscode,32,4,10,12,4,28,0,5,7,MERGED
microsoft/vscode,5,0,106,6,1,2,2,4,2,MERGED
microsoft/vscode,7,0,141,5,1,3,3,3,2,MERGED
microsoft/vscode,27,4,146,9,1,24,2,5,4,CLOSED
microsoft/vscode,3,0,106,5,1,1,1,3,2,MERGED
microsoft/vscode,224,0,77,2,19,176,29,2,0,MERGED
microsoft/vscode,16,0,0,2,2,7,7,2,0,MERGED
microsoft/vscode,4,2,336,6,2,2,0,3,3,CLOSED
microsoft/vscode,142,4,500,6,10,127,5,3,3,MERGED
microsoft/vscode,347,0,140,2,8,218,121,2,0,MERGED
microsoft/vscode,6,43,407,13,1,5,0,6,7,MERGED
microsoft/vscode,3,4,483,8,1,1,1,4,4,CLOSED
microsoft/vscode,1561,1,70,3,11,815,735,2,1,MERGED
microsoft/vscode,475,150,152,12,6,463,6,5,7,CLOSED
microsoft/vscode,3,1,171,5,1,1,1,3,2,MERGED
microsoft/vscode,62,10,157,24,8,53,1,5,19,CLOSED
microsoft/vscode,2,1,55,7,1,1,0,4,3,MERGED
microsoft/vscode,98,0,0,2,4,76,18,2,0,MERGED
microsoft/vscode,613,1,94,2,26,411,176,2,0,MERGED
microsoft/vscode,163,0,594,13,3,160,0,4,9,CLOSED
microsoft/vscode,144,0,191,10,8,133,3,4,6,MERGED
microsoft/vscode,573,0,66,2,13,472,88,2,0,MERGED
microsoft/vscode,128,0,124,11,8,73,47,3,8,MERGED
microsoft/vscode,173,45,152,5,5,123,45,5,0,CLOSED
microsoft/vscode,3,73,412,7,1,1,1,5,2,CLOSED
microsoft/vscode,162,0,0,3,10,76,76,3,0,MERGED
microsoft/vscode,40,24,60,10,1,39,0,4,6,CLOSED
microsoft/vscode,26431,31,1294,12,8,9277,17146,4,8,MERGED
microsoft/vscode,5,3,267,11,1,2,2,5,6,MERGED
microsoft/vscode,22,131,356,14,1,21,0,5,9,CLOSED
microsoft/vscode,137,0,810,5,10,94,33,3,2,MERGED
