repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
mrdoob/three.js,856,0,564,6,10,424,422,2,4,CLOSED
mrdoob/three.js,197,0,375,3,8,161,28,2,1,CLOSED
mrdoob/three.js,61,1,239,3,3,44,14,2,1,CLOSED
mrdoob/three.js,37,0,26,1,4,33,0,1,0,MERGED
mrdoob/three.js,192,1,146,8,3,95,94,2,6,CLOSED
mrdoob/three.js,508,35,441,8,10,498,0,2,6,CLOSED
mrdoob/three.js,39,0,27,3,7,16,16,2,1,MERGED
mrdoob/three.js,534,1,1174,6,3,531,0,3,3,MERGED
mrdoob/three.js,22,0,3,1,1,19,2,1,0,MERGED
mrdoob/three.js,2,0,0,1,1,1,0,1,0,MERGED
mrdoob/three.js,2,0,0,1,1,1,0,1,0,MERGED
mrdoob/three.js,11,0,0,7,1,6,4,2,5,CLOSED
mrdoob/three.js,11,0,0,1,2,6,3,1,0,CLOSED
mrdoob/three.js,47,0,168,1,1,25,21,1,0,MERGED
mrdoob/three.js,357,0,81,1,22,168,167,1,0,MERGED
mrdoob/three.js,46,0,268,6,1,45,0,2,4,CLOSED
mrdoob/three.js,5,0,58,1,1,2,2,1,0,MERGED
mrdoob/three.js,170,0,38,1,2,168,0,1,0,MERGED
mrdoob/three.js,1382,2,1237,3,7,747,628,2,1,MERGED
mrdoob/three.js,6,0,88,1,2,2,2,1,0,MERGED
mrdoob/three.js,200,0,636,8,2,132,66,3,5,MERGED
mrdoob/three.js,14,0,31,3,1,4,9,2,1,MERGED
mrdoob/three.js,3,0,0,3,1,1,1,2,1,MERGED
mrdoob/three.js,80,3,541,7,5,40,35,3,4,CLOSED
mrdoob/three.js,13,0,0,3,1,7,5,2,1,MERGED
mrdoob/three.js,110,60,0,15,2,98,10,4,11,CLOSED
mrdoob/three.js,23,0,175,2,1,21,1,2,0,MERGED
mrdoob/three.js,4554,80,28,17,17,3739,798,6,11,MERGED
mrdoob/three.js,51,0,602,3,2,46,3,2,1,MERGED
mrdoob/three.js,80,0,286,3,2,78,0,2,1,MERGED
mrdoob/three.js,909,34,223,22,6,903,0,5,17,CLOSED
mrdoob/three.js,228,23,345,4,7,111,110,2,2,CLOSED
mrdoob/three.js,3,0,117,2,1,0,2,2,0,MERGED
mrdoob/three.js,110,0,407,3,2,57,51,2,1,MERGED
mrdoob/three.js,2635,0,207,7,3,2632,0,3,4,MERGED
mrdoob/three.js,17,0,116,3,1,11,5,2,1,MERGED
mrdoob/three.js,1284,0,131,3,10,1095,179,2,1,MERGED
mrdoob/three.js,470,0,293,6,3,219,248,3,3,MERGED
mrdoob/three.js,641,6,55,19,4,327,310,4,15,MERGED
mrdoob/three.js,671,4,54,5,9,633,29,3,2,MERGED
mrdoob/three.js,78,5,237,7,1,65,12,2,5,MERGED
mrdoob/three.js,59,3,933,19,2,52,5,3,16,MERGED
mrdoob/three.js,1167,0,423,11,7,640,520,5,6,CLOSED
mrdoob/three.js,7,0,305,12,2,3,2,3,9,MERGED
mrdoob/three.js,2640,0,190,3,3,2637,0,2,1,MERGED
mrdoob/three.js,690,0,13,9,12,343,335,3,6,MERGED
mrdoob/three.js,66,0,86,4,1,44,21,2,2,CLOSED
mrdoob/three.js,46,0,163,5,12,17,17,3,2,MERGED
mrdoob/three.js,26,2,189,7,1,19,6,2,5,MERGED
mrdoob/three.js,26,0,0,4,1,19,6,2,2,MERGED
mrdoob/three.js,337,36,187,5,105,121,111,3,2,CLOSED
mrdoob/three.js,3,36,0,2,1,1,1,2,0,CLOSED
mrdoob/three.js,3,0,95,5,1,1,1,3,2,MERGED
mrdoob/three.js,16,3,290,12,1,1,14,3,9,CLOSED
mrdoob/three.js,27,32,99,3,1,9,17,2,1,MERGED
mrdoob/three.js,1461,0,396,4,13,861,587,3,1,CLOSED
mrdoob/three.js,1461,0,429,6,13,861,587,3,3,CLOSED
mrdoob/three.js,11,11,229,8,1,8,2,3,5,CLOSED
mrdoob/three.js,127,8,389,3,17,71,39,2,1,CLOSED
mrdoob/three.js,10,3,590,8,1,7,2,2,6,CLOSED
mrdoob/three.js,172,17,324,7,1,104,67,3,4,CLOSED
mrdoob/three.js,11,0,268,3,1,8,2,2,1,CLOSED
mrdoob/three.js,30,2,96,4,2,16,12,2,2,CLOSED
mrdoob/three.js,4,1,84,12,1,2,1,5,7,MERGED
mrdoob/three.js,4981,20,458,44,8,4897,76,7,37,MERGED
mrdoob/three.js,8,0,123,4,1,5,2,2,2,CLOSED
mrdoob/three.js,8,0,180,3,1,4,3,2,1,MERGED
mrdoob/three.js,30,0,96,3,2,16,12,2,1,CLOSED
mrdoob/three.js,3,10,10,2,1,1,1,2,0,MERGED
mrdoob/three.js,11,9,23,4,1,4,6,3,1,MERGED
mrdoob/three.js,3,1,207,5,1,1,1,3,2,MERGED
mrdoob/three.js,3489,0,909,4,15,3469,5,2,2,CLOSED
mrdoob/three.js,3,0,94,3,1,1,1,2,1,CLOSED
mrdoob/three.js,2,0,197,2,1,1,0,2,0,MERGED
mrdoob/three.js,16,0,122,3,1,15,0,2,1,MERGED
mrdoob/three.js,3,0,174,3,1,1,1,2,1,CLOSED
mrdoob/three.js,68,0,513,2,3,50,15,2,0,CLOSED
mrdoob/three.js,68,1,513,3,3,50,15,3,0,MERGED
mrdoob/three.js,177,13,713,8,1,152,24,3,5,CLOSED
mrdoob/three.js,9,0,0,2,1,4,4,1,1,CLOSED
mrdoob/three.js,16,70,0,6,1,9,6,3,3,CLOSED
mrdoob/three.js,21,113,127,12,2,16,3,3,9,CLOSED
mrdoob/three.js,3,0,42,12,1,1,1,3,9,CLOSED
mrdoob/three.js,11,1,53,9,1,5,5,3,6,CLOSED
mrdoob/three.js,77,0,0,4,7,35,35,2,2,MERGED
mrdoob/three.js,7,0,56,5,1,3,3,3,2,MERGED
mrdoob/three.js,20,0,571,3,1,19,0,2,1,MERGED
mrdoob/three.js,34,3,846,8,1,26,7,4,4,CLOSED
mrdoob/three.js,33,1,708,9,1,26,6,4,5,MERGED
mrdoob/three.js,1980,5,281,52,9,1381,590,5,47,MERGED
mrdoob/three.js,141,0,1473,5,2,139,0,2,3,MERGED
mrdoob/three.js,27,0,179,9,1,26,0,3,6,CLOSED
mrdoob/three.js,15,1,220,3,3,6,6,2,1,MERGED
mrdoob/three.js,27,0,759,3,1,25,1,3,0,MERGED
mrdoob/three.js,38,0,247,5,1,29,8,3,2,MERGED
mrdoob/three.js,5,0,32,3,1,2,2,2,1,MERGED
mrdoob/three.js,334,0,455,15,2,331,1,3,12,CLOSED
mrdoob/three.js,17,0,455,4,1,3,13,2,2,CLOSED
mrdoob/three.js,2,0,270,6,1,0,1,3,3,CLOSED
mrdoob/three.js,3,1,242,3,1,1,1,2,1,CLOSED
mrdoob/three.js,4,0,0,3,1,3,0,2,1,CLOSED
mrdoob/three.js,18,0,409,4,1,13,4,3,1,CLOSED
mrdoob/three.js,8,9,89,18,1,7,0,3,15,CLOSED
mrdoob/three.js,6,120,147,5,2,2,2,3,2,CLOSED
mrdoob/three.js,81,0,121,16,12,37,32,4,12,CLOSED
mrdoob/three.js,35,0,673,2,4,17,14,1,1,CLOSED
mrdoob/three.js,4,293,289,17,1,3,0,5,12,CLOSED
mrdoob/three.js,6,4,92,5,1,5,0,2,3,CLOSED
mrdoob/three.js,6,1,271,8,1,3,2,2,6,CLOSED
mrdoob/three.js,17,0,643,8,1,11,5,2,6,CLOSED
mrdoob/three.js,26554,0,148,8,223,11581,14750,8,0,CLOSED
mrdoob/three.js,26556,0,56,8,223,11582,14751,8,0,CLOSED
mrdoob/three.js,14,0,131,9,1,9,4,2,7,CLOSED
mrdoob/three.js,98,304,44,1,6,62,30,1,0,CLOSED
mrdoob/three.js,184,65,516,4,4,110,70,2,2,CLOSED
mrdoob/three.js,34858,1,164,9,284,16335,18239,9,0,CLOSED
mrdoob/three.js,14,0,36,4,1,9,4,2,2,MERGED
mrdoob/three.js,2,0,100,3,1,1,0,2,1,MERGED
mrdoob/three.js,3,0,83,6,1,1,1,3,3,CLOSED
mrdoob/three.js,10,0,0,9,1,6,3,3,6,CLOSED
mrdoob/three.js,0,0,212,3,0,0,0,2,1,MERGED
mrdoob/three.js,10,0,53,3,1,7,2,2,1,CLOSED
mrdoob/three.js,34,0,150,3,2,31,1,2,1,MERGED
mrdoob/three.js,499,1,1156,18,10,489,0,3,15,CLOSED
mrdoob/three.js,239,1,696,4,2,227,10,3,1,MERGED
mrdoob/three.js,16,81,45,4,1,9,6,3,1,CLOSED
mrdoob/three.js,7,94,162,3,1,4,2,2,1,CLOSED
mrdoob/three.js,162,73,617,2,10,85,67,2,0,CLOSED
mrdoob/three.js,51,48,680,2,1,31,19,2,0,CLOSED
mrdoob/three.js,1631,30,1374,20,39,1592,0,4,16,MERGED
mrdoob/three.js,0,0,89,2,0,0,0,1,1,CLOSED
mrdoob/three.js,9,27,434,4,1,7,1,2,2,CLOSED
mrdoob/three.js,24,37,88,7,1,23,0,3,4,MERGED
mrdoob/three.js,146,27,204,6,2,144,0,2,4,CLOSED
mrdoob/three.js,4,54,279,2,1,3,0,2,0,MERGED
mrdoob/three.js,227,23,392,10,7,216,4,4,6,CLOSED
mrdoob/three.js,35,20,208,3,4,18,13,2,1,CLOSED
mrdoob/three.js,29,8,1266,8,1,27,1,3,5,CLOSED
mrdoob/three.js,67,13,273,5,1,66,0,2,3,CLOSED
mrdoob/three.js,32,6,281,3,1,31,0,2,1,CLOSED
mrdoob/three.js,19,8,377,3,1,15,3,2,1,CLOSED
mrdoob/three.js,5,0,0,4,1,2,2,3,1,CLOSED
mrdoob/three.js,15,3,233,7,1,13,1,3,4,MERGED
mrdoob/three.js,4,0,278,5,1,2,1,2,3,MERGED
mrdoob/three.js,6,0,434,10,1,5,0,3,7,MERGED
mrdoob/three.js,3,7,40,3,1,1,1,2,1,CLOSED
mrdoob/three.js,4,6,1165,6,1,1,2,3,3,CLOSED
mrdoob/three.js,14,0,92,2,1,12,1,1,1,CLOSED
mrdoob/three.js,315,1609,370,9,4,311,0,3,6,CLOSED
mrdoob/three.js,266,44,68,18,2,234,30,3,15,CLOSED
mrdoob/three.js,31,6,204,5,1,15,15,3,2,CLOSED
mrdoob/three.js,2,1,60,3,1,1,0,2,1,CLOSED
mrdoob/three.js,91,0,225,5,1,88,2,2,3,CLOSED
mrdoob/three.js,109,0,106,3,1,108,0,2,1,CLOSED
mrdoob/three.js,306,0,70,4,4,233,69,2,2,CLOSED
mrdoob/three.js,3,5,190,19,1,2,0,3,16,CLOSED
mrdoob/three.js,135,0,0,4,6,120,9,2,2,CLOSED
mrdoob/three.js,9,0,781,6,1,5,3,2,4,MERGED
mrdoob/three.js,891,0,312,3,34,795,62,2,1,MERGED
mrdoob/three.js,292,0,101,3,1,291,0,2,1,CLOSED
mrdoob/three.js,64,3,808,9,4,55,5,3,6,CLOSED
mrdoob/three.js,3,0,220,3,1,1,1,2,1,MERGED
mrdoob/three.js,6,17,457,10,1,5,0,3,7,CLOSED
mrdoob/three.js,21,12,405,15,1,11,9,5,10,MERGED
mrdoob/three.js,9,0,105,3,1,7,1,2,1,CLOSED
mrdoob/three.js,3,0,74,3,1,1,1,2,1,CLOSED
mrdoob/three.js,45,0,399,3,1,39,5,2,1,MERGED
mrdoob/three.js,16,0,234,9,2,8,6,3,6,CLOSED
mrdoob/three.js,23,0,216,5,7,8,8,3,2,MERGED
mrdoob/three.js,26,0,120,5,1,19,6,2,3,CLOSED
mrdoob/three.js,133,0,95,5,2,131,0,2,3,CLOSED
mrdoob/three.js,17,0,104,3,1,6,10,2,1,MERGED
mrdoob/three.js,571,44,181,2,2,486,83,1,1,CLOSED
mrdoob/three.js,13,0,317,3,2,9,2,2,1,MERGED
mrdoob/three.js,77,50,171,11,1,60,16,2,9,CLOSED
mrdoob/three.js,5,0,352,4,1,2,2,2,2,CLOSED
mrdoob/three.js,20,0,174,7,1,17,2,4,3,MERGED
mrdoob/three.js,171,0,175,5,2,169,0,2,3,CLOSED
mrdoob/three.js,9,147,675,21,2,6,1,6,15,MERGED
mrdoob/three.js,3,0,38,3,1,1,1,2,1,CLOSED
mrdoob/three.js,38,31,278,5,2,14,22,3,2,MERGED
mrdoob/three.js,7,30,190,4,1,6,0,2,2,MERGED
mrdoob/three.js,28,16,309,5,5,19,4,3,2,MERGED
mrdoob/three.js,229,30,176,8,1,127,101,4,4,MERGED
mrdoob/three.js,499,12,101,3,3,353,143,2,1,MERGED
mrdoob/three.js,158,1,131,4,1,157,0,2,2,CLOSED
mrdoob/three.js,75,6,0,12,2,68,5,4,8,MERGED
mrdoob/three.js,55,57,776,14,8,34,13,3,11,CLOSED
mrdoob/three.js,6,0,824,4,2,2,2,2,2,CLOSED
mrdoob/three.js,3,3,824,8,1,1,1,3,5,CLOSED
mrdoob/three.js,246,0,154,3,2,142,102,2,1,MERGED
mrdoob/three.js,8,1,715,12,2,3,3,3,9,CLOSED
mrdoob/three.js,45,0,128,3,1,30,14,2,1,MERGED
mrdoob/three.js,54,0,588,3,6,24,24,2,1,CLOSED
mrdoob/three.js,5,0,32,3,1,2,2,2,1,CLOSED
mrdoob/three.js,54,11,97,3,6,24,24,2,1,CLOSED
mrdoob/three.js,45,0,99,3,1,40,4,2,1,MERGED
mrdoob/three.js,1203,17,168,13,11,775,417,3,10,CLOSED
mrdoob/three.js,6,0,77,6,1,3,2,3,3,CLOSED
mrdoob/three.js,10,0,145,7,1,6,3,3,4,CLOSED
mrdoob/three.js,4912,0,72,4,5,4907,0,3,1,CLOSED
