repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
nodejs/node,3261,0,33,12,98,2438,725,5,7,CLOSED
nodejs/node,22,1,343,9,1,11,10,4,5,MERGED
nodejs/node,92,0,0,9,1,57,34,3,6,CLOSED
nodejs/node,68,5,421,16,2,66,0,4,12,CLOSED
nodejs/node,6,0,120,8,2,2,2,4,4,CLOSED
nodejs/node,6,0,536,7,2,2,2,3,4,CLOSED
nodejs/node,75,12,36,25,4,68,3,10,15,CLOSED
nodejs/node,67,9,231,18,1,36,30,5,13,CLOSED
nodejs/node,9,0,93,6,1,8,0,3,3,CLOSED
nodejs/node,0,2,156,14,0,0,0,5,9,CLOSED
nodejs/node,296,0,77,9,8,260,28,7,2,CLOSED
nodejs/node,11,0,65,19,1,9,1,8,11,CLOSED
nodejs/node,11,0,258,4,1,5,5,2,2,CLOSED
nodejs/node,3,0,37,5,1,1,1,3,2,CLOSED
nodejs/node,3,0,12,7,1,1,1,4,3,CLOSED
nodejs/node,806,1,211,14,156,325,325,6,8,CLOSED
nodejs/node,794,2,0,16,1,14,779,7,9,CLOSED
nodejs/node,135,3,114,19,6,120,9,7,12,CLOSED
nodejs/node,6,7,70,20,1,2,3,7,13,CLOSED
nodejs/node,47,0,148,29,3,2,42,7,22,CLOSED
nodejs/node,2,0,347,7,1,1,0,4,3,CLOSED
nodejs/node,9,6,155,20,1,4,4,9,11,CLOSED
nodejs/node,17,0,0,6,1,8,8,3,3,CLOSED
nodejs/node,3,27,166,27,1,2,0,9,18,CLOSED
nodejs/node,3,0,70,5,1,1,1,3,2,CLOSED
nodejs/node,23,3,327,4,2,19,2,2,2,CLOSED
nodejs/node,72,54,205,54,2,67,3,11,43,CLOSED
nodejs/node,9,35,236,28,3,3,3,8,20,CLOSED
nodejs/node,151,3,489,13,8,138,5,5,8,CLOSED
nodejs/node,111,0,77,12,1,107,3,5,7,CLOSED
nodejs/node,33,0,195,5,2,17,14,4,1,MERGED
nodejs/node,55,7,346,19,4,45,6,8,11,CLOSED
nodejs/node,10,2,191,12,2,4,4,5,7,CLOSED
nodejs/node,12,0,157,4,1,7,4,3,1,CLOSED
nodejs/node,4,0,426,2,1,3,0,1,1,CLOSED
nodejs/node,66,0,35,13,3,56,7,6,7,CLOSED
nodejs/node,28,0,514,4,1,15,12,3,1,CLOSED
nodejs/node,35,35,0,11,1,17,17,6,5,CLOSED
nodejs/node,1,0,225,5,1,0,0,4,1,MERGED
nodejs/node,3,0,31,5,1,1,1,3,2,CLOSED
nodejs/node,37,0,0,4,1,8,28,2,2,CLOSED
nodejs/node,16,1,105,12,3,3,10,5,7,CLOSED
nodejs/node,13,3,249,13,1,12,0,5,8,CLOSED
nodejs/node,38,30,217,12,2,32,4,7,5,CLOSED
nodejs/node,50,0,101,7,1,49,0,3,4,CLOSED
nodejs/node,36,2,177,9,3,21,12,4,5,CLOSED
