repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
nvbn/thefuck,9,0,439,3,2,6,1,2,1,MERGED
nvbn/thefuck,19,0,92,3,2,17,0,2,1,MERGED
nvbn/thefuck,5,0,151,3,1,2,2,2,1,MERGED
nvbn/thefuck,33,21,112,15,2,28,3,8,7,CLOSED
nvbn/thefuck,8,0,0,3,1,7,0,2,1,CLOSED
nvbn/thefuck,3,0,0,9,1,2,0,5,4,MERGED
nvbn/thefuck,8,695,101,12,1,7,0,4,8,CLOSED
nvbn/thefuck,4,0,31,5,1,2,1,3,2,MERGED
nvbn/thefuck,3,0,89,10,1,1,1,5,5,CLOSED
nvbn/thefuck,8,0,93,3,1,5,2,2,1,CLOSED
nvbn/thefuck,23,0,80,7,1,22,0,4,3,MERGED
nvbn/thefuck,18,0,62,8,2,15,1,4,4,CLOSED
nvbn/thefuck,2,0,0,3,1,1,0,2,1,MERGED
nvbn/thefuck,3,0,0,3,1,1,1,2,1,MERGED
nvbn/thefuck,74,0,854,8,2,61,11,2,6,MERGED
nvbn/thefuck,5,0,0,3,1,2,2,2,1,MERGED
nvbn/thefuck,9,0,96,3,1,8,0,2,1,MERGED
nvbn/thefuck,4,0,0,3,1,2,1,2,1,MERGED
nvbn/thefuck,4,0,92,4,1,2,1,2,2,MERGED
nvbn/thefuck,9,3,261,10,1,8,0,4,6,MERGED
nvbn/thefuck,2,0,0,3,1,1,0,2,1,MERGED
nvbn/thefuck,14,0,55,5,1,13,0,3,2,MERGED
nvbn/thefuck,4,0,420,3,1,2,1,2,1,MERGED
nvbn/thefuck,13,0,50,3,1,12,0,2,1,MERGED
nvbn/thefuck,11,0,131,6,1,10,0,3,3,MERGED
nvbn/thefuck,24,0,313,3,2,22,0,2,1,MERGED
nvbn/thefuck,3,0,101,4,1,1,1,2,2,MERGED
nvbn/thefuck,10,0,108,5,1,9,0,3,2,MERGED
nvbn/thefuck,9,4,0,3,1,8,0,2,1,CLOSED
nvbn/thefuck,7,0,0,3,1,3,3,2,1,MERGED
nvbn/thefuck,2,0,54,3,1,1,0,2,1,MERGED
nvbn/thefuck,15,0,131,5,1,7,7,2,3,CLOSED
nvbn/thefuck,27,0,212,4,3,23,1,3,1,MERGED
nvbn/thefuck,5,0,18,3,1,2,2,2,1,MERGED
nvbn/thefuck,24,0,200,3,2,22,0,2,1,MERGED
nvbn/thefuck,16,692,52,14,3,11,2,5,9,CLOSED
nvbn/thefuck,3,0,8,3,1,1,1,2,1,MERGED
nvbn/thefuck,4,0,0,3,1,2,1,2,1,MERGED
nvbn/thefuck,4,0,49,3,1,2,1,2,1,MERGED
nvbn/thefuck,3,0,66,3,1,1,1,2,1,MERGED
nvbn/thefuck,29,2,134,7,1,28,0,2,5,MERGED
nvbn/thefuck,3,0,622,5,1,1,1,2,3,CLOSED
nvbn/thefuck,114,0,1072,3,2,112,0,2,1,MERGED
nvbn/thefuck,13,0,34,3,1,12,0,2,1,MERGED
nvbn/thefuck,12,0,62,3,2,9,1,2,1,MERGED
nvbn/thefuck,4,0,46,3,1,2,1,2,1,MERGED
nvbn/thefuck,3,0,0,3,1,1,1,2,1,CLOSED
nvbn/thefuck,0,2,0,3,0,0,0,2,1,CLOSED
nvbn/thefuck,15,0,163,6,1,8,6,3,3,CLOSED
nvbn/thefuck,5,0,141,6,2,2,1,3,3,MERGED
nvbn/thefuck,7,0,68,4,1,6,0,2,2,MERGED
nvbn/thefuck,30,0,115,12,3,27,0,6,6,MERGED
nvbn/thefuck,55,0,99,5,3,46,6,3,2,MERGED
nvbn/thefuck,2,0,199,3,1,1,0,2,1,MERGED
nvbn/thefuck,159,0,152,8,5,154,0,3,5,MERGED
nvbn/thefuck,5,0,16,3,1,2,2,2,1,MERGED
nvbn/thefuck,37,0,379,3,3,34,0,2,1,MERGED
nvbn/thefuck,66,0,62,3,2,64,0,2,1,MERGED
nvbn/thefuck,3,0,166,9,1,1,1,4,5,MERGED
nvbn/thefuck,24,1,111,3,3,21,0,2,1,MERGED
nvbn/thefuck,55,0,34,3,3,51,1,2,1,MERGED
nvbn/thefuck,37,0,248,5,3,34,0,3,2,MERGED
nvbn/thefuck,3,0,12,1,1,1,1,1,0,MERGED
nvbn/thefuck,13,1,70,23,1,10,2,5,18,CLOSED
nvbn/thefuck,10,4,187,10,1,9,0,3,7,CLOSED
nvbn/thefuck,7,0,198,3,1,6,0,2,1,CLOSED
nvbn/thefuck,3,0,0,4,1,1,1,3,1,MERGED
nvbn/thefuck,8,0,44,7,2,4,2,3,4,MERGED
nvbn/thefuck,7,0,0,1,1,4,2,1,0,CLOSED
nvbn/thefuck,9,0,93,4,2,4,3,2,2,CLOSED
nvbn/thefuck,73,0,284,8,2,71,0,4,4,MERGED
nvbn/thefuck,3,0,16,3,1,1,1,2,1,MERGED
nvbn/thefuck,6,684,0,4,2,2,2,3,1,CLOSED
nvbn/thefuck,9,0,154,4,1,8,0,2,2,CLOSED
nvbn/thefuck,86,0,184,3,2,75,9,2,1,MERGED
nvbn/thefuck,5,0,71,4,1,3,1,2,2,MERGED
nvbn/thefuck,4,0,68,3,1,2,1,2,1,MERGED
nvbn/thefuck,17,0,43,3,3,12,2,2,1,MERGED
nvbn/thefuck,7,0,0,6,1,3,3,3,3,CLOSED
nvbn/thefuck,4,306,90,3,1,2,1,2,1,CLOSED
nvbn/thefuck,45,0,222,3,2,43,0,2,1,MERGED
nvbn/thefuck,23,164,132,3,3,15,5,2,1,CLOSED
nvbn/thefuck,14,0,0,4,1,13,0,2,2,CLOSED
nvbn/thefuck,8,1,94,3,2,3,3,2,1,CLOSED
nvbn/thefuck,22,0,39,5,1,21,0,2,3,CLOSED
nvbn/thefuck,18,0,0,3,2,16,0,2,1,MERGED
nvbn/thefuck,169,676,197,10,5,149,15,3,7,CLOSED
nvbn/thefuck,18,0,75,5,2,16,0,3,2,MERGED
nvbn/thefuck,29,0,19,3,3,24,2,2,1,MERGED
nvbn/thefuck,33,0,235,3,3,30,0,2,1,MERGED
nvbn/thefuck,13,0,126,5,1,6,6,2,3,MERGED
nvbn/thefuck,14,0,0,3,2,12,0,2,1,MERGED
nvbn/thefuck,4,0,61,3,1,2,1,2,1,MERGED
nvbn/thefuck,3,0,55,4,1,1,1,2,2,MERGED
nvbn/thefuck,10,0,0,8,2,8,0,5,3,MERGED
nvbn/thefuck,9,0,4,3,2,4,3,2,1,MERGED
nvbn/thefuck,34,0,80,3,2,31,1,2,1,MERGED
nvbn/thefuck,6,0,128,3,1,2,3,2,1,MERGED
nvbn/thefuck,104,669,41,6,3,101,0,2,4,CLOSED
nvbn/thefuck,51,0,462,5,3,48,0,3,2,MERGED
nvbn/thefuck,31,0,692,3,1,30,0,2,1,MERGED
nvbn/thefuck,3,0,45,3,1,1,1,2,1,MERGED
nvbn/thefuck,21,0,456,7,2,19,0,3,4,MERGED
nvbn/thefuck,295,0,857,6,16,271,8,3,3,MERGED
nvbn/thefuck,26,0,0,4,3,22,1,3,1,MERGED
nvbn/thefuck,46,2,0,11,2,23,21,3,8,MERGED
nvbn/thefuck,4,0,0,4,1,3,0,2,2,CLOSED
nvbn/thefuck,7,0,417,5,2,3,2,3,2,CLOSED
nvbn/thefuck,50,2,513,8,1,49,0,4,4,MERGED
nvbn/thefuck,52,1,59,3,2,49,1,2,1,MERGED
nvbn/thefuck,9,2,579,3,1,4,4,2,1,MERGED
nvbn/thefuck,43,0,0,3,3,40,0,2,1,MERGED
nvbn/thefuck,8,0,208,3,2,5,1,2,1,MERGED
nvbn/thefuck,12,0,153,3,2,9,1,2,1,MERGED
nvbn/thefuck,67,0,24,3,2,48,17,2,1,MERGED
nvbn/thefuck,51,0,758,3,2,49,0,2,1,MERGED
nvbn/thefuck,34,2,41,4,2,28,4,2,2,MERGED
nvbn/thefuck,4,0,218,3,1,2,1,1,2,CLOSED
nvbn/thefuck,36,1,156,3,3,33,0,2,1,MERGED
nvbn/thefuck,34,1,116,3,3,31,0,2,1,MERGED
nvbn/thefuck,4,0,135,3,1,2,1,2,1,MERGED
nvbn/thefuck,3,0,8,8,1,1,1,4,4,MERGED
nvbn/thefuck,37,2,0,3,3,34,0,2,1,MERGED
nvbn/thefuck,6,0,368,3,1,3,2,2,1,MERGED
nvbn/thefuck,30,0,119,3,2,28,0,2,1,MERGED
nvbn/thefuck,2,0,0,3,1,1,0,2,1,MERGED
nvbn/thefuck,35,0,37,3,3,32,0,2,1,MERGED
nvbn/thefuck,37,0,42,3,3,34,0,2,1,MERGED
nvbn/thefuck,33,0,195,3,3,30,0,2,1,MERGED
nvbn/thefuck,4,0,55,3,1,2,1,2,1,MERGED
nvbn/thefuck,47,0,237,3,4,43,0,2,1,MERGED
nvbn/thefuck,3,0,10,2,1,1,1,2,0,MERGED
nvbn/thefuck,104,5,64,3,4,76,24,2,1,MERGED
nvbn/thefuck,3,0,258,3,1,1,1,2,1,MERGED
nvbn/thefuck,9,0,240,5,2,7,0,3,2,MERGED
nvbn/thefuck,36,1,0,3,3,33,0,2,1,MERGED
nvbn/thefuck,40,0,0,3,3,36,1,2,1,MERGED
nvbn/thefuck,13,0,0,3,2,11,0,2,1,MERGED
nvbn/thefuck,214,0,251,3,16,102,96,2,1,MERGED
nvbn/thefuck,31,11,366,3,1,16,14,2,1,MERGED
nvbn/thefuck,14,6,71,3,1,13,0,2,1,MERGED
nvbn/thefuck,9,3,8,3,2,6,1,2,1,MERGED
nvbn/thefuck,14,0,46,4,1,9,4,2,2,CLOSED
nvbn/thefuck,39,3,89,3,3,35,1,2,1,MERGED
nvbn/thefuck,36,3,128,3,2,23,11,2,1,MERGED
nvbn/thefuck,57,2,0,3,4,53,0,2,1,MERGED
nvbn/thefuck,8,2,280,5,1,6,1,3,2,MERGED
nvbn/thefuck,170,0,26,3,2,168,0,2,1,MERGED
nvbn/thefuck,4,0,211,3,1,2,1,2,1,MERGED
nvbn/thefuck,4,0,0,9,1,2,1,4,5,MERGED
nvbn/thefuck,24,10,164,3,4,14,6,2,1,CLOSED
nvbn/thefuck,14,0,4,3,2,9,3,2,1,MERGED
nvbn/thefuck,43,1,300,3,2,34,7,2,1,MERGED
nvbn/thefuck,39,0,232,4,3,36,0,2,2,CLOSED
nvbn/thefuck,146,2,299,5,15,93,38,3,2,MERGED
nvbn/thefuck,13,0,63,3,3,5,5,2,1,MERGED
nvbn/thefuck,31,0,217,3,2,29,0,2,1,MERGED
nvbn/thefuck,6,0,0,3,1,5,0,2,1,MERGED
nvbn/thefuck,100,0,412,3,3,45,52,2,1,MERGED
nvbn/thefuck,109,0,0,5,5,104,0,2,3,MERGED
nvbn/thefuck,42,0,0,3,1,22,19,2,1,MERGED
nvbn/thefuck,4,0,54,3,2,2,0,2,1,MERGED
nvbn/thefuck,11,0,136,3,2,6,3,2,1,MERGED
nvbn/thefuck,81,0,83,3,15,39,27,2,1,MERGED
nvbn/thefuck,3,0,707,3,1,1,1,2,1,MERGED
nvbn/thefuck,82,0,21,3,3,72,7,2,1,MERGED
nvbn/thefuck,3,0,79,3,1,1,1,2,1,MERGED
nvbn/thefuck,3,0,4,3,1,2,0,2,1,MERGED
