repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
ohmyzsh/ohmyzsh,14,30,67,4,1,13,0,2,2,MERGED
ohmyzsh/ohmyzsh,142,29,209,4,2,73,67,2,2,MERGED
ohmyzsh/ohmyzsh,70,29,73,1,2,68,0,1,0,MERGED
ohmyzsh/ohmyzsh,52,29,55,1,2,50,0,1,0,MERGED
ohmyzsh/ohmyzsh,52,25,25,4,3,34,15,2,2,CLOSED
ohmyzsh/ohmyzsh,3,292,177,11,1,1,1,5,6,CLOSED
ohmyzsh/ohmyzsh,8,21,117,3,1,7,0,2,1,CLOSED
ohmyzsh/ohmyzsh,3,68,264,7,1,1,1,3,4,CLOSED
ohmyzsh/ohmyzsh,28,198,212,1,1,27,0,1,0,CLOSED
ohmyzsh/ohmyzsh,40,10,82,3,1,39,0,2,1,MERGED
ohmyzsh/ohmyzsh,3,10,63,7,1,1,1,4,3,CLOSED
ohmyzsh/ohmyzsh,49,384,168,4,2,47,0,3,1,CLOSED
ohmyzsh/ohmyzsh,25,6,0,3,1,24,0,2,1,CLOSED
ohmyzsh/ohmyzsh,7,5,55,3,1,6,0,2,1,CLOSED
ohmyzsh/ohmyzsh,11,4,1132,7,2,6,3,4,3,CLOSED
ohmyzsh/ohmyzsh,4,4,405,3,1,2,1,2,1,CLOSED
ohmyzsh/ohmyzsh,23,4,843,6,1,22,0,4,2,CLOSED
ohmyzsh/ohmyzsh,109,295,112,5,2,105,2,2,3,CLOSED
ohmyzsh/ohmyzsh,11,0,8,3,1,10,0,2,1,CLOSED
ohmyzsh/ohmyzsh,264,0,104,3,6,191,67,2,1,MERGED
ohmyzsh/ohmyzsh,0,0,612,4,0,0,0,2,2,CLOSED
ohmyzsh/ohmyzsh,46,0,361,3,2,21,23,2,1,MERGED
ohmyzsh/ohmyzsh,16,236,288,11,3,11,2,5,6,CLOSED
ohmyzsh/ohmyzsh,101,236,145,4,1,100,0,2,2,MERGED
ohmyzsh/ohmyzsh,19,236,297,2,1,18,0,2,0,CLOSED
ohmyzsh/ohmyzsh,16,234,0,3,1,15,0,2,1,MERGED
ohmyzsh/ohmyzsh,358,102,360,1,8,323,27,1,0,CLOSED
ohmyzsh/ohmyzsh,7,3,86,3,1,6,0,2,1,MERGED
ohmyzsh/ohmyzsh,4,229,57,3,1,3,0,2,1,CLOSED
ohmyzsh/ohmyzsh,118,229,328,5,5,94,19,2,3,CLOSED
ohmyzsh/ohmyzsh,118,287,23,3,5,94,19,2,1,CLOSED
ohmyzsh/ohmyzsh,45,0,98,3,2,43,0,2,1,CLOSED
ohmyzsh/ohmyzsh,3,0,379,3,1,1,1,2,1,MERGED
ohmyzsh/ohmyzsh,15,0,172,3,1,14,0,2,1,MERGED
ohmyzsh/ohmyzsh,49,0,235,3,3,45,1,2,1,MERGED
ohmyzsh/ohmyzsh,11,0,140,1,3,3,5,1,0,MERGED
ohmyzsh/ohmyzsh,45,96,32,6,4,40,1,3,3,CLOSED
ohmyzsh/ohmyzsh,118,286,46,2,5,94,19,2,0,CLOSED
ohmyzsh/ohmyzsh,5,286,298,2,1,2,2,2,0,MERGED
ohmyzsh/ohmyzsh,118,284,37,4,5,94,19,2,2,CLOSED
ohmyzsh/ohmyzsh,55,155,210,5,3,52,0,2,3,CLOSED
ohmyzsh/ohmyzsh,233,283,166,15,11,214,8,13,2,CLOSED
ohmyzsh/ohmyzsh,14,781,55,4,2,11,1,3,1,CLOSED
ohmyzsh/ohmyzsh,17,283,81,2,1,15,1,2,0,MERGED
ohmyzsh/ohmyzsh,118,224,37,4,5,94,19,2,2,CLOSED
ohmyzsh/ohmyzsh,118,282,10,3,5,94,19,2,1,CLOSED
ohmyzsh/ohmyzsh,27,222,107,2,1,26,0,2,0,MERGED
ohmyzsh/ohmyzsh,34,222,191,4,2,32,0,2,2,MERGED
ohmyzsh/ohmyzsh,3,280,280,4,1,1,1,3,1,CLOSED
ohmyzsh/ohmyzsh,1597,278,364,7,31,1350,216,6,1,CLOSED
ohmyzsh/ohmyzsh,157,683,359,34,43,69,45,8,26,CLOSED
ohmyzsh/ohmyzsh,57,769,444,4,2,54,1,3,1,CLOSED
ohmyzsh/ohmyzsh,6,269,135,3,2,2,2,2,1,CLOSED
ohmyzsh/ohmyzsh,149,96,78,3,5,136,8,2,1,CLOSED
ohmyzsh/ohmyzsh,118,343,28,3,5,94,19,2,1,CLOSED
ohmyzsh/ohmyzsh,5,17,98,3,1,2,2,2,1,MERGED
ohmyzsh/ohmyzsh,33,15,247,3,1,27,5,2,1,MERGED
ohmyzsh/ohmyzsh,6,15,0,3,1,5,0,2,1,MERGED
ohmyzsh/ohmyzsh,196,204,264,23,10,180,6,9,14,MERGED
ohmyzsh/ohmyzsh,21,10,287,3,1,20,0,2,1,MERGED
ohmyzsh/ohmyzsh,17,196,50,4,2,12,3,2,2,CLOSED
ohmyzsh/ohmyzsh,15,5,195,3,1,14,0,2,1,MERGED
ohmyzsh/ohmyzsh,109,3,592,4,2,107,0,3,1,MERGED
ohmyzsh/ohmyzsh,54,50,95,5,1,53,0,2,3,CLOSED
ohmyzsh/ohmyzsh,45,93,170,3,2,43,0,2,1,MERGED
ohmyzsh/ohmyzsh,15,153,0,2,1,14,0,2,0,MERGED
ohmyzsh/ohmyzsh,22,182,325,2,2,19,1,2,0,MERGED
ohmyzsh/ohmyzsh,76,53,265,7,4,64,8,4,3,CLOSED
ohmyzsh/ohmyzsh,17,79,105,9,1,16,0,3,6,CLOSED
ohmyzsh/ohmyzsh,31,737,139,8,1,30,0,3,5,CLOSED
ohmyzsh/ohmyzsh,22,6,172,6,2,19,1,3,3,CLOSED
ohmyzsh/ohmyzsh,189,151,193,3,103,48,38,2,1,CLOSED
ohmyzsh/ohmyzsh,39,732,292,2,2,37,0,1,1,CLOSED
ohmyzsh/ohmyzsh,17,233,0,8,2,6,9,4,4,CLOSED
ohmyzsh/ohmyzsh,5,5,0,4,1,4,0,2,2,MERGED
ohmyzsh/ohmyzsh,13,4,77,4,1,12,0,2,2,MERGED
ohmyzsh/ohmyzsh,49,61,292,2,1,48,0,1,1,CLOSED
ohmyzsh/ohmyzsh,103,40,191,3,2,89,12,2,1,CLOSED
ohmyzsh/ohmyzsh,0,419,115,1,0,0,0,1,0,MERGED
ohmyzsh/ohmyzsh,994,228,284,30,48,870,76,29,1,CLOSED
ohmyzsh/ohmyzsh,77,1,0,3,3,65,9,2,1,CLOSED
ohmyzsh/ohmyzsh,14,37,23,7,1,13,0,3,4,CLOSED
ohmyzsh/ohmyzsh,57,37,93,4,1,56,0,2,2,CLOSED
ohmyzsh/ohmyzsh,19,26,54,3,1,14,4,2,1,MERGED
ohmyzsh/ohmyzsh,15,713,101,3,1,14,0,2,1,CLOSED
ohmyzsh/ohmyzsh,3,25,0,3,1,1,1,2,1,CLOSED
ohmyzsh/ohmyzsh,12,29,89,3,2,10,0,2,1,CLOSED
ohmyzsh/ohmyzsh,6,19,0,3,1,3,2,2,1,MERGED
ohmyzsh/ohmyzsh,9,19,25,3,1,8,0,2,1,MERGED
ohmyzsh/ohmyzsh,19,214,0,3,1,18,0,2,1,MERGED
ohmyzsh/ohmyzsh,7,17,52,9,1,5,1,6,3,MERGED
ohmyzsh/ohmyzsh,277,15,443,1,4,273,0,1,0,CLOSED
ohmyzsh/ohmyzsh,40,21,164,8,2,38,0,5,3,CLOSED
ohmyzsh/ohmyzsh,277,9,193,1,4,273,0,1,0,CLOSED
ohmyzsh/ohmyzsh,10,10,35,4,1,9,0,2,2,MERGED
ohmyzsh/ohmyzsh,59,704,161,9,4,44,11,3,6,CLOSED
