repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
ossu/computer-science,13,0,0,9,1,12,0,2,7,MERGED
ossu/computer-science,16,0,20,4,1,15,0,2,2,MERGED
ossu/computer-science,10,0,0,5,1,9,0,2,3,MERGED
ossu/computer-science,9,0,27,4,1,8,0,2,2,MERGED
ossu/computer-science,7,0,130,4,1,6,0,2,2,MERGED
ossu/computer-science,16,0,40,4,1,15,0,2,2,MERGED
ossu/computer-science,10,0,0,4,1,9,0,2,2,MERGED
ossu/computer-science,10,0,0,4,1,9,0,2,2,MERGED
ossu/computer-science,8,0,0,4,1,7,0,2,2,MERGED
ossu/computer-science,22,0,0,6,1,21,0,2,4,MERGED
ossu/computer-science,13,0,0,4,1,12,0,2,2,MERGED
ossu/computer-science,10,0,57,4,1,9,0,2,2,MERGED
ossu/computer-science,10,0,0,4,1,9,0,2,2,MERGED
ossu/computer-science,10,0,25,6,1,9,0,2,4,MERGED
ossu/computer-science,13,0,0,6,1,12,0,2,4,MERGED
ossu/computer-science,18,0,0,4,1,17,0,2,2,MERGED
ossu/computer-science,41,0,164,5,1,20,20,2,3,MERGED
ossu/computer-science,10,0,0,4,1,9,0,2,2,MERGED
ossu/computer-science,12,0,55,3,1,11,0,2,1,MERGED
ossu/computer-science,16,0,46,5,1,15,0,2,3,MERGED
ossu/computer-science,10,0,0,4,1,9,0,2,2,MERGED
ossu/computer-science,10,0,0,3,1,9,0,2,1,MERGED
ossu/computer-science,10,0,30,3,1,9,0,2,1,CLOSED
ossu/computer-science,51,0,166,5,1,50,0,2,3,CLOSED
ossu/computer-science,14,0,0,4,1,13,0,2,2,CLOSED
ossu/computer-science,16,0,0,1,1,15,0,1,0,CLOSED
ossu/computer-science,15,0,59,3,1,9,5,2,1,CLOSED
ossu/computer-science,20,0,0,1,1,19,0,1,0,CLOSED
ossu/computer-science,9,0,0,3,1,8,0,2,1,CLOSED
ossu/computer-science,16,0,0,5,1,15,0,2,3,CLOSED
ossu/computer-science,10,0,0,3,1,9,0,2,1,CLOSED
ossu/computer-science,10,0,0,3,1,9,0,2,1,CLOSED
ossu/computer-science,17,0,0,3,1,16,0,2,1,CLOSED
ossu/computer-science,13,0,0,3,1,5,7,2,1,MERGED
ossu/computer-science,3,0,434,2,1,2,0,2,0,CLOSED
ossu/computer-science,3,0,218,3,1,1,1,2,1,MERGED
ossu/computer-science,18,0,0,4,1,17,0,2,2,CLOSED
ossu/computer-science,22,0,64,3,1,21,0,2,1,MERGED
ossu/computer-science,3,0,67,2,1,1,1,1,1,MERGED
ossu/computer-science,5,0,0,2,1,2,2,2,0,CLOSED
ossu/computer-science,3,0,0,5,1,1,1,3,2,MERGED
ossu/computer-science,5,0,0,4,1,2,2,3,1,MERGED
ossu/computer-science,21,0,187,5,2,13,6,2,3,MERGED
ossu/computer-science,8,0,0,1,1,7,0,1,0,CLOSED
ossu/computer-science,9,0,213,7,2,6,1,3,4,MERGED
ossu/computer-science,7,0,136,5,1,4,2,2,3,MERGED
ossu/computer-science,5,0,70,3,1,4,0,2,1,MERGED
ossu/computer-science,5,0,69,4,1,2,2,2,2,MERGED
ossu/computer-science,5,0,50,3,1,4,0,2,1,MERGED
ossu/computer-science,2,0,174,3,1,1,0,2,1,CLOSED
ossu/computer-science,118,0,104,3,2,59,57,2,1,MERGED
ossu/computer-science,11,1,453,5,2,7,2,2,3,MERGED
ossu/computer-science,3,0,99,1,1,1,1,1,0,MERGED
ossu/computer-science,8,0,124,3,1,7,0,2,1,CLOSED
ossu/computer-science,2,0,38,5,1,1,0,3,2,CLOSED
ossu/computer-science,7,0,35,3,1,6,0,2,1,CLOSED
ossu/computer-science,3,0,25,7,1,1,1,4,3,CLOSED
ossu/computer-science,3,0,13,3,1,1,1,2,1,MERGED
ossu/computer-science,3,1,0,3,1,1,1,2,1,MERGED
ossu/computer-science,3,1,0,3,1,1,1,2,1,CLOSED
ossu/computer-science,319,1,13,5,3,5,311,2,3,MERGED
ossu/computer-science,5,0,0,1,1,2,2,1,0,MERGED
ossu/computer-science,15,0,0,1,2,11,2,1,0,MERGED
ossu/computer-science,10,0,0,3,1,9,0,2,1,CLOSED
ossu/computer-science,10,0,8,1,2,6,2,1,0,MERGED
ossu/computer-science,2,0,891,8,1,1,0,3,5,CLOSED
ossu/computer-science,9,0,686,2,1,4,4,2,0,MERGED
ossu/computer-science,294,0,32,1,3,291,0,1,0,MERGED
ossu/computer-science,2,93,40,5,1,1,0,3,2,CLOSED
ossu/computer-science,0,0,14,1,0,0,0,1,0,CLOSED
ossu/computer-science,2,58,286,6,1,1,0,3,3,CLOSED
ossu/computer-science,10,28,0,5,2,6,2,2,3,MERGED
ossu/computer-science,7,26,508,2,1,3,3,2,0,CLOSED
ossu/computer-science,8,30,62,3,2,5,1,1,2,CLOSED
ossu/computer-science,3,10,75,4,1,1,1,2,2,CLOSED
ossu/computer-science,25,2,20,5,2,16,7,1,4,MERGED
ossu/computer-science,22,0,4,1,5,11,6,1,0,MERGED
ossu/computer-science,100,0,4,1,3,79,18,1,0,MERGED
ossu/computer-science,3,0,268,3,1,2,0,2,1,MERGED
ossu/computer-science,4,1,85,6,1,3,0,2,4,MERGED
ossu/computer-science,10,0,148,1,1,5,4,1,0,CLOSED
ossu/computer-science,2,0,129,3,1,1,0,2,1,CLOSED
ossu/computer-science,2,0,0,3,1,1,0,2,1,MERGED
ossu/computer-science,9,0,0,3,1,8,0,2,1,MERGED
ossu/computer-science,62,2,0,4,1,57,4,2,2,CLOSED
ossu/computer-science,40,0,0,1,2,10,28,1,0,MERGED
ossu/computer-science,5,0,0,3,1,2,2,2,1,CLOSED
ossu/computer-science,2,0,105,5,1,1,0,3,2,CLOSED
ossu/computer-science,5,5,297,14,1,3,1,3,11,MERGED
ossu/computer-science,7,0,113,4,1,5,1,2,2,MERGED
ossu/computer-science,5,1,114,4,1,4,0,2,2,MERGED
ossu/computer-science,18,0,90,8,1,15,2,2,6,MERGED
ossu/computer-science,4,0,276,3,1,3,0,2,1,MERGED
ossu/computer-science,23,1,134,8,1,19,3,2,6,MERGED
ossu/computer-science,7,0,235,3,1,4,2,2,1,MERGED
ossu/computer-science,16,0,0,4,1,15,0,2,2,MERGED
ossu/computer-science,14,1,52,10,1,12,1,3,7,MERGED
ossu/computer-science,6,0,137,2,1,5,0,2,0,MERGED
ossu/computer-science,21,0,97,1,3,14,4,1,0,MERGED
ossu/computer-science,3,0,0,2,1,2,0,2,0,MERGED
ossu/computer-science,3,0,0,3,1,2,0,2,1,MERGED
ossu/computer-science,6,0,0,4,1,5,0,2,2,MERGED
ossu/computer-science,17,0,92,2,1,16,0,2,0,MERGED
ossu/computer-science,5,0,31,3,1,2,2,2,1,MERGED
ossu/computer-science,3,0,0,3,1,1,1,2,1,MERGED
ossu/computer-science,2,0,77,4,1,1,0,2,2,CLOSED
ossu/computer-science,14,1,208,3,1,13,0,2,1,CLOSED
ossu/computer-science,18,0,148,3,1,17,0,2,1,MERGED
ossu/computer-science,5,0,0,3,1,4,0,2,1,MERGED
ossu/computer-science,48,0,4,1,2,37,9,1,0,MERGED
ossu/computer-science,9,0,4,1,1,8,0,1,0,MERGED
ossu/computer-science,15,0,396,3,1,14,0,2,1,CLOSED
ossu/computer-science,3,0,0,3,1,2,0,2,1,MERGED
ossu/computer-science,2,0,118,6,1,1,0,3,3,CLOSED
ossu/computer-science,12,0,20,5,2,8,2,2,3,MERGED
ossu/computer-science,7,0,311,4,2,5,0,2,2,MERGED
ossu/computer-science,8,0,122,3,1,0,7,2,1,CLOSED
ossu/computer-science,2,0,48,3,1,1,0,2,1,CLOSED
ossu/computer-science,0,2,6,2,0,0,0,2,0,CLOSED
ossu/computer-science,4,9,86,4,1,3,0,3,1,CLOSED
ossu/computer-science,2,0,0,4,1,1,0,2,2,CLOSED
ossu/computer-science,13,2,18,3,2,9,2,2,1,MERGED
ossu/computer-science,5,1,123,4,1,4,0,2,2,CLOSED
ossu/computer-science,5,0,17,3,1,4,0,2,1,MERGED
ossu/computer-science,2,0,44,3,1,1,0,2,1,MERGED
ossu/computer-science,14,0,178,4,3,11,0,3,1,CLOSED
ossu/computer-science,10,8,37,2,2,8,0,2,0,CLOSED
ossu/computer-science,3,0,46,3,1,1,1,2,1,MERGED
ossu/computer-science,9,0,0,4,1,4,4,2,2,MERGED
ossu/computer-science,3,0,173,5,1,1,1,3,2,MERGED
ossu/computer-science,6,2,62,6,1,3,2,2,4,MERGED
ossu/computer-science,5,0,0,5,1,2,2,3,2,MERGED
ossu/computer-science,3,0,56,3,1,1,1,2,1,MERGED
ossu/computer-science,59,25,244,1,1,58,0,1,0,CLOSED
ossu/computer-science,12,33,288,3,2,9,1,2,1,MERGED
ossu/computer-science,2,0,105,3,1,1,0,2,1,CLOSED
ossu/computer-science,1864,32,240,14,12,786,1066,5,9,MERGED
ossu/computer-science,3,0,83,3,1,1,1,2,1,MERGED
ossu/computer-science,4,0,36,4,1,2,1,2,2,MERGED
ossu/computer-science,4,7,0,3,1,2,1,2,1,MERGED
ossu/computer-science,3,8,118,3,1,1,1,2,1,CLOSED
ossu/computer-science,2,0,0,4,1,1,0,2,2,MERGED
ossu/computer-science,0,0,19,1,0,0,0,1,0,CLOSED
ossu/computer-science,3,2,79,2,1,1,1,2,0,MERGED
ossu/computer-science,3,0,27,3,1,1,1,2,1,MERGED
ossu/computer-science,4,0,0,3,1,3,0,2,1,CLOSED
ossu/computer-science,16,0,0,5,1,9,6,2,3,MERGED
ossu/computer-science,2,0,160,3,1,1,0,2,1,CLOSED
ossu/computer-science,3,24,209,14,1,2,0,5,9,CLOSED
ossu/computer-science,22,7,0,4,4,12,6,2,2,CLOSED
ossu/computer-science,5,4,36,3,1,2,2,2,1,MERGED
ossu/computer-science,62,0,24,6,7,31,24,5,1,MERGED
ossu/computer-science,0,0,15,1,0,0,0,1,0,CLOSED
ossu/computer-science,3,1,93,7,1,2,0,3,4,MERGED
ossu/computer-science,5,26,822,6,1,2,2,3,3,CLOSED
ossu/computer-science,3,0,0,4,1,1,1,4,0,MERGED
ossu/computer-science,3,27,62,9,1,1,1,2,7,CLOSED
ossu/computer-science,5,1,91,3,1,2,2,2,1,MERGED
ossu/computer-science,5,1,0,6,2,1,2,6,0,MERGED
ossu/computer-science,12,254,69,12,1,11,0,5,7,CLOSED
ossu/computer-science,3,3,1057,11,1,1,1,3,8,MERGED
ossu/computer-science,3,1,17,3,1,1,1,2,1,MERGED
ossu/computer-science,3,0,122,3,1,1,1,2,1,MERGED
ossu/computer-science,3,17,635,8,1,2,0,3,5,MERGED
ossu/computer-science,29,88,25,11,5,14,10,10,1,CLOSED
ossu/computer-science,5,1,13,3,1,2,2,2,1,MERGED
ossu/computer-science,3,7,265,3,1,1,1,2,1,MERGED
ossu/computer-science,3,10,47,3,1,1,1,2,1,MERGED
ossu/computer-science,3,39,131,3,1,1,1,2,1,CLOSED
ossu/computer-science,2,2,58,3,1,1,0,2,1,MERGED
ossu/computer-science,3,0,317,5,1,1,1,3,2,MERGED
ossu/computer-science,3,6,103,5,1,1,1,3,2,CLOSED
