repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
practical-tutorials/project-based-learning,2,0,0,6,1,1,0,2,4,MERGED
practical-tutorials/project-based-learning,3,0,79,2,1,2,0,2,0,MERGED
practical-tutorials/project-based-learning,5,24,109,8,1,4,0,3,5,CLOSED
practical-tutorials/project-based-learning,2,0,0,2,1,1,0,2,0,MERGED
practical-tutorials/project-based-learning,3,0,1,2,1,1,1,2,0,MERGED
practical-tutorials/project-based-learning,17,0,0,2,1,10,6,2,0,MERGED
practical-tutorials/project-based-learning,4,0,172,4,1,3,0,3,1,MERGED
practical-tutorials/project-based-learning,5,0,0,4,1,4,0,2,2,MERGED
practical-tutorials/project-based-learning,9,0,48,2,1,8,0,2,0,MERGED
practical-tutorials/project-based-learning,2,0,73,2,1,1,0,2,0,MERGED
practical-tutorials/project-based-learning,3,0,125,2,1,1,1,2,0,MERGED
practical-tutorials/project-based-learning,2,0,204,3,1,1,0,2,1,MERGED
practical-tutorials/project-based-learning,3,0,35,2,1,1,1,2,0,MERGED
practical-tutorials/project-based-learning,3,4,67,4,1,1,1,2,2,CLOSED
practical-tutorials/project-based-learning,2,0,0,2,1,1,0,2,0,MERGED
practical-tutorials/project-based-learning,5,0,0,2,1,4,0,2,0,MERGED
practical-tutorials/project-based-learning,4,0,0,2,1,2,1,2,0,MERGED
practical-tutorials/project-based-learning,7,1567,0,7,1,6,0,4,3,CLOSED
practical-tutorials/project-based-learning,4,0,169,2,1,2,1,2,0,MERGED
practical-tutorials/project-based-learning,3,0,0,2,1,2,0,2,0,MERGED
practical-tutorials/project-based-learning,4,0,0,2,1,3,0,1,1,CLOSED
practical-tutorials/project-based-learning,4,1689,0,6,1,3,0,3,3,CLOSED
practical-tutorials/project-based-learning,3,3,56,2,1,1,1,2,0,MERGED
practical-tutorials/project-based-learning,3,1,0,2,1,1,1,2,0,MERGED
practical-tutorials/project-based-learning,5,33,0,2,1,4,0,2,0,MERGED
practical-tutorials/project-based-learning,5,0,39,2,1,3,1,2,0,MERGED
practical-tutorials/project-based-learning,2,0,0,2,1,1,0,2,0,MERGED
practical-tutorials/project-based-learning,2,0,0,2,1,1,0,2,0,MERGED
practical-tutorials/project-based-learning,2,0,0,2,1,1,0,2,0,MERGED
practical-tutorials/project-based-learning,5,0,0,2,1,4,0,2,0,MERGED
practical-tutorials/project-based-learning,2,0,0,2,1,1,0,2,0,MERGED
