repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
public-apis/public-apis,62,0,55,2,1,52,9,2,0,MERGED
public-apis/public-apis,3,0,0,4,1,2,0,2,2,MERGED
public-apis/public-apis,2,0,53,6,1,1,0,2,4,MERGED
public-apis/public-apis,0,1,0,4,0,0,0,3,1,CLOSED
public-apis/public-apis,26,0,0,2,1,15,10,2,0,MERGED
public-apis/public-apis,6,0,0,2,1,5,0,2,0,MERGED
public-apis/public-apis,2,0,31,4,1,1,0,2,2,MERGED
public-apis/public-apis,2,0,0,4,1,1,0,2,2,MERGED
public-apis/public-apis,2,0,0,4,1,1,0,2,2,MERGED
public-apis/public-apis,2,0,0,3,1,1,0,2,1,MERGED
public-apis/public-apis,3,0,30,3,1,1,1,2,1,MERGED
public-apis/public-apis,2,1,0,3,1,1,0,3,0,CLOSED
public-apis/public-apis,2,1,110,4,1,1,0,3,1,CLOSED
public-apis/public-apis,2,0,40,6,1,1,0,2,4,CLOSED
public-apis/public-apis,3,0,0,1,1,2,0,1,0,MERGED
public-apis/public-apis,5,0,63,3,1,3,1,2,1,MERGED
public-apis/public-apis,2,0,99,5,1,1,0,3,2,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,3,0,155,3,1,1,1,2,1,MERGED
public-apis/public-apis,2,0,0,3,1,1,0,2,1,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,0,0,3,1,1,0,2,1,MERGED
public-apis/public-apis,2,0,119,2,1,1,0,2,0,MERGED
public-apis/public-apis,4,0,0,5,1,1,2,2,3,MERGED
public-apis/public-apis,2,0,127,3,1,1,0,2,1,MERGED
public-apis/public-apis,2,0,508,4,1,1,0,2,2,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,9,0,80,3,1,8,0,2,1,MERGED
public-apis/public-apis,3,0,0,2,1,2,0,2,0,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,4,0,0,2,1,2,1,2,0,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,0,19,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,7,0,0,2,1,6,0,2,0,MERGED
public-apis/public-apis,2,0,0,7,1,1,0,3,4,MERGED
public-apis/public-apis,8,0,0,2,1,7,0,2,0,MERGED
public-apis/public-apis,7,0,564,4,1,6,0,2,2,MERGED
public-apis/public-apis,2,0,61,5,1,1,0,2,3,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,8,0,21,2,1,7,0,2,0,MERGED
public-apis/public-apis,7,0,247,2,1,6,0,2,0,MERGED
public-apis/public-apis,6,0,0,2,1,5,0,2,0,MERGED
public-apis/public-apis,3,0,0,2,1,1,1,2,0,MERGED
public-apis/public-apis,7,0,564,3,1,6,0,2,1,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,5,7,0,4,1,2,2,2,2,MERGED
public-apis/public-apis,2,0,105,4,1,1,0,2,2,MERGED
public-apis/public-apis,7,0,0,4,1,6,0,2,2,MERGED
public-apis/public-apis,2,0,14,3,1,1,0,2,1,MERGED
public-apis/public-apis,3,0,8,3,1,1,1,2,1,MERGED
public-apis/public-apis,2,0,13,3,1,1,0,2,1,MERGED
public-apis/public-apis,5,0,43,6,1,4,0,2,4,MERGED
public-apis/public-apis,6,0,0,2,1,5,0,2,0,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,0,59,2,1,1,0,2,0,MERGED
public-apis/public-apis,109,0,39,3,1,57,51,2,1,MERGED
public-apis/public-apis,4,0,0,4,1,1,2,2,2,MERGED
public-apis/public-apis,2,6,52,3,1,1,0,2,1,CLOSED
public-apis/public-apis,3,1,27,2,1,2,0,2,0,MERGED
public-apis/public-apis,2,1,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,1,41,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,97,17,8,1,1,0,4,4,CLOSED
public-apis/public-apis,6,96,0,3,1,5,0,2,1,MERGED
public-apis/public-apis,7,96,108,3,1,6,0,2,1,CLOSED
public-apis/public-apis,3,1,52,2,1,1,1,2,0,MERGED
public-apis/public-apis,2,96,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,6,96,0,5,1,4,1,3,2,CLOSED
public-apis/public-apis,2,0,68,3,1,1,0,2,1,MERGED
public-apis/public-apis,3,0,160,3,1,1,1,2,1,MERGED
public-apis/public-apis,5,0,93,2,1,4,0,2,0,MERGED
public-apis/public-apis,2,0,1,2,1,1,0,2,0,MERGED
public-apis/public-apis,8,1,0,4,1,4,3,2,2,MERGED
public-apis/public-apis,7,0,0,2,1,6,0,2,0,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,6,3,0,6,1,5,0,2,4,MERGED
public-apis/public-apis,4,0,22,2,1,2,1,2,0,MERGED
public-apis/public-apis,2,94,23,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,0,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,9,94,0,2,1,6,2,2,0,MERGED
public-apis/public-apis,8,3,34,2,1,4,3,2,0,MERGED
public-apis/public-apis,2,93,41,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,94,20,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,95,0,11,1,1,0,6,5,MERGED
public-apis/public-apis,99,93,43,5,1,50,48,3,2,CLOSED
public-apis/public-apis,3,93,0,2,1,2,0,2,0,MERGED
public-apis/public-apis,7,93,0,2,1,6,0,2,0,MERGED
public-apis/public-apis,2,93,0,5,1,1,0,4,1,MERGED
public-apis/public-apis,6,93,104,5,1,5,0,3,2,MERGED
public-apis/public-apis,2,0,0,1,1,1,0,1,0,CLOSED
public-apis/public-apis,2,2,0,1,1,1,0,1,0,CLOSED
public-apis/public-apis,2,92,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,92,0,3,1,1,0,2,1,CLOSED
public-apis/public-apis,2,92,57,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,92,0,3,1,1,0,2,1,MERGED
public-apis/public-apis,7,91,319,3,1,6,0,2,1,MERGED
public-apis/public-apis,3,91,75,2,1,1,1,2,0,MERGED
public-apis/public-apis,6,92,28,3,1,5,0,2,1,MERGED
public-apis/public-apis,6,92,165,3,1,5,0,2,1,MERGED
public-apis/public-apis,2,1,0,3,1,1,0,2,1,MERGED
public-apis/public-apis,2,1,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,92,97,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,92,414,2,1,1,0,2,0,MERGED
public-apis/public-apis,3,0,92,2,1,1,1,2,0,MERGED
public-apis/public-apis,2,91,54,3,1,1,0,2,1,MERGED
public-apis/public-apis,20,91,158,4,1,19,0,3,1,MERGED
public-apis/public-apis,12,5,0,1,1,6,5,1,0,CLOSED
public-apis/public-apis,2,0,89,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,90,0,2,1,1,0,2,0,MERGED
public-apis/public-apis,2,0,72,2,1,1,0,2,0,MERGED
public-apis/public-apis,6,90,246,2,1,3,2,2,0,MERGED
public-apis/public-apis,2,90,0,4,1,1,0,2,2,CLOSED
public-apis/public-apis,4,90,0,2,1,2,1,2,0,MERGED
public-apis/public-apis,6,90,0,3,1,5,0,2,1,MERGED
public-apis/public-apis,2,90,0,2,1,1,0,2,0,MERGED
