repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
puppeteer/puppeteer,238,0,31,2,1,237,0,2,0,MERGED
puppeteer/puppeteer,21,0,15,3,3,14,4,2,1,MERGED
puppeteer/puppeteer,34,0,66,2,3,19,12,2,0,MERGED
puppeteer/puppeteer,74,0,0,2,2,9,63,2,0,MERGED
puppeteer/puppeteer,988,21,149,8,3,897,88,4,4,CLOSED
puppeteer/puppeteer,146,0,31,5,6,59,81,3,2,MERGED
puppeteer/puppeteer,78,0,68,2,1,49,28,2,0,MERGED
puppeteer/puppeteer,125,0,0,3,2,36,87,2,1,MERGED
puppeteer/puppeteer,614,0,306,3,3,606,5,3,0,MERGED
puppeteer/puppeteer,116,0,0,3,2,103,11,2,1,MERGED
puppeteer/puppeteer,29,0,0,2,5,8,16,2,0,MERGED
puppeteer/puppeteer,5,0,221,2,1,2,2,2,0,MERGED
puppeteer/puppeteer,6471,0,193,1,25,3680,2766,1,0,MERGED
puppeteer/puppeteer,1474,26,0,3,3,1439,32,2,1,CLOSED
puppeteer/puppeteer,236,5,319,10,5,203,28,3,7,MERGED
puppeteer/puppeteer,143,0,54,2,4,139,0,2,0,MERGED
puppeteer/puppeteer,110,0,74,2,4,106,0,2,0,MERGED
puppeteer/puppeteer,1787,9,1250,14,11,1715,61,4,10,MERGED
puppeteer/puppeteer,9,0,12,3,1,0,8,2,1,MERGED
puppeteer/puppeteer,51,0,498,1,7,33,11,1,0,MERGED
puppeteer/puppeteer,28,0,233,2,4,18,6,2,0,MERGED
puppeteer/puppeteer,21,0,434,5,1,20,0,2,3,MERGED
puppeteer/puppeteer,3,0,91,1,1,1,1,1,0,MERGED
puppeteer/puppeteer,1924,5,0,13,28,1428,468,9,4,CLOSED
puppeteer/puppeteer,108,0,8,3,4,104,0,3,0,MERGED
puppeteer/puppeteer,91,2,3,3,8,75,8,3,0,MERGED
puppeteer/puppeteer,72,2,3,2,3,67,2,2,0,MERGED
puppeteer/puppeteer,3,0,148,3,1,1,1,2,1,MERGED
puppeteer/puppeteer,3,0,47,9,1,1,1,4,5,MERGED
puppeteer/puppeteer,203,10,70,5,6,177,20,3,2,CLOSED
puppeteer/puppeteer,12,0,460,2,1,11,0,2,0,MERGED
puppeteer/puppeteer,89,0,0,6,1,41,47,3,3,MERGED
puppeteer/puppeteer,1480,6,0,2,9,1430,41,2,0,MERGED
puppeteer/puppeteer,8,0,0,2,1,2,5,2,0,MERGED
puppeteer/puppeteer,625,5,70,5,11,576,38,2,3,MERGED
puppeteer/puppeteer,175,5,82,9,8,158,9,4,5,MERGED
puppeteer/puppeteer,71,0,95,2,1,39,31,2,0,MERGED
puppeteer/puppeteer,559,0,49,3,1,481,77,2,1,MERGED
puppeteer/puppeteer,43,0,0,2,2,39,2,2,0,MERGED
puppeteer/puppeteer,105,17,148,3,3,77,25,3,0,CLOSED
puppeteer/puppeteer,97,2,233,5,3,30,64,2,3,CLOSED
puppeteer/puppeteer,134,0,0,2,4,49,81,2,0,MERGED
puppeteer/puppeteer,48,0,0,2,2,28,18,2,0,MERGED
puppeteer/puppeteer,34,0,0,2,1,18,15,2,0,MERGED
puppeteer/puppeteer,69,0,0,2,3,64,2,2,0,MERGED
puppeteer/puppeteer,114,0,0,2,5,74,35,2,0,MERGED
puppeteer/puppeteer,97,0,0,2,4,46,47,2,0,MERGED
