repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
rust-lang/rust,56,238,87,3,14,21,21,2,1,CLOSED
rust-lang/rust,0,10,82,1,0,0,0,0,1,CLOSED
rust-lang/rust,8,8,154,7,1,4,3,2,5,CLOSED
rust-lang/rust,32,2,280,4,1,22,9,2,2,CLOSED
rust-lang/rust,3,0,110,1,1,1,1,1,0,MERGED
rust-lang/rust,16,0,34,2,2,7,7,1,1,CLOSED
rust-lang/rust,208,96,52,6,29,95,84,2,4,CLOSED
rust-lang/rust,52,0,27,3,2,50,0,2,1,CLOSED
rust-lang/rust,22,0,98,1,2,14,6,1,0,MERGED
rust-lang/rust,82,0,400,4,2,59,21,2,2,MERGED
rust-lang/rust,108,2,187,4,3,71,34,2,2,MERGED
rust-lang/rust,17,0,88,1,3,9,5,1,0,MERGED
rust-lang/rust,128,14,142,5,4,66,58,2,3,CLOSED
rust-lang/rust,67,0,59,1,1,65,1,1,0,MERGED
rust-lang/rust,0,2,379,3,0,0,0,2,1,CLOSED
rust-lang/rust,311,0,484,3,4,225,82,2,1,CLOSED
rust-lang/rust,83,1,209,3,5,61,17,2,1,CLOSED
rust-lang/rust,151,0,132,3,6,110,35,2,1,CLOSED
rust-lang/rust,62,5,0,1,3,47,12,1,0,CLOSED
rust-lang/rust,16,7,0,1,3,13,0,1,0,CLOSED
rust-lang/rust,279,6,0,1,5,157,117,1,0,CLOSED
rust-lang/rust,152,5,142,1,2,90,60,1,0,CLOSED
rust-lang/rust,62,0,149,3,3,47,12,2,1,CLOSED
rust-lang/rust,3,0,75,3,1,1,1,2,1,MERGED
rust-lang/rust,213,1,147,3,4,121,88,2,1,CLOSED
rust-lang/rust,19,0,0,1,1,15,3,1,0,MERGED
rust-lang/rust,51,0,0,1,1,40,10,1,0,MERGED
rust-lang/rust,40,3,0,4,3,32,5,2,2,CLOSED
rust-lang/rust,13,0,377,4,1,6,6,2,2,CLOSED
rust-lang/rust,27,0,281,3,1,14,12,2,1,CLOSED
rust-lang/rust,70,0,78,5,9,39,22,2,3,CLOSED
rust-lang/rust,72,0,48,3,6,64,2,2,1,CLOSED
rust-lang/rust,47,5,97,3,6,37,4,2,1,CLOSED
rust-lang/rust,162,3,0,3,2,126,34,2,1,CLOSED
rust-lang/rust,99,0,10,3,3,80,16,2,1,CLOSED
rust-lang/rust,403,0,222,1,3,400,0,1,0,MERGED
rust-lang/rust,93,0,87,1,14,68,11,1,0,MERGED
rust-lang/rust,3,0,59,1,1,1,1,1,0,MERGED
rust-lang/rust,757,1,677,3,11,741,5,1,2,CLOSED
rust-lang/rust,19,0,29,1,2,8,9,1,0,MERGED
rust-lang/rust,3,0,50,1,1,0,2,1,0,MERGED
rust-lang/rust,191,0,80,1,9,60,122,1,0,CLOSED
rust-lang/rust,197,0,366,1,1,65,131,1,0,MERGED
rust-lang/rust,1047,1,269,2,9,1013,25,1,1,CLOSED
rust-lang/rust,103,0,54,1,3,11,89,1,0,CLOSED
rust-lang/rust,103,0,107,1,3,11,89,1,0,MERGED
rust-lang/rust,243,2,255,4,4,178,61,2,2,CLOSED
rust-lang/rust,347,3,0,6,12,246,89,3,3,CLOSED
rust-lang/rust,749,2,43,4,22,572,155,2,2,CLOSED
rust-lang/rust,350,1,146,3,5,316,29,2,1,CLOSED
rust-lang/rust,246,1,509,2,8,79,159,2,0,MERGED
rust-lang/rust,304,0,291,3,9,230,65,2,1,CLOSED
rust-lang/rust,199,0,0,3,12,161,26,2,1,CLOSED
rust-lang/rust,318,0,607,3,6,309,3,2,1,CLOSED
rust-lang/rust,55,0,81,3,6,32,17,2,1,CLOSED
rust-lang/rust,0,1,184,1,0,0,0,1,0,MERGED
rust-lang/rust,180,0,0,3,9,149,22,2,1,CLOSED
rust-lang/rust,10,0,312,3,3,5,2,2,1,CLOSED
rust-lang/rust,351,0,254,4,11,290,50,2,2,CLOSED
rust-lang/rust,218,0,236,3,3,215,0,2,1,CLOSED
rust-lang/rust,153,0,84,3,7,119,27,2,1,CLOSED
rust-lang/rust,13,0,163,3,3,6,4,2,1,CLOSED
rust-lang/rust,17,0,0,3,1,10,6,2,1,CLOSED
rust-lang/rust,114,0,0,3,4,71,39,2,1,MERGED
rust-lang/rust,7,0,118,3,1,3,3,2,1,CLOSED
rust-lang/rust,226,0,84,3,1,120,105,2,1,CLOSED
rust-lang/rust,181,1,142,4,8,164,9,2,2,MERGED
rust-lang/rust,2,0,0,3,1,1,0,2,1,CLOSED
rust-lang/rust,128,0,134,3,5,107,16,2,1,CLOSED
rust-lang/rust,217,0,211,3,5,208,4,2,1,CLOSED
rust-lang/rust,2076,1,388,5,11,1199,866,2,3,CLOSED
rust-lang/rust,65,0,78,2,8,56,1,2,0,MERGED
rust-lang/rust,65,0,152,3,2,24,39,2,1,CLOSED
rust-lang/rust,97,0,25,3,3,93,1,2,1,CLOSED
rust-lang/rust,0,3,100,1,0,0,0,1,0,MERGED
rust-lang/rust,222,0,793,2,8,206,8,2,0,MERGED
rust-lang/rust,12,3,62,1,2,8,2,1,0,CLOSED
rust-lang/rust,17,0,0,3,1,8,8,2,1,CLOSED
rust-lang/rust,3,0,0,1,1,1,1,1,0,CLOSED
rust-lang/rust,21,0,0,2,1,10,10,2,0,MERGED
rust-lang/rust,224,0,266,3,7,99,118,2,1,CLOSED
rust-lang/rust,46,0,268,3,3,37,6,2,1,MERGED
rust-lang/rust,592,0,118,3,4,508,80,2,1,CLOSED
rust-lang/rust,491,0,421,3,16,343,132,2,1,MERGED
