repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
sindresorhus/awesome,2,0,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,0,114,3,1,0,1,2,1,MERGED
sindresorhus/awesome,2,0,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,0,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,2,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,19,2,0,3,1,10,8,2,1,CLOSED
sindresorhus/awesome,2,1,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,2,0,3,1,1,0,2,1,CLOSED
sindresorhus/awesome,2,2,0,4,1,1,0,3,1,MERGED
sindresorhus/awesome,2,4,0,5,1,1,0,2,3,CLOSED
sindresorhus/awesome,4,4,0,5,1,3,0,3,2,CLOSED
sindresorhus/awesome,2,3,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,2,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,0,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,0,68,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,0,0,1,1,1,0,1,0,CLOSED
sindresorhus/awesome,5,0,0,4,1,3,1,2,2,CLOSED
sindresorhus/awesome,2,0,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,36,0,115,4,1,23,12,3,1,MERGED
sindresorhus/awesome,4,0,0,2,1,2,1,2,0,MERGED
sindresorhus/awesome,2,0,0,4,1,1,0,3,1,CLOSED
sindresorhus/awesome,2,0,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,0,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,0,44,5,1,1,0,2,3,MERGED
sindresorhus/awesome,2,0,35,1,1,1,0,1,0,CLOSED
sindresorhus/awesome,2,3,87,3,1,1,0,2,1,CLOSED
sindresorhus/awesome,2,2,0,3,1,1,0,2,1,CLOSED
sindresorhus/awesome,2,0,0,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,0,22,1,1,1,0,1,0,CLOSED
sindresorhus/awesome,2,8,86,7,1,1,0,3,4,CLOSED
sindresorhus/awesome,2,0,0,4,1,1,0,2,2,CLOSED
sindresorhus/awesome,2,0,3,2,1,1,0,2,0,MERGED
sindresorhus/awesome,2,0,114,4,1,1,0,2,2,MERGED
sindresorhus/awesome,2,0,0,7,1,1,0,4,3,CLOSED
sindresorhus/awesome,2,0,39,3,1,1,0,2,1,MERGED
sindresorhus/awesome,2,0,35,3,1,1,0,2,1,MERGED
sindresorhus/awesome,2,0,0,3,1,1,0,2,1,MERGED
