repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
storybookjs/storybook,3,0,98,4,1,1,1,3,1,MERGED
storybookjs/storybook,342,36,83,40,4,323,15,13,27,CLOSED
storybookjs/storybook,3,2,82,4,1,1,1,4,0,MERGED
storybookjs/storybook,22,0,222,10,2,19,1,3,7,CLOSED
storybookjs/storybook,3,0,23,4,1,1,1,3,1,MERGED
storybookjs/storybook,3,0,0,4,1,1,1,3,1,MERGED
storybookjs/storybook,7,0,119,8,1,5,1,3,5,CLOSED
storybookjs/storybook,18,1,123,13,1,17,0,6,7,CLOSED
storybookjs/storybook,95,0,232,4,3,52,40,3,1,MERGED
storybookjs/storybook,15,0,357,4,1,14,0,3,1,MERGED
storybookjs/storybook,4,0,545,6,1,3,0,3,3,CLOSED
storybookjs/storybook,7,0,0,3,1,4,2,3,0,MERGED
storybookjs/storybook,63,0,115,5,2,38,23,3,2,MERGED
storybookjs/storybook,34,0,81,8,4,27,3,4,4,CLOSED
storybookjs/storybook,98,0,114,4,7,45,46,3,1,MERGED
storybookjs/storybook,20,0,0,30,1,19,0,11,19,MERGED
storybookjs/storybook,616,0,0,5,15,468,133,3,2,MERGED
storybookjs/storybook,576,0,0,6,13,434,129,3,3,CLOSED
storybookjs/storybook,7,0,0,3,2,4,1,3,0,MERGED
storybookjs/storybook,108,3,233,12,8,95,5,4,8,MERGED
storybookjs/storybook,153,31,923,12,4,148,1,5,7,CLOSED
storybookjs/storybook,188,1,19,4,5,139,44,3,1,MERGED
storybookjs/storybook,1194,27,222,7,23,871,300,3,4,CLOSED
storybookjs/storybook,3,1,65,4,1,1,1,3,1,MERGED
storybookjs/storybook,3,1,141,4,1,1,1,3,1,MERGED
storybookjs/storybook,114,1,1517,8,5,108,1,4,4,MERGED
storybookjs/storybook,518,3,0,6,11,401,106,3,3,MERGED
storybookjs/storybook,305,0,0,5,4,292,9,4,1,MERGED
storybookjs/storybook,12,0,0,3,2,8,2,3,0,MERGED
storybookjs/storybook,629,0,33,3,12,606,11,2,1,CLOSED
storybookjs/storybook,17,0,11,6,3,10,4,4,2,MERGED
storybookjs/storybook,6,0,831,8,2,2,2,5,3,MERGED
storybookjs/storybook,2,0,98,2,1,1,0,2,0,MERGED
storybookjs/storybook,158,2,0,5,4,154,0,3,2,MERGED
storybookjs/storybook,6,0,80,6,1,5,0,5,1,MERGED
storybookjs/storybook,6,0,297,5,2,2,2,3,2,MERGED
storybookjs/storybook,390,4,194,20,11,308,71,5,15,CLOSED
storybookjs/storybook,30,2,1120,6,6,13,11,3,3,CLOSED
storybookjs/storybook,72,0,16,6,3,63,6,3,3,MERGED
storybookjs/storybook,124,0,0,7,6,108,10,3,4,MERGED
storybookjs/storybook,3,0,0,4,1,1,1,3,1,MERGED
storybookjs/storybook,266,0,46,5,15,212,39,3,2,MERGED
storybookjs/storybook,21,0,81,6,1,15,5,4,2,MERGED
storybookjs/storybook,58,0,399,7,3,45,10,3,4,MERGED
storybookjs/storybook,26,0,165,5,3,21,2,3,2,MERGED
storybookjs/storybook,430,0,83,2,9,235,186,2,0,MERGED
storybookjs/storybook,13,3,0,5,1,10,2,4,1,MERGED
storybookjs/storybook,1166,3,223,31,25,1089,52,3,28,MERGED
storybookjs/storybook,8,0,0,2,2,2,4,2,0,MERGED
storybookjs/storybook,14,1,132,13,5,8,1,4,9,MERGED
storybookjs/storybook,12,1,152,6,4,4,4,3,3,MERGED
storybookjs/storybook,75,0,17,4,3,50,22,3,1,MERGED
storybookjs/storybook,3,0,0,2,1,2,0,2,0,CLOSED
storybookjs/storybook,9,0,333,7,1,4,4,4,3,MERGED
storybookjs/storybook,3,0,0,4,1,1,1,3,1,MERGED
storybookjs/storybook,11,2,0,6,2,9,0,3,3,MERGED
storybookjs/storybook,59,1,810,11,4,55,0,4,7,MERGED
storybookjs/storybook,7793,0,471,2,141,3341,4311,2,0,MERGED
storybookjs/storybook,22,0,0,3,6,8,8,3,0,MERGED
storybookjs/storybook,26,0,0,3,2,12,12,3,0,MERGED
storybookjs/storybook,37,2,170,8,5,18,14,3,5,MERGED
storybookjs/storybook,244,0,195,2,11,212,21,2,0,MERGED
storybookjs/storybook,22,0,0,4,2,10,10,3,1,MERGED
storybookjs/storybook,36,0,374,3,4,18,14,3,0,MERGED
storybookjs/storybook,68,0,23,3,4,44,20,3,0,MERGED
storybookjs/storybook,75,0,148,5,8,37,30,3,2,CLOSED
storybookjs/storybook,3,0,222,3,1,1,1,2,1,MERGED
storybookjs/storybook,4,0,667,5,1,3,0,3,2,MERGED
storybookjs/storybook,10,2,0,5,1,7,2,3,2,MERGED
storybookjs/storybook,2799,4,117,5,65,22,2712,3,2,MERGED
storybookjs/storybook,30,0,0,2,2,20,8,2,0,MERGED
storybookjs/storybook,67,0,162,6,2,38,27,4,2,MERGED
storybookjs/storybook,4,0,65,2,2,2,0,2,0,MERGED
storybookjs/storybook,6,74,240,5,1,5,0,3,2,CLOSED
storybookjs/storybook,67,3,429,6,10,29,28,4,2,MERGED
storybookjs/storybook,53,2,14,6,11,21,21,3,3,MERGED
storybookjs/storybook,5626,1,0,22,96,2225,3305,22,0,CLOSED
storybookjs/storybook,82,0,0,2,6,47,29,2,0,MERGED
storybookjs/storybook,7,0,234,2,2,5,0,2,0,MERGED
storybookjs/storybook,36,0,0,3,6,18,12,2,1,CLOSED
storybookjs/storybook,70,0,0,2,7,39,24,2,0,MERGED
storybookjs/storybook,25,0,0,3,5,10,10,2,1,MERGED
storybookjs/storybook,3,0,56,3,1,1,1,3,0,MERGED
storybookjs/storybook,22,0,10,2,2,10,10,2,0,MERGED
storybookjs/storybook,36,0,0,2,4,17,15,2,0,MERGED
storybookjs/storybook,33,0,0,2,3,15,15,2,0,MERGED
storybookjs/storybook,16,0,177,4,2,12,2,3,1,MERGED
storybookjs/storybook,16,4,73,7,2,9,5,3,4,CLOSED
storybookjs/storybook,40,72,163,34,4,16,20,28,6,CLOSED
storybookjs/storybook,475,0,408,2,12,391,72,2,0,MERGED
storybookjs/storybook,52,0,111,6,7,29,16,4,2,CLOSED
storybookjs/storybook,2,0,31,4,1,1,0,3,1,MERGED
storybookjs/storybook,3,0,662,6,1,1,1,3,3,MERGED
storybookjs/storybook,18,53,74,7,1,17,0,3,4,CLOSED
storybookjs/storybook,3,0,10,4,1,1,1,3,1,MERGED
storybookjs/storybook,109,63,393,31,6,72,31,28,3,CLOSED
storybookjs/storybook,2,0,216,4,1,1,0,3,1,MERGED
storybookjs/storybook,4,0,56,4,1,2,1,3,1,MERGED
storybookjs/storybook,2,0,183,3,1,1,0,3,0,MERGED
storybookjs/storybook,40690,6,743,9,7,40625,58,4,5,CLOSED
storybookjs/storybook,21,0,49,5,2,18,1,4,1,MERGED
storybookjs/storybook,53,7,0,3,3,49,1,3,0,CLOSED
storybookjs/storybook,3,0,71,2,1,1,1,2,0,MERGED
storybookjs/storybook,16,0,0,2,2,6,8,2,0,MERGED
storybookjs/storybook,105,5,0,5,5,44,56,3,2,MERGED
storybookjs/storybook,2,1,34,4,1,1,0,3,1,MERGED
storybookjs/storybook,72,37,357,21,5,25,42,21,0,CLOSED
storybookjs/storybook,6,0,145,5,2,2,2,3,2,MERGED
storybookjs/storybook,171,0,88,7,7,161,3,2,5,MERGED
storybookjs/storybook,29,0,533,16,6,22,1,5,11,MERGED
storybookjs/storybook,110,0,124,5,8,80,22,3,2,MERGED
storybookjs/storybook,828,0,586,4,29,479,320,3,1,MERGED
storybookjs/storybook,663,0,246,3,23,267,373,3,0,MERGED
storybookjs/storybook,265,0,118,2,20,108,137,2,0,MERGED
storybookjs/storybook,32,0,92,2,7,17,8,2,0,MERGED
storybookjs/storybook,154,0,307,2,5,131,18,2,0,MERGED
storybookjs/storybook,35,0,10,2,10,14,11,2,0,MERGED
storybookjs/storybook,160,0,231,2,13,83,64,2,0,MERGED
storybookjs/storybook,17,0,34,2,2,13,2,2,0,MERGED
storybookjs/storybook,152,4,454,3,7,27,118,3,0,MERGED
storybookjs/storybook,6,21,315,29,2,2,2,28,1,CLOSED
storybookjs/storybook,2,0,120,3,1,0,1,3,0,MERGED
storybookjs/storybook,2,0,82,3,1,1,0,3,0,MERGED
storybookjs/storybook,10,0,101,2,2,4,4,2,0,MERGED
storybookjs/storybook,260,0,237,2,5,253,2,2,0,MERGED
storybookjs/storybook,2,0,0,3,1,1,0,3,0,MERGED
storybookjs/storybook,5,0,0,4,1,2,2,3,1,MERGED
storybookjs/storybook,95,0,223,5,9,57,29,3,2,MERGED
storybookjs/storybook,15,0,10,5,3,6,6,3,2,MERGED
storybookjs/storybook,85,0,351,2,4,19,62,2,0,MERGED
storybookjs/storybook,32,0,216,3,4,15,13,2,1,MERGED
storybookjs/storybook,54,0,223,4,14,13,27,3,1,MERGED
storybookjs/storybook,14,1,198,12,2,12,0,5,7,CLOSED
storybookjs/storybook,48,0,58,2,12,23,13,2,0,MERGED
storybookjs/storybook,3,1,36,4,1,1,1,3,1,MERGED
storybookjs/storybook,71,0,116,2,6,63,2,2,0,MERGED
storybookjs/storybook,48,0,201,6,5,40,3,3,3,MERGED
storybookjs/storybook,39,0,305,4,5,30,4,3,1,MERGED
storybookjs/storybook,12,0,115,2,4,4,4,2,0,MERGED
storybookjs/storybook,13,0,91,11,5,4,4,3,8,MERGED
storybookjs/storybook,255,0,2155,3,32,138,85,2,1,CLOSED
storybookjs/storybook,255,0,47,3,32,138,85,3,0,MERGED
storybookjs/storybook,3,2,63,3,1,0,2,3,0,MERGED
storybookjs/storybook,3,2,1606,2,1,1,1,2,0,MERGED
storybookjs/storybook,3,0,55,3,1,1,1,3,0,MERGED
storybookjs/storybook,3,1,1513,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,1,1669,2,1,1,1,2,0,MERGED
storybookjs/storybook,19,88,62,41,2,16,1,17,24,MERGED
storybookjs/storybook,4,0,0,6,1,2,1,4,2,MERGED
storybookjs/storybook,3,6,1406,2,1,1,1,2,0,CLOSED
storybookjs/storybook,4,1,0,3,1,2,1,3,0,MERGED
storybookjs/storybook,24,0,0,3,1,21,2,2,1,CLOSED
storybookjs/storybook,3,0,164,4,1,1,1,3,1,MERGED
storybookjs/storybook,63,1,151,2,6,53,4,2,0,MERGED
storybookjs/storybook,28,0,273,2,2,24,2,2,0,MERGED
storybookjs/storybook,6,0,72,2,2,2,2,2,0,MERGED
storybookjs/storybook,10,0,156,3,2,8,0,2,1,MERGED
storybookjs/storybook,61,0,239,2,6,51,4,2,0,MERGED
storybookjs/storybook,3,19,1406,2,1,1,1,2,0,CLOSED
storybookjs/storybook,80,0,87,3,9,52,19,3,0,MERGED
storybookjs/storybook,3,0,1144,3,1,1,1,2,1,CLOSED
storybookjs/storybook,3,0,21,2,1,1,1,2,0,MERGED
storybookjs/storybook,6,0,125,4,1,5,0,3,1,MERGED
storybookjs/storybook,136,0,237,5,2,73,61,3,2,MERGED
storybookjs/storybook,269,0,84,4,6,137,126,3,1,MERGED
storybookjs/storybook,10,0,57,2,5,5,0,2,0,MERGED
storybookjs/storybook,5,0,0,4,1,2,2,3,1,MERGED
storybookjs/storybook,5,0,0,6,1,2,2,4,2,MERGED
storybookjs/storybook,4,0,114,3,1,2,1,3,0,MERGED
storybookjs/storybook,18,0,0,2,2,8,8,2,0,MERGED
storybookjs/storybook,5,0,104,3,1,1,3,3,0,MERGED
storybookjs/storybook,3,9,1406,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,0,62,4,1,1,1,3,1,MERGED
storybookjs/storybook,4,0,595,4,1,2,1,3,1,MERGED
storybookjs/storybook,3,0,62,2,1,1,1,2,0,MERGED
storybookjs/storybook,3,0,45,2,1,1,1,2,0,MERGED
storybookjs/storybook,11,0,120,3,4,4,3,2,1,MERGED
storybookjs/storybook,4,0,89,4,1,2,1,3,1,MERGED
storybookjs/storybook,3,6,2650,2,1,1,1,2,0,CLOSED
storybookjs/storybook,18,0,87,2,2,8,8,2,0,MERGED
storybookjs/storybook,2,0,0,4,1,0,1,3,1,MERGED
storybookjs/storybook,3,5,1369,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1364,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1391,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1436,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1369,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1364,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1451,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1436,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1457,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1391,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1391,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1402,2,1,1,1,2,0,CLOSED
storybookjs/storybook,3,5,1436,4,1,1,1,3,1,CLOSED
storybookjs/storybook,3,5,141,6,1,1,1,3,3,MERGED
