repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
tensorflow/models,492,26,103,20,12,480,0,4,16,MERGED
tensorflow/models,772,0,0,1,6,766,0,1,0,CLOSED
tensorflow/models,49616,13,0,1,8,49608,0,1,0,CLOSED
tensorflow/models,2443,0,0,1,12,2431,0,1,0,MERGED
tensorflow/models,80157,0,0,1,41,80116,0,1,0,MERGED
tensorflow/models,3,0,120,7,1,2,0,3,4,MERGED
tensorflow/models,3,1,49,11,1,1,1,5,6,MERGED
tensorflow/models,117,0,54,4,42,10,65,3,1,MERGED
tensorflow/models,3,5,0,18,1,1,1,5,13,MERGED
tensorflow/models,17,1,54,8,1,8,8,4,4,MERGED
tensorflow/models,0,0,0,4,0,0,0,2,2,CLOSED
tensorflow/models,11,0,0,2,1,10,0,2,0,MERGED
tensorflow/models,5,0,28,2,1,2,2,2,0,MERGED
tensorflow/models,1410,0,0,3,3,1407,0,2,1,CLOSED
tensorflow/models,7,0,51,3,1,3,3,2,1,MERGED
tensorflow/models,15,0,168,8,2,4,9,3,5,MERGED
tensorflow/models,3,1,43,2,1,1,1,2,0,MERGED
tensorflow/models,3,0,0,6,1,1,1,3,3,MERGED
tensorflow/models,3,2,19,3,1,1,1,3,0,MERGED
tensorflow/models,29,0,0,2,1,14,14,2,0,MERGED
tensorflow/models,7,1,126,2,1,6,0,2,0,MERGED
tensorflow/models,632,3,528,10,7,625,0,2,8,MERGED
tensorflow/models,3,1,268,14,1,1,1,7,7,MERGED
tensorflow/models,3,1,484,3,1,1,1,2,1,MERGED
tensorflow/models,1134,0,0,7,12,796,326,3,4,MERGED
tensorflow/models,182,0,51,1,1,181,0,1,0,MERGED
tensorflow/models,3,0,78,6,1,1,1,2,4,MERGED
tensorflow/models,340,0,0,4,4,309,27,2,2,MERGED
tensorflow/models,1150,0,124,5,6,842,302,3,2,MERGED
tensorflow/models,84,0,0,4,1,57,26,3,1,MERGED
tensorflow/models,3,0,40,2,1,1,1,2,0,MERGED
tensorflow/models,18,22,27,2,1,6,11,2,0,MERGED
tensorflow/models,5,16,78,2,1,2,2,2,0,MERGED
tensorflow/models,55,14,83,12,1,36,18,5,7,MERGED
tensorflow/models,21,12,0,6,1,10,10,3,3,MERGED
tensorflow/models,3,5,0,6,1,1,1,3,3,MERGED
tensorflow/models,85576,0,0,3,132,85444,0,2,1,CLOSED
tensorflow/models,85383,0,0,5,131,85250,2,3,2,MERGED
tensorflow/models,5,2,0,6,1,2,2,3,3,MERGED
tensorflow/models,5,3,0,9,1,3,1,4,5,MERGED
tensorflow/models,18,332,27,7,1,6,11,4,3,CLOSED
tensorflow/models,3,2,0,4,1,1,1,3,1,MERGED
tensorflow/models,41,104,289,7,1,40,0,3,4,CLOSED
tensorflow/models,3,2,0,2,1,1,1,2,0,MERGED
tensorflow/models,3,1,0,7,1,1,1,3,4,CLOSED
tensorflow/models,3,158,0,8,1,1,1,4,4,MERGED
tensorflow/models,3,0,287,5,1,1,1,2,3,CLOSED
tensorflow/models,3,16,0,6,1,1,1,3,3,MERGED
tensorflow/models,4,302,64,6,1,3,0,4,2,CLOSED
tensorflow/models,7,316,1220,11,1,5,1,5,6,CLOSED
tensorflow/models,61,155,252,22,2,59,0,8,14,CLOSED
tensorflow/models,94,0,0,5,13,62,19,2,3,MERGED
tensorflow/models,39,0,0,1,1,20,18,1,0,MERGED
tensorflow/models,2,0,38,4,1,1,0,2,2,MERGED
tensorflow/models,679,48,128,4,3,676,0,2,2,CLOSED
tensorflow/models,607,0,126,9,5,602,0,3,6,MERGED
tensorflow/models,6,2,0,5,1,4,1,2,3,CLOSED
tensorflow/models,198,8,42,2,1,197,0,2,0,MERGED
tensorflow/models,3,8,16,8,1,1,1,4,4,MERGED
tensorflow/models,5,92,1184,3,1,2,2,2,1,CLOSED
tensorflow/models,179,5,180,12,4,89,86,4,8,MERGED
tensorflow/models,6,6,0,3,1,4,1,3,0,MERGED
tensorflow/models,90,2,225,3,1,89,0,2,1,MERGED
tensorflow/models,3,2,536,3,1,1,1,2,1,MERGED
tensorflow/models,11,16,360,6,2,5,4,3,3,MERGED
tensorflow/models,54,6,271,8,1,52,1,2,6,MERGED
