repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
tensorflow/tensorflow,3,0,22,1,1,1,1,1,0,CLOSED
tensorflow/tensorflow,8,0,0,4,2,3,3,2,2,CLOSED
tensorflow/tensorflow,3,0,0,4,1,1,1,2,2,CLOSED
tensorflow/tensorflow,3,7,191,13,1,1,1,5,8,CLOSED
tensorflow/tensorflow,175,0,0,5,37,62,76,2,3,CLOSED
tensorflow/tensorflow,3,0,0,5,1,1,1,3,2,CLOSED
tensorflow/tensorflow,4,2,245,7,1,3,0,4,3,CLOSED
tensorflow/tensorflow,3,4,30,3,1,1,1,2,1,CLOSED
tensorflow/tensorflow,79,0,3676,10,1,70,8,3,7,CLOSED
tensorflow/tensorflow,0,0,108,1,0,0,0,1,0,CLOSED
tensorflow/tensorflow,13,5,191,3,1,7,5,2,1,CLOSED
tensorflow/tensorflow,22,2,176,12,1,18,3,7,5,CLOSED
tensorflow/tensorflow,16,5,33,3,4,6,6,2,1,CLOSED
tensorflow/tensorflow,3,1,68,3,1,1,1,2,1,CLOSED
tensorflow/tensorflow,4,1,135,3,1,3,0,2,1,CLOSED
tensorflow/tensorflow,3,0,99,2,1,1,1,1,1,CLOSED
tensorflow/tensorflow,5,0,0,1,1,2,2,1,0,CLOSED
tensorflow/tensorflow,70,0,69,1,7,32,31,1,0,CLOSED
tensorflow/tensorflow,6,29,229,11,1,5,0,3,8,MERGED
tensorflow/tensorflow,22,0,186,5,2,17,3,2,3,CLOSED
tensorflow/tensorflow,3,0,0,1,1,1,1,1,0,CLOSED
tensorflow/tensorflow,20,0,148,1,1,19,0,1,0,CLOSED
tensorflow/tensorflow,5,0,0,3,1,2,2,2,1,CLOSED
tensorflow/tensorflow,5,0,120,4,1,2,2,2,2,CLOSED
tensorflow/tensorflow,3,0,575,5,1,1,1,2,3,CLOSED
tensorflow/tensorflow,101,9,223,21,2,66,33,7,14,CLOSED
tensorflow/tensorflow,3,0,42,3,1,2,0,2,1,CLOSED
