repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
trekhleb/javascript-algorithms,91,0,62,4,11,40,40,2,2,CLOSED
trekhleb/javascript-algorithms,15,0,64,5,5,5,5,3,2,MERGED
trekhleb/javascript-algorithms,3,0,0,5,1,1,1,3,2,MERGED
trekhleb/javascript-algorithms,213,0,19,7,1,212,0,3,4,MERGED
trekhleb/javascript-algorithms,3,0,30,5,1,1,1,3,2,MERGED
trekhleb/javascript-algorithms,3,0,0,1,1,1,1,1,0,CLOSED
trekhleb/javascript-algorithms,10,0,0,5,2,4,4,3,2,MERGED
trekhleb/javascript-algorithms,11,0,0,5,2,5,4,3,2,CLOSED
trekhleb/javascript-algorithms,3,0,0,5,1,1,1,3,2,MERGED
trekhleb/javascript-algorithms,71,88,0,10,3,68,0,5,5,MERGED
trekhleb/javascript-algorithms,120,2,877,11,3,116,1,5,6,MERGED
trekhleb/javascript-algorithms,219,0,56,10,1,218,0,3,7,MERGED
trekhleb/javascript-algorithms,214,0,31,6,2,212,0,3,3,MERGED
trekhleb/javascript-algorithms,16,0,54,3,2,14,0,2,1,MERGED
trekhleb/javascript-algorithms,2,1,0,5,1,1,0,3,2,MERGED
trekhleb/javascript-algorithms,2,0,0,5,1,1,0,3,2,CLOSED
trekhleb/javascript-algorithms,6,0,0,4,1,5,0,2,2,CLOSED
trekhleb/javascript-algorithms,24,0,83,7,2,9,13,3,4,MERGED
trekhleb/javascript-algorithms,155,0,122,5,5,150,0,3,2,MERGED
trekhleb/javascript-algorithms,17,7,67,3,1,10,6,2,1,CLOSED
trekhleb/javascript-algorithms,82,116,58,7,2,80,0,3,4,MERGED
trekhleb/javascript-algorithms,34,2,0,8,1,33,0,3,5,CLOSED
trekhleb/javascript-algorithms,90,2,165,8,4,59,27,5,3,MERGED
trekhleb/javascript-algorithms,29,1,0,6,1,14,14,3,3,MERGED
trekhleb/javascript-algorithms,9,0,163,9,2,4,3,6,3,MERGED
trekhleb/javascript-algorithms,297,1,69,5,3,294,0,3,2,MERGED
trekhleb/javascript-algorithms,72,0,87,5,3,69,0,3,2,MERGED
trekhleb/javascript-algorithms,18,0,133,7,2,13,3,5,2,MERGED
trekhleb/javascript-algorithms,26,1,81,7,2,23,1,5,2,MERGED
trekhleb/javascript-algorithms,97,1,42,5,3,94,0,3,2,MERGED
trekhleb/javascript-algorithms,140,8,0,5,4,87,49,3,2,MERGED
trekhleb/javascript-algorithms,3,0,68,5,1,1,1,3,2,MERGED
trekhleb/javascript-algorithms,46,3,26,5,8,19,19,4,1,MERGED
trekhleb/javascript-algorithms,3,2,414,3,1,1,1,2,1,CLOSED
trekhleb/javascript-algorithms,83,1,0,5,4,79,0,3,2,MERGED
trekhleb/javascript-algorithms,54,0,119,5,4,25,25,3,2,MERGED
trekhleb/javascript-algorithms,619,0,157,3,2,330,287,2,1,CLOSED
trekhleb/javascript-algorithms,2,0,52,5,1,1,0,3,2,MERGED
trekhleb/javascript-algorithms,3,4,0,7,1,1,1,5,2,MERGED
trekhleb/javascript-algorithms,2996,0,1031,4,5,1605,1386,2,2,CLOSED
trekhleb/javascript-algorithms,3075,0,266,4,6,1675,1394,2,2,OPEN
trekhleb/javascript-algorithms,627,16,94,6,10,617,0,3,3,CLOSED
trekhleb/javascript-algorithms,21,3,0,3,1,16,4,2,1,CLOSED
trekhleb/javascript-algorithms,57,1,11,5,2,54,1,3,2,MERGED
trekhleb/javascript-algorithms,35,2,95,7,2,26,7,5,2,MERGED
trekhleb/javascript-algorithms,21,2,0,5,1,16,4,3,2,MERGED
trekhleb/javascript-algorithms,65,2,77,5,9,56,0,3,2,MERGED
trekhleb/javascript-algorithms,99,0,53,5,3,96,0,3,2,MERGED
trekhleb/javascript-algorithms,20,0,163,3,1,8,11,2,1,CLOSED
trekhleb/javascript-algorithms,13,0,0,7,2,9,2,5,2,MERGED
