repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
trimstray/the-book-of-secret-knowledge,3,21,33,4,1,1,1,3,1,CLOSED
trimstray/the-book-of-secret-knowledge,3,0,73,8,1,2,0,5,3,MERGED
trimstray/the-book-of-secret-knowledge,4,0,50,3,1,3,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,1,25,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,3,0,53,3,1,2,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,3,0,133,7,1,1,1,2,5,CLOSED
trimstray/the-book-of-secret-knowledge,5,0,0,3,1,2,2,2,1,MERGED
trimstray/the-book-of-secret-knowledge,4,0,0,3,1,2,1,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,0,31,2,1,1,0,2,0,CLOSED
trimstray/the-book-of-secret-knowledge,2,0,31,3,1,1,0,2,1,CLOSED
trimstray/the-book-of-secret-knowledge,2,0,29,3,1,1,0,2,1,CLOSED
trimstray/the-book-of-secret-knowledge,3,0,0,3,1,1,1,2,1,MERGED
trimstray/the-book-of-secret-knowledge,4,0,134,5,1,1,2,2,3,CLOSED
trimstray/the-book-of-secret-knowledge,2,2,126,5,1,1,0,2,3,CLOSED
trimstray/the-book-of-secret-knowledge,2,0,0,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,0,0,5,1,1,0,2,3,MERGED
trimstray/the-book-of-secret-knowledge,2,0,29,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,0,0,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,0,1763,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,0,45,5,1,1,0,2,3,MERGED
trimstray/the-book-of-secret-knowledge,2,0,105,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,7,1,0,4,1,6,0,3,1,MERGED
trimstray/the-book-of-secret-knowledge,7,0,56,3,1,6,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,4,0,28,3,1,2,1,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,0,0,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,0,0,5,1,1,0,3,2,MERGED
trimstray/the-book-of-secret-knowledge,7,0,22,3,1,6,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,12,0,0,4,1,11,0,2,2,MERGED
trimstray/the-book-of-secret-knowledge,4,0,0,3,1,3,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,8,0,4,1,1,0,2,2,CLOSED
trimstray/the-book-of-secret-knowledge,2,7,0,3,1,1,0,3,0,MERGED
trimstray/the-book-of-secret-knowledge,5,0,84,4,1,4,0,2,2,MERGED
trimstray/the-book-of-secret-knowledge,10,0,154,3,1,5,4,2,1,MERGED
trimstray/the-book-of-secret-knowledge,7,0,60,2,1,6,0,2,0,MERGED
trimstray/the-book-of-secret-knowledge,7,0,61,5,1,6,0,1,4,MERGED
trimstray/the-book-of-secret-knowledge,3,0,72,1,1,2,0,1,0,MERGED
trimstray/the-book-of-secret-knowledge,3,0,0,2,1,2,0,1,1,MERGED
trimstray/the-book-of-secret-knowledge,10,6,40,3,1,9,0,2,1,CLOSED
trimstray/the-book-of-secret-knowledge,3,0,14,4,1,1,1,2,2,MERGED
trimstray/the-book-of-secret-knowledge,2,39,0,3,1,1,0,2,1,CLOSED
trimstray/the-book-of-secret-knowledge,2,0,0,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,5,0,17,3,1,2,2,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,29,0,5,1,1,0,3,2,MERGED
trimstray/the-book-of-secret-knowledge,3,2,0,3,1,1,1,2,1,MERGED
trimstray/the-book-of-secret-knowledge,4,0,108,4,1,2,1,2,2,CLOSED
trimstray/the-book-of-secret-knowledge,2,6,95,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,3,0,28,3,1,1,1,2,1,MERGED
trimstray/the-book-of-secret-knowledge,3,5,33,3,1,2,0,2,1,CLOSED
trimstray/the-book-of-secret-knowledge,2,0,39,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,4,0,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,11,0,3,1,1,0,2,1,CLOSED
trimstray/the-book-of-secret-knowledge,7,1,46,6,1,6,0,3,3,CLOSED
trimstray/the-book-of-secret-knowledge,3,3,58,5,1,1,1,2,3,MERGED
trimstray/the-book-of-secret-knowledge,2,0,58,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,3,0,43,3,1,1,1,2,1,MERGED
trimstray/the-book-of-secret-knowledge,10,0,79,3,1,2,7,2,1,MERGED
trimstray/the-book-of-secret-knowledge,9,0,254,3,1,6,2,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,0,137,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,3,0,98,2,1,1,1,2,0,MERGED
trimstray/the-book-of-secret-knowledge,2,1,0,2,1,1,0,2,0,MERGED
trimstray/the-book-of-secret-knowledge,7,1,274,3,1,6,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,2,0,0,3,1,1,0,2,1,MERGED
trimstray/the-book-of-secret-knowledge,20,2,311,7,1,19,0,2,5,MERGED
trimstray/the-book-of-secret-knowledge,2,0,59,4,1,1,0,2,2,MERGED
trimstray/the-book-of-secret-knowledge,3,1,65,4,1,1,1,2,2,CLOSED
trimstray/the-book-of-secret-knowledge,27,1,46,4,1,13,13,2,2,MERGED
trimstray/the-book-of-secret-knowledge,35,0,93,3,1,17,17,3,0,MERGED
trimstray/the-book-of-secret-knowledge,0,0,8,1,0,0,0,1,0,CLOSED
