repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
twbs/bootstrap,4,0,74,6,1,3,0,4,2,MERGED
twbs/bootstrap,25,0,0,3,1,12,12,2,1,MERGED
twbs/bootstrap,6,1,122,3,1,5,0,2,1,CLOSED
twbs/bootstrap,59,0,112,5,1,29,29,4,1,MERGED
twbs/bootstrap,3,0,50,3,1,1,1,2,1,MERGED
twbs/bootstrap,5,0,0,3,1,2,2,2,1,MERGED
twbs/bootstrap,5,0,73,2,1,2,2,2,0,MERGED
twbs/bootstrap,100,0,137,4,3,83,14,2,2,CLOSED
twbs/bootstrap,167,12,137,15,4,148,15,6,9,CLOSED
twbs/bootstrap,3,0,151,4,1,1,1,3,1,MERGED
twbs/bootstrap,76,0,114,2,3,56,17,1,1,CLOSED
twbs/bootstrap,20,1,57,3,3,10,7,2,1,CLOSED
twbs/bootstrap,55,1,136,11,1,36,18,4,7,CLOSED
twbs/bootstrap,7,1,68,3,1,3,3,2,1,CLOSED
twbs/bootstrap,5,0,132,2,1,2,2,2,0,MERGED
twbs/bootstrap,8,0,80,20,1,7,0,7,13,CLOSED
twbs/bootstrap,13,0,188,2,1,6,6,2,0,MERGED
twbs/bootstrap,12,0,68,3,1,11,0,2,1,CLOSED
twbs/bootstrap,41,2,78,23,3,30,8,9,14,CLOSED
twbs/bootstrap,37,0,115,3,4,26,7,2,1,CLOSED
twbs/bootstrap,17,0,44,2,1,8,8,2,0,MERGED
twbs/bootstrap,5,0,59,2,1,2,2,2,0,MERGED
twbs/bootstrap,27,0,119,2,3,18,6,2,0,MERGED
twbs/bootstrap,2022,0,0,6,11,1184,827,5,1,CLOSED
twbs/bootstrap,3,0,119,3,1,1,1,2,1,MERGED
twbs/bootstrap,429,17,43,10,4,423,2,4,6,CLOSED
twbs/bootstrap,20,5,76,4,3,1,16,2,2,CLOSED
twbs/bootstrap,3,0,0,5,1,1,1,3,2,CLOSED
twbs/bootstrap,64,0,131,7,2,31,31,3,4,CLOSED
twbs/bootstrap,1480,5,1738,9,7,749,724,3,6,CLOSED
twbs/bootstrap,25,0,229,4,1,22,2,2,2,CLOSED
twbs/bootstrap,17,0,116,7,1,10,6,3,4,CLOSED
twbs/bootstrap,43,3,411,5,5,19,19,3,2,CLOSED
twbs/bootstrap,4,3,144,3,1,3,0,2,1,CLOSED
twbs/bootstrap,5,1,79,4,1,4,0,2,2,CLOSED
twbs/bootstrap,3,0,0,2,1,1,1,2,0,MERGED
twbs/bootstrap,15,0,34,2,1,7,7,2,0,MERGED
twbs/bootstrap,325,9,88,6,5,318,2,2,4,CLOSED
twbs/bootstrap,14,1,687,9,3,7,4,5,4,CLOSED
twbs/bootstrap,15,0,131,4,3,7,5,2,2,CLOSED
twbs/bootstrap,17,0,286,7,3,7,7,2,5,MERGED
twbs/bootstrap,19,0,1081,6,1,12,6,2,4,CLOSED
twbs/bootstrap,9,0,195,4,1,7,1,2,2,CLOSED
twbs/bootstrap,11,0,31,3,2,5,4,2,1,MERGED
twbs/bootstrap,3,8,0,3,1,1,1,2,1,CLOSED
twbs/bootstrap,13,6,238,5,3,8,2,3,2,CLOSED
twbs/bootstrap,1894,0,56,4,25,1644,225,3,1,CLOSED
twbs/bootstrap,3,3,120,6,1,1,1,3,3,CLOSED
twbs/bootstrap,3,5,46,4,1,1,1,2,2,CLOSED
twbs/bootstrap,22,0,298,7,3,14,5,2,5,CLOSED
twbs/bootstrap,5,0,238,6,1,2,2,3,3,CLOSED
twbs/bootstrap,3,2,19,8,1,1,1,3,5,CLOSED
twbs/bootstrap,8,6,108,12,3,4,1,4,8,CLOSED
twbs/bootstrap,893,41,274,96,9,474,410,26,70,CLOSED
twbs/bootstrap,13,0,69,4,1,8,4,2,2,MERGED
twbs/bootstrap,10,0,141,3,2,4,4,2,1,CLOSED
twbs/bootstrap,4,0,98,6,3,1,0,3,3,MERGED
twbs/bootstrap,4,0,83,3,2,2,0,2,1,CLOSED
twbs/bootstrap,30,0,167,5,2,27,1,2,3,CLOSED
twbs/bootstrap,1,0,29,8,1,0,0,4,4,CLOSED
twbs/bootstrap,12,0,84,6,2,8,2,2,4,CLOSED
twbs/bootstrap,4,25,123,9,1,2,1,4,5,CLOSED
twbs/bootstrap,3,0,22,2,1,1,1,2,0,MERGED
twbs/bootstrap,3,0,0,3,1,1,1,2,1,MERGED
twbs/bootstrap,3,0,64,2,1,1,1,1,1,CLOSED
twbs/bootstrap,80,0,239,7,3,74,3,3,4,MERGED
twbs/bootstrap,9,0,46,3,1,4,4,2,1,MERGED
twbs/bootstrap,3,0,166,5,1,1,1,2,3,CLOSED
twbs/bootstrap,65,11,389,4,3,53,9,2,2,MERGED
twbs/bootstrap,9,0,157,3,1,4,4,2,1,MERGED
twbs/bootstrap,9,14,110,23,2,5,2,7,16,CLOSED
twbs/bootstrap,2,9,82,3,1,1,0,2,1,CLOSED
twbs/bootstrap,29,10,72,4,4,13,12,2,2,CLOSED
twbs/bootstrap,3,0,77,3,1,1,1,2,1,MERGED
twbs/bootstrap,8,9,78,5,1,7,0,3,2,CLOSED
twbs/bootstrap,10,9,0,4,1,9,0,2,2,CLOSED
twbs/bootstrap,675,1,301,29,7,330,338,5,24,CLOSED
twbs/bootstrap,3,0,117,3,1,1,1,2,1,MERGED
twbs/bootstrap,17,0,414,3,1,12,4,2,1,CLOSED
twbs/bootstrap,63,8,247,3,1,31,31,2,1,CLOSED
twbs/bootstrap,68,8,248,3,2,33,33,2,1,CLOSED
twbs/bootstrap,9,2,113,4,1,4,4,2,2,CLOSED
twbs/bootstrap,11,0,0,3,1,5,5,2,1,MERGED
twbs/bootstrap,339,6,65,1,10,310,19,1,0,CLOSED
twbs/bootstrap,3,0,430,6,1,1,1,2,4,CLOSED
twbs/bootstrap,5,0,1421,3,1,2,2,2,1,CLOSED
twbs/bootstrap,7,6,122,6,1,5,1,2,4,MERGED
twbs/bootstrap,12,10,416,4,3,8,1,2,2,CLOSED
twbs/bootstrap,3,4,0,3,1,1,1,2,1,CLOSED
twbs/bootstrap,296,3,421,25,9,286,1,12,13,CLOSED
twbs/bootstrap,3,0,26,3,1,1,1,2,1,CLOSED
twbs/bootstrap,1024,0,49,11,9,1011,4,4,7,CLOSED
twbs/bootstrap,16,1,1017,7,1,12,3,2,5,CLOSED
twbs/bootstrap,3,0,0,3,1,1,1,2,1,CLOSED
twbs/bootstrap,181,33,301,20,4,175,2,6,14,CLOSED
twbs/bootstrap,5,0,101,1,1,2,2,1,0,CLOSED
twbs/bootstrap,3,1,74,7,1,1,1,3,4,MERGED
twbs/bootstrap,3,4,316,9,1,1,1,4,5,CLOSED
twbs/bootstrap,3,0,76,5,1,1,1,3,2,MERGED
twbs/bootstrap,7,3,136,4,3,3,1,3,1,MERGED
twbs/bootstrap,2,3,0,10,1,1,0,4,6,CLOSED
twbs/bootstrap,3,2,131,4,1,1,1,2,2,CLOSED
twbs/bootstrap,8,3,409,17,1,5,2,2,15,CLOSED
twbs/bootstrap,3,0,0,3,1,1,1,2,1,MERGED
twbs/bootstrap,28,0,376,5,1,15,12,2,3,MERGED
twbs/bootstrap,18,3,69,4,3,11,4,2,2,CLOSED
twbs/bootstrap,10,1,208,3,2,5,3,2,1,MERGED
twbs/bootstrap,77,2,152,3,5,36,36,2,1,CLOSED
twbs/bootstrap,3,0,14,2,1,1,1,1,1,CLOSED
twbs/bootstrap,9,0,43,3,3,3,3,2,1,CLOSED
twbs/bootstrap,5,0,0,3,1,2,2,2,1,CLOSED
twbs/bootstrap,6,0,0,5,2,2,2,2,3,MERGED
twbs/bootstrap,294,1,104,4,2,273,19,2,2,CLOSED
twbs/bootstrap,3,8,231,3,1,1,1,2,1,CLOSED
twbs/bootstrap,21,14,200,6,1,10,10,2,4,CLOSED
twbs/bootstrap,3,0,134,3,1,1,1,2,1,MERGED
twbs/bootstrap,2,0,138,3,1,1,0,2,1,CLOSED
twbs/bootstrap,23,5,82,3,3,10,10,2,1,CLOSED
twbs/bootstrap,11,4,111,3,3,4,4,2,1,CLOSED
twbs/bootstrap,4,2,291,5,1,3,0,3,2,CLOSED
twbs/bootstrap,3,3,134,6,1,1,1,3,3,CLOSED
twbs/bootstrap,69,12,182,7,6,44,19,2,5,CLOSED
twbs/bootstrap,9,1,168,7,1,4,4,3,4,CLOSED
twbs/bootstrap,25,1,227,3,3,20,2,2,1,MERGED
twbs/bootstrap,7,0,111,3,1,3,3,2,1,MERGED
twbs/bootstrap,26,10,1090,3,3,17,6,2,1,CLOSED
twbs/bootstrap,3489,9,552,12,10,3479,0,3,9,CLOSED
twbs/bootstrap,251,14,36,24,5,226,20,5,19,CLOSED
twbs/bootstrap,22,0,524,4,3,13,6,2,2,CLOSED
twbs/bootstrap,21,7,179,3,5,8,8,2,1,CLOSED
twbs/bootstrap,5699,0,165,13,16,5683,0,6,7,CLOSED
twbs/bootstrap,6,5,167,9,1,5,0,3,6,MERGED
twbs/bootstrap,73,4,112,3,1,62,10,2,1,MERGED
twbs/bootstrap,17,0,90,6,1,8,8,3,3,CLOSED
twbs/bootstrap,11,15,77,6,3,4,4,2,4,CLOSED
twbs/bootstrap,10,6,504,7,1,7,2,3,4,CLOSED
twbs/bootstrap,5,0,34,3,1,2,2,2,1,MERGED
twbs/bootstrap,12,0,302,3,1,8,3,2,1,CLOSED
twbs/bootstrap,9,14,235,3,1,1,7,2,1,CLOSED
twbs/bootstrap,84,0,309,128,7,63,14,58,70,CLOSED
twbs/bootstrap,2,1,277,3,1,1,0,2,1,CLOSED
twbs/bootstrap,3,0,0,3,1,1,1,2,1,MERGED
twbs/bootstrap,25,1,14,3,1,12,12,2,1,CLOSED
twbs/bootstrap,8946,0,118,5,48,5267,3631,5,0,CLOSED
twbs/bootstrap,3,0,0,3,1,1,1,2,1,MERGED
twbs/bootstrap,60,2,348,23,3,47,10,4,19,MERGED
twbs/bootstrap,3,0,122,3,1,1,1,2,1,MERGED
twbs/bootstrap,13,0,117,3,1,11,1,2,1,CLOSED
twbs/bootstrap,9,10,199,5,3,1,5,2,3,CLOSED
twbs/bootstrap,25,5,15,2,3,20,2,2,0,MERGED
twbs/bootstrap,7,1,68,2,2,2,3,2,0,MERGED
twbs/bootstrap,12,4,90,4,6,6,0,2,2,MERGED
twbs/bootstrap,4,0,81,49,1,3,0,19,30,CLOSED
twbs/bootstrap,3,33,159,4,1,1,1,2,2,CLOSED
twbs/bootstrap,321,0,0,6,1,161,159,3,3,CLOSED
twbs/bootstrap,53,0,0,7,3,33,17,3,4,CLOSED
twbs/bootstrap,5,0,52,10,2,2,1,2,8,CLOSED
twbs/bootstrap,15,0,212,5,1,7,7,3,2,CLOSED
twbs/bootstrap,21,58,537,3,1,10,10,2,1,CLOSED
twbs/bootstrap,11,2,185,3,3,4,4,2,1,CLOSED
twbs/bootstrap,7,0,49,1,1,5,1,1,0,CLOSED
twbs/bootstrap,7,6,0,3,1,5,1,2,1,CLOSED
twbs/bootstrap,5,1,0,3,1,2,2,2,1,CLOSED
twbs/bootstrap,8,1,251,9,1,7,0,3,6,CLOSED
twbs/bootstrap,75,46,388,5,1,74,0,3,2,CLOSED
twbs/bootstrap,812,0,434,26,7,802,3,12,14,CLOSED
twbs/bootstrap,5,4,32,3,1,2,2,2,1,CLOSED
twbs/bootstrap,11,0,0,3,1,5,5,2,1,CLOSED
twbs/bootstrap,3,4,0,2,1,1,1,2,0,MERGED
twbs/bootstrap,3,8,132,6,1,1,1,3,3,CLOSED
twbs/bootstrap,50,3,473,3,4,29,17,2,1,CLOSED
twbs/bootstrap,3,0,343,2,1,1,1,2,0,MERGED
twbs/bootstrap,2845,0,2778,14,22,1765,1058,10,4,CLOSED
twbs/bootstrap,4,6,74,7,2,2,0,3,4,CLOSED
twbs/bootstrap,11,1,277,9,1,9,1,4,5,CLOSED
twbs/bootstrap,165,4,388,4,1,164,0,2,2,CLOSED
twbs/bootstrap,3,0,47,2,1,1,1,2,0,MERGED
twbs/bootstrap,39,0,25,5,1,37,1,2,3,MERGED
twbs/bootstrap,23,0,131,3,3,8,12,2,1,CLOSED
twbs/bootstrap,13,3,103,3,1,7,5,2,1,CLOSED
twbs/bootstrap,4,51,342,7,1,2,1,3,4,CLOSED
twbs/bootstrap,22,40,288,11,3,15,4,3,8,CLOSED
twbs/bootstrap,33,0,120,6,1,16,16,3,3,CLOSED
twbs/bootstrap,1216,3,245,14,8,993,215,7,7,CLOSED
twbs/bootstrap,50,2,222,5,2,47,1,3,2,CLOSED
twbs/bootstrap,133,49,338,56,4,124,5,23,33,CLOSED
twbs/bootstrap,8,0,243,8,1,6,1,3,5,CLOSED
twbs/bootstrap,3,36,49,3,1,1,1,2,1,CLOSED
twbs/bootstrap,5,32,45,3,1,1,3,2,1,CLOSED
twbs/bootstrap,21,45,266,6,1,13,7,4,2,CLOSED
twbs/bootstrap,5,0,83,3,1,2,2,2,1,CLOSED
twbs/bootstrap,7,0,0,2,1,3,3,1,1,CLOSED
