repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
vercel/next.js,30,0,220,3,4,19,7,2,1,MERGED
vercel/next.js,13,0,0,1,3,7,3,1,0,CLOSED
vercel/next.js,16,0,140,2,4,8,4,2,0,MERGED
vercel/next.js,76,3,122,3,7,60,9,2,1,CLOSED
vercel/next.js,53,0,0,3,5,45,3,2,1,MERGED
vercel/next.js,112,1,47,3,6,104,2,2,1,MERGED
vercel/next.js,21,0,9,3,1,11,9,2,1,MERGED
vercel/next.js,14,1,0,5,1,12,1,3,2,MERGED
vercel/next.js,27,0,0,2,2,24,1,2,0,MERGED
vercel/next.js,33,0,0,3,4,25,4,3,0,MERGED
vercel/next.js,135,0,32,2,7,128,0,2,0,MERGED
vercel/next.js,34,0,0,2,3,15,16,2,0,MERGED
vercel/next.js,2,0,0,2,1,1,0,2,0,MERGED
vercel/next.js,14,0,134,2,1,11,2,2,0,MERGED
vercel/next.js,59,0,122,2,2,57,0,2,0,MERGED
vercel/next.js,153,0,9,2,25,64,64,2,0,MERGED
vercel/next.js,5,0,10,2,1,3,1,2,0,MERGED
vercel/next.js,498,0,38,1,20,327,151,1,0,MERGED
vercel/next.js,46,0,244,1,6,27,13,1,0,MERGED
vercel/next.js,29,7,9,3,1,27,1,2,1,MERGED
vercel/next.js,212,1,24,2,16,87,109,2,0,MERGED
vercel/next.js,22,2,49,3,1,20,1,3,0,MERGED
vercel/next.js,24,0,12,2,8,8,8,2,0,MERGED
vercel/next.js,31,0,0,1,1,14,16,1,0,CLOSED
vercel/next.js,33,0,0,2,1,16,16,2,0,MERGED
vercel/next.js,8,0,29,1,1,6,1,1,0,MERGED
vercel/next.js,12,0,0,2,1,0,11,2,0,MERGED
vercel/next.js,17,0,0,2,4,7,6,2,0,MERGED
vercel/next.js,3,0,32,3,1,1,1,2,1,CLOSED
vercel/next.js,3,0,98,3,1,2,0,2,1,MERGED
vercel/next.js,3,0,222,3,1,1,1,2,1,CLOSED
vercel/next.js,3,0,0,3,1,1,1,2,1,MERGED
vercel/next.js,3,0,0,2,1,1,1,2,0,MERGED
vercel/next.js,7,0,0,5,1,3,3,3,2,CLOSED
vercel/next.js,3,0,0,10,1,1,1,4,6,MERGED
vercel/next.js,3,0,48,2,1,1,1,1,1,CLOSED
vercel/next.js,64,0,15,10,4,60,0,3,7,MERGED
vercel/next.js,3,0,0,3,1,1,1,2,1,CLOSED
vercel/next.js,3,0,88,3,1,1,1,2,1,MERGED
vercel/next.js,68,52,236,24,6,55,7,9,15,CLOSED
vercel/next.js,3,0,59,3,1,1,1,2,1,MERGED
vercel/next.js,3,0,0,3,1,1,1,2,1,CLOSED
vercel/next.js,5,0,0,3,1,2,2,2,1,MERGED
vercel/next.js,497,0,46,3,1,496,0,2,1,CLOSED
vercel/next.js,3,0,114,3,1,1,1,2,1,MERGED
vercel/next.js,22,2,0,6,1,21,0,5,1,MERGED
vercel/next.js,4,0,460,4,1,3,0,3,1,MERGED
vercel/next.js,95,70,175,14,1,56,38,5,9,CLOSED
vercel/next.js,3,0,42,3,1,1,1,2,1,MERGED
vercel/next.js,101,1,86,1,3,68,30,1,0,MERGED
vercel/next.js,7,1,14,4,1,3,3,2,2,CLOSED
vercel/next.js,13,0,10,2,1,6,6,1,1,CLOSED
vercel/next.js,3,0,0,3,1,1,1,2,1,MERGED
vercel/next.js,42,0,77,1,3,15,24,1,0,MERGED
vercel/next.js,3,0,827,3,1,1,1,2,1,MERGED
vercel/next.js,3,0,31,4,1,1,1,2,2,MERGED
vercel/next.js,10,5,509,8,2,7,1,3,5,MERGED
vercel/next.js,3,0,269,3,1,1,1,2,1,MERGED
vercel/next.js,88,26,398,15,8,67,13,5,10,CLOSED
vercel/next.js,2,0,691,3,1,1,0,2,1,MERGED
vercel/next.js,202,18,431,43,7,146,49,12,31,CLOSED
vercel/next.js,12,0,532,3,4,7,1,2,1,MERGED
vercel/next.js,11,0,211,3,1,5,5,2,1,MERGED
vercel/next.js,8,0,295,5,2,3,3,3,2,MERGED
vercel/next.js,8,1,781,4,2,3,3,3,1,MERGED
vercel/next.js,30,32,55,16,4,19,7,6,10,CLOSED
vercel/next.js,10,0,278,3,1,7,2,2,1,MERGED
vercel/next.js,52,0,102,1,1,28,23,1,0,MERGED
vercel/next.js,62,58,158,6,1,17,44,2,4,CLOSED
vercel/next.js,6,2,10,7,1,4,1,4,3,MERGED
vercel/next.js,13,9,680,11,1,10,2,4,7,CLOSED
vercel/next.js,3,1,0,3,1,2,0,2,1,MERGED
vercel/next.js,3,1,176,9,1,2,0,4,5,MERGED
vercel/next.js,233,0,178,1,8,191,34,1,0,MERGED
vercel/next.js,39,0,242,2,3,28,8,2,0,MERGED
vercel/next.js,29,0,94,8,2,21,6,3,5,MERGED
vercel/next.js,28,0,12,4,2,5,21,2,2,MERGED
vercel/next.js,11,0,2547,8,2,9,0,3,5,MERGED
vercel/next.js,0,0,82,5,0,0,0,2,3,CLOSED
vercel/next.js,3,0,525,4,1,1,1,2,2,CLOSED
vercel/next.js,3,0,0,3,1,1,1,2,1,MERGED
