repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
vinta/awesome-python,4,0,0,2,1,2,1,2,0,MERGED
vinta/awesome-python,5,0,136,2,1,3,1,2,0,MERGED
vinta/awesome-python,5,0,256,3,1,3,1,2,1,CLOSED
vinta/awesome-python,4,0,40,2,1,2,1,2,0,MERGED
vinta/awesome-python,4,0,0,2,1,2,1,2,0,MERGED
vinta/awesome-python,8,0,0,2,1,5,2,2,0,MERGED
vinta/awesome-python,9,0,0,2,1,5,3,2,0,MERGED
vinta/awesome-python,13,0,0,2,1,12,0,2,0,MERGED
vinta/awesome-python,12,0,115,6,1,11,0,3,3,MERGED
vinta/awesome-python,9,0,0,1,2,3,4,1,0,CLOSED
vinta/awesome-python,8,0,54,4,1,7,0,3,1,MERGED
vinta/awesome-python,28,0,36,2,1,16,11,2,0,MERGED
vinta/awesome-python,2,0,87,2,1,1,0,2,0,MERGED
vinta/awesome-python,3,0,0,2,1,2,0,2,0,MERGED
vinta/awesome-python,2,0,16,2,1,1,0,2,0,MERGED
vinta/awesome-python,5,0,0,2,1,4,0,2,0,MERGED
vinta/awesome-python,2,896,49,2,1,1,0,2,0,CLOSED
vinta/awesome-python,7,0,38,2,1,5,1,2,0,MERGED
vinta/awesome-python,11,4,0,1,1,10,0,1,0,CLOSED
vinta/awesome-python,3,0,0,2,1,2,0,2,0,MERGED
vinta/awesome-python,14,0,0,2,1,13,0,2,0,MERGED
vinta/awesome-python,4,0,42,7,1,3,0,3,4,MERGED
vinta/awesome-python,3,0,0,2,1,1,1,2,0,MERGED
vinta/awesome-python,4,0,0,2,1,3,0,2,0,MERGED
vinta/awesome-python,2,0,0,2,1,1,0,2,0,MERGED
vinta/awesome-python,3,1,153,4,1,2,0,2,2,MERGED
vinta/awesome-python,13,0,36,3,1,10,2,2,1,MERGED
vinta/awesome-python,3,0,0,2,1,2,0,2,0,MERGED
vinta/awesome-python,2,0,79,2,1,1,0,2,0,MERGED
