repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
vuejs/vue,5,0,0,3,1,2,2,2,1,CLOSED
vuejs/vue,37,0,67,6,5,20,12,2,4,CLOSED
vuejs/vue,61,0,493,5,4,47,10,3,2,CLOSED
vuejs/vue,49,0,493,7,2,40,7,3,4,MERGED
vuejs/vue,40,0,57,8,3,24,13,2,6,MERGED
vuejs/vue,78,0,93,10,3,67,8,3,7,CLOSED
vuejs/vue,52,0,339,3,3,43,6,2,1,MERGED
vuejs/vue,46,0,1154,11,5,38,3,3,8,CLOSED
vuejs/vue,9,0,271,1,2,7,0,1,0,CLOSED
vuejs/vue,9,0,271,4,2,7,0,3,1,MERGED
vuejs/vue,14,0,42,3,2,11,1,2,1,MERGED
vuejs/vue,12,0,108,5,1,8,3,2,3,CLOSED
vuejs/vue,3360,0,105,3,63,2199,1098,3,0,CLOSED
vuejs/vue,14,0,90,1,2,10,2,1,0,CLOSED
vuejs/vue,14,0,166,5,2,10,2,2,3,CLOSED
vuejs/vue,3583,0,20,3,66,2378,1139,3,0,CLOSED
vuejs/vue,38,2,20,16,2,34,2,2,14,CLOSED
vuejs/vue,5,2,512,2,1,2,2,2,0,MERGED
vuejs/vue,16,0,298,3,1,11,4,2,1,MERGED
vuejs/vue,34,5,250,5,3,22,9,2,3,CLOSED
vuejs/vue,3,0,58,3,1,1,1,2,1,MERGED
vuejs/vue,17,0,32,4,2,8,7,3,1,MERGED
vuejs/vue,84,0,128,3,1,52,31,2,1,CLOSED
vuejs/vue,15,24,396,7,1,14,0,2,5,CLOSED
vuejs/vue,5,9,37,9,1,3,1,3,6,CLOSED
vuejs/vue,13,0,32,2,1,7,5,2,0,MERGED
vuejs/vue,3,0,52,4,1,1,1,2,2,MERGED
vuejs/vue,19,0,271,5,1,10,8,2,3,CLOSED
vuejs/vue,19,0,8,2,1,10,8,2,0,MERGED
vuejs/vue,36,0,68,1,4,18,14,1,0,CLOSED
vuejs/vue,15,0,53,2,1,14,0,2,0,MERGED
vuejs/vue,43,3,305,5,1,22,20,2,3,CLOSED
vuejs/vue,199,4,185,4,7,151,41,2,2,CLOSED
vuejs/vue,15,0,113,4,1,11,3,2,2,CLOSED
vuejs/vue,14,0,145,4,1,11,2,2,2,CLOSED
vuejs/vue,5,4,41,3,1,2,2,2,1,CLOSED
vuejs/vue,56,55,402,15,4,44,8,6,9,CLOSED
vuejs/vue,15,0,130,3,2,11,2,2,1,MERGED
vuejs/vue,12,0,253,7,1,8,3,4,3,MERGED
vuejs/vue,34,0,254,4,4,18,12,2,2,CLOSED
vuejs/vue,3,0,197,5,1,1,1,2,3,CLOSED
vuejs/vue,5,0,334,3,1,1,3,2,1,MERGED
vuejs/vue,8,0,24,2,2,3,3,2,0,CLOSED
vuejs/vue,5,2,115,2,1,2,2,2,0,MERGED
vuejs/vue,3,0,0,2,1,1,1,2,0,MERGED
vuejs/vue,5,0,302,3,1,2,2,2,1,CLOSED
vuejs/vue,5,0,16,3,1,2,2,2,1,MERGED
vuejs/vue,48,1,208,6,2,25,21,3,3,MERGED
vuejs/vue,5,0,318,7,1,3,1,2,5,CLOSED
vuejs/vue,5,0,12,4,1,2,2,3,1,MERGED
vuejs/vue,62,0,659,2,2,45,15,1,1,CLOSED
vuejs/vue,25,4,257,5,2,19,4,2,3,CLOSED
vuejs/vue,25,0,100,4,2,18,5,2,2,CLOSED
vuejs/vue,176,0,133,17,8,132,36,2,15,CLOSED
vuejs/vue,97,0,102,7,2,70,25,2,5,MERGED
vuejs/vue,4,118,130,7,1,2,1,2,5,CLOSED
vuejs/vue,12,225,381,4,1,7,4,2,2,CLOSED
vuejs/vue,6,25,291,11,1,4,1,5,6,MERGED
vuejs/vue,5,72,997,5,1,2,2,2,3,CLOSED
vuejs/vue,26,0,49,3,2,23,1,2,1,MERGED
vuejs/vue,32,2,0,6,2,28,2,3,3,MERGED
vuejs/vue,19,0,0,3,3,13,3,2,1,MERGED
vuejs/vue,13,0,378,6,2,7,4,2,4,MERGED
vuejs/vue,4,1,0,3,1,3,0,2,1,MERGED
vuejs/vue,75,0,0,4,2,69,4,2,2,CLOSED
vuejs/vue,9,8,37,4,1,4,4,2,2,CLOSED
vuejs/vue,44,0,0,1,2,40,2,1,0,CLOSED
vuejs/vue,44,4,0,3,2,40,2,2,1,CLOSED
vuejs/vue,138,4,0,7,4,118,16,3,4,CLOSED
vuejs/vue,83,4,16,4,5,78,0,2,2,CLOSED
vuejs/vue,14,3,129,3,2,11,1,2,1,MERGED
vuejs/vue,81,3,533,6,3,78,0,2,4,CLOSED
vuejs/vue,14,0,45,3,2,11,1,2,1,MERGED
vuejs/vue,19,0,136,4,1,13,5,2,2,CLOSED
