repo,prSize,analysisTimeDays,descSize,interactionCount,changedFiles,addedLines,removedLines,participants,comments,state
ytdl-org/youtube-dl,22,0,119,7,1,15,6,2,5,CLOSED
ytdl-org/youtube-dl,16,1,457,8,1,12,3,2,6,CLOSED
ytdl-org/youtube-dl,83,82,1325,9,1,82,0,4,5,CLOSED
ytdl-org/youtube-dl,78,84,543,11,1,54,23,2,9,CLOSED
ytdl-org/youtube-dl,14,0,18,4,1,9,4,2,2,MERGED
ytdl-org/youtube-dl,9,0,383,2,1,4,4,1,1,CLOSED
ytdl-org/youtube-dl,21,1,666,3,1,20,0,2,1,CLOSED
ytdl-org/youtube-dl,36,0,69,3,1,8,27,2,1,MERGED
ytdl-org/youtube-dl,3,0,0,3,1,2,0,2,1,CLOSED
ytdl-org/youtube-dl,83,2,0,8,1,81,1,2,6,CLOSED
ytdl-org/youtube-dl,83,0,0,1,1,81,1,1,0,CLOSED
ytdl-org/youtube-dl,83,0,0,2,1,81,1,1,1,MERGED
ytdl-org/youtube-dl,8,0,224,5,1,3,4,2,3,CLOSED
ytdl-org/youtube-dl,98,0,210,5,1,61,36,3,2,CLOSED
ytdl-org/youtube-dl,0,1,164,7,0,0,0,2,5,MERGED
ytdl-org/youtube-dl,23,3,441,6,1,18,4,2,4,CLOSED
ytdl-org/youtube-dl,19,0,139,3,1,18,0,2,1,MERGED
ytdl-org/youtube-dl,32,1,252,4,1,22,9,2,2,MERGED
ytdl-org/youtube-dl,23,1,76,2,1,22,0,2,0,CLOSED
ytdl-org/youtube-dl,19,0,61,1,1,18,0,1,0,MERGED
ytdl-org/youtube-dl,15,0,142,2,1,10,4,2,0,MERGED
ytdl-org/youtube-dl,4,2,748,3,1,2,1,2,1,CLOSED
ytdl-org/youtube-dl,35,1,284,3,1,24,10,2,1,CLOSED
ytdl-org/youtube-dl,36,0,2586,3,1,24,11,2,1,CLOSED
ytdl-org/youtube-dl,2,0,300,3,1,1,0,2,1,MERGED
ytdl-org/youtube-dl,226,6,409,3,1,225,0,2,1,CLOSED
ytdl-org/youtube-dl,228,0,2386,4,1,227,0,2,2,CLOSED
ytdl-org/youtube-dl,226,0,93,6,1,225,0,2,4,MERGED
ytdl-org/youtube-dl,215,3,0,3,3,210,2,2,1,CLOSED
ytdl-org/youtube-dl,3,0,0,4,1,1,1,3,1,CLOSED
ytdl-org/youtube-dl,5,0,0,4,1,2,2,3,1,MERGED
ytdl-org/youtube-dl,2,159,0,3,1,0,1,2,1,MERGED
ytdl-org/youtube-dl,95,151,273,1,1,94,0,1,0,CLOSED
ytdl-org/youtube-dl,13,155,102,3,1,9,3,2,1,CLOSED
ytdl-org/youtube-dl,5707,145,84,4,1,2858,2848,2,2,CLOSED
ytdl-org/youtube-dl,16,129,307,8,1,10,5,4,4,MERGED
ytdl-org/youtube-dl,3,119,121,3,1,1,1,2,1,CLOSED
ytdl-org/youtube-dl,32,118,627,4,1,25,6,2,2,CLOSED
ytdl-org/youtube-dl,32,107,301,3,1,24,7,2,1,CLOSED
ytdl-org/youtube-dl,32,100,145,2,1,22,9,2,0,MERGED
ytdl-org/youtube-dl,3,66,217,1,1,1,1,1,0,MERGED
ytdl-org/youtube-dl,72,2163,186,22,1,69,2,7,15,CLOSED
ytdl-org/youtube-dl,1475,64,742,9,4,1132,339,5,4,MERGED
ytdl-org/youtube-dl,56,53,237,3,2,54,0,2,1,CLOSED
ytdl-org/youtube-dl,84,28,234,4,1,83,0,2,2,CLOSED
ytdl-org/youtube-dl,674,17,783,8,1,369,304,3,5,CLOSED
ytdl-org/youtube-dl,89,5,85,5,1,55,33,3,2,CLOSED
ytdl-org/youtube-dl,5714,0,107,3,1,2863,2850,2,1,CLOSED
ytdl-org/youtube-dl,3,8,89,8,1,1,1,2,6,CLOSED
ytdl-org/youtube-dl,13,0,138,3,1,8,4,2,1,MERGED
ytdl-org/youtube-dl,23,378,89,6,1,15,7,4,2,CLOSED
ytdl-org/youtube-dl,27,2,22,4,1,26,0,2,2,MERGED
ytdl-org/youtube-dl,2,1214,1245,21,1,1,0,12,9,CLOSED
ytdl-org/youtube-dl,3,0,344,3,1,1,1,2,1,MERGED
ytdl-org/youtube-dl,88,0,38,8,1,87,0,3,5,MERGED
ytdl-org/youtube-dl,7,0,136,3,1,3,3,2,1,MERGED
ytdl-org/youtube-dl,15,0,141,4,1,13,1,2,2,MERGED
ytdl-org/youtube-dl,7,6,243,2,1,3,3,2,0,MERGED
ytdl-org/youtube-dl,42,31,126,10,1,25,16,5,5,CLOSED
ytdl-org/youtube-dl,3,1,382,5,1,1,1,2,3,MERGED
ytdl-org/youtube-dl,3,8,173,2,1,1,1,2,0,MERGED
ytdl-org/youtube-dl,103,2,669,4,1,102,0,3,1,MERGED
ytdl-org/youtube-dl,87,0,299,2,1,86,0,2,0,CLOSED
ytdl-org/youtube-dl,4361,0,109,2,6,4260,95,2,0,MERGED
ytdl-org/youtube-dl,121,0,50,5,1,120,0,2,3,MERGED
ytdl-org/youtube-dl,12,1,147,4,1,9,2,2,2,CLOSED
ytdl-org/youtube-dl,15,8,126,3,1,9,5,2,1,CLOSED
ytdl-org/youtube-dl,3,0,245,4,1,1,1,3,1,MERGED
ytdl-org/youtube-dl,10,8,148,3,2,4,4,2,1,CLOSED
ytdl-org/youtube-dl,4,0,97,2,1,3,0,2,0,MERGED
ytdl-org/youtube-dl,80,7,50,3,1,79,0,2,1,CLOSED
ytdl-org/youtube-dl,7,0,322,2,1,4,2,2,0,MERGED
ytdl-org/youtube-dl,11,512,97,5,1,10,0,3,2,CLOSED
ytdl-org/youtube-dl,3,13,144,8,1,1,1,4,4,CLOSED
ytdl-org/youtube-dl,292,324,312,5,1,291,0,2,3,CLOSED
ytdl-org/youtube-dl,10,0,310,3,1,8,1,2,1,MERGED
ytdl-org/youtube-dl,14,282,159,9,1,12,1,4,5,CLOSED
ytdl-org/youtube-dl,71,14,171,3,1,36,34,2,1,CLOSED
ytdl-org/youtube-dl,3,2,153,2,1,1,1,2,0,MERGED
ytdl-org/youtube-dl,67,275,171,3,1,34,32,2,1,CLOSED
ytdl-org/youtube-dl,161,12,29,4,1,74,86,2,2,CLOSED
ytdl-org/youtube-dl,595,4,460,6,4,462,129,3,3,CLOSED
ytdl-org/youtube-dl,38,5,292,3,1,21,16,2,1,CLOSED
ytdl-org/youtube-dl,173,0,332,2,3,169,1,2,0,MERGED
ytdl-org/youtube-dl,123,64,143,2,2,121,0,2,0,MERGED
ytdl-org/youtube-dl,2,60,44,2,1,1,0,2,0,MERGED
ytdl-org/youtube-dl,17,59,203,3,2,15,0,3,0,MERGED
ytdl-org/youtube-dl,309,41,1700,5,2,195,112,3,2,MERGED
ytdl-org/youtube-dl,8185,315,101,5,10,1736,6439,3,2,CLOSED
ytdl-org/youtube-dl,15,159,602,7,1,9,5,3,4,CLOSED
ytdl-org/youtube-dl,8526,20,2183,7,15,4262,4249,6,1,MERGED
ytdl-org/youtube-dl,3,12,0,3,1,1,1,2,1,CLOSED
ytdl-org/youtube-dl,17,249,2392,6,1,16,0,3,3,CLOSED
ytdl-org/youtube-dl,17,0,92,5,4,7,6,3,2,MERGED
ytdl-org/youtube-dl,60,2,98,9,3,32,25,2,7,MERGED
ytdl-org/youtube-dl,3,56,0,7,1,1,1,4,3,MERGED
ytdl-org/youtube-dl,98,56,0,4,3,94,1,3,1,MERGED
ytdl-org/youtube-dl,3,56,0,2,1,1,1,2,0,MERGED
ytdl-org/youtube-dl,3,0,119,3,1,1,1,2,1,MERGED
ytdl-org/youtube-dl,17,149,151,3,1,7,9,2,1,MERGED
ytdl-org/youtube-dl,28,75,347,6,5,17,6,3,3,MERGED
ytdl-org/youtube-dl,29,1,341,1,5,22,2,1,0,CLOSED
ytdl-org/youtube-dl,29,134,519,4,5,22,2,2,2,MERGED
ytdl-org/youtube-dl,7,11,66,1,2,4,1,1,0,CLOSED
ytdl-org/youtube-dl,311,56,1098,14,10,265,36,3,11,MERGED
ytdl-org/youtube-dl,98,0,192,4,2,95,1,4,0,MERGED
ytdl-org/youtube-dl,299,0,353,7,7,259,33,2,5,CLOSED
ytdl-org/youtube-dl,3,53,264,3,1,1,1,2,1,CLOSED
ytdl-org/youtube-dl,3,51,283,16,1,1,1,4,12,MERGED
ytdl-org/youtube-dl,136,49,54,6,3,133,0,3,3,CLOSED
ytdl-org/youtube-dl,73,42,0,5,2,71,0,3,2,MERGED
ytdl-org/youtube-dl,197,39,35,6,4,192,1,4,2,MERGED
ytdl-org/youtube-dl,26,40,253,5,1,23,2,2,3,MERGED
ytdl-org/youtube-dl,8,35,1357,17,1,6,1,5,12,MERGED
ytdl-org/youtube-dl,159,93,140,11,3,156,0,6,5,MERGED
ytdl-org/youtube-dl,17,0,83,1,1,11,5,1,0,CLOSED
ytdl-org/youtube-dl,17,31,35,11,1,11,5,6,5,CLOSED
ytdl-org/youtube-dl,25,89,44,16,1,24,0,5,11,CLOSED
ytdl-org/youtube-dl,127,15,180,4,2,125,0,2,2,CLOSED
ytdl-org/youtube-dl,3,15,496,4,1,1,1,2,2,CLOSED
ytdl-org/youtube-dl,127,14,1570,7,2,125,0,2,5,MERGED
ytdl-org/youtube-dl,25,0,110,2,1,24,0,1,1,CLOSED
ytdl-org/youtube-dl,2,0,257,3,1,1,0,2,1,MERGED
ytdl-org/youtube-dl,3,0,51,9,1,1,1,5,4,MERGED
ytdl-org/youtube-dl,3,0,496,8,1,1,1,3,5,MERGED
ytdl-org/youtube-dl,250,16,165,7,6,209,35,2,5,CLOSED
ytdl-org/youtube-dl,8,0,0,3,1,4,3,2,1,CLOSED
ytdl-org/youtube-dl,9,0,0,7,3,3,3,3,4,CLOSED
ytdl-org/youtube-dl,8,0,529,5,1,6,1,3,2,MERGED
ytdl-org/youtube-dl,76,4,299,15,1,62,13,4,11,CLOSED
ytdl-org/youtube-dl,3,2,87,2,1,1,1,2,0,MERGED
ytdl-org/youtube-dl,91,0,299,11,1,69,21,4,7,OPEN
ytdl-org/youtube-dl,3,4,238,8,1,1,1,4,4,CLOSED
ytdl-org/youtube-dl,200,3,182,8,8,157,35,3,5,MERGED
ytdl-org/youtube-dl,3,42,0,7,1,1,1,3,4,MERGED
ytdl-org/youtube-dl,10,0,218,4,1,8,1,3,1,MERGED
ytdl-org/youtube-dl,5,1,422,6,1,2,2,3,3,MERGED
ytdl-org/youtube-dl,128,34,227,3,1,116,11,2,1,MERGED
ytdl-org/youtube-dl,14,0,277,4,1,10,3,3,1,MERGED
ytdl-org/youtube-dl,28,0,314,4,2,18,8,2,2,MERGED
ytdl-org/youtube-dl,201,816,86,6,4,91,106,3,3,CLOSED
ytdl-org/youtube-dl,13,9,46,1,1,8,4,1,0,CLOSED
ytdl-org/youtube-dl,13,0,36,6,1,8,4,2,4,MERGED
ytdl-org/youtube-dl,3,4,0,3,1,1,1,2,1,MERGED
