id,name,url,ownerId,ownerLogin,primaryLanguageId,primaryLanguageName,createdAt,stargazerCount,totalPullRequestsMerged
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,MDEyOk9yZ2FuaXphdGlvbjk4OTI1MjI=,freeCodeCamp,,,2014-12-24T17:49:19Z,355017,18373
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996.ICU,https://github.com/996icu/996.ICU,MDQ6VXNlcjQ4OTQyMjQ5,996icu,,,2019-03-26T07:31:14Z,264133,1063
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,free-programming-books,https://github.com/EbookFoundation/free-programming-books,MDEyOk9yZ2FuaXphdGlvbjE0MTI3MzA4,EbookFoundation,,,2013-10-11T06:50:37Z,251176,4858
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,coding-interview-university,https://github.com/jwasham/coding-interview-university,MDQ6VXNlcjM3NzE5NjM=,jwasham,,,2016-06-06T02:34:12Z,235536,337
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,awesome,https://github.com/sindresorhus/awesome,MDQ6VXNlcjE3MDI3MA==,sindresorhus,,,2014-07-11T13:42:37Z,222234,593
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,MDQ6VXNlcjQ5MjExODM=,kamranahmedse,,,2017-03-15T13:45:52Z,214192,895
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis,https://github.com/public-apis/public-apis,MDEyOk9yZ2FuaXphdGlvbjUxMTIxNTYy,public-apis,,,2016-03-20T23:49:42Z,211603,1870
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,https://github.com/vuejs/vue,MDEyOk9yZ2FuaXphdGlvbjYxMjgxMDc=,vuejs,,,2013-07-29T03:24:51Z,199866,1100
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,system-design-primer,https://github.com/donnemartin/system-design-primer,MDQ6VXNlcjU0NTg5OTc=,donnemartin,,,2017-02-26T16:15:28Z,199208,193
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,https://github.com/facebook/react,MDEyOk9yZ2FuaXphdGlvbjY5NjMx,facebook,,,2013-05-24T16:15:54Z,195774,8567
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow,https://github.com/tensorflow/tensorflow,MDEyOk9yZ2FuaXphdGlvbjE1NjU4NjM4,tensorflow,,,2015-11-07T01:19:20Z,168248,15182
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,MDEyOk9yZ2FuaXphdGlvbjU4OTA0MjM1,codecrafters-io,,,2018-05-09T12:03:18Z,167308,94
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,bootstrap,https://github.com/twbs/bootstrap,MDEyOk9yZ2FuaXphdGlvbjI5MTg1ODE=,twbs,,,2011-07-29T21:19:00Z,159866,7878
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,MDQ6VXNlcjE1MDMzMA==,getify,,,2013-11-16T02:37:24Z,159857,355
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CS-Notes,https://github.com/CyC2018/CS-Notes,MDQ6VXNlcjM2MjYwNzg3,CyC2018,,,2018-02-13T14:56:24Z,157247,375
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,MDQ6VXNlcjMwMDAyODU=,trekhleb,,,2018-03-24T07:47:04Z,152414,268
MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,MDEyOk9yZ2FuaXphdGlvbjIyNTUyMDgz,ohmyzsh,,,2009-08-28T18:15:37Z,150886,2716
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,Python,https://github.com/TheAlgorithms/Python,MDEyOk9yZ2FuaXphdGlvbjIwNDg3NzI1,TheAlgorithms,,,2016-07-16T09:44:01Z,146437,1896
MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter,https://github.com/flutter/flutter,MDEyOk9yZ2FuaXphdGlvbjE0MTAxNzc2,flutter,,,2015-03-06T22:54:58Z,145589,27671
